"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"DRREDDY","02-May-2003","29-May-2003","877.7","893.9","863.5","876.6","874","876.6","450","1579.74","163600","43200","        884.55"
"DRREDDY","02-May-2003","26-Jun-2003","893.95","899","893.95","899","899","895.4","2","7.17","0","0","        884.55"
"DRREDDY","02-May-2003","31-Jul-2003","0","0","0","917.75","0","902.4","0","0","0","0","        884.55"
"DRREDDY","05-May-2003","29-May-2003","870.1","879.5","870","878.3","878.4","878.3","201","702.85","154000","-9600","        876.25"
"DRREDDY","05-May-2003","26-Jun-2003","0","0","0","899","899","886.3","0","0","0","0","        876.25"
"DRREDDY","05-May-2003","31-Jul-2003","0","0","0","917.75","0","893.15","0","0","0","0","        876.25"
"DRREDDY","06-May-2003","29-May-2003","878.3","880.1","869.05","875.75","878.5","875.75","193","676.57","151600","-2400","        874.40"
"DRREDDY","06-May-2003","26-Jun-2003","0","0","0","899","899","884.35","0","0","0","0","        874.40"
"DRREDDY","06-May-2003","31-Jul-2003","0","0","0","917.75","0","891.25","0","0","0","0","        874.40"
"DRREDDY","07-May-2003","29-May-2003","876","876","862","871.8","870.5","871.8","190","659.81","156800","5200","        875.50"
"DRREDDY","07-May-2003","26-Jun-2003","0","0","0","899","899","885.25","0","0","0","0","        875.50"
"DRREDDY","07-May-2003","31-Jul-2003","0","0","0","917.75","0","892.1","0","0","0","0","        875.50"
"DRREDDY","08-May-2003","29-May-2003","870","870","840","849.95","851.65","849.95","512","1743.19","170400","13600","        848.10"
"DRREDDY","08-May-2003","26-Jun-2003","0","0","0","899","899","857.5","0","0","0","0","        848.10"
"DRREDDY","08-May-2003","31-Jul-2003","0","0","0","917.75","0","864.25","0","0","0","0","        848.10"
"DRREDDY","09-May-2003","29-May-2003","844","849.45","826.1","837.5","837.05","837.5","400","1338.66","168000","-2400","        836.10"
"DRREDDY","09-May-2003","26-Jun-2003","838","838","835","835","835","845.15","5","16.72","1200","1200","        836.10"
"DRREDDY","09-May-2003","31-Jul-2003","0","0","0","917.75","0","851.85","0","0","0","0","        836.10"
"DRREDDY","12-May-2003","29-May-2003","836","844.7","817.05","839.6","842.35","839.6","299","995.84","170800","2800","        841.00"
"DRREDDY","12-May-2003","26-Jun-2003","826.25","845","826.25","841.7","845","841.7","4","13.41","1600","400","        841.00"
"DRREDDY","12-May-2003","31-Jul-2003","0","0","0","917.75","0","856.15","0","0","0","0","        841.00"
"DRREDDY","13-May-2003","29-May-2003","862","862","842.5","849.55","851.9","849.55","204","693.18","159600","-11200","        851.90"
"DRREDDY","13-May-2003","26-Jun-2003","852","855.65","852","855","855","860.3","5","17.09","2000","400","        851.90"
"DRREDDY","13-May-2003","31-Jul-2003","0","0","0","917.75","0","867.05","0","0","0","0","        851.90"
"DRREDDY","14-May-2003","29-May-2003","843","858.7","843","856.05","858.7","856.05","101","344","157200","-2400","        857.45"
"DRREDDY","14-May-2003","26-Jun-2003","855","855","855","855","855","865.75","1","3.42","1600","-400","        857.45"
"DRREDDY","14-May-2003","31-Jul-2003","0","0","0","917.75","0","872.55","0","0","0","0","        857.45"
"DRREDDY","15-May-2003","29-May-2003","853","855.45","849","851.3","851.2","851.3","75","255.62","159600","2400","        849.40"
"DRREDDY","15-May-2003","26-Jun-2003","852","852","852","852","852","857.45","1","3.41","2000","400","        849.40"
"DRREDDY","15-May-2003","31-Jul-2003","0","0","0","917.75","0","864.2","0","0","0","0","        849.40"
"DRREDDY","16-May-2003","29-May-2003","851.8","852.45","833.25","840.75","842","840.75","219","735.26","170800","11200","        839.10"
"DRREDDY","16-May-2003","26-Jun-2003","852","852","835","839.6","839.6","846.85","14","47.19","4000","2000","        839.10"
"DRREDDY","16-May-2003","31-Jul-2003","0","0","0","917.75","0","853.5","0","0","0","0","        839.10"
"DRREDDY","19-May-2003","29-May-2003","837","852.7","834.15","835.55","838","835.55","167","562","179200","8400","        833.75"
"DRREDDY","19-May-2003","26-Jun-2003","839.2","841.5","839.2","841.5","841.5","840.85","2","6.72","4800","800","        833.75"
"DRREDDY","19-May-2003","31-Jul-2003","0","0","0","917.75","0","847.4","0","0","0","0","        833.75"
"DRREDDY","20-May-2003","29-May-2003","820","836.8","820","832.6","833.4","832.6","252","836.38","185200","6000","        830.95"
"DRREDDY","20-May-2003","26-Jun-2003","830","833","825","831.5","831.5","837.85","8","26.52","6400","1600","        830.95"
"DRREDDY","20-May-2003","31-Jul-2003","0","0","0","917.75","0","844.4","0","0","0","0","        830.95"
"DRREDDY","21-May-2003","29-May-2003","836.95","842.9","830","832.8","832.6","832.8","194","649.05","182800","-2400","        831.35"
"DRREDDY","21-May-2003","26-Jun-2003","842.05","845","833","833","833","838.05","24","80.62","8800","2400","        831.35"
"DRREDDY","21-May-2003","31-Jul-2003","0","0","0","917.75","0","844.6","0","0","0","0","        831.35"
"DRREDDY","22-May-2003","29-May-2003","831","834","815","820.4","820.5","820.4","242","796.68","182400","-400","        818.00"
"DRREDDY","22-May-2003","26-Jun-2003","830.15","835","819","822.1","823","822.1","56","184.81","22400","13600","        818.00"
"DRREDDY","22-May-2003","31-Jul-2003","0","0","0","917.75","0","830.7","0","0","0","0","        818.00"
"DRREDDY","23-May-2003","29-May-2003","820","832.25","817.5","829.1","829.95","829.1","160","527.8","162800","-19600","        827.85"
"DRREDDY","23-May-2003","26-Jun-2003","825","833.95","820.25","832.6","832","832.6","43","142.61","28400","6000","        827.85"
"DRREDDY","23-May-2003","31-Jul-2003","0","0","0","917.75","0","840.5","0","0","0","0","        827.85"
"DRREDDY","26-May-2003","29-May-2003","831","832","816.1","819.05","816.1","819.05","101","332.41","152800","-10000","        817.40"
"DRREDDY","26-May-2003","26-Jun-2003","834.9","834.9","821","822.8","821","822.8","93","307.55","55600","27200","        817.40"
"DRREDDY","26-May-2003","31-Jul-2003","0","0","0","917.75","0","829.35","0","0","0","0","        817.40"
"DRREDDY","27-May-2003","29-May-2003","816.6","829.9","810.05","814.6","812.7","814.6","181","593.25","136800","-16000","        816.40"
"DRREDDY","27-May-2003","26-Jun-2003","821.05","829.45","813.5","819.95","817","819.95","109","358.28","77600","22000","        816.40"
"DRREDDY","27-May-2003","31-Jul-2003","0","0","0","917.75","0","828.05","0","0","0","0","        816.40"
"DRREDDY","28-May-2003","29-May-2003","818.5","832","818","831.25","831.5","831.25","164","541.19","94400","-42400","        833.00"
"DRREDDY","28-May-2003","26-Jun-2003","820","837.2","820","835.85","835.05","835.85","128","424.16","99600","22000","        833.00"
"DRREDDY","28-May-2003","31-Jul-2003","0","0","0","917.75","0","844.75","0","0","0","0","        833.00"
"DRREDDY","29-May-2003","29-May-2003","835","863.95","835","857.7","863.05","864.2","320","1084.46","78400","-16000","        864.20"
"DRREDDY","29-May-2003","26-Jun-2003","840","861","839.9","854.2","848.3","854.2","342","1161.57","150000","50400","        864.20"
"DRREDDY","29-May-2003","31-Jul-2003","0","0","0","917.75","0","876.1","0","0","0","0","        864.20"
"DRREDDY","30-May-2003","26-Jun-2003","851.25","885","845","880.85","875","880.85","462","1607.58","181600","31600","        891.25"
"DRREDDY","30-May-2003","31-Jul-2003","0","0","0","917.75","0","903.4","0","0","0","0","        891.25"
"DRREDDY","30-May-2003","28-Aug-2003","0","0","0","876.45","0","908.9","0","0","0","0","        891.25"
"DRREDDY","02-Jun-2003","26-Jun-2003","880","898","860.05","892.65","888","892.65","418","1468.29","157600","-24000","        893.40"
"DRREDDY","02-Jun-2003","31-Jul-2003","0","0","0","917.75","0","904.95","0","0","0","0","        893.40"
"DRREDDY","02-Jun-2003","28-Aug-2003","0","0","0","876.45","0","910.45","0","0","0","0","        893.40"
"DRREDDY","03-Jun-2003","26-Jun-2003","893","914.7","885.1","906.75","907.5","906.75","469","1693.97","165200","7600","        906.05"
"DRREDDY","03-Jun-2003","31-Jul-2003","0","0","0","917.75","0","917.6","0","0","0","0","        906.05"
"DRREDDY","03-Jun-2003","28-Aug-2003","0","0","0","876.45","0","923.2","0","0","0","0","        906.05"
"DRREDDY","04-Jun-2003","26-Jun-2003","913","929.95","913","926.85","928.4","926.85","284","1048.53","172400","7200","        929.30"
"DRREDDY","04-Jun-2003","31-Jul-2003","0","0","0","917.75","0","940.8","0","0","0","0","        929.30"
"DRREDDY","04-Jun-2003","28-Aug-2003","0","0","0","876.45","0","946.5","0","0","0","0","        929.30"
"DRREDDY","05-Jun-2003","26-Jun-2003","939","969","933.05","958.35","955.5","958.35","582","2213.3","184800","12400","        959.45"
"DRREDDY","05-Jun-2003","31-Jul-2003","950","960","950","960","960","971.05","4","15.31","800","800","        959.45"
"DRREDDY","05-Jun-2003","28-Aug-2003","0","0","0","876.45","0","976.9","0","0","0","0","        959.45"
"DRREDDY","06-Jun-2003","26-Jun-2003","958","969.9","950","965.8","965.5","965.8","269","1036.03","196000","11200","        970.65"
"DRREDDY","06-Jun-2003","31-Jul-2003","959","964","959","964","964","978.95","2","7.69","1600","800","        970.65"
"DRREDDY","06-Jun-2003","28-Aug-2003","0","0","0","876.45","0","983.2","0","0","0","0","        970.65"
"DRREDDY","09-Jun-2003","26-Jun-2003","965","974.4","954","963.9","967","963.9","213","820.94","203600","7600","        964.95"
"DRREDDY","09-Jun-2003","31-Jul-2003","961.75","961.75","959","959","959","972.8","2","7.68","2000","400","        964.95"
"DRREDDY","09-Jun-2003","28-Aug-2003","0","0","0","876.45","0","977.05","0","0","0","0","        964.95"
"DRREDDY","10-Jun-2003","26-Jun-2003","959.1","964","947","950.35","950.35","950.35","202","769.91","186400","-17200","        949.80"
"DRREDDY","10-Jun-2003","31-Jul-2003","952.05","952.05","951","951","951","957.25","2","7.61","1600","-400","        949.80"
"DRREDDY","10-Jun-2003","28-Aug-2003","0","0","0","876.45","0","961.35","0","0","0","0","        949.80"
"DRREDDY","11-Jun-2003","26-Jun-2003","952.1","965.95","946.05","956.05","955","956.05","300","1148.58","191200","4800","        954.20"
"DRREDDY","11-Jun-2003","31-Jul-2003","950","961","950","955.05","955","955.05","8","30.55","3600","2000","        954.20"
"DRREDDY","11-Jun-2003","28-Aug-2003","0","0","0","876.45","0","965.75","0","0","0","0","        954.20"
"DRREDDY","12-Jun-2003","26-Jun-2003","952","960.5","946.25","958.5","959.25","958.5","105","400.57","186000","-5200","        958.05"
"DRREDDY","12-Jun-2003","31-Jul-2003","0","0","0","955.05","955","965.2","0","0","3600","0","        958.05"
"DRREDDY","12-Jun-2003","28-Aug-2003","0","0","0","876.45","0","969.35","0","0","0","0","        958.05"
"DRREDDY","13-Jun-2003","26-Jun-2003","964","974.45","958.5","962.8","961.05","962.8","235","906.96","194000","8000","        961.15"
"DRREDDY","13-Jun-2003","31-Jul-2003","970","970","965.25","965.25","965.25","968.2","3","11.6","4400","800","        961.15"
"DRREDDY","13-Jun-2003","28-Aug-2003","0","0","0","876.45","0","972.3","0","0","0","0","        961.15"
"DRREDDY","16-Jun-2003","26-Jun-2003","974.4","1002","970.2","999.1","1002","999.1","641","2547.73","200800","6800","        998.95"
"DRREDDY","16-Jun-2003","31-Jul-2003","987","1007","987","1000","1000","1000","38","152.1","16000","11600","        998.95"
"DRREDDY","16-Jun-2003","28-Aug-2003","0","0","0","876.45","0","1010.15","0","0","0","0","        998.95"
"DRREDDY","17-Jun-2003","26-Jun-2003","1015","1059.8","1012","1055.6","1056","1055.6","791","3303.38","220400","19600","       1060.50"
"DRREDDY","17-Jun-2003","31-Jul-2003","1025","1060","1025","1056.9","1055","1056.9","49","205.76","23200","7200","       1060.50"
"DRREDDY","17-Jun-2003","28-Aug-2003","0","0","0","876.45","0","1072.3","0","0","0","0","       1060.50"
"DRREDDY","18-Jun-2003","26-Jun-2003","1049","1051.95","1031.25","1040.05","1043","1040.05","364","1516.79","192400","-28000","       1040.00"
