"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"DRREDDY","09-Nov-2001","29-Nov-2001","1062","1085","1062","1077","1080","1077","29","124.5","7200","7200","       1073.80"
"DRREDDY","09-Nov-2001","27-Dec-2001","0","0","0","1051.55","0","1090.6","0","0","0","0","       1073.80"
"DRREDDY","09-Nov-2001","31-Jan-2002","0","0","0","1051.55","0","1103","0","0","0","0","       1073.80"
"DRREDDY","12-Nov-2001","29-Nov-2001","1080","1090","1076","1078.5","1077.25","1078.5","38","164.49","12000","4800","       1075.10"
"DRREDDY","12-Nov-2001","27-Dec-2001","1165","1165","1100","1100","1100","1091","3","13.54","400","400","       1075.10"
"DRREDDY","12-Nov-2001","31-Jan-2002","0","0","0","1051.55","0","1103.45","0","0","0","0","       1075.10"
"DRREDDY","13-Nov-2001","29-Nov-2001","1072.75","1072.75","1033","1051.4","1052","1051.4","26","108.79","14800","2800","       1044.60"
"DRREDDY","13-Nov-2001","27-Dec-2001","0","0","0","1100","1100","1059.45","0","0","400","0","       1044.60"
"DRREDDY","13-Nov-2001","31-Jan-2002","1069","1069","1069","1069","1069","1071.35","1","4.28","400","400","       1044.60"
"DRREDDY","14-Nov-2001","29-Nov-2001","1049","1049","1049","1049","1049","1049","1","4.2","15200","400","       1041.20"
"DRREDDY","14-Nov-2001","27-Dec-2001","0","0","0","1100","1100","1055.65","0","0","400","0","       1041.20"
"DRREDDY","14-Nov-2001","31-Jan-2002","0","0","0","1069","1069","1067.55","0","0","400","0","       1041.20"
"DRREDDY","15-Nov-2001","29-Nov-2001","1057","1075","1056","1075","1075","1075","19","80.75","18000","2800","       1066.90"
"DRREDDY","15-Nov-2001","27-Dec-2001","1125","1125","1090","1090","1090","1081.5","3","13.26","1200","800","       1066.90"
"DRREDDY","15-Nov-2001","31-Jan-2002","0","0","0","1069","1069","1093.85","0","0","400","0","       1066.90"
"DRREDDY","19-Nov-2001","29-Nov-2001","900","954","900","930.3","922","930.3","74","276.35","34400","16400","        960.25"
"DRREDDY","19-Nov-2001","27-Dec-2001","951","951","930","936.75","933","936.75","9","33.94","4000","2800","        960.25"
"DRREDDY","19-Nov-2001","31-Jan-2002","0","0","0","1069","1069","983.1","0","0","400","0","        960.25"
"DRREDDY","20-Nov-2001","29-Nov-2001","906.6","934","875","913.9","915","913.9","224","821.01","65200","30800","        909.30"
"DRREDDY","20-Nov-2001","27-Dec-2001","875.5","944","875.5","919.2","921.8","919.2","109","403.97","35200","31200","        909.30"
"DRREDDY","20-Nov-2001","31-Jan-2002","950","950","950","950","950","930.7","1","3.8","800","400","        909.30"
"DRREDDY","21-Nov-2001","29-Nov-2001","925","932.95","917","926.2","924","926.2","70","259.41","68800","3600","        922.45"
"DRREDDY","21-Nov-2001","27-Dec-2001","935","944","926","933.75","938","933.75","48","179.3","46400","11200","        922.45"
"DRREDDY","21-Nov-2001","31-Jan-2002","0","0","0","950","950","943.85","0","0","800","0","        922.45"
"DRREDDY","22-Nov-2001","29-Nov-2001","941.15","973","930","953.95","951.1","953.95","156","594","68400","-400","        953.85"
"DRREDDY","22-Nov-2001","27-Dec-2001","948.9","980","943","961.25","960","961.25","106","407.54","60400","14000","        953.85"
"DRREDDY","22-Nov-2001","31-Jan-2002","0","0","0","950","950","975.75","0","0","800","0","        953.85"
"DRREDDY","23-Nov-2001","29-Nov-2001","970","971","944.15","963.6","963.8","963.6","131","503.28","76000","7600","        957.70"
"DRREDDY","23-Nov-2001","27-Dec-2001","975","976.05","946","964.8","961","964.8","157","606.18","87200","26800","        957.70"
"DRREDDY","23-Nov-2001","31-Jan-2002","0","0","0","950","950","979.3","0","0","800","0","        957.70"
"DRREDDY","26-Nov-2001","29-Nov-2001","961","968","945","954.9","954.95","954.9","126","482.9","90400","14400","        952.40"
"DRREDDY","26-Nov-2001","27-Dec-2001","963","975","955","963.5","965","963.5","247","953.8","150000","62800","        952.40"
"DRREDDY","26-Nov-2001","31-Jan-2002","0","0","0","950","950","972.85","0","0","800","0","        952.40"
"DRREDDY","27-Nov-2001","29-Nov-2001","980.1","1026.65","963","976.2","966","976.2","215","858.58","78000","-12400","        970.80"
"DRREDDY","27-Nov-2001","27-Dec-2001","979","1031","970","982.65","972","982.65","464","1860.78","195600","45600","        970.80"
"DRREDDY","27-Nov-2001","31-Jan-2002","1010","1112.1","980","980","980","980","7","28.54","2000","1200","        970.80"
"DRREDDY","28-Nov-2001","29-Nov-2001","979","988","960","961.45","962.05","961.45","85","331.88","67600","-10400","        960.20"
"DRREDDY","28-Nov-2001","27-Dec-2001","979","993.9","965","970.55","975.1","970.55","203","794.29","220000","24400","        960.20"
"DRREDDY","28-Nov-2001","31-Jan-2002","994","997","975.25","975.6","975.25","975.6","11","43.47","4400","2400","        960.20"
"DRREDDY","29-Nov-2001","29-Nov-2001","964","967.7","946","952.5","951","950","78","298.44","57600","-10000","        950.00"
"DRREDDY","29-Nov-2001","27-Dec-2001","949","972.1","949","959.35","957.15","959.35","238","915.54","268800","48800","        950.00"
"DRREDDY","29-Nov-2001","31-Jan-2002","979","979","973","973","973","969.35","3","11.72","5600","1200","        950.00"
"DRREDDY","03-Dec-2001","27-Dec-2001","950","952","915","932.85","931","932.85","456","1706.62","326400","57600","        928.35"
"DRREDDY","03-Dec-2001","31-Jan-2002","925","960","925","938.7","937","938.7","35","132.46","15200","9600","        928.35"
"DRREDDY","03-Dec-2001","28-Feb-2002","0","0","0","969.95","0","954.65","0","0","0","0","        928.35"
"DRREDDY","04-Dec-2001","27-Dec-2001","940","964","925.5","931.25","929","931.25","457","1727.98","370400","44000","        922.00"
"DRREDDY","04-Dec-2001","31-Jan-2002","945","968","940.05","942.25","940.05","942.25","22","83.65","20400","5200","        922.00"
"DRREDDY","04-Dec-2001","28-Feb-2002","0","0","0","969.95","0","947.8","0","0","0","0","        922.00"
"DRREDDY","05-Dec-2001","27-Dec-2001","940","973.95","932","963.85","958.15","963.85","696","2652.45","426800","56400","        954.00"
"DRREDDY","05-Dec-2001","31-Jan-2002","941","970","941","968.65","970","968.65","12","46.23","20000","-400","        954.00"
"DRREDDY","05-Dec-2001","28-Feb-2002","0","0","0","969.95","0","980.3","0","0","0","0","        954.00"
"DRREDDY","06-Dec-2001","27-Dec-2001","978.4","1001","940","946.75","949.4","946.75","1133","4405.66","472400","45600","        938.95"
"DRREDDY","06-Dec-2001","31-Jan-2002","1005","1010","951","951","951","951","21","82.73","25200","5200","        938.95"
"DRREDDY","06-Dec-2001","28-Feb-2002","0","0","0","969.95","0","964.3","0","0","0","0","        938.95"
"DRREDDY","07-Dec-2001","27-Dec-2001","955","958","932","946.65","950","946.65","437","1654.2","509200","36800","        938.60"
"DRREDDY","07-Dec-2001","31-Jan-2002","964","964","941","953.5","955","953.5","9","34.39","26400","1200","        938.60"
"DRREDDY","07-Dec-2001","28-Feb-2002","0","0","0","969.95","0","963.75","0","0","0","0","        938.60"
"DRREDDY","10-Dec-2001","27-Dec-2001","955","977.9","950","956.35","950","956.35","377","1452.83","504800","-4400","        949.40"
"DRREDDY","10-Dec-2001","31-Jan-2002","964","987","961","961.5","961","961.5","26","101.11","28800","2400","        949.40"
"DRREDDY","10-Dec-2001","28-Feb-2002","0","0","0","969.95","0","974.2","0","0","0","0","        949.40"
"DRREDDY","11-Dec-2001","27-Dec-2001","959.5","968","933.2","938.8","939.8","938.8","339","1287.87","538000","33200","        930.15"
"DRREDDY","11-Dec-2001","31-Jan-2002","962","967.9","945.1","946.6","945.1","946.6","25","95.45","34800","6000","        930.15"
"DRREDDY","11-Dec-2001","28-Feb-2002","915.05","915.05","915.05","915.05","915.05","954.3","1","3.66","400","400","        930.15"
"DRREDDY","12-Dec-2001","27-Dec-2001","952.5","953","930","933.5","935.9","933.5","274","1029.63","536000","-2000","        926.25"
"DRREDDY","12-Dec-2001","31-Jan-2002","950.3","955","940","940.95","940","940.95","49","185.47","45200","10400","        926.25"
"DRREDDY","12-Dec-2001","28-Feb-2002","0","0","0","915.05","915.05","949.95","0","0","400","0","        926.25"
"DRREDDY","13-Dec-2001","27-Dec-2001","935.5","950","911","936.15","931.2","936.15","582","2173.11","494000","-42000","        929.95"
"DRREDDY","13-Dec-2001","31-Jan-2002","931.4","953","920","941.25","941.25","941.25","65","242.73","43200","-2000","        929.95"
"DRREDDY","13-Dec-2001","28-Feb-2002","0","0","0","915.05","915.05","953.4","0","0","400","0","        929.95"
"DRREDDY","14-Dec-2001","27-Dec-2001","940","948","932.25","934.6","936.9","934.6","245","920.2","492800","-1200","        928.55"
"DRREDDY","14-Dec-2001","31-Jan-2002","945","952","941","942.55","941","942.55","17","64.24","44000","800","        928.55"
"DRREDDY","14-Dec-2001","28-Feb-2002","0","0","0","915.05","915.05","951.35","0","0","400","0","        928.55"
"DRREDDY","18-Dec-2001","27-Dec-2001","944","949.4","926.3","930.7","931.75","930.7","221","825.3","466400","-26400","        926.25"
"DRREDDY","18-Dec-2001","31-Jan-2002","861","949","861","937.15","938.95","937.15","37","138.9","48800","4800","        926.25"
"DRREDDY","18-Dec-2001","28-Feb-2002","0","0","0","915.05","915.05","948.1","0","0","400","0","        926.25"
"DRREDDY","19-Dec-2001","27-Dec-2001","938","938","896","901.45","903.9","901.45","598","2177.47","396400","-70000","        900.75"
"DRREDDY","19-Dec-2001","31-Jan-2002","930","934","906","907","909.9","907","107","392.27","67600","18800","        900.75"
"DRREDDY","19-Dec-2001","28-Feb-2002","915.15","949","915.15","949","949","922","3","11.16","800","400","        900.75"
"DRREDDY","20-Dec-2001","27-Dec-2001","900","915","882.5","904.6","907","904.6","362","1304.85","358800","-37600","        903.00"
"DRREDDY","20-Dec-2001","31-Jan-2002","908","916.9","890","913.45","912","913.45","102","370.22","82400","14800","        903.00"
"DRREDDY","20-Dec-2001","28-Feb-2002","913","913","913","913","913","924.05","2","7.3","800","0","        903.00"
"DRREDDY","21-Dec-2001","27-Dec-2001","900.05","924.95","900","910.5","913","910.5","265","967.12","332400","-26400","        908.15"
"DRREDDY","21-Dec-2001","31-Jan-2002","910","933","910","916.1","919.95","916.1","80","293.75","95200","12800","        908.15"
"DRREDDY","21-Dec-2001","28-Feb-2002","0","0","0","913","913","928.85","0","0","800","0","        908.15"
"DRREDDY","24-Dec-2001","27-Dec-2001","905","905","888","902.25","901.2","902.25","184","660.63","292800","-39600","        900.80"
"DRREDDY","24-Dec-2001","31-Jan-2002","911","913.9","897","910.95","910.5","910.95","96","348.25","112400","17200","        900.80"
"DRREDDY","24-Dec-2001","28-Feb-2002","0","0","0","913","913","920.55","0","0","800","0","        900.80"
"DRREDDY","26-Dec-2001","27-Dec-2001","912","912","897","902.8","901.5","902.8","190","686.95","246000","-46800","        901.85"
"DRREDDY","26-Dec-2001","31-Jan-2002","918","918","905","909.25","907.5","909.25","82","298.52","124800","12400","        901.85"
"DRREDDY","26-Dec-2001","28-Feb-2002","0","0","0","913","913","921.3","0","0","800","0","        901.85"
"DRREDDY","27-Dec-2001","27-Dec-2001","911","921","890","895.95","894","894.85","365","1318.3","174000","-72000","        894.85"
"DRREDDY","27-Dec-2001","31-Jan-2002","945","945","895","900.7","895.25","900.7","364","1323.78","196400","71600","        894.85"
"DRREDDY","27-Dec-2001","28-Feb-2002","0","0","0","913","913","913.75","0","0","800","0","        894.85"
"DRREDDY","28-Dec-2001","31-Jan-2002","890","924.75","890","920.25","921.9","920.25","307","1113.19","210000","13600","        913.90"
"DRREDDY","28-Dec-2001","28-Feb-2002","918","918","918","918","918","933","1","3.67","1200","400","        913.90"
"DRREDDY","28-Dec-2001","28-Mar-2002","0","0","0","914.3","0","941.75","0","0","0","0","        913.90"
"DRREDDY","31-Dec-2001","31-Jan-2002","932","937","922.1","929.85","928.05","929.85","162","602.66","218800","8800","        923.75"
"DRREDDY","31-Dec-2001","28-Feb-2002","0","0","0","918","918","941.9","0","0","1200","0","        923.75"
"DRREDDY","31-Dec-2001","28-Mar-2002","0","0","0","914.3","0","950.65","0","0","0","0","        923.75"
