"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"EICHERMOT","01-Jan-2015","29-Jan-2015","15110.3","15488","15110.3","15383.8","15389.85","15383.8","800","15377.48","211250","-875","      15262.35"
"EICHERMOT","01-Jan-2015","26-Feb-2015","15407.55","15491","15407.55","15491","15491","15491","5","96.58","2875","250","      15262.35"
"EICHERMOT","01-Jan-2015","26-Mar-2015","0","0","0","15147.15","0","15568.5","0","0","0","0","      15262.35"
"EICHERMOT","02-Jan-2015","29-Jan-2015","15500","15569.65","15150.55","15227.2","15200","15227.2","588","11298.91","218875","7625","      15081.95"
"EICHERMOT","02-Jan-2015","26-Feb-2015","15600","15600","15491.6","15491.6","15491.6","15278.9","7","136.09","3250","375","      15081.95"
"EICHERMOT","02-Jan-2015","26-Mar-2015","0","0","0","15147.15","0","15380.15","0","0","0","0","      15081.95"
"EICHERMOT","05-Jan-2015","29-Jan-2015","15281.15","15359.85","15200.05","15259.35","15261.1","15259.35","420","8019.16","225875","7000","      15150.55"
"EICHERMOT","05-Jan-2015","26-Feb-2015","0","0","0","15491.6","15491.6","15337.1","0","0","3250","0","      15150.55"
"EICHERMOT","05-Jan-2015","26-Mar-2015","0","0","0","15147.15","0","15438.5","0","0","0","0","      15150.55"
"EICHERMOT","06-Jan-2015","29-Jan-2015","15099.95","15100","14736.6","14826.75","14817.05","14826.75","713","13290.54","225625","-250","      14755.90"
"EICHERMOT","06-Jan-2015","26-Feb-2015","15175","15175","14449.05","14956.1","14956.1","14933.9","28","524.6","4875","1625","      14755.90"
"EICHERMOT","06-Jan-2015","26-Mar-2015","0","0","0","15147.15","0","15032.5","0","0","0","0","      14755.90"
"EICHERMOT","07-Jan-2015","29-Jan-2015","14820","15093.45","14784.85","15032.6","15019","15032.6","559","10435.65","223375","-2250","      14959.90"
"EICHERMOT","07-Jan-2015","26-Feb-2015","15030","15177.7","15020","15138.85","15177.7","15138.85","21","393.95","5875","1000","      14959.90"
