"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"EICHERMOT","01-Sep-2017","28-Sep-2017","31678.1","32169.6","31473.55","31847.8","31815","31847.8","4505","35880.49","126725","3825","      31772.40"
"EICHERMOT","01-Sep-2017","26-Oct-2017","31812.65","32175.55","31708.25","32026.45","32026.45","32074.05","11","87.89","250","125","      31772.40"
"EICHERMOT","01-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","32267.45","0","0","0","0","      31772.40"
"EICHERMOT","04-Sep-2017","28-Sep-2017","31816.45","31900.05","31500","31784.2","31801","31784.2","1744","13817.76","126675","-50","      31753.55"
"EICHERMOT","04-Sep-2017","26-Oct-2017","31774.55","31918.35","31635","31900","31900","31900","14","111.2","425","175","      31753.55"
"EICHERMOT","04-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","32232.45","0","0","0","0","      31753.55"
"EICHERMOT","05-Sep-2017","28-Sep-2017","31803.35","32048","31660","31978.4","31950.05","31978.4","1691","13496.98","128100","1425","      31935.30"
"EICHERMOT","05-Sep-2017","26-Oct-2017","31998","32198.15","31943.95","32198.15","32198.15","32216.8","4","32.03","425","0","      31935.30"
"EICHERMOT","05-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","32411.35","0","0","0","0","      31935.30"
"EICHERMOT","06-Sep-2017","28-Sep-2017","31846.1","32198","31705","32135.15","32127","32135.15","1442","11536.74","129475","1375","      32082.60"
"EICHERMOT","06-Sep-2017","26-Oct-2017","31948.45","32294.95","31912.5","32270","32270","32270","15","120.55","575","150","      32082.60"
"EICHERMOT","06-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","32556","0","0","0","0","      32082.60"
"EICHERMOT","07-Sep-2017","28-Sep-2017","32500","33388","32335.9","32902.45","32950","32902.45","6562","53982.52","136850","7375","      32861.95"
"EICHERMOT","07-Sep-2017","26-Oct-2017","32603.1","33405.25","32603.1","33038.85","33000","33038.85","111","918.05","1425","850","      32861.95"
"EICHERMOT","07-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","33341.15","0","0","0","0","      32861.95"
"EICHERMOT","08-Sep-2017","28-Sep-2017","33079.9","33622.7","32610.4","32739.95","32690","32739.95","4351","36048.47","142325","5475","      32617.75"
"EICHERMOT","08-Sep-2017","26-Oct-2017","33600","33710.6","32792.3","32893.6","32800","32893.6","107","890.11","1625","200","      32617.75"
"EICHERMOT","08-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","33087.65","0","0","0","0","      32617.75"
"EICHERMOT","11-Sep-2017","28-Sep-2017","32705.2","32899.45","32501.15","32612.85","32600","32612.85","2058","16809.83","147925","5600","      32498.60"
"EICHERMOT","11-Sep-2017","26-Oct-2017","32895","32900","32667.95","32722.35","32700","32722.35","41","336.18","1800","175","      32498.60"
"EICHERMOT","11-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","32949.75","0","0","0","0","      32498.60"
"EICHERMOT","12-Sep-2017","28-Sep-2017","32849.35","32849.35","32450","32742.15","32697","32742.15","1747","14258.7","149225","1300","      32661.85"
"EICHERMOT","12-Sep-2017","26-Oct-2017","32800.05","32897.05","32650","32840.6","32823.25","32840.6","70","573.68","2125","325","      32661.85"
"EICHERMOT","12-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","33108.85","0","0","0","0","      32661.85"
"EICHERMOT","13-Sep-2017","28-Sep-2017","32497.85","32711.4","32232.25","32355.3","32280.05","32355.3","1742","14160","154825","5600","      32226.40"
"EICHERMOT","13-Sep-2017","26-Oct-2017","32719.85","32783.05","32432","32515.4","32432","32515.4","62","505.99","3300","1175","      32226.40"
"EICHERMOT","13-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","32661.8","0","0","0","0","      32226.40"
"EICHERMOT","14-Sep-2017","28-Sep-2017","32498.6","32498.6","31939.2","32217.2","32250","32217.2","2179","17532.86","156100","1275","      32065.20"
"EICHERMOT","14-Sep-2017","26-Oct-2017","32351.35","32536","32100","32248.3","32248.25","32248.3","77","621.21","3600","300","      32065.20"
"EICHERMOT","14-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","32492.15","0","0","0","0","      32065.20"
"EICHERMOT","15-Sep-2017","28-Sep-2017","32092","32228","31754.9","32081","32076.6","32081","2371","18954.84","160225","4125","      32007.95"
"EICHERMOT","15-Sep-2017","26-Oct-2017","32150.05","32363.55","31915","32197","32170.05","32197","76","609.8","4200","600","      32007.95"
"EICHERMOT","15-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","32429.95","0","0","0","0","      32007.95"
"EICHERMOT","18-Sep-2017","28-Sep-2017","32254.85","32874","32248.2","32822.8","32825","32822.8","2541","20749","157200","-3025","      32766.10"
"EICHERMOT","18-Sep-2017","26-Oct-2017","32653.25","32999","32535.5","32941.4","32806.55","32941.4","74","606.44","3975","-225","      32766.10"
"EICHERMOT","18-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","33181.6","0","0","0","0","      32766.10"
"EICHERMOT","19-Sep-2017","28-Sep-2017","32691.15","32925","32430","32494.05","32507","32494.05","1524","12430.96","155325","-1875","      32403.95"
"EICHERMOT","19-Sep-2017","26-Oct-2017","32877","32900","32600","32648.65","32600","32648.65","84","687.73","4425","450","      32403.95"
"EICHERMOT","19-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","32809.2","0","0","0","0","      32403.95"
"EICHERMOT","20-Sep-2017","28-Sep-2017","32557.3","32726.15","32374","32463.15","32420","32463.15","1446","11746.79","156000","675","      32443.50"
"EICHERMOT","20-Sep-2017","26-Oct-2017","32590","32850","32521.95","32607.55","32552.45","32607.55","75","611.75","4950","525","      32443.50"
"EICHERMOT","20-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","32843.55","0","0","0","0","      32443.50"
"EICHERMOT","21-Sep-2017","28-Sep-2017","32465.55","32611.95","31828.1","31940.15","31950","31940.15","2322","18617.21","156300","300","      31824.30"
"EICHERMOT","21-Sep-2017","26-Oct-2017","32450.05","32739.85","31950","32112.2","32090","32112.2","379","3046.49","9825","4875","      31824.30"
"EICHERMOT","21-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","32210.55","0","0","0","0","      31824.30"
"EICHERMOT","22-Sep-2017","28-Sep-2017","31701.6","31737","31351.65","31620.95","31620","31620.95","2651","20897.98","145300","-11000","      31579.60"
"EICHERMOT","22-Sep-2017","26-Oct-2017","31724.9","31895.55","31490.85","31755.95","31677.05","31755.95","577","4568.79","13575","3750","      31579.60"
"EICHERMOT","22-Sep-2017","30-Nov-2017","0","0","0","31947.15","0","31957.95","0","0","0","0","      31579.60"
"EICHERMOT","25-Sep-2017","28-Sep-2017","31451.5","31700","30669.95","31046.05","31000","31046.05","3370","26239.48","124850","-20450","      30979.85"
"EICHERMOT","25-Sep-2017","26-Oct-2017","31798.6","31798.6","30000","31182","31125.05","31182","1139","8886.06","26975","13400","      30979.85"
"EICHERMOT","25-Sep-2017","30-Nov-2017","31295.45","31530","31295.45","31530","31530","31334.25","4","31.35","100","100","      30979.85"
"EICHERMOT","26-Sep-2017","28-Sep-2017","30853.2","31147.95","30534.55","30872.2","30848.1","30872.2","2578","19872.97","99250","-25600","      30827.25"
"EICHERMOT","26-Sep-2017","26-Oct-2017","31463.6","31463.65","30660","31003.25","30977","31003.25","1767","13679.1","55350","28375","      30827.25"
"EICHERMOT","26-Sep-2017","30-Nov-2017","31399.95","31549.6","31399.95","31549.6","31549.6","31174.5","2","15.74","150","50","      30827.25"
"EICHERMOT","27-Sep-2017","28-Sep-2017","31050","31050","30428.05","30546.8","30573.7","30546.8","2971","22764.56","70875","-28375","      30470.20"
"EICHERMOT","27-Sep-2017","26-Oct-2017","31149.95","31370.85","30547.75","30666.5","30650","30666.5","2158","16607.54","87200","31850","      30470.20"
"EICHERMOT","27-Sep-2017","30-Nov-2017","30930.15","31000","30930.15","30946.45","30946.45","30808.15","3","23.22","200","50","      30470.20"
"EICHERMOT","28-Sep-2017","28-Sep-2017","30199.1","30576.55","29933.8","30186.25","30187.95","30185.2","4139","31119.83","30425","-40450","      30185.20"
"EICHERMOT","28-Sep-2017","26-Oct-2017","30449.95","30600.9","30050.55","30338.15","30353","30338.15","4590","34689.53","136900","49700","      30185.20"
"EICHERMOT","28-Sep-2017","30-Nov-2017","30518.25","30653.95","30231.35","30653.95","30653.95","30653.95","13","98.58","400","200","      30185.20"
"EICHERMOT","29-Sep-2017","26-Oct-2017","30556.65","31440","30450.5","31292.15","31265","31292.15","3317","25827.4","142900","6000","      31213.30"
"EICHERMOT","29-Sep-2017","30-Nov-2017","30850","31752.4","30850","31381.45","31386.8","31381.45","49","383.63","925","525","      31213.30"
"EICHERMOT","29-Sep-2017","28-Dec-2017","31350","31350","31350","31350","31350","31701.2","1","7.84","25","25","      31213.30"
"EICHERMOT","03-Oct-2017","26-Oct-2017","31750.05","31998.35","31001","31190.65","31100.05","31190.65","2699","21229.81","147100","4200","      31147.30"
