"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GAIL","01-Jul-2009","30-Jul-2009","291.9","292","285","288.8","289.5","288.8","948","3081.36","2723625","102375","        287.85"
"GAIL","01-Jul-2009","27-Aug-2009","288.1","288.1","286","286","286","290","3","9.68","24750","1125","        287.85"
"GAIL","01-Jul-2009","24-Sep-2009","0","0","0","281.9","0","291.05","0","0","0","0","        287.85"
"GAIL","02-Jul-2009","30-Jul-2009","290.4","330.7","288.25","311.7","310.95","311.7","9097","32146.25","3087000","363375","        310.40"
"GAIL","02-Jul-2009","27-Aug-2009","293.55","324","293.55","311.85","311.85","311.85","12","42.13","27000","2250","        310.40"
"GAIL","02-Jul-2009","24-Sep-2009","0","0","0","281.9","0","313.8","0","0","0","0","        310.40"
"GAIL","03-Jul-2009","30-Jul-2009","308.7","319.35","306.65","317.65","317.2","317.65","3195","11273.82","3054375","-32625","        316.85"
"GAIL","03-Jul-2009","27-Aug-2009","292.65","314.75","292.65","314.75","314.75","314.75","5","17.33","30375","3375","        316.85"
"GAIL","03-Jul-2009","24-Sep-2009","0","0","0","281.9","0","320.2","0","0","0","0","        316.85"
"GAIL","06-Jul-2009","30-Jul-2009","318","321.9","308","314.4","315.05","314.4","3223","11403.01","2882250","-172125","        314.80"
"GAIL","06-Jul-2009","27-Aug-2009","314.3","315.15","310","312.1","312.1","312.1","24","84.42","57375","27000","        314.80"
"GAIL","06-Jul-2009","24-Sep-2009","0","0","0","281.9","0","318","0","0","0","0","        314.80"
"GAIL","07-Jul-2009","30-Jul-2009","318","342.1","317","324.6","324.45","324.6","4270","15914.57","2913750","31500","        324.90"
"GAIL","07-Jul-2009","27-Aug-2009","335","336","322","324.4","324.4","327.05","14","51.55","64125","6750","        324.90"
"GAIL","07-Jul-2009","24-Sep-2009","330","330","330","330","330","328.25","1","3.71","1125","1125","        324.90"
"GAIL","08-Jul-2009","30-Jul-2009","320.1","322.9","310.6","313.05","313.55","313.05","2945","10500.34","2837250","-76500","        313.75"
"GAIL","08-Jul-2009","27-Aug-2009","327.85","327.85","310","310","310","310","36","127.56","92250","28125","        313.75"
"GAIL","08-Jul-2009","24-Sep-2009","0","0","0","330","330","316.9","0","0","1125","0","        313.75"
"GAIL","09-Jul-2009","30-Jul-2009","316","329.9","315.3","323.4","324","323.4","2944","10721.18","3037500","200250","        324.60"
"GAIL","09-Jul-2009","27-Aug-2009","323","327","319.95","323.55","323.55","323.55","16","58.14","91125","-1125","        324.60"
"GAIL","09-Jul-2009","24-Sep-2009","0","0","0","330","330","327.9","0","0","1125","0","        324.60"
"GAIL","10-Jul-2009","30-Jul-2009","327.05","328.1","308.9","310.65","311.95","310.65","1919","6867.81","3130875","93375","        311.40"
"GAIL","10-Jul-2009","27-Aug-2009","0","0","0","323.55","323.55","313.4","0","0","91125","0","        311.40"
"GAIL","10-Jul-2009","24-Sep-2009","0","0","0","330","330","314.55","0","0","1125","0","        311.40"
"GAIL","13-Jul-2009","30-Jul-2009","307.3","324.25","307","316.9","316","316.9","2652","9507.78","2998125","-132750","        316.60"
"GAIL","13-Jul-2009","27-Aug-2009","318.35","319.25","315","315.5","315.5","315.5","7","25.02","92250","1125","        316.60"
"GAIL","13-Jul-2009","24-Sep-2009","0","0","0","330","330","319.6","0","0","1125","0","        316.60"
"GAIL","14-Jul-2009","30-Jul-2009","321.7","324.3","315.4","322.4","324","322.4","1495","5376.1","2923875","-74250","        322.35"
"GAIL","14-Jul-2009","27-Aug-2009","316.1","320.6","316","320.6","320.6","320.6","37","131.93","106875","14625","        322.35"
"GAIL","14-Jul-2009","24-Sep-2009","0","0","0","330","330","325.4","0","0","1125","0","        322.35"
"GAIL","15-Jul-2009","30-Jul-2009","324.5","328.95","316.7","327.6","327.65","327.6","1601","5833.26","2965500","41625","        326.65"
"GAIL","15-Jul-2009","27-Aug-2009","320.85","325","318.15","322.55","322.55","328.5","11","39.8","105750","-1125","        326.65"
"GAIL","15-Jul-2009","24-Sep-2009","0","0","0","330","330","329.7","0","0","1125","0","        326.65"
"GAIL","16-Jul-2009","30-Jul-2009","330","348.7","323.4","338.75","337","338.75","4020","15217.49","3225375","259875","        338.55"
"GAIL","16-Jul-2009","27-Aug-2009","324.45","339.75","322.55","337.15","337.15","337.15","23","86.42","111375","5625","        338.55"
"GAIL","16-Jul-2009","24-Sep-2009","0","0","0","330","330","341.6","0","0","1125","0","        338.55"
"GAIL","17-Jul-2009","30-Jul-2009","342.4","342.4","332","337.5","339.4","337.5","2217","8414.27","2967750","-257625","        336.30"
"GAIL","17-Jul-2009","27-Aug-2009","335.85","339.75","331.6","335.95","338.25","335.95","15","56.66","119250","7875","        336.30"
"GAIL","17-Jul-2009","24-Sep-2009","0","0","0","330","330","339.25","0","0","1125","0","        336.30"
"GAIL","20-Jul-2009","30-Jul-2009","341.5","343.3","337.35","340.15","338.3","340.15","1506","5763.52","3057750","90000","        338.85"
"GAIL","20-Jul-2009","27-Aug-2009","338.5","341.05","336.55","339.7","339.3","339.7","34","129.72","129375","10125","        338.85"
"GAIL","20-Jul-2009","24-Sep-2009","0","0","0","330","330","341.6","0","0","1125","0","        338.85"
"GAIL","21-Jul-2009","30-Jul-2009","338.3","339.85","324.6","328","328.85","328","1877","6942.58","3164625","106875","        326.50"
"GAIL","21-Jul-2009","27-Aug-2009","338.45","338.45","324","327","327.4","327","121","444.62","195750","66375","        326.50"
"GAIL","21-Jul-2009","24-Sep-2009","0","0","0","330","330","329.1","0","0","1125","0","        326.50"
"GAIL","22-Jul-2009","30-Jul-2009","330.35","337","324.4","330.95","333","330.95","2416","9006.62","3030750","-133875","        329.85"
"GAIL","22-Jul-2009","27-Aug-2009","330","336.25","323.5","330.55","332","330.55","80","297.36","211500","15750","        329.85"
"GAIL","22-Jul-2009","24-Sep-2009","0","0","0","330","330","332.55","0","0","1125","0","        329.85"
"GAIL","23-Jul-2009","30-Jul-2009","335","349.45","332.3","347","347.15","347","2748","10564.83","3232125","201375","        345.60"
"GAIL","23-Jul-2009","27-Aug-2009","335","347.8","334.95","345.4","346.5","345.4","263","1006.37","293625","82125","        345.60"
"GAIL","23-Jul-2009","24-Sep-2009","0","0","0","330","330","348.35","0","0","1125","0","        345.60"
"GAIL","24-Jul-2009","30-Jul-2009","347.55","356","339.2","353.25","352.15","353.25","2971","11661.67","2785500","-446625","        353.25"
"GAIL","24-Jul-2009","27-Aug-2009","341.7","354.95","338.1","352.95","352.5","352.95","627","2455.1","586125","292500","        353.25"
"GAIL","24-Jul-2009","24-Sep-2009","352","352","352","352","352","356","1","3.96","2250","1125","        353.25"
"GAIL","27-Jul-2009","30-Jul-2009","350","358","338.25","341","341","341","1518","5904.08","2751750","-33750","        339.75"
"GAIL","27-Jul-2009","27-Aug-2009","351.5","357.4","338.2","340.45","340.45","340.45","372","1441.31","754875","168750","        339.75"
"GAIL","27-Jul-2009","24-Sep-2009","344","344","344","344","344","342.3","1","3.87","2250","0","        339.75"
"GAIL","28-Jul-2009","30-Jul-2009","340.25","343.5","330.7","333.05","334","333.05","1344","5079.54","2350125","-401625","        332.75"
"GAIL","28-Jul-2009","27-Aug-2009","342.2","343","330.55","333.45","333.65","333.45","911","3437.13","1389375","634500","        332.75"
"GAIL","28-Jul-2009","24-Sep-2009","0","0","0","344","344","335.25","0","0","2250","0","        332.75"
"GAIL","29-Jul-2009","30-Jul-2009","333.1","336","318.2","323.15","323","323.15","1922","7043.87","1656000","-694125","        323.60"
