"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GAIL","01-Mar-2004","25-Mar-2004","204.25","205.3","199.65","203.25","203","203.25","3337","10130.84","9544500","451500","        204.05"
"GAIL","01-Mar-2004","29-Apr-2004","205.95","205.95","200.8","202.7","203","202.7","56","169.65","79500","61500","        204.05"
"GAIL","01-Mar-2004","27-May-2004","0","0","0","198.95","0","206.5","0","0","0","0","        204.05"
"GAIL","03-Mar-2004","25-Mar-2004","204","209","200.25","207.25","206.95","207.25","6909","21287.44","10036500","492000","        208.80"
"GAIL","03-Mar-2004","29-Apr-2004","202.3","208.5","200","206.4","206.05","206.4","165","505.86","180000","100500","        208.80"
"GAIL","03-Mar-2004","27-May-2004","0","0","0","198.95","0","211.25","0","0","0","0","        208.80"
"GAIL","04-Mar-2004","25-Mar-2004","208.15","211.6","202.2","203.05","203","203.05","5560","17246.61","10828500","792000","        208.00"
"GAIL","04-Mar-2004","29-Apr-2004","208.75","218.7","201","201.9","201.6","201.9","346","1061.95","405000","225000","        208.00"
"GAIL","04-Mar-2004","27-May-2004","0","0","0","198.95","0","210.45","0","0","0","0","        208.00"
"GAIL","05-Mar-2004","25-Mar-2004","204","213.4","203.1","212.3","211.7","212.3","10485","32973.09","13140000","2311500","        215.50"
"GAIL","05-Mar-2004","29-Apr-2004","203.35","211.75","202","210.85","210.25","210.85","766","2392.98","882000","477000","        215.50"
"GAIL","05-Mar-2004","27-May-2004","0","0","0","198.95","0","218","0","0","0","0","        215.50"
"GAIL","08-Mar-2004","25-Mar-2004","212.95","227.65","212.95","223.7","223.5","223.7","12100","40252.22","13278000","138000","        229.85"
"GAIL","08-Mar-2004","29-Apr-2004","214.5","228.15","214.5","224.2","224","224.2","892","2965.34","1116000","234000","        229.85"
"GAIL","08-Mar-2004","27-May-2004","0","0","0","198.95","0","232.4","0","0","0","0","        229.85"
"GAIL","09-Mar-2004","25-Mar-2004","224.2","227.2","219.5","224.8","224","224.8","10498","35257.03","12589500","-688500","        235.70"
"GAIL","09-Mar-2004","29-Apr-2004","225","227.35","220.05","224.6","223.9","224.6","708","2378.97","1342500","226500","        235.70"
"GAIL","09-Mar-2004","27-May-2004","0","0","0","198.95","0","238.3","0","0","0","0","        235.70"
"GAIL","10-Mar-2004","25-Mar-2004","224.4","230.7","222.7","226.05","225","226.05","6120","20844.7","11374500","-1215000","        236.30"
"GAIL","10-Mar-2004","29-Apr-2004","223.1","230.4","223","225.8","224.75","225.8","740","2521.99","1554000","211500","        236.30"
"GAIL","10-Mar-2004","27-May-2004","0","0","0","198.95","0","238.85","0","0","0","0","        236.30"
"GAIL","11-Mar-2004","25-Mar-2004","229.5","229.5","213.1","214.65","214.05","214.65","6641","21654.01","11682000","307500","        229.05"
"GAIL","11-Mar-2004","29-Apr-2004","223.9","223.9","214.1","214.9","214.1","214.9","675","2199.8","1806000","252000","        229.05"
"GAIL","11-Mar-2004","27-May-2004","0","0","0","198.95","0","231.5","0","0","0","0","        229.05"
"GAIL","12-Mar-2004","25-Mar-2004","212.05","218.45","206","217.6","217.5","217.6","5644","18004.03","11523000","-159000","        225.05"
"GAIL","12-Mar-2004","29-Apr-2004","213.1","219.3","207.1","218.3","218.3","218.3","669","2138.96","1807500","1500","        225.05"
"GAIL","12-Mar-2004","27-May-2004","0","0","0","198.95","0","227.45","0","0","0","0","        225.05"
"GAIL","15-Mar-2004","25-Mar-2004","218.45","219.9","206.65","208.15","207","208.15","3411","10834.86","11382000","-141000","        216.15"
"GAIL","15-Mar-2004","29-Apr-2004","218.7","218.7","208.25","209.8","209","209.8","497","1587.42","1825500","18000","        216.15"
"GAIL","15-Mar-2004","27-May-2004","0","0","0","198.95","0","218.35","0","0","0","0","        216.15"
"GAIL","16-Mar-2004","25-Mar-2004","205.15","211.5","203.3","207.4","207.4","207.4","2941","9160.64","11376000","-6000","        213.05"
"GAIL","16-Mar-2004","29-Apr-2004","208.5","212.9","205.1","208.75","208.9","208.75","487","1527.29","1885500","60000","        213.05"
"GAIL","16-Mar-2004","27-May-2004","0","0","0","198.95","0","215.2","0","0","0","0","        213.05"
"GAIL","17-Mar-2004","25-Mar-2004","208.4","209.9","205.75","207.95","207.8","207.95","2042","6366.28","11361000","-15000","        210.10"
"GAIL","17-Mar-2004","29-Apr-2004","210.25","211.25","207.2","209.05","208.25","209.05","377","1183.38","1948500","63000","        210.10"
"GAIL","17-Mar-2004","27-May-2004","0","0","0","198.95","0","212.2","0","0","0","0","        210.10"
"GAIL","18-Mar-2004","25-Mar-2004","209.4","212.5","206","206.95","207","206.95","2426","7621.64","11427000","66000","        211.50"
"GAIL","18-Mar-2004","29-Apr-2004","210","213.5","207.5","208.35","207.7","208.35","241","760.76","2052000","103500","        211.50"
"GAIL","18-Mar-2004","27-May-2004","0","0","0","198.95","0","213.55","0","0","0","0","        211.50"
"GAIL","19-Mar-2004","25-Mar-2004","207","214.5","204.4","210.2","209.5","210.2","4081","12893.94","10417500","-1009500","        212.25"
"GAIL","19-Mar-2004","29-Apr-2004","208.5","215","206.15","211.85","211","211.85","785","2494.26","2220000","168000","        212.25"
"GAIL","19-Mar-2004","27-May-2004","0","0","0","198.95","0","214.3","0","0","0","0","        212.25"
"GAIL","22-Mar-2004","25-Mar-2004","209.9","212.25","205.45","206.5","207.1","206.5","3383","10639.68","9244500","-1173000","        210.05"
"GAIL","22-Mar-2004","29-Apr-2004","210","213.15","205.5","206.4","207.5","206.4","1375","4334.49","2731500","511500","        210.05"
"GAIL","22-Mar-2004","27-May-2004","0","0","0","198.95","0","212","0","0","0","0","        210.05"
"GAIL","23-Mar-2004","25-Mar-2004","206.5","207.8","200.55","202.2","202.3","202.2","3448","10526.1","8212500","-1032000","        204.50"
"GAIL","23-Mar-2004","29-Apr-2004","207.45","207.7","201.5","202.8","202.5","202.8","1630","4989.99","3588000","856500","        204.50"
"GAIL","23-Mar-2004","27-May-2004","0","0","0","198.95","0","206.35","0","0","0","0","        204.50"
"GAIL","24-Mar-2004","25-Mar-2004","203","204.4","200.6","202.85","204","202.85","3674","11172.04","6349500","-1863000","        205.35"
"GAIL","24-Mar-2004","29-Apr-2004","202.3","205.4","201.4","203","203.25","203","2348","7155.62","5085000","1497000","        205.35"
"GAIL","24-Mar-2004","27-May-2004","210","215","192","199.05","199.05","207.2","22","67.2","0","0","        205.35"
"GAIL","25-Mar-2004","25-Mar-2004","206","212.35","203.55","208","207.75","207.85","6993","21800.39","2325000","-4024500","        207.85"
"GAIL","25-Mar-2004","29-Apr-2004","205","212.5","204.2","209.25","209.2","209.25","5672","17730.35","7905000","0","        207.85"
"GAIL","25-Mar-2004","27-May-2004","229.65","229.65","211.65","220.65","211.65","220.65","2","6.62","1500","0","        207.85"
"GAIL","26-Mar-2004","29-Apr-2004","210","212","205.6","208.75","210","208.75","6394","19986.83","9174000","1269000","        206.65"
"GAIL","26-Mar-2004","27-May-2004","206.4","213.75","206.4","207.35","207.35","207.35","17","53.47","0","-1500","        206.65"
"GAIL","26-Mar-2004","24-Jun-2004","0","0","0","210.5","0","209.25","0","0","0","0","        206.65"
"GAIL","29-Mar-2004","29-Apr-2004","209.05","216.85","207.5","213.5","213.4","213.5","6521","20896.26","9967500","0","        211.85"
"GAIL","29-Mar-2004","27-May-2004","213.95","213.95","213.95","213.95","213.95","213.6","1","3.21","0","0","        211.85"
"GAIL","29-Mar-2004","24-Jun-2004","0","0","0","210.5","0","214.4","0","0","0","0","        211.85"
"GAIL","30-Mar-2004","29-Apr-2004","214.8","219.2","210.55","211.65","211.35","211.65","5615","18148.58","10317000","349500","        210.40"
"GAIL","30-Mar-2004","27-May-2004","216.95","223","212","212","212","212","13","42.35","7500","7500","        210.40"
"GAIL","30-Mar-2004","24-Jun-2004","0","0","0","210.5","0","212.9","0","0","0","0","        210.40"
"GAIL","31-Mar-2004","29-Apr-2004","212","215.5","208.7","214.5","214.5","214.5","4066","12957.4","10290000","-27000","        213.20"
"GAIL","31-Mar-2004","27-May-2004","215","215","215","215","215","214.9","1","3.23","6000","-1500","        213.20"
"GAIL","31-Mar-2004","24-Jun-2004","0","0","0","210.5","0","215.75","0","0","0","0","        213.20"
"GAIL","01-Apr-2004","29-Apr-2004","215.4","221.5","215.15","220.45","221.45","220.45","6225","20414.73","10906500","616500","        219.15"
"GAIL","01-Apr-2004","27-May-2004","220","221.2","218.5","221.2","221.2","220.85","6","19.79","9000","3000","        219.15"
"GAIL","01-Apr-2004","24-Jun-2004","0","0","0","210.5","0","221.75","0","0","0","0","        219.15"
"GAIL","02-Apr-2004","29-Apr-2004","221.9","236.75","221.9","235.1","235.9","235.1","12847","44211.31","11073000","166500","        233.65"
"GAIL","02-Apr-2004","27-May-2004","227","238.5","227","238.5","238.5","238.5","13","45.39","10500","1500","        233.65"
"GAIL","02-Apr-2004","24-Jun-2004","0","0","0","210.5","0","236.35","0","0","0","0","        233.65"
"GAIL","05-Apr-2004","29-Apr-2004","236.9","242.15","231.7","233.4","233.5","233.4","8396","29928.24","11479500","406500","        231.95"
"GAIL","05-Apr-2004","27-May-2004","239.5","239.95","236","237.1","236","237.1","18","64.35","28500","18000","        231.95"
"GAIL","05-Apr-2004","24-Jun-2004","0","0","0","210.5","0","234.55","0","0","0","0","        231.95"
