"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GAIL","03-Nov-2003","27-Nov-2003","166.3","172.2","164.6","170.4","172.2","170.4","2337","5897.17","3303000","10500","        169.35"
"GAIL","03-Nov-2003","24-Dec-2003","0","0","0","164","164","170.55","0","0","4500","0","        169.35"
"GAIL","03-Nov-2003","29-Jan-2004","0","0","0","160.3","0","171.45","0","0","0","0","        169.35"
"GAIL","04-Nov-2003","27-Nov-2003","173.4","175.8","170.2","173.4","173.5","173.4","2864","7445.59","3306000","3000","        171.90"
"GAIL","04-Nov-2003","24-Dec-2003","190","190","175","182.5","175","182.5","2","5.48","4500","0","        171.90"
"GAIL","04-Nov-2003","29-Jan-2004","0","0","0","160.3","0","174","0","0","0","0","        171.90"
"GAIL","05-Nov-2003","27-Nov-2003","174.4","179.9","171.25","177.4","178.5","177.4","3581","9475.35","3166500","-139500","        175.15"
"GAIL","05-Nov-2003","24-Dec-2003","175","180","175","178.5","179","178.5","20","53.53","28500","24000","        175.15"
"GAIL","05-Nov-2003","29-Jan-2004","0","0","0","160.3","0","177.3","0","0","0","0","        175.15"
"GAIL","06-Nov-2003","27-Nov-2003","179.5","181.9","175.1","176.6","175.65","176.6","2411","6456.65","3394500","228000","        175.20"
"GAIL","06-Nov-2003","24-Dec-2003","177.7","181","175","178","175","178","21","56.07","27000","-1500","        175.20"
"GAIL","06-Nov-2003","29-Jan-2004","0","0","0","160.3","0","177.25","0","0","0","0","        175.20"
"GAIL","07-Nov-2003","27-Nov-2003","177","177.8","172","173","172.8","173","1090","2851.09","3312000","-82500","        171.25"
"GAIL","07-Nov-2003","24-Dec-2003","173.5","175.8","172.1","174.75","174.75","172.35","6","15.66","28500","1500","        171.25"
"GAIL","07-Nov-2003","29-Jan-2004","0","0","0","160.3","0","173.2","0","0","0","0","        171.25"
"GAIL","10-Nov-2003","27-Nov-2003","172.5","175.15","166.5","174","175.15","174","1111","2888.8","3489000","177000","        172.30"
"GAIL","10-Nov-2003","24-Dec-2003","173.7","173.7","173.25","173.5","173.25","173.5","2","5.2","27000","-1500","        172.30"
"GAIL","10-Nov-2003","29-Jan-2004","0","0","0","160.3","0","174.2","0","0","0","0","        172.30"
"GAIL","11-Nov-2003","27-Nov-2003","174","180","172.9","174.35","174.9","174.35","1709","4513.43","3775500","286500","        172.80"
"GAIL","11-Nov-2003","24-Dec-2003","177","177","175","175","175","173.85","3","7.91","27000","0","        172.80"
"GAIL","11-Nov-2003","29-Jan-2004","0","0","0","160.3","0","174.7","0","0","0","0","        172.80"
"GAIL","12-Nov-2003","27-Nov-2003","175.9","179.6","175.1","175.85","176.6","175.85","1868","4965.03","3846000","70500","        174.15"
"GAIL","12-Nov-2003","24-Dec-2003","178.15","178.15","177","177.1","177","177.1","4","10.64","27000","0","        174.15"
"GAIL","12-Nov-2003","29-Jan-2004","0","0","0","160.3","0","176.05","0","0","0","0","        174.15"
"GAIL","13-Nov-2003","27-Nov-2003","177.7","177.7","165.2","166.7","166.65","166.7","1637","4203.38","4005000","159000","        165.60"
"GAIL","13-Nov-2003","24-Dec-2003","176","176","167.5","168.4","168","168.4","17","43.75","42000","15000","        165.60"
"GAIL","13-Nov-2003","29-Jan-2004","0","0","0","160.3","0","167.35","0","0","0","0","        165.60"
"GAIL","14-Nov-2003","27-Nov-2003","167.4","167.4","157.6","158.9","158.8","158.9","1486","3625.97","4009500","4500","        158.00"
"GAIL","14-Nov-2003","24-Dec-2003","167.5","168.5","160","160.95","160.95","160.95","39","96.43","75000","33000","        158.00"
"GAIL","14-Nov-2003","29-Jan-2004","0","0","0","160.3","0","159.65","0","0","0","0","        158.00"
"GAIL","15-Nov-2003","27-Nov-2003","159.9","165.25","157","163.4","164.65","163.4","795","1923.65","3997500","-12000","        162.50"
"GAIL","15-Nov-2003","24-Dec-2003","155","167.05","155","165.9","167.05","165.9","11","26.74","82500","7500","        162.50"
"GAIL","15-Nov-2003","29-Jan-2004","0","0","0","160.3","0","164.2","0","0","0","0","        162.50"
"GAIL","17-Nov-2003","27-Nov-2003","165.85","166","161.1","165.15","165.2","165.15","1260","3098.43","4116000","118500","        163.75"
"GAIL","17-Nov-2003","24-Dec-2003","165.1","167.5","160","166.7","167.5","166.7","33","81.66","96000","13500","        163.75"
"GAIL","17-Nov-2003","29-Jan-2004","0","0","0","160.3","0","165.4","0","0","0","0","        163.75"
"GAIL","18-Nov-2003","27-Nov-2003","166.1","166.65","160.8","162.9","163","162.9","1105","2719.48","4126500","10500","        161.85"
"GAIL","18-Nov-2003","24-Dec-2003","168.85","168.85","163","164.5","164.5","164.5","57","141.47","147000","51000","        161.85"
"GAIL","18-Nov-2003","29-Jan-2004","0","0","0","160.3","0","163.45","0","0","0","0","        161.85"
"GAIL","19-Nov-2003","27-Nov-2003","161","165.5","158.8","160.95","160.9","160.95","1326","3222.34","3906000","-220500","        160.40"
"GAIL","19-Nov-2003","24-Dec-2003","161.05","166.05","161.05","162.65","162","162.65","96","235.25","225000","78000","        160.40"
"GAIL","19-Nov-2003","29-Jan-2004","0","0","0","160.3","0","161.95","0","0","0","0","        160.40"
"GAIL","20-Nov-2003","27-Nov-2003","162.1","164.5","158.2","159.25","158.8","159.25","993","2413.07","3603000","-303000","        159.25"
"GAIL","20-Nov-2003","24-Dec-2003","164","165.8","160","160.55","160.95","160.55","153","375.04","352500","127500","        159.25"
"GAIL","20-Nov-2003","29-Jan-2004","0","0","0","160.3","0","160.8","0","0","0","0","        159.25"
"GAIL","21-Nov-2003","27-Nov-2003","158","162.35","156.4","161.5","162","161.5","1022","2437.27","3333000","-270000","        160.75"
"GAIL","21-Nov-2003","24-Dec-2003","160.3","163.85","157.8","162.9","163.5","162.9","269","647.12","570000","217500","        160.75"
"GAIL","21-Nov-2003","29-Jan-2004","0","0","0","160.3","0","162.3","0","0","0","0","        160.75"
"GAIL","24-Nov-2003","27-Nov-2003","162.75","163.7","159.6","160.9","160.85","160.9","1082","2619.92","2854500","-478500","        160.45"
"GAIL","24-Nov-2003","24-Dec-2003","164.75","165","161.05","162.15","162.25","162.15","565","1378.77","1114500","544500","        160.45"
"GAIL","24-Nov-2003","29-Jan-2004","0","0","0","160.3","0","161.9","0","0","0","0","        160.45"
"GAIL","25-Nov-2003","27-Nov-2003","162","168.7","161.25","167.8","168.5","167.8","1972","4871.27","1708500","-1146000","        167.55"
"GAIL","25-Nov-2003","24-Dec-2003","162.05","169.85","162.05","169","169.6","169","1609","4013.1","2284500","1170000","        167.55"
"GAIL","25-Nov-2003","29-Jan-2004","0","0","0","160.3","0","169.05","0","0","0","0","        167.55"
"GAIL","27-Nov-2003","27-Nov-2003","168.9","173.3","168.55","170.55","170.5","170.8","1837","4712.97","502500","-1206000","        170.80"
"GAIL","27-Nov-2003","24-Dec-2003","169.4","175","169.4","173.2","174.1","173.2","2418","6277.39","3762000","1477500","        170.80"
"GAIL","27-Nov-2003","29-Jan-2004","0","0","0","160.3","0","172.3","0","0","0","0","        170.80"
"GAIL","28-Nov-2003","24-Dec-2003","174.9","178.35","174.55","177.45","178","177.45","1840","4873.57","3853500","91500","        175.30"
"GAIL","28-Nov-2003","29-Jan-2004","178.5","179","178.5","178.9","178.8","178.9","5","13.41","7500","7500","        175.30"
"GAIL","28-Nov-2003","26-Feb-2004","0","0","0","172.95","0","177.5","0","0","0","0","        175.30"
"GAIL","01-Dec-2003","24-Dec-2003","178","180.5","177.4","178.9","178.9","178.9","2138","5739.12","4339500","486000","        177.20"
"GAIL","01-Dec-2003","29-Jan-2004","180","181","179","180.7","181","180.7","21","56.79","19500","12000","        177.20"
"GAIL","01-Dec-2003","26-Feb-2004","0","0","0","172.95","0","179.3","0","0","0","0","        177.20"
"GAIL","02-Dec-2003","24-Dec-2003","179.9","180.45","174.1","176.25","176.7","176.25","1352","3579.13","4215000","-124500","        174.95"
"GAIL","02-Dec-2003","29-Jan-2004","176","179.45","174.75","178.1","177.5","178.1","11","29.16","21000","1500","        174.95"
"GAIL","02-Dec-2003","26-Feb-2004","0","0","0","172.95","0","177","0","0","0","0","        174.95"
"GAIL","03-Dec-2003","24-Dec-2003","177.25","184.45","175.6","181.65","183","181.65","3269","8817.53","4509000","294000","        179.70"
"GAIL","03-Dec-2003","29-Jan-2004","178.45","182.4","178.45","180.2","182.4","180.2","15","40.49","33000","12000","        179.70"
"GAIL","03-Dec-2003","26-Feb-2004","0","0","0","172.95","0","181.8","0","0","0","0","        179.70"
"GAIL","04-Dec-2003","24-Dec-2003","184","192.3","183.9","188.7","188.2","188.7","6472","18286.99","4878000","369000","        186.85"
"GAIL","04-Dec-2003","29-Jan-2004","190","192.6","188","189.65","189.85","189.65","23","65.67","54000","21000","        186.85"
"GAIL","04-Dec-2003","26-Feb-2004","0","0","0","172.95","0","189","0","0","0","0","        186.85"
"GAIL","05-Dec-2003","24-Dec-2003","189.4","195.85","183.1","185.25","186.5","185.25","5922","16952.59","4983000","105000","        183.40"
"GAIL","05-Dec-2003","29-Jan-2004","192","196.35","184.5","185.65","186.8","185.65","33","95.35","67500","13500","        183.40"
"GAIL","05-Dec-2003","26-Feb-2004","0","0","0","172.95","0","185.5","0","0","0","0","        183.40"
"GAIL","08-Dec-2003","24-Dec-2003","186.8","195.85","182.1","193.2","195.35","193.2","4822","13740.06","5146500","163500","        191.45"
"GAIL","08-Dec-2003","29-Jan-2004","184.5","197.55","184.5","195.05","197.55","195.05","17","48.48","67500","0","        191.45"
"GAIL","08-Dec-2003","26-Feb-2004","0","0","0","172.95","0","193.55","0","0","0","0","        191.45"
"GAIL","09-Dec-2003","24-Dec-2003","196","199.3","195.1","197","196","197","4008","11858.94","5088000","-58500","        195.45"
"GAIL","09-Dec-2003","29-Jan-2004","199","200.95","197.3","199.65","198.25","199.65","59","176.24","111000","43500","        195.45"
"GAIL","09-Dec-2003","26-Feb-2004","0","0","0","172.95","0","197.6","0","0","0","0","        195.45"
"GAIL","10-Dec-2003","24-Dec-2003","196.45","198","191.15","194.1","196","194.1","2701","7905.99","5220000","132000","        192.65"
"GAIL","10-Dec-2003","29-Jan-2004","197","199.95","194.05","195.7","196.75","195.7","57","168","168000","57000","        192.65"
"GAIL","10-Dec-2003","26-Feb-2004","0","0","0","172.95","0","194.7","0","0","0","0","        192.65"
"GAIL","11-Dec-2003","24-Dec-2003","196.2","201.8","194.05","198.35","198.1","198.35","5760","17133.22","5700000","480000","        197.00"
"GAIL","11-Dec-2003","29-Jan-2004","198.9","203.45","195.85","199","199","199","214","636.05","301500","133500","        197.00"
"GAIL","11-Dec-2003","26-Feb-2004","0","0","0","172.95","0","199.1","0","0","0","0","        197.00"
"GAIL","12-Dec-2003","24-Dec-2003","198.75","199.95","192.15","195.55","194.6","195.55","2715","7956.52","5559000","-141000","        194.20"
"GAIL","12-Dec-2003","29-Jan-2004","200","200.55","193.05","196","195","196","200","588.23","474000","172500","        194.20"
"GAIL","12-Dec-2003","26-Feb-2004","0","0","0","172.95","0","196.25","0","0","0","0","        194.20"
"GAIL","15-Dec-2003","24-Dec-2003","196","199.9","195.35","196","196.45","196","2674","7926.88","5989500","0","        194.65"
