"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GAIL","03-Sep-2007","27-Sep-2007","307","314","302.1","306.5","306.4","306.5","1870","4324.43","4711500","346500","        307.85"
"GAIL","03-Sep-2007","25-Oct-2007","301.85","307.9","300.9","302.1","302.6","302.1","40","91.18","99750","15750","        307.85"
"GAIL","03-Sep-2007","29-Nov-2007","0","0","0","321.45","0","314","0","0","0","0","        307.85"
"GAIL","04-Sep-2007","27-Sep-2007","308","312","307.15","308.6","307.9","308.6","1163","2695.81","4813500","102000","        312.60"
"GAIL","04-Sep-2007","25-Oct-2007","305.8","307.25","303","304.85","304.5","304.85","113","258.61","141750","42000","        312.60"
"GAIL","04-Sep-2007","29-Nov-2007","0","0","0","321.45","0","318.8","0","0","0","0","        312.60"
"GAIL","05-Sep-2007","27-Sep-2007","309","311.9","304.2","307.05","305.85","307.05","1339","3086.38","4885500","72000","        313.30"
"GAIL","05-Sep-2007","25-Oct-2007","304.55","305.5","301","304.1","303.35","304.1","64","145.39","163500","21750","        313.30"
"GAIL","05-Sep-2007","29-Nov-2007","0","0","0","321.45","0","319.45","0","0","0","0","        313.30"
"GAIL","06-Sep-2007","27-Sep-2007","305","314","304.9","312.45","311.8","312.45","747","1738.2","4697250","-188250","        314.75"
"GAIL","06-Sep-2007","25-Oct-2007","301","308.5","301","307.95","306.8","307.95","47","107.61","160500","-3000","        314.75"
"GAIL","06-Sep-2007","29-Nov-2007","302","302","302","302","302","320.75","1","2.27","750","750","        314.75"
"GAIL","07-Sep-2007","27-Sep-2007","314","316","308.15","308.8","308.5","308.8","945","2212.18","4785000","87750","        310.95"
"GAIL","07-Sep-2007","25-Oct-2007","307","312","304.15","304.75","304.25","304.75","68","157.42","179250","18750","        310.95"
"GAIL","07-Sep-2007","29-Nov-2007","302","303","302","303","303","303","3","6.8","3000","2250","        310.95"
"GAIL","10-Sep-2007","27-Sep-2007","304.7","309.45","304.7","308.35","308.95","308.35","559","1289.92","4872750","87750","        310.10"
"GAIL","10-Sep-2007","25-Oct-2007","303.95","305.4","302.5","304.35","304.75","304.35","44","100.21","195000","15750","        310.10"
"GAIL","10-Sep-2007","29-Nov-2007","0","0","0","303","303","315.85","0","0","3000","0","        310.10"
"GAIL","11-Sep-2007","27-Sep-2007","308.25","313.4","308","310.8","310.3","310.8","935","2179.06","4911000","38250","        313.20"
"GAIL","11-Sep-2007","25-Oct-2007","305.7","308.3","304.95","306.5","306","306.5","58","133.35","196500","1500","        313.20"
"GAIL","11-Sep-2007","29-Nov-2007","0","0","0","303","303","318.85","0","0","3000","0","        313.20"
"GAIL","12-Sep-2007","27-Sep-2007","312.5","319.7","310.25","311.5","311.3","311.5","2889","6842.57","4912500","1500","        312.90"
"GAIL","12-Sep-2007","25-Oct-2007","307.55","314.8","305.7","306.65","306.35","306.65","222","515.54","219000","22500","        312.90"
"GAIL","12-Sep-2007","29-Nov-2007","308","308","303","303.05","303","303.05","8","18.24","7500","4500","        312.90"
"GAIL","13-Sep-2007","27-Sep-2007","310.6","317","310","313.8","313.6","313.8","1156","2717.62","4668750","-243750","        316.15"
"GAIL","13-Sep-2007","25-Oct-2007","307","308.75","306","307.9","308","307.9","334","770.45","433500","214500","        316.15"
"GAIL","13-Sep-2007","29-Nov-2007","306","306","306","306","306","321.65","1","2.3","8250","750","        316.15"
"GAIL","14-Sep-2007","27-Sep-2007","315.7","318.8","309.65","310.75","310","310.75","1727","4079.5","4624500","-44250","        311.25"
"GAIL","14-Sep-2007","25-Oct-2007","309.8","312.5","304.3","305.05","305","305.05","197","456.4","504750","71250","        311.25"
"GAIL","14-Sep-2007","29-Nov-2007","300","304","300","300.85","301","300.85","10","22.58","14250","6000","        311.25"
"GAIL","17-Sep-2007","27-Sep-2007","312.6","315.9","309.1","312.2","312.15","312.2","914","2142.68","4605000","-19500","        313.05"
"GAIL","17-Sep-2007","25-Oct-2007","308","308.7","303.1","306.05","306.55","306.05","259","594.37","606750","102000","        313.05"
"GAIL","17-Sep-2007","29-Nov-2007","307.95","308","300","302.7","302.7","318.3","20","45.54","24750","10500","        313.05"
"GAIL","18-Sep-2007","27-Sep-2007","313","324.3","312.25","322.4","321","322.4","2333","5577.35","4518000","-87000","        324.30"
"GAIL","18-Sep-2007","25-Oct-2007","308.4","318","305.75","316.3","316","316.3","404","945.48","691500","84750","        324.30"
"GAIL","18-Sep-2007","29-Nov-2007","303.5","316.85","303.5","315.9","313","315.9","19","44.42","30000","5250","        324.30"
"GAIL","19-Sep-2007","27-Sep-2007","333","352","327","347.4","350.8","347.4","2721","6951.29","4517250","-750","        345.00"
"GAIL","19-Sep-2007","25-Oct-2007","324","345","322.1","340.9","345","340.9","434","1088.5","767250","75750","        345.00"
"GAIL","19-Sep-2007","29-Nov-2007","320","339.9","320","337.75","339.9","337.75","16","39.89","33000","3000","        345.00"
"GAIL","20-Sep-2007","27-Sep-2007","353","354","337.6","340.05","338.05","340.05","3038","7920.53","4720500","203250","        337.75"
"GAIL","20-Sep-2007","25-Oct-2007","344.9","350","334.15","338.2","334.15","338.2","656","1683.86","983250","216000","        337.75"
"GAIL","20-Sep-2007","29-Nov-2007","340","342.75","336","339","339","343.2","6","15.29","36000","3000","        337.75"
"GAIL","21-Sep-2007","27-Sep-2007","337.9","368","334.35","356.65","359.2","356.65","3696","9665.21","4476750","-243750","        352.85"
"GAIL","21-Sep-2007","25-Oct-2007","337.5","368","330","351.85","356.5","351.85","1172","3035.39","1411500","428250","        352.85"
"GAIL","21-Sep-2007","29-Nov-2007","343","354.7","343","348.85","354.7","348.85","4","10.47","36000","0","        352.85"
"GAIL","24-Sep-2007","27-Sep-2007","362","385.35","360","378.2","377.7","378.2","6889","19269.13","4509750","33000","        375.50"
"GAIL","24-Sep-2007","25-Oct-2007","360","383.7","359","377.65","377","377.65","2785","7793.25","2244750","833250","        375.50"
"GAIL","24-Sep-2007","29-Nov-2007","0","0","0","348.85","354.7","381.25","0","0","36000","0","        375.50"
"GAIL","25-Sep-2007","27-Sep-2007","380.8","384.4","357","363.8","365.05","363.8","3395","9418.02","3681000","-828750","        363.65"
"GAIL","25-Sep-2007","25-Oct-2007","380","384.8","360","365.1","366","365.1","2184","6078.28","2942250","697500","        363.65"
"GAIL","25-Sep-2007","29-Nov-2007","377","377","377","377","377","369.1","1","2.83","36750","750","        363.65"
"GAIL","26-Sep-2007","27-Sep-2007","365.9","391","363.95","375.45","375.8","375.45","5223","14823.96","2638500","-1042500","        374.80"
"GAIL","26-Sep-2007","25-Oct-2007","368","388.85","363.25","376.85","376.25","376.85","4615","13144.5","3902250","960000","        374.80"
"GAIL","26-Sep-2007","29-Nov-2007","380","399.95","375","377","377","377","4","11.49","36750","0","        374.80"
"GAIL","27-Sep-2007","27-Sep-2007","382.75","391.8","373.95","380.15","378.4","378.75","4156","11905.84","1554750","-1083750","        378.75"
"GAIL","27-Sep-2007","25-Oct-2007","383.25","388.5","376","380.9","382","380.9","3941","11334.95","4632750","730500","        378.75"
