"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GRASIM","02-Jan-2007","25-Jan-2007","2720","2847","2720","2828.55","2828.95","2828.55","1745","8595.78","609350","47250","       2835.50"
"GRASIM","02-Jan-2007","22-Feb-2007","2844","2844","2844","2844","2844","2844","1","4.98","350","175","       2835.50"
"GRASIM","02-Jan-2007","29-Mar-2007","2785","2785","2785","2785","2785","2900.2","20","97.48","3500","3500","       2835.50"
"GRASIM","03-Jan-2007","25-Jan-2007","2832","2848","2795","2805.9","2803","2805.9","1595","7868.13","622125","12775","       2838.05"
"GRASIM","03-Jan-2007","22-Feb-2007","2836.4","2836.4","2836.4","2836.4","2836.4","2873.05","1","4.96","350","0","       2838.05"
"GRASIM","03-Jan-2007","29-Mar-2007","2949","2949","2949","2949","2949","2897.8","20","103.22","0","-3500","       2838.05"
"GRASIM","04-Jan-2007","25-Jan-2007","2804","2811","2746","2766.3","2761.35","2766.3","1269","6151.31","651875","29750","       2796.60"
"GRASIM","04-Jan-2007","22-Feb-2007","2763.4","2777","2763","2763","2763","2830.75","3","14.53","350","0","       2796.60"
"GRASIM","04-Jan-2007","29-Mar-2007","0","0","0","2949","2949","2855.4","0","0","0","0","       2796.60"
"GRASIM","05-Jan-2007","25-Jan-2007","2755","2819","2735","2801.25","2798","2801.25","1906","9314.29","691250","39375","       2831.70"
"GRASIM","05-Jan-2007","22-Feb-2007","2680","2823","2680","2798","2798","2866.1","21","102.47","2275","1925","       2831.70"
"GRASIM","05-Jan-2007","29-Mar-2007","0","0","0","2949","2949","2891.45","0","0","0","0","       2831.70"
"GRASIM","08-Jan-2007","25-Jan-2007","2793.45","2824.65","2761","2801.55","2801.4","2801.55","1382","6757.76","709625","18375","       2818.70"
"GRASIM","08-Jan-2007","22-Feb-2007","2767.95","2823","2767.95","2807","2807","2807","31","152.2","3500","1225","       2818.70"
"GRASIM","08-Jan-2007","29-Mar-2007","0","0","0","2949","2949","2876.15","0","0","0","0","       2818.70"
"GRASIM","09-Jan-2007","25-Jan-2007","2803","2834","2780","2797.35","2801.5","2797.35","1331","6552.16","704550","-5075","       2821.90"
"GRASIM","09-Jan-2007","22-Feb-2007","2830","2830","2784","2785.4","2785.4","2853.45","9","44.26","4725","1225","       2821.90"
"GRASIM","09-Jan-2007","29-Mar-2007","0","0","0","2949","2949","2878.8","0","0","0","0","       2821.90"
"GRASIM","10-Jan-2007","25-Jan-2007","2784","2785.5","2741","2747.9","2753","2747.9","800","3867.62","725375","20825","       2769.55"
"GRASIM","10-Jan-2007","22-Feb-2007","2762.3","2774","2745","2745","2745","2799.2","7","33.82","5425","700","       2769.55"
"GRASIM","10-Jan-2007","29-Mar-2007","0","0","0","2949","2949","2823.6","0","0","0","0","       2769.55"
"GRASIM","11-Jan-2007","25-Jan-2007","2745","2789.8","2705","2783.6","2780","2783.6","1490","7179.39","710325","-15050","       2781.75"
"GRASIM","11-Jan-2007","22-Feb-2007","2745","2797.45","2720","2789.15","2795","2789.15","31","149.37","7525","2100","       2781.75"
"GRASIM","11-Jan-2007","29-Mar-2007","2892","2892","2892","2892","2892","2836.6","20","101.22","3500","3500","       2781.75"
"GRASIM","12-Jan-2007","25-Jan-2007","2795","2844.95","2780","2827.75","2832.5","2827.75","1360","6707.04","692300","-18025","       2826.75"
"GRASIM","12-Jan-2007","22-Feb-2007","2795","2835","2795","2835","2835","2855.9","32","158.18","10675","3150","       2826.75"
"GRASIM","12-Jan-2007","29-Mar-2007","2806","2806","2806","2806","2806","2880.95","20","98.21","0","-3500","       2826.75"
"GRASIM","15-Jan-2007","25-Jan-2007","2840","2885","2832","2840.95","2837.1","2840.95","1388","6933.23","684775","-7525","       2840.45"
"GRASIM","15-Jan-2007","22-Feb-2007","2872.95","2872.95","2832","2832","2832","2868","9","44.95","11375","700","       2840.45"
"GRASIM","15-Jan-2007","29-Mar-2007","0","0","0","2806","2806","2893.6","0","0","0","0","       2840.45"
"GRASIM","16-Jan-2007","25-Jan-2007","2843","2874.8","2825.05","2862.15","2865","2862.15","1888","9430.25","693700","8925","       2865.35"
"GRASIM","16-Jan-2007","22-Feb-2007","2827.1","2865","2827.1","2865","2865","2865","40","199.41","14525","3150","       2865.35"
"GRASIM","16-Jan-2007","29-Mar-2007","0","0","0","2806","2806","2918.55","0","0","0","0","       2865.35"
"GRASIM","17-Jan-2007","25-Jan-2007","2870.5","2898","2867","2871.05","2869.05","2871.05","1664","8389.48","687400","-6300","       2872.40"
"GRASIM","17-Jan-2007","22-Feb-2007","2880","2900","2877","2877.75","2877","2877.75","134","676.63","28000","13475","       2872.40"
"GRASIM","17-Jan-2007","29-Mar-2007","0","0","0","2806","2806","2924.65","0","0","0","0","       2872.40"
"GRASIM","18-Jan-2007","25-Jan-2007","2850","2904","2850","2871.9","2880","2871.9","1430","7221.33","652750","-34650","       2865.85"
"GRASIM","18-Jan-2007","22-Feb-2007","2890","2908.5","2866","2875","2876.4","2875","99","500.62","34475","6475","       2865.85"
"GRASIM","18-Jan-2007","29-Mar-2007","0","0","0","2806","2806","2917.35","0","0","0","0","       2865.85"
"GRASIM","19-Jan-2007","25-Jan-2007","2871.25","2916.5","2830.5","2894.85","2895","2894.85","1593","8016.61","626675","-26075","       2891.00"
"GRASIM","19-Jan-2007","22-Feb-2007","2920","2930","2840.2","2908.75","2911","2908.75","358","1801.64","70000","35525","       2891.00"
"GRASIM","19-Jan-2007","29-Mar-2007","0","0","0","2806","2806","2942.55","0","0","0","0","       2891.00"
"GRASIM","22-Jan-2007","25-Jan-2007","2909.7","2909.7","2861","2902.1","2904.5","2902.1","1457","7356","555275","-71400","       2909.30"
"GRASIM","22-Jan-2007","22-Feb-2007","2921","2924","2882","2915.6","2920","2915.6","677","3437.07","128450","58450","       2909.30"
"GRASIM","22-Jan-2007","29-Mar-2007","0","0","0","2806","2806","2959","0","0","0","0","       2909.30"
"GRASIM","23-Jan-2007","25-Jan-2007","2860","2880","2771","2798.5","2800.5","2798.5","3549","17517.74","496650","-58625","       2804.80"
"GRASIM","23-Jan-2007","22-Feb-2007","2870.15","2872.8","2797.2","2817.2","2820","2817.2","1367","6784.67","187250","58800","       2804.80"
"GRASIM","23-Jan-2007","29-Mar-2007","0","0","0","2806","2806","2851.7","0","0","0","0","       2804.80"
"GRASIM","24-Jan-2007","25-Jan-2007","2807","2840.05","2787","2797.5","2795.1","2797.5","1456","7171.83","405125","-91525","       2788.80"
"GRASIM","24-Jan-2007","22-Feb-2007","2840","2863","2795.25","2809.95","2810","2809.95","1163","5769.16","256200","68950","       2788.80"
"GRASIM","24-Jan-2007","29-Mar-2007","0","0","0","2806","2806","2834.3","0","0","0","0","       2788.80"
"GRASIM","25-Jan-2007","25-Jan-2007","2814","2919.7","2800","2870.65","2874","2875.35","2104","10431.55","248500","-156625","       2875.35"
"GRASIM","25-Jan-2007","22-Feb-2007","2820.1","2854","2805","2841.8","2835","2841.8","1668","8250.25","357875","101675","       2875.35"
"GRASIM","25-Jan-2007","29-Mar-2007","0","0","0","2806","2806","2921.5","0","0","0","0","       2875.35"
"GRASIM","29-Jan-2007","22-Feb-2007","2838","2838","2805.45","2809.35","2809.8","2809.35","741","3648.52","401450","43575","       2834.75"
"GRASIM","29-Jan-2007","29-Mar-2007","0","0","0","2806","2806","2877.9","0","0","0","0","       2834.75"
"GRASIM","29-Jan-2007","26-Apr-2007","0","0","0","2942.25","0","2898.6","0","0","0","0","       2834.75"
"GRASIM","31-Jan-2007","22-Feb-2007","2810","2820","2771.3","2781.5","2775","2781.5","869","4255.53","426650","25200","       2782.85"
"GRASIM","31-Jan-2007","29-Mar-2007","2800","2800","2790","2790","2790","2790","2","9.78","350","350","       2782.85"
"GRASIM","31-Jan-2007","26-Apr-2007","0","0","0","2942.25","0","2843.05","0","0","0","0","       2782.85"
"GRASIM","01-Feb-2007","22-Feb-2007","2793.25","2805.5","2751.2","2789.5","2790","2789.5","982","4795.03","433475","6825","       2777.85"
"GRASIM","01-Feb-2007","29-Mar-2007","0","0","0","2790","2790","2817.3","0","0","350","0","       2777.85"
"GRASIM","01-Feb-2007","26-Apr-2007","0","0","0","2942.25","0","2837.25","0","0","0","0","       2777.85"
"GRASIM","02-Feb-2007","22-Feb-2007","2810","2820","2795","2808.65","2806","2808.65","822","4042.91","415100","-18375","       2811.05"
"GRASIM","02-Feb-2007","29-Mar-2007","0","0","0","2790","2790","2850.9","0","0","350","0","       2811.05"
"GRASIM","02-Feb-2007","26-Apr-2007","3000","3000","2500","2500","2500","2871.4","2","9.63","0","0","       2811.05"
"GRASIM","05-Feb-2007","22-Feb-2007","2810.05","2815","2772.35","2793.85","2797","2793.85","379","1850.66","425425","10325","       2790.05"
"GRASIM","05-Feb-2007","29-Mar-2007","0","0","0","2790","2790","2827.5","0","0","350","0","       2790.05"
"GRASIM","05-Feb-2007","26-Apr-2007","0","0","0","2500","2500","2847.9","0","0","0","0","       2790.05"
"GRASIM","06-Feb-2007","22-Feb-2007","2794","2852","2780","2809.2","2802.3","2809.2","974","4815.12","441350","15925","       2794.65"
"GRASIM","06-Feb-2007","29-Mar-2007","2810","2841.25","2810","2830","2830","2831.5","8","39.67","1400","1050","       2794.65"
"GRASIM","06-Feb-2007","26-Apr-2007","0","0","0","2500","2500","2851.9","0","0","0","0","       2794.65"
"GRASIM","07-Feb-2007","22-Feb-2007","2800","2874","2800","2859.9","2863","2859.9","2018","10055.56","414225","-27125","       2873.10"
"GRASIM","07-Feb-2007","29-Mar-2007","2850","2870","2846","2859","2862","2859","25","124.99","3325","1925","       2873.10"
"GRASIM","07-Feb-2007","26-Apr-2007","0","0","0","2500","2500","2931.8","0","0","0","0","       2873.10"
"GRASIM","08-Feb-2007","22-Feb-2007","2860","2877.85","2830.05","2848.35","2844","2848.35","920","4592.01","414225","0","       2853.10"
"GRASIM","08-Feb-2007","29-Mar-2007","2855","2855","2850","2850","2850","2850","2","9.98","3500","175","       2853.10"
"GRASIM","08-Feb-2007","26-Apr-2007","0","0","0","2500","2500","2910.5","0","0","0","0","       2853.10"
"GRASIM","09-Feb-2007","22-Feb-2007","2810","2877.95","2810","2830.95","2825","2830.95","1102","5495.74","403725","-10500","       2842.30"
"GRASIM","09-Feb-2007","29-Mar-2007","2850","2865","2828","2835","2835","2835","7","34.86","4375","875","       2842.30"
"GRASIM","09-Feb-2007","26-Apr-2007","0","0","0","2500","2500","2899.2","0","0","0","0","       2842.30"
"GRASIM","12-Feb-2007","22-Feb-2007","2818","2827.7","2735.1","2745.25","2743.8","2745.25","822","3985.51","390775","-12950","       2756.95"
"GRASIM","12-Feb-2007","29-Mar-2007","2802","2802","2752","2758.7","2752","2758.7","78","379.27","5775","1400","       2756.95"
"GRASIM","12-Feb-2007","26-Apr-2007","0","0","0","2500","2500","2809.55","0","0","0","0","       2756.95"
"GRASIM","13-Feb-2007","22-Feb-2007","2730","2760","2698","2723.6","2730","2723.6","957","4575.71","400400","9625","       2744.75"
"GRASIM","13-Feb-2007","29-Mar-2007","2759.9","2765","2710.5","2747.4","2747.4","2747.4","33","158.33","9275","3500","       2744.75"
"GRASIM","13-Feb-2007","26-Apr-2007","0","0","0","2500","2500","2796.45","0","0","0","0","       2744.75"
"GRASIM","14-Feb-2007","22-Feb-2007","2690","2690","2630","2670.15","2670.1","2670.15","1106","5152.23","426650","26250","       2655.65"
"GRASIM","14-Feb-2007","29-Mar-2007","2680","2690","2647","2679.85","2684.9","2679.85","62","290.14","15225","5950","       2655.65"
"GRASIM","14-Feb-2007","26-Apr-2007","0","0","0","2500","2500","2705.9","0","0","0","0","       2655.65"
"GRASIM","15-Feb-2007","22-Feb-2007","2719.6","2720","2650","2669","2671.5","2669","1322","6222.75","441000","14350","       2653.90"
"GRASIM","15-Feb-2007","29-Mar-2007","2701.1","2729","2665.35","2685.85","2680.1","2685.85","432","2046.66","69825","54600","       2653.90"
"GRASIM","15-Feb-2007","26-Apr-2007","0","0","0","2500","2500","2704.75","0","0","0","0","       2653.90"
"GRASIM","19-Feb-2007","22-Feb-2007","2689.9","2689.9","2654","2657.55","2658","2657.55","767","3582.53","381500","-59500","       2645.85"
"GRASIM","19-Feb-2007","29-Mar-2007","2698","2698","2664","2668.5","2667","2668.5","516","2421.37","136850","67025","       2645.85"
"GRASIM","19-Feb-2007","26-Apr-2007","0","0","0","2500","2500","2693.9","0","0","0","0","       2645.85"
"GRASIM","20-Feb-2007","22-Feb-2007","2650.05","2665.95","2570","2585.2","2578","2585.2","1085","4961.5","378000","-3500","       2570.30"
"GRASIM","20-Feb-2007","29-Mar-2007","2675.5","2680","2590","2601.45","2594","2601.45","752","3453.53","211575","74725","       2570.30"
"GRASIM","20-Feb-2007","26-Apr-2007","0","0","0","2500","2500","2617.05","0","0","0","0","       2570.30"
"GRASIM","21-Feb-2007","22-Feb-2007","2574","2575.9","2530","2558.1","2546","2558.1","1272","5694.07","307125","-70875","       2547.40"
