"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GRASIM","02-Nov-2015","26-Nov-2015","3734.2","3736.55","3665.05","3697.4","3703.2","3697.4","849","4711.6","840300","2700","       3691.20"
"GRASIM","02-Nov-2015","31-Dec-2015","3714.95","3714.95","3683.9","3683.9","3683.9","3735.35","7","38.87","1950","750","       3691.20"
"GRASIM","02-Nov-2015","28-Jan-2016","0","0","0","3740.1","0","3756.45","0","0","0","0","       3691.20"
"GRASIM","03-Nov-2015","26-Nov-2015","3710","3730.9","3694.85","3711.7","3716","3711.7","1045","5816.59","830100","-10200","       3698.95"
"GRASIM","03-Nov-2015","31-Dec-2015","3726.75","3726.75","3720.55","3722.05","3722.05","3742.35","3","16.75","2100","150","       3698.95"
"GRASIM","03-Nov-2015","28-Jan-2016","0","0","0","3740.1","0","3763.5","0","0","0","0","       3698.95"
"GRASIM","04-Nov-2015","26-Nov-2015","3736.4","3736.4","3694.45","3700.4","3698","3700.4","444","2468.64","831300","1200","       3697.50"
"GRASIM","04-Nov-2015","31-Dec-2015","3718.25","3718.9","3716","3717.8","3716","3717.8","5","27.88","2850","750","       3697.50"
"GRASIM","04-Nov-2015","28-Jan-2016","0","0","0","3740.1","0","3761.45","0","0","0","0","       3697.50"
"GRASIM","05-Nov-2015","26-Nov-2015","3669.4","3704.95","3655.9","3696.55","3695.55","3696.55","820","4537.13","837150","5850","       3696.85"
"GRASIM","05-Nov-2015","31-Dec-2015","3717.75","3717.75","3712.45","3714.05","3712.45","3714.05","23","128.05","6000","3150","       3696.85"
"GRASIM","05-Nov-2015","28-Jan-2016","0","0","0","3740.1","0","3759.95","0","0","0","0","       3696.85"
"GRASIM","06-Nov-2015","26-Nov-2015","3690.4","3722.05","3667","3688.7","3690","3688.7","571","3157.87","841200","4050","       3689.05"
"GRASIM","06-Nov-2015","31-Dec-2015","3695.95","3704","3695.95","3704","3704","3730.15","7","38.81","6600","600","       3689.05"
"GRASIM","06-Nov-2015","28-Jan-2016","3730.45","3730.45","3718.55","3718.55","3718.55","3751.25","3","16.76","300","300","       3689.05"
