"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GRASIM","01-Sep-2015","24-Sep-2015","3400.1","3436","3355","3395.6","3376.4","3395.6","1206","5107.58","1011000","-30625","       3420.35"
"GRASIM","01-Sep-2015","29-Oct-2015","3450","3450","3375.2","3408.15","3426.5","3408.15","30","127.64","4125","1625","       3420.35"
"GRASIM","01-Sep-2015","26-Nov-2015","0","0","0","3573","0","3483.65","0","0","0","0","       3420.35"
"GRASIM","02-Sep-2015","24-Sep-2015","3385","3432.45","3376.3","3406.95","3405","3406.95","866","3687.54","1013125","2125","       3414.40"
"GRASIM","02-Sep-2015","29-Oct-2015","3440","3443.4","3402.75","3418.5","3431.85","3418.5","24","102.59","5125","1000","       3414.40"
"GRASIM","02-Sep-2015","26-Nov-2015","0","0","0","3573","0","3476.95","0","0","0","0","       3414.40"
"GRASIM","03-Sep-2015","24-Sep-2015","3362.55","3458.6","3362.55","3442.85","3450","3442.85","1451","6220.94","1026750","13625","       3423.15"
"GRASIM","03-Sep-2015","29-Oct-2015","3440.6","3472.8","3431.2","3460.95","3471.45","3460.95","13","56.07","4750","-375","       3423.15"
"GRASIM","03-Sep-2015","26-Nov-2015","0","0","0","3573","0","3484.85","0","0","0","0","       3423.15"
"GRASIM","04-Sep-2015","24-Sep-2015","3430.05","3430.05","3325.1","3376.55","3377","3376.55","1258","5291.39","1004875","-21875","       3374.70"
"GRASIM","04-Sep-2015","29-Oct-2015","3426","3426","3348.3","3402.8","3389","3402.8","61","258.02","8500","3750","       3374.70"
"GRASIM","04-Sep-2015","26-Nov-2015","0","0","0","3573","0","3434.5","0","0","0","0","       3374.70"
"GRASIM","07-Sep-2015","24-Sep-2015","3332.1","3417","3332.1","3383.65","3366","3383.65","1034","4379.08","975500","-29375","       3388.70"
"GRASIM","07-Sep-2015","29-Oct-2015","3413.8","3415","3391.55","3391.55","3391.55","3391.55","75","319.08","11250","2750","       3388.70"
"GRASIM","07-Sep-2015","26-Nov-2015","0","0","0","3573","0","3446.4","0","0","0","0","       3388.70"
"GRASIM","08-Sep-2015","24-Sep-2015","3375.3","3449","3364.9","3434.85","3444","3434.85","745","3182.89","977500","2000","       3424.10"
"GRASIM","08-Sep-2015","29-Oct-2015","3393.75","3453.55","3393.75","3453.5","3453.4","3453.5","19","81.71","11250","0","       3424.10"
"GRASIM","08-Sep-2015","26-Nov-2015","0","0","0","3573","0","3481.9","0","0","0","0","       3424.10"
