"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HCLTECH","02-Jan-2017","25-Jan-2017","821.9","832.95","821.3","824.45","825.2","824.45","1070","6198.83","5149200","-69300","        828.50"
"HCLTECH","02-Jan-2017","23-Feb-2017","826.55","826.55","826.55","826.55","826.55","836.2","1","5.79","15400","0","        828.50"
"HCLTECH","02-Jan-2017","30-Mar-2017","0","0","0","832.65","0","841.4","0","0","0","0","        828.50"
"HCLTECH","03-Jan-2017","25-Jan-2017","826.5","832.65","820.65","830.9","830.4","830.9","1514","8776.59","5182100","32900","        835.15"
"HCLTECH","03-Jan-2017","23-Feb-2017","831","831","826.3","831","831","842.7","14","81.21","21700","6300","        835.15"
"HCLTECH","03-Jan-2017","30-Mar-2017","0","0","0","832.65","0","847.95","0","0","0","0","        835.15"
"HCLTECH","04-Jan-2017","25-Jan-2017","832.8","856.9","828.3","854.7","855.8","854.7","4140","24570.15","5604200","422100","        856.95"
"HCLTECH","04-Jan-2017","23-Feb-2017","845.45","856.2","845.45","854.4","854.95","854.4","32","190.75","21700","0","        856.95"
"HCLTECH","04-Jan-2017","30-Mar-2017","0","0","0","832.65","0","870","0","0","0","0","        856.95"
"HCLTECH","05-Jan-2017","25-Jan-2017","863.8","866.4","837.4","843.45","844.55","843.45","5192","31003.14","5635000","30800","        844.65"
"HCLTECH","05-Jan-2017","23-Feb-2017","861","867","838.85","843.45","844.35","843.45","110","658.31","65100","43400","        844.65"
"HCLTECH","05-Jan-2017","30-Mar-2017","0","0","0","832.65","0","857.5","0","0","0","0","        844.65"
"HCLTECH","06-Jan-2017","25-Jan-2017","835","839.35","808.25","815.95","814.3","815.95","5456","31282.79","5833100","198100","        814.40"
"HCLTECH","06-Jan-2017","23-Feb-2017","829.1","829.1","807","814.2","813.6","814.2","235","1342.21","146300","81200","        814.40"
"HCLTECH","06-Jan-2017","30-Mar-2017","0","0","0","832.65","0","826.75","0","0","0","0","        814.40"
"HCLTECH","09-Jan-2017","25-Jan-2017","810","839.8","808.4","837.2","834.5","837.2","3891","22546.75","5747000","-86100","        838.30"
