"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFC","01-Mar-2019","28-Mar-2019","1852","1870.7","1846.25","1867.65","1866.95","1867.65","6408","59576.75","28430500","316000","       1859.45"
"HDFC","01-Mar-2019","25-Apr-2019","1867.9","1877","1854.5","1875.6","1876.2","1875.6","84","784.68","41500","12000","       1859.45"
"HDFC","01-Mar-2019","30-May-2019","0","0","0","1875.95","0","1894.15","0","0","0","0","       1859.45"
"HDFC","05-Mar-2019","28-Mar-2019","1862","1876.8","1844.15","1870.25","1869.1","1870.25","6861","63966.26","28513500","83000","       1860.00"
"HDFC","05-Mar-2019","25-Apr-2019","1865.2","1885","1859.05","1879.45","1878.35","1879.45","61","571.8","46500","5000","       1860.00"
"HDFC","05-Mar-2019","30-May-2019","1871.25","1871.25","1871.25","1871.25","1871.25","1893.2","1","9.36","500","500","       1860.00"
"HDFC","06-Mar-2019","28-Mar-2019","1872.05","1891","1864.25","1887.55","1889","1887.55","7730","72562.88","28272000","-241500","       1885.20"
"HDFC","06-Mar-2019","25-Apr-2019","1885.75","1898.85","1873.95","1895.7","1897.85","1895.7","42","396.73","49500","3000","       1885.20"
"HDFC","06-Mar-2019","30-May-2019","1889","1901.25","1889","1901.25","1901.25","1918.45","2","18.95","1500","1000","       1885.20"
"HDFC","07-Mar-2019","28-Mar-2019","1891.95","1893.25","1872","1887.3","1887.5","1887.3","5526","52054.74","28140000","-132000","       1880.20"
"HDFC","07-Mar-2019","25-Apr-2019","1898.7","1902.7","1885","1896.6","1896.6","1899.25","47","445.16","51000","1500","       1880.20"
"HDFC","07-Mar-2019","30-May-2019","1892.8","1892.8","1892.8","1892.8","1892.8","1913","1","9.46","2000","500","       1880.20"
"HDFC","08-Mar-2019","28-Mar-2019","1883.25","1895","1877.45","1891.9","1894","1891.9","4780","45113.65","27650000","-490000","       1884.05"
"HDFC","08-Mar-2019","25-Apr-2019","1890","1904.45","1888.8","1899.65","1902.75","1899.65","32","303.26","55000","4000","       1884.05"
"HDFC","08-Mar-2019","30-May-2019","0","0","0","1892.8","1892.8","1916.55","0","0","2000","0","       1884.05"
"HDFC","11-Mar-2019","28-Mar-2019","1891.25","1909.65","1890.45","1901.3","1905.1","1901.3","7169","68114.85","27513500","-136500","       1897.55"
"HDFC","11-Mar-2019","25-Apr-2019","1908","1918.8","1903.75","1910.95","1912.2","1910.95","109","1041.21","71000","16000","       1897.55"
"HDFC","11-Mar-2019","30-May-2019","1920.1","1920.1","1917","1918.25","1918.25","1918.25","3","28.78","2500","500","       1897.55"
"HDFC","12-Mar-2019","28-Mar-2019","1914.7","1942.6","1905.3","1937.65","1931","1937.65","9629","92574.15","27326000","-187500","       1930.00"
"HDFC","12-Mar-2019","25-Apr-2019","1923.2","1951.8","1915","1949.75","1941.05","1949.75","459","4453.42","228000","157000","       1930.00"
"HDFC","12-Mar-2019","30-May-2019","1928.85","1958.8","1928.85","1956.9","1956.55","1956.9","7","68.27","4500","2000","       1930.00"
"HDFC","13-Mar-2019","28-Mar-2019","1940","1967.9","1929.95","1953.05","1951.75","1953.05","10139","98920.84","27138500","-187500","       1950.65"
"HDFC","13-Mar-2019","25-Apr-2019","1942.3","1976.55","1942","1962.5","1961.45","1962.5","402","3948.5","335500","107500","       1950.65"
"HDFC","13-Mar-2019","30-May-2019","1954.3","1971.15","1954.3","1969.85","1969.85","1969.85","8","78.7","5500","1000","       1950.65"
"HDFC","14-Mar-2019","28-Mar-2019","1965.2","1976.95","1953.55","1963.5","1967.2","1963.5","7992","78479.56","26752000","-386500","       1956.95"
"HDFC","14-Mar-2019","25-Apr-2019","1977","1984","1965.25","1973.65","1975.5","1973.65","382","3768.47","397500","62000","       1956.95"
"HDFC","14-Mar-2019","30-May-2019","0","0","0","1969.85","1969.85","1988.25","0","0","5500","0","       1956.95"
"HDFC","15-Mar-2019","28-Mar-2019","1959.8","2000.55","1959.8","1983.9","1985.1","1983.9","10698","105937.47","26981500","229500","       1974.65"
"HDFC","15-Mar-2019","25-Apr-2019","1974.05","2011","1974","1994.8","1991.95","1994.8","560","5587.12","555000","157500","       1974.65"
"HDFC","15-Mar-2019","30-May-2019","0","0","0","1969.85","1969.85","2005.8","0","0","5500","0","       1974.65"
"HDFC","18-Mar-2019","28-Mar-2019","1990","2003.35","1962.65","1971.7","1975.75","1971.7","7751","76691.61","26917000","-64500","       1962.40"
"HDFC","18-Mar-2019","25-Apr-2019","2007.5","2013.05","1972.8","1981.1","1985.8","1981.1","1365","13536.38","1098000","543000","       1962.40"
"HDFC","18-Mar-2019","30-May-2019","2019.8","2019.8","2019.8","2019.8","2019.8","1992.05","1","10.1","5500","0","       1962.40"
"HDFC","19-Mar-2019","28-Mar-2019","1973.1","1985","1969.45","1976.4","1974.95","1976.4","8311","82158.04","25252000","-1665000","       1967.85"
"HDFC","19-Mar-2019","25-Apr-2019","1987.55","1993.5","1980","1986.65","1984.8","1986.65","3570","35482.21","2705500","1607500","       1967.85"
