"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFC","04-May-2015","28-May-2015","1185.25","1212.75","1180.9","1209.1","1210.45","1209.1","13872","41634.25","11870000","11750","       1202.20"
"HDFC","04-May-2015","25-Jun-2015","1194","1219.9","1193.45","1218.4","1219","1218.4","86","260.22","268750","2250","       1202.20"
"HDFC","04-May-2015","30-Jul-2015","0","0","0","1193.75","0","1226.35","0","0","0","0","       1202.20"
"HDFC","05-May-2015","28-May-2015","1201.3","1207","1185.05","1187.75","1187.7","1187.75","11487","34312.86","12044250","174250","       1180.35"
"HDFC","05-May-2015","25-Jun-2015","1213.6","1213.6","1195","1196.15","1196.7","1196.15","92","276.75","276000","7250","       1180.35"
"HDFC","05-May-2015","30-Jul-2015","0","0","0","1193.75","0","1203.7","0","0","0","0","       1180.35"
"HDFC","06-May-2015","28-May-2015","1183.1","1187.5","1156.5","1168.75","1170","1168.75","17710","51712.12","11659500","-384750","       1163.60"
"HDFC","06-May-2015","25-Jun-2015","1190","1191.35","1167.5","1177.3","1179.35","1177.3","203","597.27","280750","4750","       1163.60"
"HDFC","06-May-2015","30-Jul-2015","1184","1184","1164","1174.15","1174.15","1186.45","7","20.5","1750","1750","       1163.60"
"HDFC","07-May-2015","28-May-2015","1164.05","1177.35","1154","1160.35","1156.35","1160.35","11516","33565.77","11734250","74750","       1154.25"
"HDFC","07-May-2015","25-Jun-2015","1173.6","1182.4","1164.55","1168.9","1164.55","1168.9","156","457.49","292750","12000","       1154.25"
"HDFC","07-May-2015","30-Jul-2015","0","0","0","1174.15","1174.15","1176.65","0","0","1750","0","       1154.25"
"HDFC","08-May-2015","28-May-2015","1173.8","1205","1165.55","1189","1192","1189","11995","35664.29","11429750","-304500","       1185.35"
"HDFC","08-May-2015","25-Jun-2015","1175.25","1212.85","1175.25","1197.95","1198.05","1197.95","94","281.76","295750","3000","       1185.35"
"HDFC","08-May-2015","30-Jul-2015","1189.1","1189.1","1189.1","1189.1","1189.1","1208","1","2.97","1750","0","       1185.35"
"HDFC","11-May-2015","28-May-2015","1198.5","1233","1195.75","1228.35","1224","1228.35","14768","45015.9","10621250","-808500","       1226.10"
"HDFC","11-May-2015","25-Jun-2015","1205.85","1240.75","1205.85","1236.3","1234","1236.3","171","525.38","306750","11000","       1226.10"
"HDFC","11-May-2015","30-Jul-2015","1213.35","1236.6","1213.35","1236.6","1236.6","1236.6","4","12.24","1750","0","       1226.10"
"HDFC","12-May-2015","28-May-2015","1224.7","1224.7","1187.75","1193.85","1191.5","1193.85","12349","36985.58","9839250","-782000","       1191.35"
"HDFC","12-May-2015","25-Jun-2015","1227.4","1227.4","1198","1205.8","1200.5","1205.8","416","1254.47","330250","23500","       1191.35"
"HDFC","12-May-2015","30-Jul-2015","1206","1206","1198.6","1198.6","1198.6","1213.05","6","18","2750","1000","       1191.35"
"HDFC","13-May-2015","28-May-2015","1197.8","1231.4","1190.45","1221.45","1221","1221.45","13405","40690.38","9619750","-219500","       1219.40"
"HDFC","13-May-2015","25-Jun-2015","1213.95","1236.6","1201.6","1230.5","1232.05","1230.5","202","616.57","334250","4000","       1219.40"
"HDFC","13-May-2015","30-Jul-2015","1226.7","1226.7","1225.1","1225.1","1225.1","1241.35","2","6.13","2500","-250","       1219.40"
"HDFC","14-May-2015","28-May-2015","1215.55","1225","1194","1211.3","1211","1211.3","9058","27319.29","9632500","12750","       1209.70"
"HDFC","14-May-2015","25-Jun-2015","1230.05","1233.55","1203.25","1220.5","1220.65","1220.5","115","349.75","336250","2000","       1209.70"
"HDFC","14-May-2015","30-Jul-2015","1211.8","1215.55","1197","1212","1212","1231.2","15","45.39","5250","2750","       1209.70"
"HDFC","15-May-2015","28-May-2015","1216.9","1237.6","1207","1234.65","1233","1234.65","9574","29379.69","9645000","12500","       1234.30"
"HDFC","15-May-2015","25-Jun-2015","1209.65","1245.15","1209.65","1243.2","1243.65","1243.2","151","466.67","335250","-1000","       1234.30"
"HDFC","15-May-2015","30-Jul-2015","1225","1242.25","1225","1242.25","1242.25","1256","7","21.56","4500","-750","       1234.30"
"HDFC","18-May-2015","28-May-2015","1237.5","1269.4","1228.5","1263.25","1267.75","1263.25","9973","31104.9","9725500","80500","       1264.30"
"HDFC","18-May-2015","25-Jun-2015","1241.1","1278.25","1238.1","1269.3","1275.7","1269.3","283","888.19","340500","5250","       1264.30"
"HDFC","18-May-2015","30-Jul-2015","1244.4","1274.9","1239.8","1272.45","1274.35","1272.45","10","31.45","6000","1500","       1264.30"
"HDFC","19-May-2015","28-May-2015","1257.3","1266.25","1233","1240.8","1239","1240.8","11211","34940.37","9741000","15500","       1240.55"
"HDFC","19-May-2015","25-Jun-2015","1269","1273.05","1243","1249.2","1247.45","1249.2","491","1539.82","362750","22250","       1240.55"
"HDFC","19-May-2015","30-Jul-2015","1264","1264","1246.65","1249.55","1249.55","1261.1","10","31.44","7250","1250","       1240.55"
"HDFC","20-May-2015","28-May-2015","1245","1273.7","1243.4","1270.25","1268.9","1270.25","9621","30338.67","9747250","6250","       1270.05"
"HDFC","20-May-2015","25-Jun-2015","1254.2","1282","1254.2","1278.95","1278.1","1278.95","422","1341.45","366000","3250","       1270.05"
"HDFC","20-May-2015","30-Jul-2015","1264.25","1272.45","1264","1272","1272","1290.75","8","25.35","8000","750","       1270.05"
"HDFC","21-May-2015","28-May-2015","1273.95","1273.95","1247.35","1256.15","1256.55","1256.15","7538","23697.04","9820750","73500","       1255.95"
"HDFC","21-May-2015","25-Jun-2015","1278.7","1280.65","1256.55","1265.4","1266.2","1265.4","692","2189.75","413500","47500","       1255.95"
"HDFC","21-May-2015","30-Jul-2015","1270.05","1270.5","1259.95","1262.8","1262.8","1276.05","23","72.74","13750","5750","       1255.95"
"HDFC","22-May-2015","28-May-2015","1257.3","1290.2","1255.2","1286.45","1286.45","1286.45","11011","35147.06","9624500","-196250","       1288.05"
"HDFC","22-May-2015","25-Jun-2015","1255.15","1298.9","1255.15","1295.55","1294.95","1295.55","2807","9021.62","787750","374250","       1288.05"
"HDFC","22-May-2015","30-Jul-2015","1302","1302","1302","1302","1302","1302","1","3.26","14000","250","       1288.05"
"HDFC","25-May-2015","28-May-2015","1282.6","1289.3","1252","1255.1","1257.6","1255.1","10593","33536.5","8875750","-748750","       1252.65"
"HDFC","25-May-2015","25-Jun-2015","1293.25","1297.4","1260.4","1263.3","1265.35","1263.3","5971","19010.18","1579500","791750","       1252.65"
"HDFC","25-May-2015","30-Jul-2015","1291.7","1291.7","1257.55","1261.1","1262.4","1261.1","62","196.28","29250","15250","       1252.65"
"HDFC","26-May-2015","28-May-2015","1249.95","1261.3","1234.5","1243.1","1245.5","1243.1","11083","34592.24","7451750","-1424000","       1240.45"
"HDFC","26-May-2015","25-Jun-2015","1263.2","1268.85","1243.1","1250.8","1253","1250.8","8883","27901.15","3099750","1520250","       1240.45"
"HDFC","26-May-2015","30-Jul-2015","1263","1264.2","1240.5","1249.3","1261.1","1249.3","83","259.57","45500","16250","       1240.45"
"HDFC","27-May-2015","28-May-2015","1236.4","1246.5","1231","1240.55","1236.1","1240.55","19109","59184.07","4168500","-3283250","       1239.90"
"HDFC","27-May-2015","25-Jun-2015","1241.95","1254.35","1238.95","1248.7","1249","1248.7","19196","59835.22","6901250","3801500","       1239.90"
"HDFC","27-May-2015","30-Jul-2015","1239.85","1250.6","1238.65","1245.8","1247.15","1245.8","54","167.9","56000","10500","       1239.90"
"HDFC","28-May-2015","28-May-2015","1240.2","1248","1207.15","1228.15","1229.15","1229.25","16965","51912.6","1905750","-2262750","       1229.25"
"HDFC","28-May-2015","25-Jun-2015","1248","1256.25","1216","1235.75","1231.35","1235.75","21576","66452.72","9448000","2546750","       1229.25"
"HDFC","28-May-2015","30-Jul-2015","1241","1248.25","1214.95","1229.9","1229.3","1229.9","103","315.51","77250","21250","       1229.25"
"HDFC","29-May-2015","25-Jun-2015","1232.2","1255","1227.6","1245.45","1244","1245.45","26874","83574.42","11685750","2237750","       1236.05"
"HDFC","29-May-2015","30-Jul-2015","1233.2","1250","1224.25","1240.1","1239.95","1240.1","790","2438.65","153250","76000","       1236.05"
"HDFC","29-May-2015","27-Aug-2015","0","0","0","1254.85","0","1261.45","0","0","0","0","       1236.05"
"HDFC","01-Jun-2015","25-Jun-2015","1247.65","1261.35","1245.6","1252.7","1250.75","1252.7","8023","25123.28","11210750","-475000","       1247.75"
"HDFC","01-Jun-2015","30-Jul-2015","1250","1255.1","1242.55","1248.3","1248.4","1248.3","96","299.69","159750","6500","       1247.75"
"HDFC","01-Jun-2015","27-Aug-2015","0","0","0","1254.85","0","1272.6","0","0","0","0","       1247.75"
"HDFC","02-Jun-2015","25-Jun-2015","1247.8","1254.75","1201","1207.25","1206.9","1207.25","13477","41117.31","10537000","-673750","       1203.10"
"HDFC","02-Jun-2015","30-Jul-2015","1242.5","1245","1198.25","1203.6","1203","1203.6","281","852.98","192750","33000","       1203.10"
"HDFC","02-Jun-2015","27-Aug-2015","0","0","0","1254.85","0","1226.05","0","0","0","0","       1203.10"
"HDFC","03-Jun-2015","25-Jun-2015","1206.25","1220.5","1197.7","1206.25","1208.6","1206.25","9184","27748.29","10297250","-239750","       1202.85"
"HDFC","03-Jun-2015","30-Jul-2015","1201.65","1215.7","1193.65","1203.55","1205","1203.55","309","930.23","216750","24000","       1202.85"
"HDFC","03-Jun-2015","27-Aug-2015","1210","1210","1210","1210","1210","1225.85","1","3.03","250","250","       1202.85"
"HDFC","04-Jun-2015","25-Jun-2015","1205.75","1231","1193","1223.2","1230","1223.2","8971","27158.37","10461000","163750","       1216.00"
"HDFC","04-Jun-2015","30-Jul-2015","1190","1225","1190","1220","1225","1220","168","508.3","200500","-16250","       1216.00"
"HDFC","04-Jun-2015","27-Aug-2015","0","0","0","1210","1210","1238.65","0","0","250","0","       1216.00"
"HDFC","05-Jun-2015","25-Jun-2015","1221.5","1221.5","1195.6","1202.95","1200","1202.95","9405","28445.12","10382750","-78250","       1201.35"
"HDFC","05-Jun-2015","30-Jul-2015","1215","1215","1195","1197.2","1195","1197.2","105","316.49","201500","1000","       1201.35"
"HDFC","05-Jun-2015","27-Aug-2015","0","0","0","1210","1210","1223.35","0","0","250","0","       1201.35"
"HDFC","08-Jun-2015","25-Jun-2015","1204.15","1204.6","1175.3","1182.1","1181.55","1182.1","7299","21632.32","10399250","16500","       1176.75"
"HDFC","08-Jun-2015","30-Jul-2015","1198.15","1198.15","1172.4","1178.35","1178.95","1178.35","214","632.56","218250","16750","       1176.75"
"HDFC","08-Jun-2015","27-Aug-2015","0","0","0","1210","1210","1197.45","0","0","250","0","       1176.75"
"HDFC","09-Jun-2015","25-Jun-2015","1182.05","1198.85","1180.5","1194.2","1192.5","1194.2","5912","17631.6","10311750","-87500","       1188.80"
"HDFC","09-Jun-2015","30-Jul-2015","1185.45","1194","1185.45","1190.8","1189","1190.8","123","366.04","223500","5250","       1188.80"
"HDFC","09-Jun-2015","27-Aug-2015","0","0","0","1210","1210","1209.5","0","0","250","0","       1188.80"
"HDFC","10-Jun-2015","25-Jun-2015","1191","1208","1190.45","1195","1195.35","1195","7241","21700.62","10355000","43250","       1190.55"
"HDFC","10-Jun-2015","30-Jul-2015","1200.4","1203.7","1188.35","1191.45","1191.5","1191.45","161","480.88","233000","9500","       1190.55"
"HDFC","10-Jun-2015","27-Aug-2015","0","0","0","1210","1210","1210.95","0","0","250","0","       1190.55"
"HDFC","11-Jun-2015","25-Jun-2015","1200","1202.95","1163.5","1167.3","1164.9","1167.3","9123","26918.3","10258750","-96250","       1164.30"
"HDFC","11-Jun-2015","30-Jul-2015","1197.05","1198","1159.05","1161.6","1160.7","1161.6","322","939.75","263250","30250","       1164.30"
"HDFC","11-Jun-2015","27-Aug-2015","1170","1170","1170","1170","1170","1170","1","2.93","500","250","       1164.30"
"HDFC","12-Jun-2015","25-Jun-2015","1161.05","1197.3","1159.45","1191.85","1189.5","1191.85","8664","25649.73","10024500","-234250","       1190.40"
"HDFC","12-Jun-2015","30-Jul-2015","1165","1190","1159.55","1188.3","1188.2","1188.3","243","716.47","271500","8250","       1190.40"
"HDFC","12-Jun-2015","27-Aug-2015","0","0","0","1170","1170","1210.4","0","0","500","0","       1190.40"
"HDFC","15-Jun-2015","25-Jun-2015","1189.75","1217.9","1184.9","1214.3","1212","1214.3","12987","39200.51","9761750","-262750","       1214.55"
"HDFC","15-Jun-2015","30-Jul-2015","1182.1","1213.25","1182.1","1209.55","1208.35","1209.55","266","802","283000","11500","       1214.55"
"HDFC","15-Jun-2015","27-Aug-2015","0","0","0","1170","1170","1234.1","0","0","500","0","       1214.55"
"HDFC","16-Jun-2015","25-Jun-2015","1210.75","1217.8","1181.5","1201.9","1209.05","1201.9","9525","28457.35","9829250","67500","       1199.05"
"HDFC","16-Jun-2015","30-Jul-2015","1201","1204","1178","1198.15","1204","1198.15","824","2453.92","388500","105500","       1199.05"
"HDFC","16-Jun-2015","27-Aug-2015","1205.95","1206","1200","1200","1200","1200","16","48.06","4500","4000","       1199.05"
"HDFC","17-Jun-2015","25-Jun-2015","1208.45","1218","1196.05","1200.8","1198.7","1200.8","10260","30962.17","9606250","-223000","       1200.90"
