"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFC","01-Nov-2012","29-Nov-2012","762.65","768","762.05","766.05","764.8","766.05","2227","8519.14","8577500","-31000","        763.50"
"HDFC","01-Nov-2012","27-Dec-2012","768.5","771.05","768.5","771.05","771.05","771.05","6","23.09","77000","1000","        763.50"
"HDFC","01-Nov-2012","31-Jan-2013","0","0","0","783.85","0","780.3","0","0","0","0","        763.50"
"HDFC","02-Nov-2012","29-Nov-2012","765.9","774.6","765.9","771.4","770.65","771.4","2763","10655.11","8546000","-31500","        766.25"
"HDFC","02-Nov-2012","27-Dec-2012","774.25","777.95","773.6","776.6","776.4","776.6","21","81.47","80000","3000","        766.25"
"HDFC","02-Nov-2012","31-Jan-2013","779","782.1","779","782.1","782.1","782.85","2","7.81","1000","1000","        766.25"
"HDFC","05-Nov-2012","29-Nov-2012","770.7","776.2","767.2","774.1","772.5","774.1","1646","6349.84","8521000","-25000","        770.00"
"HDFC","05-Nov-2012","27-Dec-2012","774","780.9","773.8","779.95","777.55","779.95","14","54.42","83500","3500","        770.00"
"HDFC","05-Nov-2012","31-Jan-2013","0","0","0","782.1","782.1","786.1","0","0","1000","0","        770.00"
"HDFC","06-Nov-2012","29-Nov-2012","771.6","787.8","771.6","786.7","786.5","786.7","3479","13598.18","8382000","-139000","        783.75"
"HDFC","06-Nov-2012","27-Dec-2012","781.55","792","781.25","791.35","792","791.35","39","153.26","96500","13000","        783.75"
"HDFC","06-Nov-2012","31-Jan-2013","0","0","0","782.1","782.1","799.95","0","0","1000","0","        783.75"
"HDFC","07-Nov-2012","29-Nov-2012","785.3","808.8","782.5","802.1","801.1","802.1","5001","19961.18","8616000","234000","        799.65"
"HDFC","07-Nov-2012","27-Dec-2012","788.85","813.25","788.3","807.15","806.65","807.15","68","273.32","112000","15500","        799.65"
"HDFC","07-Nov-2012","31-Jan-2013","799","809.55","799","809.55","809.55","809.55","2","8.04","1500","500","        799.65"
"HDFC","08-Nov-2012","29-Nov-2012","797.15","797.9","788.5","796.15","794.8","796.15","3443","13675.2","8527000","-89000","        793.80"
"HDFC","08-Nov-2012","27-Dec-2012","800","801.95","794","801.5","801","801.5","66","263.92","115500","3500","        793.80"
"HDFC","08-Nov-2012","31-Jan-2013","0","0","0","809.55","809.55","809.8","0","0","1500","0","        793.80"
"HDFC","09-Nov-2012","29-Nov-2012","795.45","799.1","790.85","796.8","796.25","796.8","2464","9791.95","8520500","-6500","        793.95"
"HDFC","09-Nov-2012","27-Dec-2012","800","805","797","802.75","801.3","802.75","84","336.56","127500","12000","        793.95"
"HDFC","09-Nov-2012","31-Jan-2013","0","0","0","809.55","809.55","809.8","0","0","1500","0","        793.95"
"HDFC","12-Nov-2012","29-Nov-2012","796.25","803.8","792.2","794.3","795","794.3","2626","10469.71","8546500","26000","        791.60"
"HDFC","12-Nov-2012","27-Dec-2012","797","807.95","796.55","799.85","800","799.85","77","308.93","134500","7000","        791.60"
"HDFC","12-Nov-2012","31-Jan-2013","0","0","0","809.55","809.55","806.8","0","0","1500","0","        791.60"
"HDFC","13-Nov-2012","29-Nov-2012","795.45","795.45","781","784.4","783","784.4","999","3928.48","8375500","-171000","        784.55"
"HDFC","13-Nov-2012","27-Dec-2012","801","801","788","789.9","788","789.9","27","107.05","142000","7500","        784.55"
"HDFC","13-Nov-2012","31-Jan-2013","0","0","0","809.55","809.55","799.45","0","0","1500","0","        784.55"
"HDFC","15-Nov-2012","29-Nov-2012","691.4","796","691.4","793.7","790.9","793.7","4794","18846.04","8333000","-42500","        793.15"
"HDFC","15-Nov-2012","27-Dec-2012","781.25","801","780.3","798.25","796","798.25","174","689.07","129500","-12500","        793.15"
"HDFC","15-Nov-2012","31-Jan-2013","797.75","798.6","797.75","798.6","798.6","807.8","3","11.97","3000","1500","        793.15"
"HDFC","16-Nov-2012","29-Nov-2012","790.75","792.1","772.8","775.65","773.15","775.65","4884","19111.48","8188000","-145000","        774.85"
"HDFC","16-Nov-2012","27-Dec-2012","794","797","779","781.1","779","781.1","188","740.01","158500","29000","        774.85"
"HDFC","16-Nov-2012","31-Jan-2013","0","0","0","798.6","798.6","788.95","0","0","3000","0","        774.85"
"HDFC","19-Nov-2012","29-Nov-2012","776.6","776.6","765.45","768.6","768.5","768.6","2456","9453.11","8144000","-44000","        764.85"
"HDFC","19-Nov-2012","27-Dec-2012","780","781.3","771","773.15","773","773.15","231","894.88","129000","-29500","        764.85"
"HDFC","19-Nov-2012","31-Jan-2013","779.45","779.5","775","777.9","777.9","777.9","18","70.01","9500","6500","        764.85"
"HDFC","20-Nov-2012","29-Nov-2012","771.6","787.7","770.9","782.25","781","782.25","5525","21620.92","7589500","-554500","        782.05"
"HDFC","20-Nov-2012","27-Dec-2012","781.8","792.1","781.55","787.05","785.6","787.05","278","1095.04","155000","26000","        782.05"
"HDFC","20-Nov-2012","31-Jan-2013","789","797","789","794.3","794.3","795.6","5","19.83","10000","500","        782.05"
"HDFC","21-Nov-2012","29-Nov-2012","782.85","782.85","774","779.55","778.5","779.55","3208","12480.79","7605500","16000","        778.75"
"HDFC","21-Nov-2012","27-Dec-2012","787","787","779.2","784.85","783.15","784.85","291","1139.33","204500","49500","        778.75"
"HDFC","21-Nov-2012","31-Jan-2013","0","0","0","794.3","794.3","792.05","0","0","10000","0","        778.75"
"HDFC","22-Nov-2012","29-Nov-2012","779.7","785.9","775.45","776.9","776","776.9","2021","7884.65","7519000","-86500","        775.15"
"HDFC","22-Nov-2012","27-Dec-2012","788","790","780.7","782.35","782.1","782.35","229","898.21","260500","56000","        775.15"
"HDFC","22-Nov-2012","31-Jan-2013","0","0","0","794.3","794.3","788.25","0","0","10000","0","        775.15"
"HDFC","23-Nov-2012","29-Nov-2012","778","781.8","774.15","779.95","780.15","779.95","1767","6872.35","7361000","-158000","        779.35"
"HDFC","23-Nov-2012","27-Dec-2012","783.95","786.15","779","785.3","785.4","785.3","396","1549.74","356500","96000","        779.35"
"HDFC","23-Nov-2012","31-Jan-2013","789","789","781.9","781.9","781.9","792.3","3","11.78","11000","1000","        779.35"
"HDFC","26-Nov-2012","29-Nov-2012","781.45","782.45","773","777.25","777.5","777.25","3453","13396.76","6913000","-448000","        775.65"
"HDFC","26-Nov-2012","27-Dec-2012","787","787","777.5","782","782.7","782","2470","9636.2","1367500","1011000","        775.65"
"HDFC","26-Nov-2012","31-Jan-2013","0","0","0","781.9","781.9","788","0","0","11000","0","        775.65"
"HDFC","27-Nov-2012","29-Nov-2012","777.25","801.95","775","799.9","800.3","799.9","8204","32653.69","5453500","-1459500","        799.20"
"HDFC","27-Nov-2012","27-Dec-2012","782.2","807.25","779.3","805.15","806.3","805.15","7434","29794.46","3595500","2228000","        799.20"
"HDFC","27-Nov-2012","31-Jan-2013","799","811","799","810.4","811","810.4","14","56.46","16500","5500","        799.20"
"HDFC","29-Nov-2012","29-Nov-2012","800.8","825.55","800.8","822.55","821.95","821.8","10845","44396.19","3095500","-2358000","        821.80"
"HDFC","29-Nov-2012","27-Dec-2012","798","830.9","798","828.6","828","828.6","11178","46093.74","7059500","3464000","        821.80"
"HDFC","29-Nov-2012","31-Jan-2013","818","835.2","818","833.45","832.5","833.45","94","389.41","41500","25000","        821.80"
"HDFC","30-Nov-2012","27-Dec-2012","830.95","851.7","830.8","846.2","840.8","846.2","8746","36942.29","7005500","-54000","        843.50"
"HDFC","30-Nov-2012","31-Jan-2013","835","856.2","835","850.4","846","850.4","276","1173.2","98500","57000","        843.50"
"HDFC","30-Nov-2012","28-Feb-2013","867.75","867.75","867.75","867.75","867.75","861.85","1","4.34","500","500","        843.50"
"HDFC","03-Dec-2012","27-Dec-2012","842.15","847.85","835.2","840.55","840.6","840.55","2970","12489.97","7052500","47000","        836.20"
"HDFC","03-Dec-2012","31-Jan-2013","847","852","841","845.1","846","845.1","95","401.87","101000","2500","        836.20"
"HDFC","03-Dec-2012","28-Feb-2013","0","0","0","867.75","867.75","853.8","0","0","500","0","        836.20"
"HDFC","04-Dec-2012","27-Dec-2012","840","849.5","837.25","847.25","849","847.25","2511","10602.74","7282000","229500","        841.55"
"HDFC","04-Dec-2012","31-Jan-2013","846.95","854","843","851.2","854","851.2","52","220.61","100500","-500","        841.55"
"HDFC","04-Dec-2012","28-Feb-2013","0","0","0","867.75","867.75","859","0","0","500","0","        841.55"
"HDFC","05-Dec-2012","27-Dec-2012","851.95","856.2","840.95","844.2","846","844.2","3505","14825.95","7669500","387500","        837.95"
"HDFC","05-Dec-2012","31-Jan-2013","856","858.15","847","849.85","851","849.85","79","336.12","102500","2000","        837.95"
"HDFC","05-Dec-2012","28-Feb-2013","0","0","0","867.75","867.75","855.25","0","0","500","0","        837.95"
"HDFC","06-Dec-2012","27-Dec-2012","847.65","853","836.1","850.7","851","850.7","3688","15606.29","8029000","359500","        844.15"
"HDFC","06-Dec-2012","31-Jan-2013","852.4","857.8","842","856","856.95","856","102","433.99","99500","-3000","        844.15"
"HDFC","06-Dec-2012","28-Feb-2013","859.5","860.6","859.5","860.05","860.6","860.05","2","8.6","1500","1000","        844.15"
"HDFC","07-Dec-2012","27-Dec-2012","850.6","852.35","841.55","844.25","844.9","844.25","2230","9419.89","8114000","85000","        837.75"
"HDFC","07-Dec-2012","31-Jan-2013","854","854","848","849.25","850","849.25","61","259.32","101500","2000","        837.75"
"HDFC","07-Dec-2012","28-Feb-2013","857.55","857.6","852.5","852.7","852.7","854.5","8","34.22","5500","4000","        837.75"
"HDFC","10-Dec-2012","27-Dec-2012","845.05","873.2","839","869.6","872.65","869.6","4864","20931.7","8272500","158500","        865.80"
"HDFC","10-Dec-2012","31-Jan-2013","849","878","844.2","875.45","877","875.45","148","639.71","111500","10000","        865.80"
"HDFC","10-Dec-2012","28-Feb-2013","871","880","871","880","880","880","2","8.76","6500","1000","        865.80"
"HDFC","11-Dec-2012","27-Dec-2012","845.1","884.9","755.55","877.65","878.3","877.65","5242","23039.16","8487500","215000","        874.95"
"HDFC","11-Dec-2012","31-Jan-2013","878.2","890","877","883.25","883.25","883.25","201","889.41","142000","30500","        874.95"
"HDFC","11-Dec-2012","28-Feb-2013","894","894.05","886.55","886.55","886.55","886.55","4","17.82","8000","1500","        874.95"
"HDFC","12-Dec-2012","27-Dec-2012","879","883.35","860.75","866","865","866","4242","18416.05","8811500","324000","        859.70"
"HDFC","12-Dec-2012","31-Jan-2013","885","885","866.7","870.75","871","870.75","198","863.41","160500","18500","        859.70"
"HDFC","12-Dec-2012","28-Feb-2013","0","0","0","886.55","886.55","875.95","0","0","8000","0","        859.70"
"HDFC","13-Dec-2012","27-Dec-2012","867.3","874.9","857","859.9","859.1","859.9","3060","13238.1","8847500","36000","        854.30"
"HDFC","13-Dec-2012","31-Jan-2013","874","880.3","863","864.95","864","864.95","151","657.81","175500","15000","        854.30"
"HDFC","13-Dec-2012","28-Feb-2013","870","870","870","870","870","870.2","2","8.7","8000","0","        854.30"
"HDFC","14-Dec-2012","27-Dec-2012","860.7","863.9","852.85","858.75","858.05","858.75","2546","10915.56","9017000","169500","        852.30"
"HDFC","14-Dec-2012","31-Jan-2013","866","868","859","863.7","864.5","863.7","116","500.65","180000","4500","        852.30"
"HDFC","14-Dec-2012","28-Feb-2013","0","0","0","870","870","868","0","0","8000","0","        852.30"
"HDFC","17-Dec-2012","27-Dec-2012","855.05","863.3","839.15","843.1","844.4","843.1","4323","18331.85","9174500","157500","        836.85"
"HDFC","17-Dec-2012","31-Jan-2013","863","868","845.05","848.55","849","848.55","180","768.98","187500","7500","        836.85"
"HDFC","17-Dec-2012","28-Feb-2013","854","854","854","854","854","851.75","1","4.27","8000","0","        836.85"
"HDFC","18-Dec-2012","27-Dec-2012","846.8","854.75","840.1","852.2","852.75","852.2","4638","19658.79","9144000","-30500","        846.85"
"HDFC","18-Dec-2012","31-Jan-2013","851","860.45","846","858.15","858.85","858.15","380","1620.09","232500","45000","        846.85"
"HDFC","18-Dec-2012","28-Feb-2013","854.55","863.5","851.35","863.5","863.5","863.5","5","21.39","8500","500","        846.85"
"HDFC","19-Dec-2012","27-Dec-2012","853.85","855.05","833.2","835.75","834.35","835.75","4164","17479.3","9369000","225000","        830.75"
"HDFC","19-Dec-2012","31-Jan-2013","858.05","858.05","839.4","841.9","840.75","841.9","844","3568.27","497000","264500","        830.75"
"HDFC","19-Dec-2012","28-Feb-2013","858.95","858.95","846","846.05","846.05","846.05","25","106.52","20500","12000","        830.75"
"HDFC","20-Dec-2012","27-Dec-2012","838.5","838.5","828.1","835.15","833.6","835.15","5133","21400.13","8339500","-1029500","        831.00"
"HDFC","20-Dec-2012","31-Jan-2013","843","844.75","834.2","841.95","840","841.95","2408","10119.72","1465000","968000","        831.00"
"HDFC","20-Dec-2012","28-Feb-2013","844.3","847.25","839.55","846.65","846.35","846.65","48","202.35","44500","24000","        831.00"
"HDFC","21-Dec-2012","27-Dec-2012","834.4","835.75","822.85","831.85","831.55","831.85","6338","26269.88","6587500","-1752000","        830.20"
"HDFC","21-Dec-2012","31-Jan-2013","839","842.2","830.15","839","839.3","839","3457","14442.11","2841000","1376000","        830.20"
"HDFC","21-Dec-2012","28-Feb-2013","838","838","836.4","836.5","836.5","844.2","3","12.55","46000","1500","        830.20"
"HDFC","24-Dec-2012","27-Dec-2012","833.6","842","826.65","829.45","827","829.45","5979","24946.77","4698500","-1889000","        828.70"
"HDFC","24-Dec-2012","31-Jan-2013","840.35","849","833.9","837.4","834.5","837.4","4346","18286.82","4678500","1837500","        828.70"
"HDFC","24-Dec-2012","28-Feb-2013","847.1","850.6","840","841","840","841","4","16.9","46000","0","        828.70"
"HDFC","26-Dec-2012","27-Dec-2012","830.05","839","822.5","836.25","836.75","836.25","4996","20787.23","3284000","-1414500","        834.70"
"HDFC","26-Dec-2012","31-Jan-2013","836.45","846.55","830","843.7","844.6","843.7","4109","17250","6084500","1406000","        834.70"
"HDFC","26-Dec-2012","28-Feb-2013","836","853","836","849.3","850","849.3","64","271.47","63500","17500","        834.70"
"HDFC","27-Dec-2012","27-Dec-2012","838.7","840.9","826.1","828.3","828.75","828.45","4684","19464.7","2374000","-910000","        828.45"
"HDFC","27-Dec-2012","31-Jan-2013","846.75","848","833","835.6","837.35","835.6","5010","20979.04","7856500","1772000","        828.45"
"HDFC","27-Dec-2012","28-Feb-2013","853","853","840","841.4","842","841.4","55","232.27","79000","15500","        828.45"
"HDFC","28-Dec-2012","31-Jan-2013","836.9","847.15","834.25","842.3","841.05","842.3","2569","10791.8","7815500","-41000","        834.40"
"HDFC","28-Dec-2012","28-Feb-2013","843","850","840.15","847.75","847","847.75","82","346.7","86000","7000","        834.40"
"HDFC","28-Dec-2012","28-Mar-2013","851.1","851.1","851.1","851.1","851.1","851.1","1","4.26","500","500","        834.40"
"HDFC","31-Dec-2012","31-Jan-2013","841.35","842.65","835.2","836.95","836.75","836.95","1276","5343.87","7862000","46500","        828.85"
"HDFC","31-Dec-2012","28-Feb-2013","846","846","841.55","842.7","842.55","842.7","32","134.99","90000","4000","        828.85"
"HDFC","31-Dec-2012","28-Mar-2013","0","0","0","851.1","851.1","846.7","0","0","500","0","        828.85"
