"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFCBANK","02-Jul-2007","26-Jul-2007","1150","1150","1126.65","1141.15","1142.9","1141.15","3241","7380.64","1666400","76600","       1147.55"
"HDFCBANK","02-Jul-2007","30-Aug-2007","0","0","0","1115","1115","1164.95","0","0","400","0","       1147.55"
"HDFCBANK","02-Jul-2007","27-Sep-2007","0","0","0","1123.6","0","1173.3","0","0","0","0","       1147.55"
"HDFCBANK","03-Jul-2007","26-Jul-2007","1149","1167.8","1142.2","1151.1","1151","1151.1","3121","7210.74","1724600","58200","       1150.50"
"HDFCBANK","03-Jul-2007","30-Aug-2007","1153","1153","1153","1153","1153","1167.3","1","2.31","400","0","       1150.50"
"HDFCBANK","03-Jul-2007","27-Sep-2007","0","0","0","1123.6","0","1175.5","0","0","0","0","       1150.50"
"HDFCBANK","04-Jul-2007","26-Jul-2007","1150","1150","1129.8","1145","1146","1145","1742","3971.67","1735000","10400","       1150.75"
"HDFCBANK","04-Jul-2007","30-Aug-2007","1170","1170","1105.9","1154.9","1154.9","1166.5","3","6.86","800","400","       1150.75"
"HDFCBANK","04-Jul-2007","27-Sep-2007","0","0","0","1123.6","0","1174.3","0","0","0","0","       1150.75"
"HDFCBANK","05-Jul-2007","26-Jul-2007","1150","1153","1126","1133.4","1139","1133.4","2568","5845.1","1718400","-16600","       1129.10"
"HDFCBANK","05-Jul-2007","30-Aug-2007","1132","1132","1132","1132","1132","1132","1","2.26","800","0","       1129.10"
"HDFCBANK","05-Jul-2007","27-Sep-2007","0","0","0","1123.6","0","1151.8","0","0","0","0","       1129.10"
"HDFCBANK","06-Jul-2007","26-Jul-2007","1139.8","1155.7","1120.15","1151.5","1152.65","1151.5","3631","8308.24","1792600","74200","       1158.30"
"HDFCBANK","06-Jul-2007","30-Aug-2007","1148","1153","1148","1153","1153","1173.25","3","6.91","600","-200","       1158.30"
