"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFCBANK","03-Mar-2014","27-Mar-2014","667.05","672","662","664.65","663.75","664.65","7090","23647.78","10065000","-385500","        666.20"
"HDFCBANK","03-Mar-2014","24-Apr-2014","670.3","675.1","668","669.45","669.45","675.4","21","70.47","16500","1500","        666.20"
"HDFCBANK","03-Mar-2014","29-May-2014","0","0","0","694.05","0","681.65","0","0","0","0","        666.20"
"HDFCBANK","04-Mar-2014","27-Mar-2014","666.5","674.15","664.15","672.85","671.8","672.85","9152","30695.64","10298500","233500","        671.70"
"HDFCBANK","04-Mar-2014","24-Apr-2014","665","678","665","677.85","678","677.85","59","199.24","27000","10500","        671.70"
"HDFCBANK","04-Mar-2014","29-May-2014","0","0","0","694.05","0","687.65","0","0","0","0","        671.70"
"HDFCBANK","05-Mar-2014","27-Mar-2014","675.4","675.4","662.55","671.75","670.55","671.75","10908","36427.43","10963000","664500","        669.75"
"HDFCBANK","05-Mar-2014","24-Apr-2014","674.65","677.6","667.45","677.6","677.6","677.6","84","281.95","43000","16000","        669.75"
"HDFCBANK","05-Mar-2014","29-May-2014","0","0","0","694.05","0","685.35","0","0","0","0","        669.75"
"HDFCBANK","06-Mar-2014","27-Mar-2014","673.2","681.15","668.95","679.2","680","679.2","9991","33746.07","11408500","445500","        675.60"
"HDFCBANK","06-Mar-2014","24-Apr-2014","678.1","685","674.05","683.5","683.4","683.5","41","139.45","45500","2500","        675.60"
"HDFCBANK","06-Mar-2014","29-May-2014","683","683","683","683","683","691.4","1","3.42","500","500","        675.60"
"HDFCBANK","07-Mar-2014","27-Mar-2014","683.1","719.9","678","716.4","716.15","716.4","29888","104938.69","13490500","2082000","        711.45"
"HDFCBANK","07-Mar-2014","24-Apr-2014","686.05","724.95","683.55","721.6","722.3","721.6","535","1896","220000","174500","        711.45"
"HDFCBANK","07-Mar-2014","29-May-2014","732.8","732.8","724.95","725","725","725","3","10.91","1500","1000","        711.45"
"HDFCBANK","10-Mar-2014","27-Mar-2014","712.9","743","712.55","740.25","742.45","740.25","31102","113767.79","17001500","3511000","        734.45"
"HDFCBANK","10-Mar-2014","24-Apr-2014","729.4","748.7","724.05","745.55","747.45","745.55","702","2587.36","439500","219500","        734.45"
"HDFCBANK","10-Mar-2014","29-May-2014","727.5","727.5","727.5","727.5","727.5","750.75","1","3.64","1500","0","        734.45"
"HDFCBANK","11-Mar-2014","27-Mar-2014","740","745.5","725.55","730.95","733","730.95","18010","66077.23","17404000","402500","        725.15"
"HDFCBANK","11-Mar-2014","24-Apr-2014","747.95","748.3","731.9","736","738.75","736","1614","5950.43","1000500","561000","        725.15"
"HDFCBANK","11-Mar-2014","29-May-2014","739.85","739.85","739.85","739.85","739.85","740.95","1","3.7","2000","500","        725.15"
"HDFCBANK","12-Mar-2014","27-Mar-2014","725.8","738.85","721.75","731.55","732","731.55","12964","47348.03","17116500","-287500","        725.55"
"HDFCBANK","12-Mar-2014","24-Apr-2014","732","745","728","737","735.1","737","2131","7858.98","1868500","868000","        725.55"
"HDFCBANK","12-Mar-2014","29-May-2014","0","0","0","739.85","739.85","741.1","0","0","2000","0","        725.55"
"HDFCBANK","13-Mar-2014","27-Mar-2014","735.95","755.95","732.75","748.2","747.2","748.2","16766","62665.41","18900000","1783500","        742.35"
"HDFCBANK","13-Mar-2014","24-Apr-2014","742.25","762.6","742.25","754.8","753.5","754.8","1079","4067.58","2213500","345000","        742.35"
"HDFCBANK","13-Mar-2014","29-May-2014","755.8","761","755.8","757.95","759.65","757.95","5","18.96","3000","1000","        742.35"
"HDFCBANK","14-Mar-2014","27-Mar-2014","739","744.55","730.1","738.8","739.05","738.8","14422","53193.73","19998500","1098500","        732.15"
"HDFCBANK","14-Mar-2014","24-Apr-2014","748","750.75","736.9","745.5","744.3","745.5","1563","5810.81","2666500","453000","        732.15"
"HDFCBANK","14-Mar-2014","29-May-2014","750.05","750.05","744.6","748.4","748.4","747.45","9","33.66","6500","3500","        732.15"
"HDFCBANK","18-Mar-2014","27-Mar-2014","743.7","749.8","733.75","740.15","738.3","740.15","10517","39017.14","20525500","527000","        734.00"
"HDFCBANK","18-Mar-2014","24-Apr-2014","753.55","756.05","740.95","746.85","745","746.85","1171","4381.86","2989500","323000","        734.00"
"HDFCBANK","18-Mar-2014","29-May-2014","752.8","753","751.85","753","753","748.95","12","45.15","11500","5000","        734.00"
"HDFCBANK","19-Mar-2014","27-Mar-2014","746.55","749","741.5","744.55","747.35","744.55","9001","33503.71","20616500","91000","        738.45"
"HDFCBANK","19-Mar-2014","24-Apr-2014","751.9","754","748.4","751.2","753","751.2","1536","5767.56","3500000","510500","        738.45"
"HDFCBANK","19-Mar-2014","29-May-2014","0","0","0","753","753","753.25","0","0","11500","0","        738.45"
"HDFCBANK","20-Mar-2014","27-Mar-2014","743.55","743.95","733.3","735.6","736.5","735.6","8275","30489.36","20653500","37000","        730.20"
"HDFCBANK","20-Mar-2014","24-Apr-2014","746","749.8","740.05","742.25","743","742.25","1603","5954.51","3957000","457000","        730.20"
"HDFCBANK","20-Mar-2014","29-May-2014","0","0","0","753","753","744.25","0","0","11500","0","        730.20"
"HDFCBANK","21-Mar-2014","27-Mar-2014","741.5","742.45","736.4","739.3","739","739.3","13827","51128.34","20351500","-302000","        733.85"
"HDFCBANK","21-Mar-2014","24-Apr-2014","746","749","743","746.35","746","746.35","5280","19710.79","6033000","2076000","        733.85"
"HDFCBANK","21-Mar-2014","29-May-2014","0","0","0","753","753","747.95","0","0","11500","0","        733.85"
"HDFCBANK","22-Mar-2014","27-Mar-2014","739.4","739.75","734.9","736.75","737.95","736.75","747","2750.77","20322500","-29000","        732.40"
"HDFCBANK","22-Mar-2014","24-Apr-2014","746.35","746.35","741.95","743.5","744.3","743.5","218","810.32","6065500","32500","        732.40"
"HDFCBANK","22-Mar-2014","29-May-2014","749.9","749.9","749.9","749.9","749.9","749.9","1","3.75","12000","500","        732.40"
"HDFCBANK","24-Mar-2014","27-Mar-2014","739.35","758","738.4","756.35","757.85","756.35","21400","80515.66","17312500","-3010000","        750.65"
"HDFCBANK","24-Mar-2014","24-Apr-2014","746","765.7","745.3","764.15","765.2","764.15","13827","52568.86","11332000","5266500","        750.65"
"HDFCBANK","24-Mar-2014","29-May-2014","755.5","770","755.5","768.6","770","768.6","68","260.86","43500","31500","        750.65"
"HDFCBANK","25-Mar-2014","27-Mar-2014","755","765.3","751.55","754.2","754.6","754.2","23543","89196.12","12361500","-4951000","        750.15"
"HDFCBANK","25-Mar-2014","24-Apr-2014","757.8","772.85","757.8","762.3","762.95","762.3","20477","78410.29","16161500","4829500","        750.15"
"HDFCBANK","25-Mar-2014","29-May-2014","775.45","778","766.6","768.15","769.2","768.15","218","844.32","114000","70500","        750.15"
"HDFCBANK","26-Mar-2014","27-Mar-2014","757","761","747","748.8","749.55","748.8","20629","77416.09","8059000","-4302500","        746.05"
"HDFCBANK","26-Mar-2014","24-Apr-2014","765.4","767.5","755.5","758","758.7","758","19108","72553.34","21358000","5196500","        746.05"
"HDFCBANK","26-Mar-2014","29-May-2014","772.2","772.2","762.35","764","764","759.1","70","267.72","119000","5000","        746.05"
"HDFCBANK","27-Mar-2014","27-Mar-2014","752.55","761.7","744.1","749.55","746.85","746.75","23325","87666.08","5766500","-2292500","        746.75"
"HDFCBANK","27-Mar-2014","24-Apr-2014","761.45","770","753.25","757.3","755.95","757.3","26735","101607.04","27138500","5780500","        746.75"
"HDFCBANK","27-Mar-2014","29-May-2014","763.6","775","759.4","761.9","760.65","761.9","46","175.64","127500","8500","        746.75"
"HDFCBANK","28-Mar-2014","24-Apr-2014","770","770","744.5","754.1","755","754.1","14518","54562.05","27404500","266000","        744.95"
"HDFCBANK","28-Mar-2014","29-May-2014","761.2","762.9","751","760","760.5","760","260","985.11","200000","72500","        744.95"
"HDFCBANK","28-Mar-2014","26-Jun-2014","0","0","0","765.3","0","763.15","0","0","0","0","        744.95"
"HDFCBANK","31-Mar-2014","24-Apr-2014","757.1","761","751.9","756.6","755.85","756.6","8665","32781.64","27578500","174000","        748.80"
"HDFCBANK","31-Mar-2014","29-May-2014","760.4","766.3","759.55","763.35","762","763.35","335","1278.54","318000","118000","        748.80"
"HDFCBANK","31-Mar-2014","26-Jun-2014","0","0","0","765.3","0","766.45","0","0","0","0","        748.80"
"HDFCBANK","01-Apr-2014","24-Apr-2014","758.35","761","739.1","746","746.45","746","14137","52964.94","27658500","80000","        738.10"
"HDFCBANK","01-Apr-2014","29-May-2014","765","765.4","747.9","753.1","753.25","753.1","797","3013.36","608000","290000","        738.10"
"HDFCBANK","01-Apr-2014","26-Jun-2014","749.9","749.9","748.75","748.75","748.75","755.3","3","11.24","1500","1500","        738.10"
"HDFCBANK","02-Apr-2014","24-Apr-2014","753.75","753.8","729.2","740.6","743.3","740.6","14721","54374.66","28273000","614500","        731.90"
"HDFCBANK","02-Apr-2014","29-May-2014","751.25","755","737","745.85","750.5","745.85","832","3098.39","897500","289500","        731.90"
"HDFCBANK","02-Apr-2014","26-Jun-2014","752.3","752.3","736","739.2","739.2","748.1","37","138.31","19500","18000","        731.90"
"HDFCBANK","03-Apr-2014","24-Apr-2014","744.5","746.6","734.7","736.4","735.9","736.4","11874","43899.48","28329500","56500","        728.80"
"HDFCBANK","03-Apr-2014","29-May-2014","751.45","752","742.95","743.7","745","743.7","203","757.41","928500","31000","        728.80"
"HDFCBANK","03-Apr-2014","26-Jun-2014","748.75","748.75","741.8","741.6","741.8","741.6","21","78.36","28000","8500","        728.80"
"HDFCBANK","04-Apr-2014","24-Apr-2014","735.5","740.85","728","734.4","735","734.4","10534","38686.43","29498500","1169000","        725.45"
"HDFCBANK","04-Apr-2014","29-May-2014","739.9","747","736","742.35","743","742.35","249","923.21","937000","8500","        725.45"
"HDFCBANK","04-Apr-2014","26-Jun-2014","0","0","0","741.6","741.8","741.2","0","0","28000","0","        725.45"
"HDFCBANK","07-Apr-2014","24-Apr-2014","735.25","739.7","732.25","734.8","732.5","734.8","12289","45249.77","30758000","1259500","        725.35"
"HDFCBANK","07-Apr-2014","29-May-2014","742.1","747.15","740.4","742.4","740.4","742.4","384","1429.42","970000","33000","        725.35"
"HDFCBANK","07-Apr-2014","26-Jun-2014","742","742","742","742","742","740.45","1","3.71","28500","500","        725.35"
"HDFCBANK","09-Apr-2014","24-Apr-2014","736.9","751.95","730.1","749.15","751","749.15","16096","59594.4","30851500","93500","        741.85"
"HDFCBANK","09-Apr-2014","29-May-2014","744.6","760","739","757.3","759.65","757.3","1855","6913.6","1566000","596000","        741.85"
"HDFCBANK","09-Apr-2014","26-Jun-2014","738.6","757.9","738.6","757.6","757.9","757.6","3","11.27","29000","500","        741.85"
"HDFCBANK","10-Apr-2014","24-Apr-2014","751.15","754.9","742.25","745.85","743","745.85","11224","42046.52","30540500","-311000","        739.40"
"HDFCBANK","10-Apr-2014","29-May-2014","757.6","763.65","752","755.7","752","755.7","1316","4984.66","1981000","415000","        739.40"
"HDFCBANK","10-Apr-2014","26-Jun-2014","755.5","755.5","750.7","750.7","750.7","750.7","3","11.31","29500","500","        739.40"
"HDFCBANK","11-Apr-2014","24-Apr-2014","741.6","751","740.35","743.95","743","743.95","8748","32578.36","30293500","-247000","        738.15"
"HDFCBANK","11-Apr-2014","29-May-2014","750.4","759","749.5","752.5","752.05","752.5","680","2563.1","2113500","132500","        738.15"
"HDFCBANK","11-Apr-2014","26-Jun-2014","0","0","0","750.7","750.7","752.65","0","0","29500","0","        738.15"
"HDFCBANK","15-Apr-2014","24-Apr-2014","707.5","745.9","707.45","727.9","729","727.9","11721","42750.15","29663500","-630000","        723.95"
"HDFCBANK","15-Apr-2014","29-May-2014","759.45","759.45","732.95","736.15","737","736.15","1429","5274.36","2481000","367500","        723.95"
"HDFCBANK","15-Apr-2014","26-Jun-2014","739.45","739.45","734","734.5","734.5","737.25","9","33.15","31000","1500","        723.95"
"HDFCBANK","16-Apr-2014","24-Apr-2014","729.75","735.2","724.15","729.3","730","729.3","11867","43368.38","28055500","-1608000","        725.95"
"HDFCBANK","16-Apr-2014","29-May-2014","739","743.95","733.05","738.35","738.6","738.35","5114","18926.53","4574000","2093000","        725.95"
"HDFCBANK","16-Apr-2014","26-Jun-2014","740.7","740.7","736.3","737.45","738.6","737.45","5","18.47","31500","500","        725.95"
"HDFCBANK","17-Apr-2014","24-Apr-2014","724","724.75","711.1","721.1","720.45","721.1","24206","86792.88","24312000","-3743500","        718.70"
"HDFCBANK","17-Apr-2014","29-May-2014","736","736","719.9","729.4","728.75","729.4","11947","43311.2","8301000","3727000","        718.70"
"HDFCBANK","17-Apr-2014","26-Jun-2014","720","733","720","731.4","730","731.4","14","50.77","37000","5500","        718.70"
"HDFCBANK","21-Apr-2014","24-Apr-2014","725.6","729","715.05","719.7","717.75","719.7","27768","100141.33","16808500","-7503500","        716.45"
"HDFCBANK","21-Apr-2014","29-May-2014","732.9","737","724.05","728.8","726.55","728.8","21444","78255.72","15906000","7605000","        716.45"
"HDFCBANK","21-Apr-2014","26-Jun-2014","730","731.35","724.5","730","730","730","8","29.22","38500","1500","        716.45"
"HDFCBANK","22-Apr-2014","24-Apr-2014","722.05","730.75","719.35","728.4","730.2","728.4","26949","97792.77","11717000","-5091500","        727.55"
"HDFCBANK","22-Apr-2014","29-May-2014","729","740","728.5","737.35","739.4","737.35","19697","72370.82","21566500","5660500","        727.55"
"HDFCBANK","22-Apr-2014","26-Jun-2014","734.1","738","731","738.4","738","738.4","58","213.26","45000","6500","        727.55"
"HDFCBANK","23-Apr-2014","24-Apr-2014","727.85","735.5","723.8","732.6","733.35","733","26323","96060.64","6547000","-5170000","        733.00"
"HDFCBANK","23-Apr-2014","29-May-2014","736","751.25","732.9","745","749","745","29260","108315.39","29816000","8249500","        733.00"
"HDFCBANK","23-Apr-2014","26-Jun-2014","735.85","751","735.85","746.7","749.8","746.7","30","111.55","48000","3000","        733.00"
"HDFCBANK","25-Apr-2014","29-May-2014","743.5","748","735.3","737.35","736.5","737.35","10856","40164.31","30228000","412000","        726.40"
"HDFCBANK","25-Apr-2014","26-Jun-2014","742.4","746","736.5","738.4","739","738.4","184","680.36","105000","57000","        726.40"
"HDFCBANK","25-Apr-2014","31-Jul-2014","0","0","0","751.5","0","744.5","0","0","0","0","        726.40"
"HDFCBANK","28-Apr-2014","29-May-2014","733.75","738.8","730.25","735.9","737.3","735.9","7261","26687.83","31116000","888000","        725.20"
"HDFCBANK","28-Apr-2014","26-Jun-2014","733.6","737.85","731.7","736.8","737.8","736.8","193","708.57","142500","37500","        725.20"
"HDFCBANK","28-Apr-2014","31-Jul-2014","0","0","0","751.5","0","742.7","0","0","0","0","        725.20"
"HDFCBANK","29-Apr-2014","29-May-2014","737.65","738.95","722","725.65","726.5","725.65","8686","31612.94","31435000","319000","        715.80"
"HDFCBANK","29-Apr-2014","26-Jun-2014","734.4","735.8","724.5","727.8","728","727.8","202","736.27","209000","66500","        715.80"
"HDFCBANK","29-Apr-2014","31-Jul-2014","0","0","0","751.5","0","732.8","0","0","0","0","        715.80"
"HDFCBANK","30-Apr-2014","29-May-2014","724.1","738.45","721.55","727.85","733","727.85","13131","47933.75","31606000","171000","        721.30"
"HDFCBANK","30-Apr-2014","26-Jun-2014","725.25","738.95","723.95","729.15","735","729.15","363","1328.88","337500","128500","        721.30"
"HDFCBANK","30-Apr-2014","31-Jul-2014","0","0","0","751.5","0","738.3","0","0","0","0","        721.30"
