"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFCBANK","02-May-2019","30-May-2019","2324","2358.6","2322.2","2353","2353","2353","21239","124587.64","11405250","-423250","       2355.80"
"HDFCBANK","02-May-2019","27-Jun-2019","2340.3","2364.6","2329.6","2359.45","2361.1","2359.45","191","1123.95","140000","12250","       2355.80"
"HDFCBANK","02-May-2019","25-Jul-2019","2345","2366.4","2345","2365.3","2366.4","2365.3","5","29.46","1500","1000","       2355.80"
"HDFCBANK","03-May-2019","30-May-2019","2361.2","2377.3","2359.6","2367.85","2368","2367.85","16362","96887.61","11335750","-69500","       2367.95"
"HDFCBANK","03-May-2019","27-Jun-2019","2367.7","2393.85","2366.65","2374","2373.4","2374","145","861.17","158750","18750","       2367.95"
"HDFCBANK","03-May-2019","25-Jul-2019","2380","2389","2379.7","2381.1","2381.1","2381.1","20","119.12","4250","2750","       2367.95"
"HDFCBANK","06-May-2019","30-May-2019","2352.2","2358.1","2332.3","2342.1","2342","2342.1","15031","88104.22","11367500","31750","       2328.45"
"HDFCBANK","06-May-2019","27-Jun-2019","2351.3","2361.45","2340.4","2349.55","2349","2349.55","238","1397.74","170500","11750","       2328.45"
"HDFCBANK","06-May-2019","25-Jul-2019","2356.6","2364","2356.6","2357.5","2357.5","2365.15","20","118.03","8750","4500","       2328.45"
"HDFCBANK","07-May-2019","30-May-2019","2361.7","2363.9","2330.45","2334.6","2333","2334.6","18408","108123.28","11221250","-146250","       2322.35"
"HDFCBANK","07-May-2019","27-Jun-2019","2363.6","2369.15","2339","2342","2339","2342","426","2507.9","212000","41500","       2322.35"
"HDFCBANK","07-May-2019","25-Jul-2019","2369","2371.5","2350.7","2350.7","2350.7","2350.7","6","35.47","9750","1000","       2322.35"
"HDFCBANK","08-May-2019","30-May-2019","2330.5","2332.25","2300.2","2316.5","2318.95","2316.5","19429","112593.47","11190500","-30750","       2307.25"
"HDFCBANK","08-May-2019","27-Jun-2019","2329.6","2336.35","2309.8","2325.3","2327.6","2325.3","366","2129.28","261750","49750","       2307.25"
"HDFCBANK","08-May-2019","25-Jul-2019","2337","2341","2320.05","2320.05","2320.05","2342.65","9","52.47","11250","1500","       2307.25"
"HDFCBANK","09-May-2019","30-May-2019","2308.6","2309.9","2281","2296.95","2297.55","2296.95","15956","91598.46","10841750","-348750","       2290.90"
"HDFCBANK","09-May-2019","27-Jun-2019","2312.4","2317","2289.65","2305.1","2306.5","2305.1","206","1187.16","281250","19500","       2290.90"
"HDFCBANK","09-May-2019","25-Jul-2019","2318.15","2318.15","2300","2300","2300","2325.65","2","11.55","11500","250","       2290.90"
"HDFCBANK","10-May-2019","30-May-2019","2301.6","2326.4","2292.2","2296.95","2295.05","2296.95","16665","96153.64","10329000","-512750","       2296.50"
"HDFCBANK","10-May-2019","27-Jun-2019","2308","2330.5","2301.25","2304.45","2305.9","2304.45","201","1161.47","310000","28750","       2296.50"
"HDFCBANK","10-May-2019","25-Jul-2019","2315.9","2334","2315.9","2324.15","2324.15","2331","6","34.86","12500","1000","       2296.50"
"HDFCBANK","13-May-2019","30-May-2019","2298.6","2319.7","2281.25","2298.65","2296.2","2298.65","17431","100336.28","10751750","422750","       2287.20"
"HDFCBANK","13-May-2019","27-Jun-2019","2298.1","2325.05","2289.05","2305.9","2302","2305.9","550","3175.58","367500","57500","       2287.20"
"HDFCBANK","13-May-2019","25-Jul-2019","2307","2326.55","2307","2310.15","2310.15","2310.15","6","34.73","13250","750","       2287.20"
"HDFCBANK","14-May-2019","30-May-2019","2307.25","2322","2285.7","2298.05","2300","2298.05","18625","107069.26","10596750","-155000","       2287.90"
"HDFCBANK","14-May-2019","27-Jun-2019","2300.4","2327","2280.15","2303.05","2302.95","2303.05","1229","7076.4","500250","132750","       2287.90"
"HDFCBANK","14-May-2019","25-Jul-2019","2305.75","2329","2302.35","2310.8","2310.8","2310.8","23","133.02","15500","2250","       2287.90"
"HDFCBANK","15-May-2019","30-May-2019","2307.2","2313.9","2285.7","2290.15","2288.5","2290.15","15109","86949.19","10337000","-259750","       2286.70"
"HDFCBANK","15-May-2019","27-Jun-2019","2314.75","2319","2292","2296.55","2296.55","2296.55","666","3835.7","593750","93500","       2286.70"
"HDFCBANK","15-May-2019","25-Jul-2019","2317.65","2322.75","2303.15","2303.15","2303.15","2303.15","6","34.76","16000","500","       2286.70"
"HDFCBANK","16-May-2019","30-May-2019","2284.6","2327.85","2282.65","2319.65","2322.15","2319.65","15320","88233.45","10345000","8000","       2310.65"
