"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFCBANK","01-Nov-2011","24-Nov-2011","488.6","496","483","485.5","484.5","485.5","6937","21184.36","17368750","171875","        482.30"
"HDFCBANK","01-Nov-2011","29-Dec-2011","492.2","496.9","485.95","487.85","487.55","487.85","78","238.96","341875","31875","        482.30"
"HDFCBANK","01-Nov-2011","25-Jan-2012","0","0","0","479.4","0","493.2","0","0","0","0","        482.30"
"HDFCBANK","02-Nov-2011","24-Nov-2011","483.1","491.9","481.45","486.35","484.95","486.35","5017","15312.18","17136250","-232500","        483.10"
"HDFCBANK","02-Nov-2011","29-Dec-2011","485.05","493.35","485.05","488.4","487.4","488.4","70","214.19","345625","3750","        483.10"
"HDFCBANK","02-Nov-2011","25-Jan-2012","0","0","0","479.4","0","493.9","0","0","0","0","        483.10"
"HDFCBANK","03-Nov-2011","24-Nov-2011","486.05","487","475.1","484.3","485.2","484.3","5783","17372.54","17463750","327500","        481.85"
"HDFCBANK","03-Nov-2011","29-Dec-2011","485","488.15","478","486.3","486.9","486.3","114","343.11","335625","-10000","        481.85"
"HDFCBANK","03-Nov-2011","25-Jan-2012","0","0","0","479.4","0","492.45","0","0","0","0","        481.85"
"HDFCBANK","04-Nov-2011","24-Nov-2011","488.4","489.65","482.85","485.6","485.15","485.6","4420","13421.33","17685625","221875","        483.00"
"HDFCBANK","04-Nov-2011","29-Dec-2011","488.55","489.95","486.1","488.4","488.05","488.4","48","146.42","346250","10625","        483.00"
"HDFCBANK","04-Nov-2011","25-Jan-2012","0","0","0","479.4","0","493.5","0","0","0","0","        483.00"
"HDFCBANK","08-Nov-2011","24-Nov-2011","485.95","489.05","480.15","487.15","486.1","487.15","4600","13938.74","17575000","-110625","        484.25"
"HDFCBANK","08-Nov-2011","29-Dec-2011","489.6","490.85","483","490.05","489.9","490.05","72","219.37","361250","15000","        484.25"
"HDFCBANK","08-Nov-2011","25-Jan-2012","0","0","0","479.4","0","494.3","0","0","0","0","        484.25"
"HDFCBANK","09-Nov-2011","24-Nov-2011","486.2","487.5","476.25","478.65","478.2","478.65","6065","18268.62","17205000","-370000","        477.25"
"HDFCBANK","09-Nov-2011","29-Dec-2011","485.5","487.75","479.1","480.75","481.2","480.75","203","614.16","391250","30000","        477.25"
"HDFCBANK","09-Nov-2011","25-Jan-2012","0","0","0","479.4","0","487.05","0","0","0","0","        477.25"
"HDFCBANK","11-Nov-2011","24-Nov-2011","476.6","480.35","465","466.5","466.3","466.5","6382","18800.53","17345000","140000","        464.05"
"HDFCBANK","11-Nov-2011","29-Dec-2011","476.1","481.25","468.2","469.2","469.35","469.2","387","1143.02","534375","143125","        464.05"
"HDFCBANK","11-Nov-2011","25-Jan-2012","0","0","0","479.4","0","473.25","0","0","0","0","        464.05"
"HDFCBANK","14-Nov-2011","24-Nov-2011","472","480.7","470.05","471.95","471.65","471.95","6466","19243.65","17463750","118750","        471.40"
"HDFCBANK","14-Nov-2011","29-Dec-2011","479.55","483","473.35","474.25","474.85","474.25","226","676.39","591250","56875","        471.40"
"HDFCBANK","14-Nov-2011","25-Jan-2012","0","0","0","479.4","0","480.4","0","0","0","0","        471.40"
"HDFCBANK","15-Nov-2011","24-Nov-2011","471.7","478.5","469","471.45","470.05","471.45","5385","15962.61","17381875","-81875","        472.25"
"HDFCBANK","15-Nov-2011","29-Dec-2011","475","481.1","472","474.05","472.2","474.05","515","1536.88","805625","214375","        472.25"
"HDFCBANK","15-Nov-2011","25-Jan-2012","0","0","0","479.4","0","481.15","0","0","0","0","        472.25"
"HDFCBANK","16-Nov-2011","24-Nov-2011","468.2","472.5","461.4","466.7","471.4","466.7","10029","29310.8","15861875","-1520000","        465.70"
"HDFCBANK","16-Nov-2011","29-Dec-2011","469.5","475.1","464.25","469.4","472.75","469.4","2692","7904.88","2313125","1507500","        465.70"
"HDFCBANK","16-Nov-2011","25-Jan-2012","0","0","0","479.4","0","474.3","0","0","0","0","        465.70"
"HDFCBANK","17-Nov-2011","24-Nov-2011","465.45","470.9","456.05","457.75","458","457.75","8362","24116.7","14981875","-880000","        459.35"
"HDFCBANK","17-Nov-2011","29-Dec-2011","467.8","473.45","459.1","460.4","461.5","460.4","1459","4230.77","2913125","600000","        459.35"
"HDFCBANK","17-Nov-2011","25-Jan-2012","468.65","468.65","468.65","468.65","468.65","467.7","1","2.34","500","500","        459.35"
"HDFCBANK","18-Nov-2011","24-Nov-2011","452.2","462.05","451.05","459.85","460.65","459.85","9905","28277.7","13883750","-1098125","        458.30"
"HDFCBANK","18-Nov-2011","29-Dec-2011","456.95","465","454.15","462.85","464.3","462.85","3515","10081.47","4361250","1448125","        458.30"
"HDFCBANK","18-Nov-2011","25-Jan-2012","0","0","0","468.65","468.65","466.55","0","0","500","0","        458.30"
"HDFCBANK","21-Nov-2011","24-Nov-2011","442.65","457.05","442.15","445.25","443.7","445.25","9841","27670.94","10920625","-2963125","        444.65"
"HDFCBANK","21-Nov-2011","29-Dec-2011","457.25","457.25","445","447.5","445","447.5","5708","16172.89","6875625","2514375","        444.65"
"HDFCBANK","21-Nov-2011","25-Jan-2012","450","450","450","450","450","450","1","2.25","1000","500","        444.65"
"HDFCBANK","22-Nov-2011","24-Nov-2011","447.2","450.55","439.25","442.85","442.6","442.85","12068","33662.03","7625625","-3295000","        444.05"
"HDFCBANK","22-Nov-2011","29-Dec-2011","448.9","453.1","442.15","445.3","445.05","445.3","7385","20728.21","9220000","2344375","        444.05"
"HDFCBANK","22-Nov-2011","25-Jan-2012","450","450","445","448","448","448","8","17.97","4000","3000","        444.05"
"HDFCBANK","23-Nov-2011","24-Nov-2011","440.2","440.2","414.5","425.75","424.5","425.75","13568","36072.7","5541250","-2084375","        426.10"
"HDFCBANK","23-Nov-2011","29-Dec-2011","442.05","442.05","417.5","427.3","426","427.3","11120","29713.69","12114375","2894375","        426.10"
"HDFCBANK","23-Nov-2011","25-Jan-2012","438.65","440","396","430.45","430.45","430.45","37","79","9500","5500","        426.10"
"HDFCBANK","24-Nov-2011","24-Nov-2011","425.95","434.75","411.25","431.35","429.7","429.65","11128","29314.32","3897500","-1643750","        429.65"
"HDFCBANK","24-Nov-2011","29-Dec-2011","427.9","437.95","414.15","432.95","429.5","432.95","10786","28656.17","14004375","1890000","        429.65"
"HDFCBANK","24-Nov-2011","25-Jan-2012","424.4","436.55","417.65","435","435","435","28","59.85","11000","1500","        429.65"
"HDFCBANK","25-Nov-2011","29-Dec-2011","428.1","435","421.1","431.7","432.7","431.7","9201","24703.07","13701875","-302500","        430.90"
"HDFCBANK","25-Nov-2011","25-Jan-2012","424.25","435.4","424.25","432.8","435","432.8","35","75.42","15500","4500","        430.90"
"HDFCBANK","25-Nov-2011","23-Feb-2012","0","0","0","440","0","441.25","0","0","0","0","        430.90"
"HDFCBANK","28-Nov-2011","29-Dec-2011","436.1","448","435.25","444.8","446.45","444.8","6701","18484.86","13908125","206250","        440.85"
"HDFCBANK","28-Nov-2011","25-Jan-2012","442","448","440.75","447.7","448","447.7","26","57.66","18500","3000","        440.85"
"HDFCBANK","28-Nov-2011","23-Feb-2012","0","0","0","440","0","451.1","0","0","0","0","        440.85"
"HDFCBANK","29-Nov-2011","29-Dec-2011","445.8","446.95","433.2","436.35","433.85","436.35","7532","20751.61","14008750","100625","        435.20"
"HDFCBANK","29-Nov-2011","25-Jan-2012","448","448","436","436.35","436","436.35","59","130.17","30500","12000","        435.20"
"HDFCBANK","29-Nov-2011","23-Feb-2012","0","0","0","440","0","445.2","0","0","0","0","        435.20"
"HDFCBANK","30-Nov-2011","29-Dec-2011","430.75","449.8","430.45","442.65","444","442.65","12195","33618.28","14102500","93750","        442.50"
"HDFCBANK","30-Nov-2011","25-Jan-2012","435","451","435","445.25","444","445.25","104","230.84","28000","-2500","        442.50"
"HDFCBANK","30-Nov-2011","23-Feb-2012","450","450","450","450","450","452.55","2","4.5","1000","1000","        442.50"
"HDFCBANK","01-Dec-2011","29-Dec-2011","452","468.25","452","456.8","455.5","456.8","9664","27753.09","13945625","-156875","        453.50"
"HDFCBANK","01-Dec-2011","25-Jan-2012","462.2","470.95","455.8","458.9","458.1","458.9","40","92.32","27500","-500","        453.50"
"HDFCBANK","01-Dec-2011","23-Feb-2012","462.5","462.5","462.5","462.5","462.5","463.65","3","6.94","2500","1500","        453.50"
"HDFCBANK","02-Dec-2011","29-Dec-2011","458","471.3","456.05","469.75","470.25","469.75","7573","21982.47","14540000","594375","        466.00"
