"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HEROHONDA","01-Jan-2008","31-Jan-2008","703","703.95","695","700.8","701.65","700.8","313","876.52","834000","42400","        698.45"
"HEROHONDA","01-Jan-2008","28-Feb-2008","0","0","0","708.85","708.85","708.2","0","0","400","0","        698.45"
"HEROHONDA","01-Jan-2008","27-Mar-2008","0","0","0","719.65","0","712.95","0","0","0","0","        698.45"
"HEROHONDA","02-Jan-2008","31-Jan-2008","696.1","705.9","691","704.05","702.6","704.05","580","1620.69","852000","18000","        698.75"
"HEROHONDA","02-Jan-2008","28-Feb-2008","696","707","696","707","707","707","5","14.02","1600","1200","        698.75"
"HEROHONDA","02-Jan-2008","27-Mar-2008","0","0","0","719.65","0","712.85","0","0","0","0","        698.75"
"HEROHONDA","03-Jan-2008","31-Jan-2008","700","714.8","697.25","703.65","703.5","703.65","861","2431.4","875200","23200","        710.00"
"HEROHONDA","03-Jan-2008","28-Feb-2008","709.2","709.2","702","704.5","705","704.5","7","19.74","4400","2800","        710.00"
"HEROHONDA","03-Jan-2008","27-Mar-2008","0","0","0","719.65","0","724.05","0","0","0","0","        710.00"
"HEROHONDA","04-Jan-2008","31-Jan-2008","709.6","710","697","701.15","701","701.15","493","1390.58","911200","36000","        700.60"
"HEROHONDA","04-Jan-2008","28-Feb-2008","705","705","700","700","700","709.45","3","8.44","5600","1200","        700.60"
"HEROHONDA","04-Jan-2008","27-Mar-2008","0","0","0","719.65","0","714","0","0","0","0","        700.60"
"HEROHONDA","07-Jan-2008","31-Jan-2008","692.25","700.8","692.1","695.6","695.95","695.6","383","1065.6","961600","50400","        702.00"
"HEROHONDA","07-Jan-2008","28-Feb-2008","0","0","0","700","700","710.5","0","0","5600","0","        702.00"
"HEROHONDA","07-Jan-2008","27-Mar-2008","0","0","0","719.65","0","715.15","0","0","0","0","        702.00"
"HEROHONDA","08-Jan-2008","31-Jan-2008","697.2","699.9","680","690.85","689.1","690.85","464","1282.6","967200","5600","        691.60"
"HEROHONDA","08-Jan-2008","28-Feb-2008","690","693.8","686","690","690","690","14","38.6","9600","4000","        691.60"
"HEROHONDA","08-Jan-2008","27-Mar-2008","0","0","0","719.65","0","704.3","0","0","0","0","        691.60"
"HEROHONDA","09-Jan-2008","31-Jan-2008","687.1","691.7","683.3","686.25","686.45","686.25","300","824.31","974800","7600","        688.20"
"HEROHONDA","09-Jan-2008","28-Feb-2008","683","690","683","685.4","684","685.4","14","38.41","12800","3200","        688.20"
"HEROHONDA","09-Jan-2008","27-Mar-2008","0","0","0","719.65","0","700.5","0","0","0","0","        688.20"
"HEROHONDA","10-Jan-2008","31-Jan-2008","671","688","670","686.05","687","686.05","602","1640.48","965600","-9200","        683.30"
"HEROHONDA","10-Jan-2008","28-Feb-2008","681.5","684","677.5","684","684","684","10","27.24","14400","1600","        683.30"
"HEROHONDA","10-Jan-2008","27-Mar-2008","0","0","0","719.65","0","695.6","0","0","0","0","        683.30"
"HEROHONDA","11-Jan-2008","31-Jan-2008","682.5","688.4","663.15","665.7","667","665.7","517","1391.74","1016800","51200","        661.25"
"HEROHONDA","11-Jan-2008","28-Feb-2008","683","683","665.05","668.55","667.2","668.55","17","45.54","20000","5600","        661.25"
"HEROHONDA","11-Jan-2008","27-Mar-2008","0","0","0","719.65","0","673","0","0","0","0","        661.25"
"HEROHONDA","14-Jan-2008","31-Jan-2008","669.5","702.5","665.15","699.25","701","699.25","1417","3919.79","1045200","28400","        704.60"
"HEROHONDA","14-Jan-2008","28-Feb-2008","676","699","676","698","698","712","12","33.1","16000","-4000","        704.60"
"HEROHONDA","14-Jan-2008","27-Mar-2008","0","0","0","719.65","0","716.65","0","0","0","0","        704.60"
"HEROHONDA","15-Jan-2008","31-Jan-2008","705.9","705.9","693","698.25","698","698.25","585","1636.03","1042400","-2800","        706.15"
"HEROHONDA","15-Jan-2008","28-Feb-2008","698","704","694.05","695.05","695.05","695.05","22","61.65","18800","2800","        706.15"
"HEROHONDA","15-Jan-2008","27-Mar-2008","0","0","0","719.65","0","717.9","0","0","0","0","        706.15"
"HEROHONDA","16-Jan-2008","31-Jan-2008","689","703","683","698.9","695","698.9","513","1430.59","1024000","-18400","        704.15"
"HEROHONDA","16-Jan-2008","28-Feb-2008","685","714","685","700","700","711.25","19","53.04","21600","2800","        704.15"
"HEROHONDA","16-Jan-2008","27-Mar-2008","0","0","0","719.65","0","715.9","0","0","0","0","        704.15"
"HEROHONDA","17-Jan-2008","31-Jan-2008","692","709.95","692","699.75","701.45","699.75","481","1353.37","1003200","-20800","        697.15"
"HEROHONDA","17-Jan-2008","28-Feb-2008","694.1","705","690.05","696.75","695","696.75","35","97.89","29200","7600","        697.15"
"HEROHONDA","17-Jan-2008","27-Mar-2008","0","0","0","719.65","0","708.4","0","0","0","0","        697.15"
"HEROHONDA","18-Jan-2008","31-Jan-2008","700","705","690.05","696.9","704.8","696.9","385","1073.79","968800","-34400","        690.70"
"HEROHONDA","18-Jan-2008","28-Feb-2008","709.45","710","690","691.55","695","691.55","28","77.8","31600","2400","        690.70"
"HEROHONDA","18-Jan-2008","27-Mar-2008","0","0","0","719.65","0","701.7","0","0","0","0","        690.70"
"HEROHONDA","21-Jan-2008","31-Jan-2008","702","704","640","650.9","657","650.9","638","1728.18","894400","-74400","        643.00"
"HEROHONDA","21-Jan-2008","28-Feb-2008","696.95","698","655","659.4","655","659.4","55","148.49","34400","2800","        643.00"
"HEROHONDA","21-Jan-2008","27-Mar-2008","0","0","0","719.65","0","652.75","0","0","0","0","        643.00"
"HEROHONDA","22-Jan-2008","31-Jan-2008","669","679.95","555.5","595.35","597","595.35","880","2203.71","801600","-92800","        592.80"
"HEROHONDA","22-Jan-2008","28-Feb-2008","649","660","575","609.95","609.95","597.85","22","55.65","30000","-4400","        592.80"
"HEROHONDA","22-Jan-2008","27-Mar-2008","620","620","620","620","620","601.65","1","2.48","400","400","        592.80"
"HEROHONDA","23-Jan-2008","31-Jan-2008","621.9","621.9","509","604.75","603.8","604.75","395","951.88","791600","-10000","        605.50"
"HEROHONDA","23-Jan-2008","28-Feb-2008","608.95","698","592.05","604.8","604.55","604.8","28","69.3","35200","5200","        605.50"
"HEROHONDA","23-Jan-2008","27-Mar-2008","0","0","0","620","620","614.45","0","0","400","0","        605.50"
"HEROHONDA","24-Jan-2008","31-Jan-2008","617.3","657.9","611","645.5","643.5","645.5","341","871.28","767200","-24400","        648.30"
"HEROHONDA","24-Jan-2008","28-Feb-2008","642","647","607","640","640","640","37","93.86","34800","-400","        648.30"
"HEROHONDA","24-Jan-2008","27-Mar-2008","0","0","0","620","620","657.95","0","0","400","0","        648.30"
"HEROHONDA","25-Jan-2008","31-Jan-2008","650","703","650","694.35","702","694.35","666","1825.91","639600","-127600","        691.20"
"HEROHONDA","25-Jan-2008","28-Feb-2008","668","699","668","691.95","699","691.95","333","911.94","150800","116000","        691.20"
"HEROHONDA","25-Jan-2008","27-Mar-2008","0","0","0","620","620","700.9","0","0","400","0","        691.20"
"HEROHONDA","28-Jan-2008","31-Jan-2008","695","703","676.25","697.2","692","697.2","398","1097.13","589600","-50000","        695.65"
"HEROHONDA","28-Jan-2008","28-Feb-2008","686","698","673.2","690.8","687.05","690.8","252","690.77","203600","52800","        695.65"
"HEROHONDA","28-Jan-2008","27-Mar-2008","0","0","0","620","620","705.25","0","0","400","0","        695.65"
"HEROHONDA","29-Jan-2008","31-Jan-2008","695.05","703.8","670","687.6","686.75","687.6","766","2114.51","444800","-144800","        688.45"
"HEROHONDA","29-Jan-2008","28-Feb-2008","698.9","705.45","650.5","682.15","680","682.15","653","1798.13","356800","153200","        688.45"
"HEROHONDA","29-Jan-2008","27-Mar-2008","0","0","0","620","620","697.7","0","0","400","0","        688.45"
"HEROHONDA","30-Jan-2008","31-Jan-2008","680","695.85","665","685.7","695","685.7","704","1901.43","302800","-142000","        690.20"
"HEROHONDA","30-Jan-2008","28-Feb-2008","673.3","684.7","655.2","676.1","684.7","676.1","703","1878.55","520800","164000","        690.20"
"HEROHONDA","30-Jan-2008","27-Mar-2008","0","0","0","620","620","699.45","0","0","400","0","        690.20"
"HEROHONDA","31-Jan-2008","31-Jan-2008","693.3","708","658.3","696.7","693.2","692.6","1032","2805.01","318000","15200","        692.60"
"HEROHONDA","31-Jan-2008","28-Feb-2008","682.15","692","656.1","672.4","674","672.4","1094","2934.23","690400","169600","        692.60"
"HEROHONDA","31-Jan-2008","27-Mar-2008","0","0","0","620","620","701.75","0","0","400","0","        692.60"
"HEROHONDA","01-Feb-2008","28-Feb-2008","678","716.95","672.25","713.65","712.2","713.65","647","1807.73","681600","-8800","        728.35"
"HEROHONDA","01-Feb-2008","27-Mar-2008","0","0","0","620","620","737.7","0","0","400","0","        728.35"
"HEROHONDA","01-Feb-2008","24-Apr-2008","0","0","0","706.35","0","742.45","0","0","0","0","        728.35"
"HEROHONDA","04-Feb-2008","28-Feb-2008","728","754.6","716.65","750.75","753.05","750.75","790","2343.68","656400","-25200","        768.45"
"HEROHONDA","04-Feb-2008","27-Mar-2008","0","0","0","620","620","777.85","0","0","400","0","        768.45"
"HEROHONDA","04-Feb-2008","24-Apr-2008","0","0","0","706.35","0","782.95","0","0","0","0","        768.45"
"HEROHONDA","05-Feb-2008","28-Feb-2008","743","749","724","726.6","730","726.6","286","839.18","661600","5200","        728.25"
"HEROHONDA","05-Feb-2008","27-Mar-2008","0","0","0","620","620","737.05","0","0","400","0","        728.25"
"HEROHONDA","05-Feb-2008","24-Apr-2008","0","0","0","706.35","0","741.9","0","0","0","0","        728.25"
"HEROHONDA","06-Feb-2008","28-Feb-2008","706.3","730","706.1","708.65","711","708.65","449","1281.58","698400","36800","        717.40"
"HEROHONDA","06-Feb-2008","27-Mar-2008","720","720","720","720","720","726","2","5.76","1200","800","        717.40"
"HEROHONDA","06-Feb-2008","24-Apr-2008","0","0","0","706.35","0","730.9","0","0","0","0","        717.40"
"HEROHONDA","07-Feb-2008","28-Feb-2008","702","707","675.25","696.25","701.75","696.25","360","998.07","736400","38000","        706.75"
"HEROHONDA","07-Feb-2008","27-Mar-2008","690","778","685.1","685.1","685.1","715.05","3","8.61","2000","800","        706.75"
"HEROHONDA","07-Feb-2008","24-Apr-2008","0","0","0","706.35","0","719.85","0","0","0","0","        706.75"
"HEROHONDA","08-Feb-2008","28-Feb-2008","690","713.3","687.4","702.5","696.25","702.5","366","1030.58","734400","-2000","        707.15"
"HEROHONDA","08-Feb-2008","27-Mar-2008","704.95","704.95","704.95","704.95","704.95","715.45","1","2.82","2000","0","        707.15"
"HEROHONDA","08-Feb-2008","24-Apr-2008","0","0","0","706.35","0","720.3","0","0","0","0","        707.15"
"HEROHONDA","11-Feb-2008","28-Feb-2008","672","714","671.1","685.25","675.05","685.25","373","1040.18","743200","8800","        687.85"
"HEROHONDA","11-Feb-2008","27-Mar-2008","0","0","0","704.95","704.95","695.3","0","0","2000","0","        687.85"
"HEROHONDA","11-Feb-2008","24-Apr-2008","0","0","0","706.35","0","700","0","0","0","0","        687.85"
"HEROHONDA","12-Feb-2008","28-Feb-2008","685.1","697","661.2","668.85","667","668.85","218","595.83","738000","-5200","        675.65"
"HEROHONDA","12-Feb-2008","27-Mar-2008","0","0","0","704.95","704.95","682.9","0","0","2000","0","        675.65"
"HEROHONDA","12-Feb-2008","24-Apr-2008","0","0","0","706.35","0","687.55","0","0","0","0","        675.65"
"HEROHONDA","13-Feb-2008","28-Feb-2008","667","718","667","712.95","708.1","712.95","546","1519.48","784400","46400","        724.45"
"HEROHONDA","13-Feb-2008","27-Mar-2008","678","696","678","696","696","732","2","5.5","2400","400","        724.45"
"HEROHONDA","13-Feb-2008","24-Apr-2008","0","0","0","706.35","0","736.95","0","0","0","0","        724.45"
"HEROHONDA","14-Feb-2008","28-Feb-2008","720","732","719","728.35","729.5","728.35","383","1112.51","777200","-7200","        730.15"
"HEROHONDA","14-Feb-2008","27-Mar-2008","724.4","724.95","722.6","724.95","724.95","737.7","7","20.27","4000","1600","        730.15"
"HEROHONDA","14-Feb-2008","24-Apr-2008","0","0","0","706.35","0","742.75","0","0","0","0","        730.15"
"HEROHONDA","15-Feb-2008","28-Feb-2008","730","731","686.5","727.9","728","727.9","510","1452.07","778800","1600","        729.35"
"HEROHONDA","15-Feb-2008","27-Mar-2008","702","720","692.95","720","720","736.85","8","22.42","6000","2000","        729.35"
"HEROHONDA","15-Feb-2008","24-Apr-2008","0","0","0","706.35","0","742.05","0","0","0","0","        729.35"
"HEROHONDA","18-Feb-2008","28-Feb-2008","725","730","705","712.9","715","712.9","249","710.04","776400","-2400","        718.50"
"HEROHONDA","18-Feb-2008","27-Mar-2008","706","713.5","699.3","707","707","707","12","33.86","7600","1600","        718.50"
"HEROHONDA","18-Feb-2008","24-Apr-2008","0","0","0","706.35","0","730.3","0","0","0","0","        718.50"
"HEROHONDA","19-Feb-2008","28-Feb-2008","719.7","727.4","717","721.25","717","721.25","286","825.62","756000","-20400","        729.50"
"HEROHONDA","19-Feb-2008","27-Mar-2008","711","721","710.5","717.15","716","717.15","49","140.33","18800","11200","        729.50"
"HEROHONDA","19-Feb-2008","24-Apr-2008","0","0","0","706.35","0","741.6","0","0","0","0","        729.50"
"HEROHONDA","20-Feb-2008","28-Feb-2008","711","716","694.05","711.85","713.6","711.85","381","1073.7","766800","10800","        718.35"
"HEROHONDA","20-Feb-2008","27-Mar-2008","701.8","707.45","686","705.15","707.45","705.15","59","164.61","28400","9600","        718.35"
"HEROHONDA","20-Feb-2008","24-Apr-2008","0","0","0","706.35","0","730.05","0","0","0","0","        718.35"
"HEROHONDA","21-Feb-2008","28-Feb-2008","711","728.9","706","725.75","727.85","725.75","880","2517.98","583600","-183200","        727.40"
"HEROHONDA","21-Feb-2008","27-Mar-2008","701","721","700","718.2","720.3","718.2","603","1708.34","248800","220400","        727.40"
"HEROHONDA","21-Feb-2008","24-Apr-2008","0","0","0","706.35","0","739.3","0","0","0","0","        727.40"
"HEROHONDA","22-Feb-2008","28-Feb-2008","720.3","725.95","712.2","714.55","713.1","714.55","289","828.7","554000","-29600","        720.60"
"HEROHONDA","22-Feb-2008","27-Mar-2008","708.1","712.05","705.3","708.05","707.2","708.05","187","530.29","290000","41200","        720.60"
"HEROHONDA","22-Feb-2008","24-Apr-2008","0","0","0","706.35","0","732.25","0","0","0","0","        720.60"
"HEROHONDA","25-Feb-2008","28-Feb-2008","717.85","744.95","715.45","742.15","740.15","742.15","800","2350.07","494400","-59600","        741.40"
"HEROHONDA","25-Feb-2008","27-Mar-2008","713.25","740.5","713.25","737.8","737","737.8","426","1242.88","373600","83600","        741.40"
"HEROHONDA","25-Feb-2008","24-Apr-2008","0","0","0","706.35","0","752.9","0","0","0","0","        741.40"
"HEROHONDA","26-Feb-2008","28-Feb-2008","741","750.8","730.5","735.9","734.2","735.9","800","2357.65","383600","-110800","        734.20"
"HEROHONDA","26-Feb-2008","27-Mar-2008","755.9","755.9","724","730.55","727","730.55","542","1585.89","473200","99600","        734.20"
"HEROHONDA","26-Feb-2008","24-Apr-2008","0","0","0","706.35","0","745.35","0","0","0","0","        734.20"
"HEROHONDA","27-Feb-2008","28-Feb-2008","730","745.9","719","724.7","719","724.7","539","1588.37","342000","-41600","        722.90"
"HEROHONDA","27-Feb-2008","27-Mar-2008","735.9","741.4","715.1","720.3","715.5","720.3","427","1251.5","552800","79600","        722.90"
"HEROHONDA","27-Feb-2008","24-Apr-2008","0","0","0","706.35","0","733.8","0","0","0","0","        722.90"
"HEROHONDA","28-Feb-2008","28-Feb-2008","725","749","723.15","745.8","747.75","748.15","953","2829.35","196000","-146000","        748.15"
"HEROHONDA","28-Feb-2008","27-Mar-2008","722.5","750","716.2","744.85","746.15","744.85","880","2596.97","753600","200800","        748.15"
"HEROHONDA","28-Feb-2008","24-Apr-2008","0","0","0","706.35","0","759.3","0","0","0","0","        748.15"
"HEROHONDA","29-Feb-2008","27-Mar-2008","742","769","732.1","756.6","754","756.6","805","2407.91","764400","10800","        761.65"
"HEROHONDA","29-Feb-2008","24-Apr-2008","750.05","750.05","750.05","750.05","750.05","750.05","1","3","400","400","        761.65"
"HEROHONDA","29-Feb-2008","29-May-2008","0","0","0","766.35","0","779.95","0","0","0","0","        761.65"
