"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HEROHONDA","01-Jul-2010","29-Jul-2010","2027","2030","2004","2014.4","2016","2014.4","2204","5545.89","1429375","38250","       2020.15"
"HEROHONDA","01-Jul-2010","26-Aug-2010","2015.05","2015.05","1993.5","2003.5","2004","2003.5","159","397.58","162750","13500","       2020.15"
"HEROHONDA","01-Jul-2010","30-Sep-2010","1982.25","1982.25","1982","1982","1982","2053.15","14","34.69","1750","1750","       2020.15"
"HEROHONDA","02-Jul-2010","29-Jul-2010","2014.5","2034","2010.45","2017","2020","2017","1275","3219.91","1419000","-10375","       2020.95"
"HEROHONDA","02-Jul-2010","26-Aug-2010","2009.25","2022.7","1999.7","2006.5","1999.7","2006.5","62","155.79","169625","6875","       2020.95"
"HEROHONDA","02-Jul-2010","30-Sep-2010","0","0","0","1982","1982","2053.7","0","0","1750","0","       2020.95"
"HEROHONDA","05-Jul-2010","29-Jul-2010","2015","2021.9","1993.1","2012.85","2012.2","2012.85","1176","2954.57","1404750","-14250","       2022.25"
"HEROHONDA","05-Jul-2010","26-Aug-2010","2009.55","2009.55","1985","2000.6","2000.5","2000.6","35","87.32","172125","2500","       2022.25"
"HEROHONDA","05-Jul-2010","30-Sep-2010","0","0","0","1982","1982","2053.65","0","0","1750","0","       2022.25"
"HEROHONDA","06-Jul-2010","29-Jul-2010","2019.7","2021","1995.65","2010.35","2008.9","2010.35","1603","4018.71","1445375","40625","       2013.95"
"HEROHONDA","06-Jul-2010","26-Aug-2010","2005","2005","1984.55","1998.75","1994.55","1998.75","83","206.78","181250","9125","       2013.95"
"HEROHONDA","06-Jul-2010","30-Sep-2010","0","0","0","1982","1982","2043.8","0","0","1750","0","       2013.95"
"HEROHONDA","07-Jul-2010","29-Jul-2010","2012.9","2014.6","1992.4","1995.3","1995","1995.3","1534","3836.07","1480625","35250","       2001.40"
"HEROHONDA","07-Jul-2010","26-Aug-2010","1997.3","2004","1980","1984.4","1983","1984.4","157","390.88","198375","17125","       2001.40"
"HEROHONDA","07-Jul-2010","30-Sep-2010","0","0","0","1982","1982","2031.55","0","0","1750","0","       2001.40"
"HEROHONDA","08-Jul-2010","29-Jul-2010","2009","2020","1985","1998.6","1985","1998.6","2251","5649.26","1591500","110875","       2007.55"
"HEROHONDA","08-Jul-2010","26-Aug-2010","2000","2007.95","1980","1989.55","1980","1989.55","178","444.77","213875","15500","       2007.55"
"HEROHONDA","08-Jul-2010","30-Sep-2010","0","0","0","1982","1982","2036.95","4","9.86","2250","500","       2007.55"
"HEROHONDA","09-Jul-2010","29-Jul-2010","1995","2014.8","1994","2004.9","2010","2004.9","1799","4507.93","1638250","46750","       2011.10"
"HEROHONDA","09-Jul-2010","26-Aug-2010","1998.7","1999.8","1983.35","1993.05","1992.9","1993.05","153","380.91","224375","10500","       2011.10"
"HEROHONDA","09-Jul-2010","30-Sep-2010","0","0","0","1982","1982","2040.95","1","2.46","2375","125","       2011.10"
"HEROHONDA","12-Jul-2010","29-Jul-2010","2002","2015","1958.05","1961.45","1970","1961.45","4204","10382.5","1795625","157375","       1974.80"
"HEROHONDA","12-Jul-2010","26-Aug-2010","1849.25","2001.65","1849.25","1951.9","1956","1951.9","143","351.36","237500","13125","       1974.80"
"HEROHONDA","12-Jul-2010","30-Sep-2010","0","0","0","1934.9","1982","1934.9","1","2.42","2500","125","       1974.80"
"HEROHONDA","13-Jul-2010","29-Jul-2010","1972","1979.9","1956.05","1974.15","1973.5","1974.15","1998","4913.86","1798625","3000","       1978.75"
"HEROHONDA","13-Jul-2010","26-Aug-2010","1967","1967","1946","1963.45","1960.4","1963.45","72","175.76","243250","5750","       1978.75"
"HEROHONDA","13-Jul-2010","30-Sep-2010","0","0","0","1934.9","1982","2006.15","0","0","2500","0","       1978.75"
"HEROHONDA","14-Jul-2010","29-Jul-2010","1983","2006","1969.85","1990.15","1977","1990.15","3457","8612.57","1819750","21125","       1998.80"
"HEROHONDA","14-Jul-2010","26-Aug-2010","1970","1993","1958","1972.75","1964.45","1972.75","218","540.66","256875","13625","       1998.80"
"HEROHONDA","14-Jul-2010","30-Sep-2010","0","0","0","1982","1982","2026.95","4","9.85","3000","500","       1998.80"
"HEROHONDA","15-Jul-2010","29-Jul-2010","1960","1988.65","1960","1969.35","1969","1969.35","1720","4240.68","1862375","42625","       1976.80"
"HEROHONDA","15-Jul-2010","26-Aug-2010","1972","1975","1950","1956.65","1956.35","1956.65","80","195.95","263375","6500","       1976.80"
"HEROHONDA","15-Jul-2010","30-Sep-2010","0","0","0","1937.55","1982","1937.55","1","2.42","3125","125","       1976.80"
"HEROHONDA","16-Jul-2010","29-Jul-2010","1965","1980","1960","1968.25","1969.05","1968.25","1500","3693.35","1901875","39500","       1979.80"
"HEROHONDA","16-Jul-2010","26-Aug-2010","1961.35","1967","1952.9","1956.9","1955.15","1956.9","47","115.08","267250","3875","       1979.80"
"HEROHONDA","16-Jul-2010","30-Sep-2010","0","0","0","1937.5","1982","1937.5","1","2.42","3250","125","       1979.80"
"HEROHONDA","19-Jul-2010","29-Jul-2010","1965.1","1972.1","1944.4","1948.4","1950.7","1948.4","1968","4802.05","1912500","10625","       1956.65"
"HEROHONDA","19-Jul-2010","26-Aug-2010","1950","1959.9","1934.1","1937.2","1939.95","1937.2","227","551.44","284875","17625","       1956.65"
"HEROHONDA","19-Jul-2010","30-Sep-2010","1925.8","1925.8","1918.85","1919.4","1918.85","1919.4","18","43.28","5375","2125","       1956.65"
"HEROHONDA","20-Jul-2010","29-Jul-2010","1952.25","1964.2","1932.25","1935.85","1935","1935.85","4205","10207.87","1837375","-75125","       1944.85"
"HEROHONDA","20-Jul-2010","26-Aug-2010","1947","1952.3","1921","1923.4","1923.5","1923.4","2923","7041.72","618500","333625","       1944.85"
"HEROHONDA","20-Jul-2010","30-Sep-2010","1909.95","1910","1903","1903","1903","1969.65","14","33.39","7000","1625","       1944.85"
"HEROHONDA","21-Jul-2010","29-Jul-2010","1946.9","1950","1927.25","1934.95","1934","1934.95","3239","7829.38","1781000","-56375","       1941.25"
"HEROHONDA","21-Jul-2010","26-Aug-2010","1932.25","1934.7","1915","1923.85","1923","1923.85","1345","3225.17","703000","84500","       1941.25"
"HEROHONDA","21-Jul-2010","30-Sep-2010","1919.95","1919.95","1897.85","1897.85","1897.85","1965.75","20","47.51","9250","2250","       1941.25"
"HEROHONDA","22-Jul-2010","29-Jul-2010","1934.8","1950","1918","1946.65","1948.5","1946.65","3985","9648.5","1749625","-31375","       1947.85"
"HEROHONDA","22-Jul-2010","26-Aug-2010","1924","1938.4","1908.8","1934.7","1933.4","1934.7","1611","3876.21","775125","72125","       1947.85"
"HEROHONDA","22-Jul-2010","30-Sep-2010","1894.7","1908.3","1894.7","1908.3","1908.3","1908.3","7","16.57","9875","625","       1947.85"
"HEROHONDA","23-Jul-2010","29-Jul-2010","1950.2","1970","1936.1","1945.65","1943","1945.65","4401","10763.11","1667250","-82375","       1950.65"
"HEROHONDA","23-Jul-2010","26-Aug-2010","1935.15","1954.85","1924.8","1933.2","1933.75","1933.2","1680","4078.05","850000","74875","       1950.65"
"HEROHONDA","23-Jul-2010","30-Sep-2010","1926.2","1926.2","1926.2","1926.2","1926.2","1974.75","2","4.81","10125","250","       1950.65"
"HEROHONDA","26-Jul-2010","29-Jul-2010","1938.1","1938.1","1798.95","1807.2","1813.35","1807.2","11403","26182.57","1405750","-261500","       1804.30"
"HEROHONDA","26-Jul-2010","26-Aug-2010","1921","1921","1786.8","1795.25","1798","1795.25","5023","11450.82","1150250","300250","       1804.30"
"HEROHONDA","26-Jul-2010","30-Sep-2010","1872","1872","1780","1782.3","1786.95","1782.3","60","135.98","14000","3875","       1804.30"
"HEROHONDA","27-Jul-2010","29-Jul-2010","1843.7","1894","1800.05","1868.7","1869.05","1868.7","10074","23521.34","1127125","-278625","       1863.00"
