"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HEROHONDA","01-Mar-2007","29-Mar-2007","658","665.7","642.25","660.55","660","660.55","669","1753.58","1857600","18800","        668.25"
"HEROHONDA","01-Mar-2007","26-Apr-2007","0","0","0","672","672","678.95","0","0","2000","0","        668.25"
"HEROHONDA","01-Mar-2007","31-May-2007","0","0","0","681","681","685.7","0","0","1200","0","        668.25"
"HEROHONDA","02-Mar-2007","29-Mar-2007","662","694.9","660.1","667.9","667","667.9","1789","4876.26","1854400","-3200","        692.75"
"HEROHONDA","02-Mar-2007","26-Apr-2007","675","692","666","668","666","668","23","62.9","5200","3200","        692.75"
"HEROHONDA","02-Mar-2007","31-May-2007","0","0","0","681","681","710.6","0","0","1200","0","        692.75"
"HEROHONDA","05-Mar-2007","29-Mar-2007","651.1","681.7","650","667.75","667","667.75","890","2384.8","1849600","-4800","        684.95"
"HEROHONDA","05-Mar-2007","26-Apr-2007","670","671","668","670","670","695.1","4","10.72","6800","1600","        684.95"
"HEROHONDA","05-Mar-2007","31-May-2007","0","0","0","681","681","702","0","0","1200","0","        684.95"
"HEROHONDA","06-Mar-2007","29-Mar-2007","682","682","654","666.45","666.5","666.45","836","2231.41","1811600","-38000","        667.20"
"HEROHONDA","06-Mar-2007","26-Apr-2007","689.6","689.6","663","663","663","676.8","4","10.78","6400","-400","        667.20"
"HEROHONDA","06-Mar-2007","31-May-2007","0","0","0","681","681","683.5","0","0","1200","0","        667.20"
"HEROHONDA","07-Mar-2007","29-Mar-2007","672","672.25","652","656.25","662","656.25","527","1389.38","1829200","17600","        666.75"
"HEROHONDA","07-Mar-2007","26-Apr-2007","655.5","655.5","653","653","653","676.3","4","10.46","8000","1600","        666.75"
"HEROHONDA","07-Mar-2007","31-May-2007","0","0","0","681","681","683.1","0","0","1200","0","        666.75"
"HEROHONDA","08-Mar-2007","29-Mar-2007","658","672","654","668.75","671","668.75","594","1575.62","1846400","17200","        668.35"
"HEROHONDA","08-Mar-2007","26-Apr-2007","657.8","657.8","657.8","657.8","657.8","677.75","1","2.63","8000","0","        668.35"
"HEROHONDA","08-Mar-2007","31-May-2007","634.05","692.8","634.05","691","691","684.55","32","84.87","1200","0","        668.35"
"HEROHONDA","09-Mar-2007","29-Mar-2007","675.1","681.6","658.6","677.25","679","677.25","651","1748.23","1816800","-29600","        691.40"
"HEROHONDA","09-Mar-2007","26-Apr-2007","665.8","688.15","656.7","674","674","674","6","16.12","8400","400","        691.40"
"HEROHONDA","09-Mar-2007","31-May-2007","0","0","0","691","691","707.95","0","0","1200","0","        691.40"
"HEROHONDA","12-Mar-2007","29-Mar-2007","677","689.65","665","684.55","684.95","684.55","680","1857.23","1871600","54800","        698.80"
"HEROHONDA","12-Mar-2007","26-Apr-2007","672","689.05","672","688.5","689","688.5","6","16.42","8400","0","        698.80"
"HEROHONDA","12-Mar-2007","31-May-2007","0","0","0","691","691","715.05","0","0","1200","0","        698.80"
"HEROHONDA","13-Mar-2007","29-Mar-2007","678","690.35","677.1","686.7","685.9","686.7","495","1354.85","1952000","80400","        697.85"
"HEROHONDA","13-Mar-2007","26-Apr-2007","687","689","684","688","688","706.8","7","19.23","11200","2800","        697.85"
"HEROHONDA","13-Mar-2007","31-May-2007","0","0","0","691","691","714","0","0","1200","0","        697.85"
"HEROHONDA","14-Mar-2007","29-Mar-2007","671.15","680","651.15","653.3","653","653.3","591","1564.74","1998800","46800","        677.20"
"HEROHONDA","14-Mar-2007","26-Apr-2007","679.85","679.85","651.1","652.3","652","652.3","47","123.77","24400","13200","        677.20"
"HEROHONDA","14-Mar-2007","31-May-2007","633.1","677.65","633.1","655.4","677.65","655.4","2","5.24","1200","0","        677.20"
"HEROHONDA","15-Mar-2007","29-Mar-2007","657","667.8","654","657.8","659.75","657.8","404","1068.22","2002400","3600","        673.30"
"HEROHONDA","15-Mar-2007","26-Apr-2007","658.5","665","654.2","654.2","654.2","681.45","15","39.58","28400","4000","        673.30"
"HEROHONDA","15-Mar-2007","31-May-2007","0","0","0","655.4","677.65","688.25","0","0","1200","0","        673.30"
"HEROHONDA","16-Mar-2007","29-Mar-2007","658.7","662","640","644.3","642.1","644.3","380","986.72","2016400","14000","        650.20"
"HEROHONDA","16-Mar-2007","26-Apr-2007","663.4","663.4","640","641.3","641.25","641.3","30","77.72","35200","6800","        650.20"
"HEROHONDA","16-Mar-2007","31-May-2007","0","0","0","655.4","677.65","664.65","0","0","1200","0","        650.20"
"HEROHONDA","19-Mar-2007","29-Mar-2007","648.8","649","632.15","639.5","639.8","639.5","784","2007.7","2024400","8000","        640.35"
"HEROHONDA","19-Mar-2007","26-Apr-2007","650.5","650.5","632.3","638.45","639.05","638.45","80","204.19","53600","18400","        640.35"
"HEROHONDA","19-Mar-2007","31-May-2007","0","0","0","655.4","677.65","654","0","0","1200","0","        640.35"
"HEROHONDA","20-Mar-2007","29-Mar-2007","647","647","627.55","632.9","632.55","632.9","1014","2575.97","2048000","23600","        635.75"
"HEROHONDA","20-Mar-2007","26-Apr-2007","642","646.85","627.05","631.9","632.1","631.9","222","562.98","98800","45200","        635.75"
"HEROHONDA","20-Mar-2007","31-May-2007","0","0","0","655.4","677.65","649.4","0","0","1200","0","        635.75"
"HEROHONDA","21-Mar-2007","29-Mar-2007","633","648","630.35","646.6","646.2","646.6","1100","2826.17","2018000","-30000","        651.10"
"HEROHONDA","21-Mar-2007","26-Apr-2007","631","646.05","631","645.15","644","645.15","397","1018.89","182000","83200","        651.10"
"HEROHONDA","21-Mar-2007","31-May-2007","0","0","0","655.4","677.65","665.9","0","0","1200","0","        651.10"
"HEROHONDA","22-Mar-2007","29-Mar-2007","650.7","681.85","650.7","677.1","681","677.1","961","2565.05","1886000","-132000","        685.25"
"HEROHONDA","22-Mar-2007","26-Apr-2007","657","678","651.75","673.5","676.95","673.5","348","926.03","221200","39200","        685.25"
"HEROHONDA","22-Mar-2007","31-May-2007","647","668","647","668","668","700.65","30","78.9","1200","0","        685.25"
"HEROHONDA","23-Mar-2007","29-Mar-2007","677","685.25","671.15","677.65","675","677.65","696","1888.38","1845200","-40800","        677.85"
"HEROHONDA","23-Mar-2007","26-Apr-2007","671","682.9","669.3","673.35","670.2","673.35","262","708.51","266800","45600","        677.85"
