"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HEROMOTOCO","03-Nov-2014","27-Nov-2014","3100.05","3100.05","2936.05","3018.8","3026.7","3018.8","7665","28827.22","1619625","-87750","       3010.95"
"HEROMOTOCO","03-Nov-2014","24-Dec-2014","2972.3","3047","2972.3","3033.6","3030.25","3033.6","72","271.62","30375","3750","       3010.95"
"HEROMOTOCO","03-Nov-2014","29-Jan-2015","0","0","0","3098.55","0","3074.5","0","0","0","0","       3010.95"
"HEROMOTOCO","05-Nov-2014","27-Nov-2014","3038.35","3039","2950","2965","2959","2965","7232","26990.92","1791125","171500","       2963.30"
"HEROMOTOCO","05-Nov-2014","24-Dec-2014","3022.25","3033.6","2969.7","2977.15","2969.7","2977.15","132","496.77","38625","8250","       2963.30"
"HEROMOTOCO","05-Nov-2014","29-Jan-2015","0","0","0","3098.55","0","3024.6","0","0","0","0","       2963.30"
"HEROMOTOCO","07-Nov-2014","27-Nov-2014","2900.5","2930","2881.2","2905.95","2907.5","2905.95","21758","79091.99","2621625","830500","       2887.60"
"HEROMOTOCO","07-Nov-2014","24-Dec-2014","2929.5","2940","2900","2925.85","2928.85","2925.85","190","694.12","50000","11375","       2887.60"
"HEROMOTOCO","07-Nov-2014","29-Jan-2015","2955.05","2955.05","2945.45","2947","2947","2945.8","82","302.07","10250","10250","       2887.60"
"HEROMOTOCO","10-Nov-2014","27-Nov-2014","2928.95","2944","2907.2","2936.85","2933.8","2936.85","9844","36079.49","2615250","-6375","       2933.10"
"HEROMOTOCO","10-Nov-2014","24-Dec-2014","2926.75","2959.7","2926.75","2953","2952","2953","114","420.35","55125","5125","       2933.10"
"HEROMOTOCO","10-Nov-2014","29-Jan-2015","2972","2972","2972","2972","2972","2972","4","14.85","10500","250","       2933.10"
"HEROMOTOCO","11-Nov-2014","27-Nov-2014","2911","2958.7","2911","2925.95","2927","2925.95","7698","28288.52","2551375","-63875","       2924.00"
"HEROMOTOCO","11-Nov-2014","24-Dec-2014","2970.4","2976.9","2931.85","2939.65","2940","2939.65","114","421.25","59625","4500","       2924.00"
"HEROMOTOCO","11-Nov-2014","29-Jan-2015","0","0","0","2972","2972","2979.8","0","0","10500","0","       2924.00"
"HEROMOTOCO","12-Nov-2014","27-Nov-2014","2926.3","2979.4","2926","2969.65","2968.3","2969.65","8284","30687.83","2404250","-147125","       2967.35"
"HEROMOTOCO","12-Nov-2014","24-Dec-2014","2965","2990.95","2963.7","2983.75","2985","2983.75","55","204.9","58875","-750","       2967.35"
"HEROMOTOCO","12-Nov-2014","29-Jan-2015","3001.6","3001.6","2992","2992","2992","3023.25","2","7.49","10750","250","       2967.35"
"HEROMOTOCO","13-Nov-2014","27-Nov-2014","2979","2989","2921.05","2930.95","2936","2930.95","4853","17933.26","2405500","1250","       2927.50"
"HEROMOTOCO","13-Nov-2014","24-Dec-2014","3001.15","3001.45","2940","2947.45","2953.65","2947.45","84","311.93","58375","-500","       2927.50"
"HEROMOTOCO","13-Nov-2014","29-Jan-2015","2970","2970","2970","2970","2970","2970","1","3.71","10875","125","       2927.50"
"HEROMOTOCO","14-Nov-2014","27-Nov-2014","2937.85","2982","2926.15","2969.7","2969","2969.7","3982","14705.96","2362000","-43500","       2964.40"
"HEROMOTOCO","14-Nov-2014","24-Dec-2014","2960","2997.9","2948","2983.25","2983.1","2983.25","53","196.73","58125","-250","       2964.40"
"HEROMOTOCO","14-Nov-2014","29-Jan-2015","2983.45","3000","2983.45","2994.5","3000","2994.5","3","11.23","11250","375","       2964.40"
"HEROMOTOCO","17-Nov-2014","27-Nov-2014","2960","3041.1","2960","3028.75","3030.05","3028.75","7431","27991.67","2193125","-168875","       3028.90"
"HEROMOTOCO","17-Nov-2014","24-Dec-2014","3000","3059.3","2997.7","3044.5","3051.05","3044.5","156","591.13","59875","1750","       3028.90"
"HEROMOTOCO","17-Nov-2014","29-Jan-2015","3027","3065","3025","3065","3065","3081.7","19","72.36","13375","2125","       3028.90"
"HEROMOTOCO","18-Nov-2014","27-Nov-2014","3045","3050.05","3006.2","3016.4","3017","3016.4","3402","12852.84","2146125","-47000","       3017.75"
"HEROMOTOCO","18-Nov-2014","24-Dec-2014","3050.05","3071.15","3024.4","3027.7","3026.3","3027.7","142","538.85","65750","5875","       3017.75"
"HEROMOTOCO","18-Nov-2014","29-Jan-2015","3051.65","3051.65","3041.65","3041.65","3041.65","3041.65","2","7.62","13625","250","       3017.75"
"HEROMOTOCO","19-Nov-2014","27-Nov-2014","2986","3045.15","2975","2999.5","3002","2999.5","4743","17826.69","2008500","-137625","       3000.35"
"HEROMOTOCO","19-Nov-2014","24-Dec-2014","3040","3048.6","2995.25","3016.5","3017.9","3016.5","234","881.62","77000","11250","       3000.35"
"HEROMOTOCO","19-Nov-2014","29-Jan-2015","3018.45","3033.9","3011.5","3033.9","3033.9","3033.9","5","18.91","14000","375","       3000.35"
"HEROMOTOCO","20-Nov-2014","27-Nov-2014","3010.3","3015","2954.55","2993.75","3000","2993.75","3348","12480.35","1957750","-50750","       2995.55"
"HEROMOTOCO","20-Nov-2014","24-Dec-2014","3000","3017","2972","3011.35","3014.55","3011.35","443","1660","112625","35625","       2995.55"
"HEROMOTOCO","20-Nov-2014","29-Jan-2015","3016.1","3024.6","3007.95","3023.8","3023.8","3045.2","6","22.64","14750","750","       2995.55"
