"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HINDALC0","03-Jul-2006","27-Jul-2006","174.4","177.35","172.8","174.35","173","174.35","3992","11164.02","17953320","-86130","        176.20"
"HINDALC0","03-Jul-2006","31-Aug-2006","0","0","0","174.3","174.3","178.25","0","0","7975","0","        176.20"
"HINDALC0","03-Jul-2006","28-Sep-2006","0","0","0","165.4","0","179.25","0","0","0","0","        176.20"
"HINDALC0","04-Jul-2006","27-Jul-2006","175","178.2","173.25","174.6","174.8","174.6","5257","14734.3","16887860","-1065460","        176.70"
"HINDALC0","04-Jul-2006","31-Aug-2006","178","179","173.5","175.5","175.5","175.5","34","96.42","38280","30305","        176.70"
"HINDALC0","04-Jul-2006","28-Sep-2006","0","0","0","165.4","0","179.7","0","0","0","0","        176.70"
"HINDALC0","05-Jul-2006","27-Jul-2006","173.25","178.15","173.05","177.3","177.75","177.3","3524","9914.32","16714005","-173855","        178.90"
"HINDALC0","05-Jul-2006","31-Aug-2006","176.5","176.5","175.85","175.85","175.85","175.85","2","5.62","38280","0","        178.90"
"HINDALC0","05-Jul-2006","28-Sep-2006","0","0","0","165.4","0","181.9","0","0","0","0","        178.90"
"HINDALC0","06-Jul-2006","27-Jul-2006","176","176","171.7","173.25","173.2","173.25","2753","7638.64","16670940","-43065","        175.20"
"HINDALC0","06-Jul-2006","31-Aug-2006","174.5","175.5","173","174.25","174","174.25","13","36.21","41470","3190","        175.20"
"HINDALC0","06-Jul-2006","28-Sep-2006","0","0","0","165.4","0","178.1","0","0","0","0","        175.20"
"HINDALC0","07-Jul-2006","27-Jul-2006","175.35","177.65","164.75","166.25","166.25","166.25","3625","9962.17","16752285","81345","        168.60"
"HINDALC0","07-Jul-2006","31-Aug-2006","176.7","177.7","169.5","169.5","169.5","170.45","8","22.21","43065","1595","        168.60"
"HINDALC0","07-Jul-2006","28-Sep-2006","0","0","0","165.4","0","171.35","0","0","0","0","        168.60"
"HINDALC0","10-Jul-2006","27-Jul-2006","165","171.3","165","170.4","171.3","170.4","2893","7749.18","16817680","65395","        172.05"
"HINDALC0","10-Jul-2006","31-Aug-2006","170.2","172","166.8","172","172","172","16","42.98","47850","4785","        172.05"
"HINDALC0","10-Jul-2006","28-Sep-2006","0","0","0","165.4","0","174.8","0","0","0","0","        172.05"
"HINDALC0","11-Jul-2006","27-Jul-2006","170.55","171.2","164.55","166.1","166.4","166.1","2802","7490.19","17222810","405130","        167.80"
"HINDALC0","11-Jul-2006","31-Aug-2006","171.9","171.9","166.5","167.3","167.3","167.3","6","16.11","51040","3190","        167.80"
"HINDALC0","11-Jul-2006","28-Sep-2006","0","0","0","165.4","0","170.45","0","0","0","0","        167.80"
"HINDALC0","12-Jul-2006","27-Jul-2006","166","178.25","164.4","177.5","176.85","177.5","6537","18026.72","17146250","-76560","        179.75"
"HINDALC0","12-Jul-2006","31-Aug-2006","167.55","178.75","167.55","177.85","178.5","177.85","33","91.46","52635","1595","        179.75"
"HINDALC0","12-Jul-2006","28-Sep-2006","0","0","0","165.4","0","182.55","0","0","0","0","        179.75"
"HINDALC0","13-Jul-2006","27-Jul-2006","177","182.65","175.6","179.85","179.55","179.85","7595","21727.6","16857555","-288695","        182.15"
"HINDALC0","13-Jul-2006","31-Aug-2006","178.5","183.05","178.1","180.45","181","180.45","50","143.56","84535","31900","        182.15"
"HINDALC0","13-Jul-2006","28-Sep-2006","0","0","0","165.4","0","184.95","0","0","0","0","        182.15"
"HINDALC0","14-Jul-2006","27-Jul-2006","177","177","172.65","175.3","175.9","175.3","5173","14443.47","16723575","-133980","        174.80"
"HINDALC0","14-Jul-2006","31-Aug-2006","176.2","177.7","173.4","176.65","176.45","176.65","34","95.23","97295","12760","        174.80"
"HINDALC0","14-Jul-2006","28-Sep-2006","0","0","0","165.4","0","177.45","0","0","0","0","        174.80"
"HINDALC0","17-Jul-2006","27-Jul-2006","174","175.75","166.75","167.3","167.6","167.3","2948","8056.83","17066500","342925","        166.90"
"HINDALC0","17-Jul-2006","31-Aug-2006","174.35","175.85","167.95","168.1","167.95","168.1","45","123.2","133980","36685","        166.90"
"HINDALC0","17-Jul-2006","28-Sep-2006","169","169","169","169","169","169","1","2.7","1595","1595","        166.90"
"HINDALC0","18-Jul-2006","27-Jul-2006","169","169","159.8","161.1","161.5","161.1","3259","8467.2","17289800","223300","        160.40"
"HINDALC0","18-Jul-2006","31-Aug-2006","167.25","168","160.8","161.95","162.05","161.95","84","219.01","199375","65395","        160.40"
"HINDALC0","18-Jul-2006","28-Sep-2006","0","0","0","169","169","162.7","0","0","1595","0","        160.40"
"HINDALC0","19-Jul-2006","27-Jul-2006","162.9","164","153.9","155","156","155","3278","8270.46","16836820","-452980","        155.40"
"HINDALC0","19-Jul-2006","31-Aug-2006","165.25","165.25","155","155.7","156.75","155.7","185","469.44","358875","159500","        155.40"
"HINDALC0","19-Jul-2006","28-Sep-2006","156.3","156.3","156.3","156.3","156.3","156.3","1","2.49","3190","1595","        155.40"
"HINDALC0","20-Jul-2006","27-Jul-2006","159.95","164.8","159","163.75","164.45","163.75","3929","10178.53","16119070","-717750","        164.20"
"HINDALC0","20-Jul-2006","31-Aug-2006","161","165.65","160.1","164.65","165.5","164.65","231","601.91","480095","121220","        164.20"
"HINDALC0","20-Jul-2006","28-Sep-2006","0","0","0","156.3","156.3","166.5","0","0","3190","0","        164.20"
