"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HINDALC0","02-Sep-2002","26-Sep-2002","598","598","597","597.7","597.7","595.75","3","5.38","44100","900","        592.30"
"HINDALC0","02-Sep-2002","31-Oct-2002","595","595","595","595","595","601.4","1","1.79","300","300","        592.30"
"HINDALC0","02-Sep-2002","28-Nov-2002","0","0","0","605.2","0","605.75","0","0","0","0","        592.30"
"HINDALC0","03-Sep-2002","26-Sep-2002","595","595","590","590","590","590","4","7.1","44100","0","        590.50"
"HINDALC0","03-Sep-2002","31-Oct-2002","0","0","0","595","595","599.45","0","0","300","0","        590.50"
"HINDALC0","03-Sep-2002","28-Nov-2002","0","0","0","605.2","0","603.85","0","0","0","0","        590.50"
"HINDALC0","04-Sep-2002","26-Sep-2002","590","592","584","592","592","594.3","15","26.5","44100","0","        591.15"
"HINDALC0","04-Sep-2002","31-Oct-2002","589","589","589","589","589","599.85","1","1.77","600","300","        591.15"
"HINDALC0","04-Sep-2002","28-Nov-2002","0","0","0","605.2","0","604.15","0","0","0","0","        591.15"
"HINDALC0","05-Sep-2002","26-Sep-2002","590","591","588","589","589","592.9","8","14.16","44400","300","        589.85"
"HINDALC0","05-Sep-2002","31-Oct-2002","0","0","0","589","589","598.4","0","0","600","0","        589.85"
"HINDALC0","05-Sep-2002","28-Nov-2002","0","0","0","605.2","0","602.75","0","0","0","0","        589.85"
"HINDALC0","06-Sep-2002","26-Sep-2002","0","0","0","589","589","591.55","0","0","44400","0","        588.65"
"HINDALC0","06-Sep-2002","31-Oct-2002","0","0","0","589","589","597","0","0","600","0","        588.65"
"HINDALC0","06-Sep-2002","28-Nov-2002","0","0","0","605.2","0","601.3","0","0","0","0","        588.65"
"HINDALC0","09-Sep-2002","26-Sep-2002","585","585","572","577.6","578","577.6","7","12.14","44400","0","        584.20"
"HINDALC0","09-Sep-2002","31-Oct-2002","0","0","0","589","589","592.1","0","0","600","0","        584.20"
"HINDALC0","09-Sep-2002","28-Nov-2002","0","0","0","605.2","0","596.4","0","0","0","0","        584.20"
"HINDALC0","11-Sep-2002","26-Sep-2002","585","586.2","585","586","586","586","3","5.27","43800","-600","        587.90"
"HINDALC0","11-Sep-2002","31-Oct-2002","585","585","585","585","585","595.5","1","1.76","600","0","        587.90"
"HINDALC0","11-Sep-2002","28-Nov-2002","0","0","0","605.2","0","599.75","0","0","0","0","        587.90"
"HINDALC0","12-Sep-2002","26-Sep-2002","589.9","595","589.9","591.6","591.55","591.6","11","19.55","43500","-300","        592.25"
"HINDALC0","12-Sep-2002","31-Oct-2002","591.5","593.85","590","593.85","593.85","599.75","5","8.88","2100","1500","        592.25"
"HINDALC0","12-Sep-2002","28-Nov-2002","0","0","0","605.2","0","604.05","0","0","0","0","        592.25"
"HINDALC0","13-Sep-2002","26-Sep-2002","580.1","589","578","581.5","580.5","581.5","32","55.94","45000","1500","        580.90"
"HINDALC0","13-Sep-2002","31-Oct-2002","588","592","586","586","586","588.15","9","15.88","4800","2700","        580.90"
"HINDALC0","13-Sep-2002","28-Nov-2002","0","0","0","605.2","0","592.4","0","0","0","0","        580.90"
"HINDALC0","16-Sep-2002","26-Sep-2002","550","582.4","550","581.15","582.4","581.15","7","12.09","45000","0","        579.65"
"HINDALC0","16-Sep-2002","31-Oct-2002","582","582","582","582","582","586.45","1","1.75","5100","300","        579.65"
"HINDALC0","16-Sep-2002","28-Nov-2002","0","0","0","605.2","0","590.7","0","0","0","0","        579.65"
"HINDALC0","17-Sep-2002","26-Sep-2002","580","581","578.75","581","581","581","10","17.41","44400","-600","        579.90"
"HINDALC0","17-Sep-2002","31-Oct-2002","580","583","580","583","583","583","2","3.49","5700","600","        579.90"
"HINDALC0","17-Sep-2002","28-Nov-2002","0","0","0","605.2","0","590.85","0","0","0","0","        579.90"
"HINDALC0","18-Sep-2002","26-Sep-2002","576","580.5","576","580.1","580","580.1","14","24.31","42900","-1500","        579.50"
"HINDALC0","18-Sep-2002","31-Oct-2002","580","581.5","578.5","581","581","586","8","13.92","7800","2100","        579.50"
"HINDALC0","18-Sep-2002","28-Nov-2002","0","0","0","605.2","0","590.25","0","0","0","0","        579.50"
"HINDALC0","19-Sep-2002","26-Sep-2002","572.05","578","572.05","576.55","578","576.55","5","8.63","41400","-1500","        575.85"
"HINDALC0","19-Sep-2002","31-Oct-2002","576","576","576","576","576","576","1","1.73","8100","300","        575.85"
"HINDALC0","19-Sep-2002","28-Nov-2002","0","0","0","605.2","0","586.3","0","0","0","0","        575.85"
"HINDALC0","20-Sep-2002","26-Sep-2002","567","568","559","559","559","558.8","9","15.17","41700","300","        557.95"
"HINDALC0","20-Sep-2002","31-Oct-2002","568","569","560","561.1","561.1","563.85","11","18.62","11400","3300","        557.95"
"HINDALC0","20-Sep-2002","28-Nov-2002","0","0","0","605.2","0","567.9","0","0","0","0","        557.95"
"HINDALC0","23-Sep-2002","26-Sep-2002","564","564","560.6","560.6","560.6","560.6","8","13.51","40500","-1200","        561.15"
"HINDALC0","23-Sep-2002","31-Oct-2002","565","565","565","565","565","565","1","1.7","11700","300","        561.15"
"HINDALC0","23-Sep-2002","28-Nov-2002","0","0","0","605.2","0","570.8","0","0","0","0","        561.15"
"HINDALC0","24-Sep-2002","26-Sep-2002","555","564.5","555","561.4","563","561.4","26","43.46","33300","-7200","        562.50"
"HINDALC0","24-Sep-2002","31-Oct-2002","559.9","564.9","556.5","559.65","561","559.65","31","51.89","18300","6600","        562.50"
"HINDALC0","24-Sep-2002","28-Nov-2002","0","0","0","605.2","0","571.95","0","0","0","0","        562.50"
"HINDALC0","25-Sep-2002","26-Sep-2002","491","562","491","553.35","553.15","553.35","47","78.07","21300","-12000","        555.05"
"HINDALC0","25-Sep-2002","31-Oct-2002","563","563","552.5","554.7","554.25","554.7","81","135.1","41400","23100","        555.05"
"HINDALC0","25-Sep-2002","28-Nov-2002","0","0","0","605.2","0","564.2","0","0","0","0","        555.05"
"HINDALC0","26-Sep-2002","26-Sep-2002","550","550.05","550","550.05","550.05","550.5","2","3.3","20700","-600","        550.35"
"HINDALC0","26-Sep-2002","31-Oct-2002","558.85","558.85","551","551","551","555.3","10","16.59","44400","3000","        550.35"
"HINDALC0","26-Sep-2002","28-Nov-2002","0","0","0","605.2","0","559.3","0","0","0","0","        550.35"
"HINDALC0","27-Sep-2002","26-Sep-2002","543","543","537","537","537","533.75","15","24.33","17400","-3300","        533.75"
"HINDALC0","27-Sep-2002","31-Oct-2002","545","545","535","535.45","536","535.45","63","101.83","61200","16800","        533.75"
"HINDALC0","27-Sep-2002","28-Nov-2002","0","0","0","605.2","0","542.3","0","0","0","0","        533.75"
"HINDALC0","30-Sep-2002","31-Oct-2002","531.5","532","521.15","522.55","521.15","522.55","30","47.31","65400","4200","        522.35"
"HINDALC0","30-Sep-2002","28-Nov-2002","525","525","525","525","525","525","1","1.58","300","300","        522.35"
"HINDALC0","30-Sep-2002","26-Dec-2002","0","0","0","542.6","0","534.4","0","0","0","0","        522.35"
"HINDALC0","01-Oct-2002","31-Oct-2002","522.1","524","519.6","523.55","523.15","523.55","8","12.53","66300","900","        523.80"
"HINDALC0","01-Oct-2002","28-Nov-2002","0","0","0","525","525","531.7","0","0","300","0","        523.80"
"HINDALC0","01-Oct-2002","26-Dec-2002","0","0","0","542.6","0","535.6","0","0","0","0","        523.80"
"HINDALC0","03-Oct-2002","31-Oct-2002","524.95","532","521.6","527.7","532","527.7","11","17.31","68700","2400","        525.70"
"HINDALC0","03-Oct-2002","28-Nov-2002","524.5","530","523","530","530","530","3","4.73","900","600","        525.70"
"HINDALC0","03-Oct-2002","26-Dec-2002","0","0","0","542.6","0","537.2","0","0","0","0","        525.70"
"HINDALC0","04-Oct-2002","31-Oct-2002","507","521","507","520","520","520","11","17.12","69900","1200","        519.65"
"HINDALC0","04-Oct-2002","28-Nov-2002","529","529","521","521","521","527.2","5","7.85","2400","1500","        519.65"
"HINDALC0","04-Oct-2002","26-Dec-2002","0","0","0","542.6","0","531.05","0","0","0","0","        519.65"
"HINDALC0","07-Oct-2002","31-Oct-2002","520","520","517","519.5","519.5","519.5","15","23.36","71100","1200","        518.65"
"HINDALC0","07-Oct-2002","28-Nov-2002","522","522","521.5","521.5","521.5","521.5","2","3.13","3000","600","        518.65"
"HINDALC0","07-Oct-2002","26-Dec-2002","0","0","0","542.6","0","529.35","0","0","0","0","        518.65"
"HINDALC0","08-Oct-2002","31-Oct-2002","516.2","519.45","508.5","508.85","508.65","508.85","38","58.73","73500","2400","        507.35"
"HINDALC0","08-Oct-2002","28-Nov-2002","511","513","510","510","510","514.05","7","10.74","4800","1800","        507.35"
"HINDALC0","08-Oct-2002","26-Dec-2002","0","0","0","542.6","0","517.75","0","0","0","0","        507.35"
"HINDALC0","09-Oct-2002","31-Oct-2002","512.5","512.5","503","505.85","506.5","505.85","30","45.69","77400","3900","        503.10"
"HINDALC0","09-Oct-2002","28-Nov-2002","512.55","514","503","508.5","514","508.5","12","18.38","7800","3000","        503.10"
"HINDALC0","09-Oct-2002","26-Dec-2002","0","0","0","542.6","0","513.25","0","0","0","0","        503.10"
"HINDALC0","10-Oct-2002","31-Oct-2002","502","503.95","488","490.65","490.75","490.65","61","90.39","90000","12600","        487.75"
"HINDALC0","10-Oct-2002","28-Nov-2002","503","503.5","490","493.3","495.05","493.3","13","19.38","11400","3600","        487.75"
"HINDALC0","10-Oct-2002","26-Dec-2002","0","0","0","542.6","0","497.5","0","0","0","0","        487.75"
"HINDALC0","11-Oct-2002","31-Oct-2002","496","496","476.25","486.8","486","486.8","215","312.51","113100","23100","        484.50"
"HINDALC0","11-Oct-2002","28-Nov-2002","494","494","479.05","492","492","492","45","65.4","20100","8700","        484.50"
"HINDALC0","11-Oct-2002","26-Dec-2002","490","490","490","490","490","494","1","1.47","300","300","        484.50"
"HINDALC0","14-Oct-2002","31-Oct-2002","490","491.9","472","473.25","473.95","473.25","140","201.9","129000","15900","        471.00"
"HINDALC0","14-Oct-2002","28-Nov-2002","494.65","494.65","475","477.1","475","477.1","23","33.21","26400","6300","        471.00"
"HINDALC0","14-Oct-2002","26-Dec-2002","486","486","486","486","486","479.8","1","1.46","600","300","        471.00"
"HINDALC0","16-Oct-2002","31-Oct-2002","479.7","492","477","487.45","485.5","487.45","142","207.42","120000","-9000","        486.20"
"HINDALC0","16-Oct-2002","28-Nov-2002","479","491.05","479","487.5","487","487.5","7","10.24","25800","-600","        486.20"
"HINDALC0","16-Oct-2002","26-Dec-2002","0","0","0","486","486","495.15","0","0","600","0","        486.20"
"HINDALC0","17-Oct-2002","31-Oct-2002","489.95","492","488.5","491.35","490.8","491.35","39","57.38","113400","-6600","        488.85"
"HINDALC0","17-Oct-2002","28-Nov-2002","493","495.95","492.5","495.3","495.95","495.3","6","8.89","26400","600","        488.85"
"HINDALC0","17-Oct-2002","26-Dec-2002","0","0","0","486","486","497.7","0","0","600","0","        488.85"
"HINDALC0","18-Oct-2002","31-Oct-2002","494","499.9","490.3","491.1","491","491.1","84","124.73","109500","-3900","        490.55"
"HINDALC0","18-Oct-2002","28-Nov-2002","498.95","500.5","495","495.5","495.5","495.5","19","28.37","29400","3000","        490.55"
"HINDALC0","18-Oct-2002","26-Dec-2002","503","503","498","498","498","499.3","2","3","900","300","        490.55"
"HINDALC0","21-Oct-2002","31-Oct-2002","488.5","495.45","488.5","492.55","490.7","492.55","38","56.22","108600","-900","        490.95"
"HINDALC0","21-Oct-2002","28-Nov-2002","496","496.25","494","496","496","496","9","13.37","30300","900","        490.95"
"HINDALC0","21-Oct-2002","26-Dec-2002","0","0","0","498","498","499.25","0","0","900","0","        490.95"
"HINDALC0","22-Oct-2002","31-Oct-2002","494","494","489.05","490.1","490.5","490.1","49","72.22","107700","-900","        489.15"
"HINDALC0","22-Oct-2002","28-Nov-2002","494","494","493","493","493","493.8","4","5.92","30600","300","        489.15"
"HINDALC0","22-Oct-2002","26-Dec-2002","0","0","0","498","498","497.35","0","0","900","0","        489.15"
"HINDALC0","23-Oct-2002","31-Oct-2002","490.25","491","485","490.1","490","490.1","66","96.62","101700","-6000","        489.40"
"HINDALC0","23-Oct-2002","28-Nov-2002","494","494.75","487.5","493","493","493","43","63.44","38700","8100","        489.40"
"HINDALC0","23-Oct-2002","26-Dec-2002","0","0","0","498","498","497.35","0","0","900","0","        489.40"
"HINDALC0","24-Oct-2002","31-Oct-2002","480.5","489.9","478","486.6","485.5","486.6","92","133.55","90900","-10800","        486.50"
"HINDALC0","24-Oct-2002","28-Nov-2002","485.1","492","480.1","489.4","489.1","489.4","19","27.72","39600","900","        486.50"
"HINDALC0","24-Oct-2002","26-Dec-2002","0","0","0","498","498","494.35","0","0","900","0","        486.50"
"HINDALC0","25-Oct-2002","31-Oct-2002","486.5","489.5","485","488.2","489.5","488.2","36","52.6","84000","-6900","        487.20"
"HINDALC0","25-Oct-2002","28-Nov-2002","489","490.15","487","490.15","490.15","491.4","5","7.34","39900","300","        487.20"
"HINDALC0","25-Oct-2002","26-Dec-2002","0","0","0","498","498","494.85","0","0","900","0","        487.20"
"HINDALC0","28-Oct-2002","31-Oct-2002","490.15","496.15","489.5","491.15","491.95","491.15","73","107.84","72000","-12000","        490.20"
"HINDALC0","28-Oct-2002","28-Nov-2002","495.95","498.55","493","493.45","493.1","493.45","51","75.77","46500","6600","        490.20"
"HINDALC0","28-Oct-2002","26-Dec-2002","460.1","494.1","460.1","494.1","494.1","497.5","6","8.59","900","0","        490.20"
"HINDALC0","29-Oct-2002","31-Oct-2002","492.25","494.5","492.05","493.75","493","493.75","36","53.27","63600","-8400","        493.10"
"HINDALC0","29-Oct-2002","28-Nov-2002","495","498","495","497.2","496.25","497.2","18","26.83","49800","3300","        493.10"
"HINDALC0","29-Oct-2002","26-Dec-2002","0","0","0","494.1","494.1","500.4","0","0","900","0","        493.10"
"HINDALC0","30-Oct-2002","31-Oct-2002","488.2","491","488.2","490.1","490.5","490.1","45","66.14","51000","-12600","        489.60"
"HINDALC0","30-Oct-2002","28-Nov-2002","493.1","495","492.25","493","494","493","42","62.13","61800","12000","        489.60"
"HINDALC0","30-Oct-2002","26-Dec-2002","0","0","0","494.1","494.1","496.35","0","0","900","0","        489.60"
"HINDALC0","31-Oct-2002","31-Oct-2002","491","493.65","487.1","492.25","491.5","492.9","115","169.31","27900","-23100","        492.90"
"HINDALC0","31-Oct-2002","28-Nov-2002","491","502.9","490.5","496.7","494","496.7","141","209.21","94200","32400","        492.90"
"HINDALC0","31-Oct-2002","26-Dec-2002","571","571","495","495","495","499.6","4","6.17","1800","900","        492.90"
