"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HINDLEVER","01-Mar-2005","31-Mar-2005","146","148.25","144.4","146.55","146.4","146.55","2821","8251.04","10798000","-318000","        146.20"
"HINDLEVER","01-Mar-2005","28-Apr-2005","147","148.5","146.5","147.45","147.5","147.45","12","35.39","56000","10000","        146.20"
"HINDLEVER","01-Mar-2005","26-May-2005","0","0","0","144.95","0","148.3","0","0","0","0","        146.20"
"HINDLEVER","02-Mar-2005","31-Mar-2005","146.4","147.65","146","146.9","147","146.9","1637","4807.79","10970000","172000","        146.85"
"HINDLEVER","02-Mar-2005","28-Apr-2005","148","148","147","147.6","147.6","147.6","7","20.65","52000","-4000","        146.85"
"HINDLEVER","02-Mar-2005","26-May-2005","0","0","0","144.95","0","148.9","0","0","0","0","        146.85"
"HINDLEVER","03-Mar-2005","31-Mar-2005","147.85","151.7","146.15","151.2","151.2","151.2","4080","12216.95","11082000","112000","        150.30"
"HINDLEVER","03-Mar-2005","28-Apr-2005","147.8","151.9","147.6","151.65","151.5","151.65","19","56.95","48000","-4000","        150.30"
"HINDLEVER","03-Mar-2005","26-May-2005","0","0","0","144.95","0","152.4","0","0","0","0","        150.30"
"HINDLEVER","04-Mar-2005","31-Mar-2005","151.8","151.85","148.75","150.4","150.25","150.4","2367","7121.89","11446000","364000","        149.80"
"HINDLEVER","04-Mar-2005","28-Apr-2005","152.5","152.5","149.7","151.45","151.45","151.2","29","87.7","92000","44000","        149.80"
"HINDLEVER","04-Mar-2005","26-May-2005","0","0","0","144.95","0","151.9","0","0","0","0","        149.80"
"HINDLEVER","07-Mar-2005","31-Mar-2005","151","151","143","145.15","145.05","145.15","3836","11231.51","12592000","1146000","        144.95"
"HINDLEVER","07-Mar-2005","28-Apr-2005","150","150.5","144.05","146","146","146","48","141.13","128000","36000","        144.95"
"HINDLEVER","07-Mar-2005","26-May-2005","145.1","145.1","145","145","145","146.9","4","11.6","8000","8000","        144.95"
"HINDLEVER","08-Mar-2005","31-Mar-2005","145.45","146.6","145.05","145.75","146","145.75","1459","4256.48","12692000","100000","        146.05"
"HINDLEVER","08-Mar-2005","28-Apr-2005","146.9","147.65","146","146.1","146.1","147.3","9","26.43","138000","10000","        146.05"
"HINDLEVER","08-Mar-2005","26-May-2005","0","0","0","145","145","147.95","0","0","8000","0","        146.05"
"HINDLEVER","09-Mar-2005","31-Mar-2005","146","146.4","142.55","144.2","144.5","144.2","1499","4318.88","12662000","-30000","        144.15"
"HINDLEVER","09-Mar-2005","28-Apr-2005","146","146.6","143.7","143.7","143.7","145.35","10","29.06","152000","14000","        144.15"
"HINDLEVER","09-Mar-2005","26-May-2005","0","0","0","145","145","146","0","0","8000","0","        144.15"
"HINDLEVER","10-Mar-2005","31-Mar-2005","144.1","146.7","142.4","144.95","144.75","144.95","2271","6580.09","13238000","576000","        144.15"
"HINDLEVER","10-Mar-2005","28-Apr-2005","144.3","147.35","143.8","145.85","145.8","145.85","24","70.14","172000","20000","        144.15"
"HINDLEVER","10-Mar-2005","26-May-2005","0","0","0","145","145","146","0","0","8000","0","        144.15"
"HINDLEVER","11-Mar-2005","31-Mar-2005","145.45","145.8","143.7","144.15","144.3","144.15","851","2465.11","13266000","28000","        143.65"
