"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HINDUNILVR","01-Sep-2015","24-Sep-2015","864.1","864.55","851","856","854","856","4753","10166.22","4510250","0","        853.75"
"HINDUNILVR","01-Sep-2015","29-Oct-2015","864.05","864.05","855","859.4","858.65","859.4","64","137.4","76000","6500","        853.75"
"HINDUNILVR","01-Sep-2015","26-Nov-2015","0","0","0","855.25","855.25","869.55","0","0","600","0","        853.75"
"HINDUNILVR","02-Sep-2015","24-Sep-2015","858.2","865","828.85","834.35","830.25","834.35","6591","13969.77","4604500","94250","        830.60"
"HINDUNILVR","02-Sep-2015","29-Oct-2015","860.05","866.3","832.25","838.9","832.25","838.9","98","209.38","89250","13250","        830.60"
"HINDUNILVR","02-Sep-2015","26-Nov-2015","855","855","855","855","855","845.85","1","5.13","600","0","        830.60"
"HINDUNILVR","03-Sep-2015","24-Sep-2015","833.95","843.35","817.3","837.75","839.6","837.75","7884","16363.03","4587750","-16750","        833.75"
"HINDUNILVR","03-Sep-2015","29-Oct-2015","833.3","843.95","821.55","842.6","842.6","843.75","42","87.47","91750","2500","        833.75"
"HINDUNILVR","03-Sep-2015","26-Nov-2015","0","0","0","855","855","848.8","0","0","600","0","        833.75"
"HINDUNILVR","04-Sep-2015","24-Sep-2015","839.5","843.3","825","832.55","831","832.55","5096","10611.25","4525000","-62750","        830.00"
"HINDUNILVR","04-Sep-2015","29-Oct-2015","831.8","844.3","830","836.5","834.9","836.5","164","342.41","113000","21250","        830.00"
"HINDUNILVR","04-Sep-2015","26-Nov-2015","0","0","0","855","855","844.7","0","0","600","0","        830.00"
"HINDUNILVR","07-Sep-2015","24-Sep-2015","827.35","836.55","818.7","821.55","820","821.55","4476","9233.12","4483750","-41250","        819.85"
"HINDUNILVR","07-Sep-2015","29-Oct-2015","834.45","834.45","823","825.15","824.9","825.15","47","97.4","107500","-5500","        819.85"
"HINDUNILVR","07-Sep-2015","26-Nov-2015","828.3","828.3","828.3","828.3","828.3","833.8","1","4.97","600","0","        819.85"
"HINDUNILVR","08-Sep-2015","24-Sep-2015","819.9","821","788.25","804.15","805","804.15","11363","22720.18","4798000","314250","        801.10"
"HINDUNILVR","08-Sep-2015","29-Oct-2015","822.35","822.35","793.3","807.8","808.75","807.8","132","264.95","105750","-1750","        801.10"
"HINDUNILVR","08-Sep-2015","26-Nov-2015","810","810","810","810","810","814.65","1","4.86","1200","600","        801.10"
"HINDUNILVR","09-Sep-2015","24-Sep-2015","809","815.45","794","805.55","805.5","805.55","7775","15647.87","4699000","-99000","        803.05"
"HINDUNILVR","09-Sep-2015","29-Oct-2015","813.95","818","798","809.2","809.9","809.2","209","422.45","106500","750","        803.05"
"HINDUNILVR","09-Sep-2015","26-Nov-2015","818.8","818.8","806","812.8","812.8","816.5","5","24.3","1800","600","        803.05"
"HINDUNILVR","10-Sep-2015","24-Sep-2015","801.35","801.95","780.5","793.7","795.5","793.7","9560","18892.29","4903250","204250","        790.15"
"HINDUNILVR","10-Sep-2015","29-Oct-2015","800","802","785","797.75","799","797.75","207","410.78","116250","9750","        790.15"
"HINDUNILVR","10-Sep-2015","26-Nov-2015","802","802","802","802","802","803.2","1","4.81","2400","600","        790.15"
"HINDUNILVR","11-Sep-2015","24-Sep-2015","796","803","787","795.6","797.25","795.6","6745","13406.82","4898750","-4500","        795.25"
"HINDUNILVR","11-Sep-2015","29-Oct-2015","799.4","805.75","791","799.95","800.4","799.95","215","429.05","126750","10500","        795.25"
"HINDUNILVR","11-Sep-2015","26-Nov-2015","793","800.15","793","800.15","800.15","808.25","2","9.56","2400","0","        795.25"
"HINDUNILVR","14-Sep-2015","24-Sep-2015","800","800.9","790.8","796.85","796","796.85","6091","12116.16","4931000","32250","        794.75"
"HINDUNILVR","14-Sep-2015","29-Oct-2015","803.3","803.3","796","800.55","798.45","800.55","143","285.76","133500","6750","        794.75"
"HINDUNILVR","14-Sep-2015","26-Nov-2015","0","0","0","800.15","800.15","807.25","0","0","2400","0","        794.75"
"HINDUNILVR","15-Sep-2015","24-Sep-2015","797.7","808.65","793.7","805.25","803.45","805.25","8101","16270.69","4847500","-83500","        804.65"
"HINDUNILVR","15-Sep-2015","29-Oct-2015","799","812","799","809.35","806.45","809.35","193","389.4","143000","9500","        804.65"
