"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ICICIBANK","02-Jul-2018","26-Jul-2018","273.45","279.95","270.65","277.55","277.25","277.55","28211","213385.36","112576750","17173750","        277.40"
"ICICIBANK","02-Jul-2018","30-Aug-2018","275.1","281.6","271.85","278.55","278.85","278.55","323","2455","1050500","110000","        277.40"
"ICICIBANK","02-Jul-2018","27-Sep-2018","274.4","274.4","274.4","274.4","274.4","282.3","1","7.55","5500","2750","        277.40"
"ICICIBANK","03-Jul-2018","26-Jul-2018","275.3","276.8","272.5","273.1","273.5","273.1","10593","79968.37","114765750","2189000","        272.90"
"ICICIBANK","03-Jul-2018","30-Aug-2018","275.45","277.75","273.85","274.2","274.8","274.2","318","2412.61","1289750","239250","        272.90"
"ICICIBANK","03-Jul-2018","27-Sep-2018","0","0","0","274.4","274.4","277.65","2","15.08","11000","5500","        272.90"
"ICICIBANK","04-Jul-2018","26-Jul-2018","274.5","274.95","270.75","273.1","273.15","273.1","8097","60686.72","114655750","-110000","        273.25"
"ICICIBANK","04-Jul-2018","30-Aug-2018","274.05","275.3","271.95","274.3","274.15","274.3","236","1774.91","1416250","126500","        273.25"
"ICICIBANK","04-Jul-2018","27-Sep-2018","0","0","0","274.4","274.4","277.95","0","0","11000","0","        273.25"
"ICICIBANK","05-Jul-2018","26-Jul-2018","272.95","275.25","270.5","271.35","271.45","271.35","8486","63675.44","117001500","2345750","        271.55"
"ICICIBANK","05-Jul-2018","30-Aug-2018","274.2","276.5","272","272.5","272.9","272.5","314","2364.06","1889250","473000","        271.55"
"ICICIBANK","05-Jul-2018","27-Sep-2018","275.25","275.25","275.25","275.25","275.25","276.15","2","15.14","11000","0","        271.55"
"ICICIBANK","06-Jul-2018","26-Jul-2018","270.2","271.7","267","270","270","270","14430","106989.5","121118250","4116750","        270.05"
"ICICIBANK","06-Jul-2018","30-Aug-2018","271.1","272.3","268.3","271.2","271.4","271.2","548","4079.39","2598750","709500","        270.05"
"ICICIBANK","06-Jul-2018","27-Sep-2018","272.65","273.5","270","272","272","272","8","59.81","22000","11000","        270.05"
"ICICIBANK","09-Jul-2018","26-Jul-2018","273.55","274.45","269.8","271.1","270.8","271.1","12751","95534.51","127861250","6743000","        271.20"
"ICICIBANK","09-Jul-2018","30-Aug-2018","273.95","275.4","271.2","272.3","272.1","272.3","353","2655.39","2975500","376750","        271.20"
"ICICIBANK","09-Jul-2018","27-Sep-2018","276","276.65","273.85","273.85","273.85","275.6","12","90.94","38500","16500","        271.20"
"ICICIBANK","10-Jul-2018","26-Jul-2018","272.55","275.8","271.55","273.3","273.2","273.3","11944","89964.06","131730500","3869250","        273.40"
"ICICIBANK","10-Jul-2018","30-Aug-2018","273.55","277.1","273.35","274.6","274.45","274.6","1360","10293.73","5291000","2315500","        273.40"
"ICICIBANK","10-Jul-2018","27-Sep-2018","278.4","278.4","276","276","276","276","22","168.19","93500","55000","        273.40"
"ICICIBANK","11-Jul-2018","26-Jul-2018","272.95","274.35","266.55","268.2","268.4","268.2","13048","96823.19","132684750","954250","        268.75"
"ICICIBANK","11-Jul-2018","30-Aug-2018","273.05","275.25","268","269.55","269.9","269.55","604","4503.27","5981250","690250","        268.75"
"ICICIBANK","11-Jul-2018","27-Sep-2018","274.6","276.5","270.7","268.7","270.7","268.7","6","45.07","99000","5500","        268.75"
"ICICIBANK","12-Jul-2018","26-Jul-2018","270.25","273.35","268.5","271.25","270.6","271.25","14607","108908.06","131304250","-1380500","        272.30"
"ICICIBANK","12-Jul-2018","30-Aug-2018","271.95","274.45","269.85","272.9","271.8","272.9","1879","14080.51","8555250","2574000","        272.30"
"ICICIBANK","12-Jul-2018","27-Sep-2018","272.9","275.45","271.15","274","273.2","274","52","392.1","170500","71500","        272.30"
"ICICIBANK","13-Jul-2018","26-Jul-2018","271","272.85","265.55","267.35","267.1","267.35","9971","73418.44","130429750","-874500","        267.75"
"ICICIBANK","13-Jul-2018","30-Aug-2018","274","274","266.9","268.55","268.55","268.55","1829","13528.41","11679250","3124000","        267.75"
"ICICIBANK","13-Jul-2018","27-Sep-2018","269","269.7","269","269.7","269.7","271.85","2","14.81","176000","5500","        267.75"
"ICICIBANK","16-Jul-2018","26-Jul-2018","265.95","266.85","257.2","260.2","259.2","260.2","18948","135763.02","130157500","-272250","        259.25"
"ICICIBANK","16-Jul-2018","30-Aug-2018","266.15","267.6","257.15","260.2","259","260.2","2180","15657.87","12548250","869000","        259.25"
"ICICIBANK","16-Jul-2018","27-Sep-2018","265.05","266","259","261.55","261.55","263.05","70","505.94","233750","57750","        259.25"
"ICICIBANK","17-Jul-2018","26-Jul-2018","260.15","268.5","260.15","267.65","266.7","267.65","12093","88262.51","128084000","-2073500","        266.45"
"ICICIBANK","17-Jul-2018","30-Aug-2018","261","268.25","260.6","267.3","266.45","267.3","1435","10462.43","14454000","1905750","        266.45"
"ICICIBANK","17-Jul-2018","27-Sep-2018","264","268.5","264","267.8","267.25","267.8","29","212.84","225500","-8250","        266.45"
"ICICIBANK","18-Jul-2018","26-Jul-2018","267","268.05","261.5","263.3","264.4","263.3","12454","90474.81","122306250","-5777750","        262.70"
"ICICIBANK","18-Jul-2018","30-Aug-2018","267.45","268","261.45","263.15","264","263.15","1864","13526","17473500","3019500","        262.70"
"ICICIBANK","18-Jul-2018","27-Sep-2018","267.6","267.85","263","264.7","265.1","264.7","42","305.05","316250","90750","        262.70"
"ICICIBANK","19-Jul-2018","26-Jul-2018","263.4","265.1","260.3","262.05","262.05","262.05","11211","80966.48","119435250","-2871000","        261.20"
"ICICIBANK","19-Jul-2018","30-Aug-2018","263","264.85","260.3","261.7","262.25","261.7","2574","18570.92","21813000","4339500","        261.20"
"ICICIBANK","19-Jul-2018","27-Sep-2018","264.5","265","262.6","262.75","262.75","264.85","10","72.58","324500","8250","        261.20"
"ICICIBANK","20-Jul-2018","26-Jul-2018","262.8","268.4","262.55","266.35","266.45","266.35","13589","99545.58","112802250","-6633000","        265.80"
"ICICIBANK","20-Jul-2018","30-Aug-2018","262.75","268.3","262.45","266.3","266.25","266.3","3351","24535.73","27478000","5665000","        265.80"
"ICICIBANK","20-Jul-2018","27-Sep-2018","267","269.95","266.65","267.1","267.1","267.1","26","191.44","313500","-11000","        265.80"
"ICICIBANK","23-Jul-2018","26-Jul-2018","266","276.35","266","275.6","275.05","275.6","20712","154720.68","89333750","-23468500","        275.55"
"ICICIBANK","23-Jul-2018","30-Aug-2018","266.15","276.3","266.15","275.75","275.3","275.75","10074","75107.3","48367000","20889000","        275.55"
"ICICIBANK","23-Jul-2018","27-Sep-2018","270.95","277.5","269.35","277.2","277.5","277.2","243","1827.26","382250","68750","        275.55"
