"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ICICIBANK","02-Mar-2015","26-Mar-2015","351.6","353.65","342.75","350.9","351.2","350.9","31552","137696.44","69631250","-792500","        349.05"
"ICICIBANK","02-Mar-2015","30-Apr-2015","355.2","355.35","345.5","353.55","353.4","353.55","350","1535.33","368750","57500","        349.05"
"ICICIBANK","02-Mar-2015","28-May-2015","353.5","354.35","346.1","354.2","354.35","354.2","24","104.87","37500","21250","        349.05"
"ICICIBANK","03-Mar-2015","26-Mar-2015","349.7","351","345.65","350.1","350.55","350.1","21213","92402.45","68581250","-1050000","        348.65"
"ICICIBANK","03-Mar-2015","30-Apr-2015","350.55","353.45","348.3","352.6","353.45","352.6","229","1004.21","450000","81250","        348.65"
"ICICIBANK","03-Mar-2015","28-May-2015","350","354","350","354","354","354","18","79.15","53750","16250","        348.65"
"ICICIBANK","04-Mar-2015","26-Mar-2015","359.7","362.5","347","350.3","348.9","350.3","45112","200472.11","66982500","-1598750","        349.35"
"ICICIBANK","04-Mar-2015","30-Apr-2015","365","365","350.1","352.35","351.5","352.35","655","2936.35","700000","250000","        349.35"
"ICICIBANK","04-Mar-2015","28-May-2015","358.75","363","351.25","353.05","351.9","353.05","30","134.09","60000","6250","        349.35"
"ICICIBANK","05-Mar-2015","26-Mar-2015","347","352.4","341.8","350.2","349.75","350.2","22678","98312.64","67201250","218750","        347.75"
"ICICIBANK","05-Mar-2015","30-Apr-2015","349.25","355.3","345","352.75","352.5","352.75","339","1480.61","836250","136250","        347.75"
"ICICIBANK","05-Mar-2015","28-May-2015","349.5","355","347","353.85","353","353.85","16","70.21","61250","1250","        347.75"
"ICICIBANK","09-Mar-2015","26-Mar-2015","344.7","344.75","333.75","334.7","334.2","334.7","20839","88130.78","66955000","-246250","        332.80"
"ICICIBANK","09-Mar-2015","30-Apr-2015","347.25","347.25","336.4","337.2","337.2","337.2","439","1870.61","990000","153750","        332.80"
"ICICIBANK","09-Mar-2015","28-May-2015","347","347","337.9","338","338","338","18","76.84","77500","16250","        332.80"
"ICICIBANK","10-Mar-2015","26-Mar-2015","334.4","339.75","331.75","335.9","337.1","335.9","24743","104066.25","69001250","2046250","        333.65"
"ICICIBANK","10-Mar-2015","30-Apr-2015","336.45","342.4","334.45","338.85","340","338.85","376","1594.88","1037500","47500","        333.65"
"ICICIBANK","10-Mar-2015","28-May-2015","337","343.1","336.5","338.6","339.75","338.6","18","76.49","83750","6250","        333.65"
"ICICIBANK","11-Mar-2015","26-Mar-2015","335","338.55","330.5","335.5","336.9","335.5","21625","90511.88","72492500","3491250","        332.65"
"ICICIBANK","11-Mar-2015","30-Apr-2015","338","341.25","333.6","338.2","339.7","338.2","312","1315.12","1080000","42500","        332.65"
"ICICIBANK","11-Mar-2015","28-May-2015","338.85","340.15","334.85","338.85","340","338.85","19","80.22","92500","8750","        332.65"
