"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ICICIBANK","03-May-2007","31-May-2007","890","890","865.8","868.4","866.25","868.4","10266","31308.99","6917050","311850","        869.90"
"ICICIBANK","03-May-2007","28-Jun-2007","867","890","862","865.15","863","865.15","191","579.69","84000","17500","        869.90"
"ICICIBANK","03-May-2007","26-Jul-2007","867.9","867.9","860","860","860","891.75","4","12.07","14700","1400","        869.90"
"ICICIBANK","04-May-2007","31-May-2007","868.1","875","854.3","857.55","857","857.55","11279","34176.09","7350000","432950","        855.85"
"ICICIBANK","04-May-2007","28-Jun-2007","870","870","851","854.55","853.4","854.55","137","413.31","94150","10150","        855.85"
"ICICIBANK","04-May-2007","26-Jul-2007","860.9","860.9","844","847.95","849.9","847.95","11","32.88","18550","3850","        855.85"
"ICICIBANK","07-May-2007","31-May-2007","865","866.8","841.25","845.55","844.5","845.55","11014","32854.1","7409150","59150","        843.75"
"ICICIBANK","07-May-2007","28-Jun-2007","860","860","834","837.15","836.9","837.15","486","1442.27","176050","81900","        843.75"
"ICICIBANK","07-May-2007","26-Jul-2007","889.05","889.05","827","832.15","835","832.15","52","152.45","26250","7700","        843.75"
"ICICIBANK","08-May-2007","31-May-2007","847","861.35","837.25","840.75","842","840.75","12102","36025.45","7421750","12600","        839.80"
"ICICIBANK","08-May-2007","28-Jun-2007","830","852.75","830","833","834.55","833","362","1066.26","193550","17500","        839.80"
"ICICIBANK","08-May-2007","26-Jul-2007","838.15","841","825","827.05","827","827.05","11","32.07","28000","1750","        839.80"
"ICICIBANK","09-May-2007","31-May-2007","840","856.95","826","854.45","856.6","854.45","15485","45757.39","7466200","44450","        849.35"
"ICICIBANK","09-May-2007","28-Jun-2007","833","847.9","822.9","844.9","847.85","844.9","647","1887.09","261450","67900","        849.35"
"ICICIBANK","09-May-2007","26-Jul-2007","822.75","839.9","822","839.9","839.9","868.75","8","23.22","28700","700","        849.35"
"ICICIBANK","10-May-2007","31-May-2007","858.35","863.15","842.15","844.5","845","844.5","10072","30091.83","7686700","220500","        842.95"
"ICICIBANK","10-May-2007","28-Jun-2007","852","854.1","833.6","835.95","837.95","835.95","368","1088.73","310100","48650","        842.95"
"ICICIBANK","10-May-2007","26-Jul-2007","840","840","830","830","830","830","3","8.77","29400","700","        842.95"
"ICICIBANK","11-May-2007","31-May-2007","833","861.95","826","852.25","853.9","852.25","14855","44122.05","7581000","-105700","        848.45"
"ICICIBANK","11-May-2007","28-Jun-2007","824.65","852","823","843.9","845.05","843.9","624","1833.32","348600","38500","        848.45"
"ICICIBANK","11-May-2007","26-Jul-2007","828.9","844.95","828.8","830","830","867","9","26.34","30100","700","        848.45"
"ICICIBANK","14-May-2007","31-May-2007","862.5","878.3","860","875.7","873.5","875.7","13296","40533.34","7439600","-141400","        870.40"
"ICICIBANK","14-May-2007","28-Jun-2007","855.9","869","851.5","866.15","863.6","866.15","613","1848.33","379400","30800","        870.40"
"ICICIBANK","14-May-2007","26-Jul-2007","860","860.8","840.1","860.75","860.8","860.75","17","50.89","29050","-1050","        870.40"
"ICICIBANK","15-May-2007","31-May-2007","875","895.8","875","893","891","893","15952","49513.18","6935950","-503650","        886.85"
"ICICIBANK","15-May-2007","28-Jun-2007","870","887.7","869","884.35","882","884.35","1095","3361.35","515200","135800","        886.85"
"ICICIBANK","15-May-2007","26-Jul-2007","860","878","860","876.2","873","876.2","103","313.63","56700","27650","        886.85"
"ICICIBANK","16-May-2007","31-May-2007","893.5","931.85","893","926.2","929.2","926.2","16619","52921.69","6801200","-134750","        918.60"
"ICICIBANK","16-May-2007","28-Jun-2007","890","924.5","884.55","917.35","920.2","917.35","978","3081.8","568400","53200","        918.60"
"ICICIBANK","16-May-2007","26-Jul-2007","880","907.5","880","902.9","907.5","902.9","177","550.21","102200","45500","        918.60"
"ICICIBANK","17-May-2007","31-May-2007","933.9","960","933.9","943.35","943","943.35","15035","49875.68","6573700","-227500","        938.05"
"ICICIBANK","17-May-2007","28-Jun-2007","935.05","950","927","930.85","929","930.85","1083","3546.28","526050","-42350","        938.05"
"ICICIBANK","17-May-2007","26-Jul-2007","920","927","906.8","909.7","910","909.7","48","154.11","106050","3850","        938.05"
"ICICIBANK","18-May-2007","31-May-2007","940.05","960","938.6","956.95","960","956.95","12364","41193.95","6305950","-267750","        951.15"
"ICICIBANK","18-May-2007","28-Jun-2007","920","949","920","945.1","947.5","945.1","1832","6031.86","950600","424550","        951.15"
"ICICIBANK","18-May-2007","26-Jul-2007","915.45","929","912.3","927.05","928.85","927.05","56","180.8","115150","9100","        951.15"
"ICICIBANK","21-May-2007","31-May-2007","964.95","968.1","938.75","946.15","945.05","946.15","8804","29423.88","6047300","-258650","        943.00"
"ICICIBANK","21-May-2007","28-Jun-2007","954","957.95","928","935.35","934.5","935.35","489","1614.22","968450","17850","        943.00"
"ICICIBANK","21-May-2007","26-Jul-2007","930","939.6","913.05","914.75","913.05","914.75","87","282.75","127050","11900","        943.00"
"ICICIBANK","22-May-2007","31-May-2007","943","950.35","931.05","934.55","932.8","934.55","7769","25553.71","6105050","57750","        928.55"
"ICICIBANK","22-May-2007","28-Jun-2007","934.5","939.4","923","928.25","927.8","928.25","708","2302.98","1084650","116200","        928.55"
"ICICIBANK","22-May-2007","26-Jul-2007","903.2","917","903.2","907","906","907","52","166.13","138600","11550","        928.55"
"ICICIBANK","23-May-2007","31-May-2007","937","941","917","922.15","920.5","922.15","7699","25039.32","5965400","-139650","        917.85"
"ICICIBANK","23-May-2007","28-Jun-2007","931","931","910","913.9","912","913.9","705","2270.99","1181950","97300","        917.85"
"ICICIBANK","23-May-2007","26-Jul-2007","914.9","914.95","895","900.7","896","900.7","60","190.38","149450","10850","        917.85"
"ICICIBANK","24-May-2007","31-May-2007","922.65","935","908.05","914.4","913.8","914.4","7459","24059.87","5702200","-263200","        911.30"
"ICICIBANK","24-May-2007","28-Jun-2007","925","928","902","907.85","906.8","907.85","1183","3776.6","1375850","193900","        911.30"
"ICICIBANK","24-May-2007","26-Jul-2007","900","914.8","885.3","888.9","890","888.9","48","150.3","150850","1400","        911.30"
"ICICIBANK","25-May-2007","31-May-2007","900","922.4","898","918.1","917","918.1","7896","25264.13","5426400","-275800","        912.70"
"ICICIBANK","25-May-2007","28-Jun-2007","881.7","916","881.7","913","909.05","913","1774","5632.92","1645000","269150","        912.70"
"ICICIBANK","25-May-2007","26-Jul-2007","882","895","878.65","894","893.5","894","39","121.35","152250","1400","        912.70"
"ICICIBANK","28-May-2007","31-May-2007","922","939.9","922","925.45","924.9","925.45","6837","22266.82","4920650","-505750","        922.80"
"ICICIBANK","28-May-2007","28-Jun-2007","929.6","936","914.8","921.95","921","921.95","3997","12959.07","2181900","536900","        922.80"
"ICICIBANK","28-May-2007","26-Jul-2007","910","915.85","904","905.8","905","905.8","41","130.52","159950","7700","        922.80"
"ICICIBANK","29-May-2007","31-May-2007","930","932.5","920.1","924.05","922.5","924.05","6702","21700.44","4151350","-769300","        920.60"
"ICICIBANK","29-May-2007","28-Jun-2007","935","939","916.55","921.1","918","921.1","5794","18683.89","3415300","1233400","        920.60"
"ICICIBANK","29-May-2007","26-Jul-2007","906","907.5","900","902","905","902","91","287.86","165550","5600","        920.60"
"ICICIBANK","30-May-2007","31-May-2007","921.9","923.8","908.15","913.7","913.9","913.7","6132","19670.28","3536750","-614600","        913.65"
"ICICIBANK","30-May-2007","28-Jun-2007","920","920","905","910.65","909","910.65","5493","17572.9","4184250","768950","        913.65"
"ICICIBANK","30-May-2007","26-Jul-2007","899","903","890","890.85","890","890.85","63","197.81","172900","7350","        913.65"
"ICICIBANK","31-May-2007","31-May-2007","921.4","924","908.5","916.2","918.55","919.15","11960","38376.02","1796900","-1739850","        919.15"
"ICICIBANK","31-May-2007","28-Jun-2007","919","924.95","909.35","919.55","921.5","919.55","11004","35314.95","6198850","2014600","        919.15"
"ICICIBANK","31-May-2007","26-Jul-2007","895.05","914","895","909.2","912.9","909.2","249","787.69","214900","42000","        919.15"
"ICICIBANK","01-Jun-2007","28-Jun-2007","925","937.5","921","927.6","929","927.6","8362","27225.22","6480600","281750","        930.45"
"ICICIBANK","01-Jun-2007","26-Jul-2007","913.45","925.9","910","917.6","920.5","917.6","428","1381.15","290150","75250","        930.45"
"ICICIBANK","01-Jun-2007","30-Aug-2007","0","0","0","941.7","0","952.25","0","0","0","0","        930.45"
"ICICIBANK","04-Jun-2007","28-Jun-2007","934","939","920.3","931","932","931","7807","25404.32","6942250","461650","        933.35"
"ICICIBANK","04-Jun-2007","26-Jul-2007","928","928","910","919.25","920","919.25","355","1141.54","344400","54250","        933.35"
"ICICIBANK","04-Jun-2007","30-Aug-2007","0","0","0","941.7","0","954.65","0","0","0","0","        933.35"
"ICICIBANK","05-Jun-2007","28-Jun-2007","929","949","926.1","937","935.85","937","12570","41355.83","7235200","292950","        939.05"
"ICICIBANK","05-Jun-2007","26-Jul-2007","917","936.5","915.95","925.75","925.6","925.75","440","1429.3","403900","59500","        939.05"
"ICICIBANK","05-Jun-2007","30-Aug-2007","0","0","0","941.7","0","960.35","0","0","0","0","        939.05"
"ICICIBANK","06-Jun-2007","28-Jun-2007","937","938.4","905.7","908.9","910","908.9","9102","29377.28","7370650","135450","        911.20"
"ICICIBANK","06-Jun-2007","26-Jul-2007","884","924","862","894.6","895.5","894.6","709","2255.97","524300","120400","        911.20"
"ICICIBANK","06-Jun-2007","30-Aug-2007","0","0","0","941.7","0","931.55","0","0","0","0","        911.20"
"ICICIBANK","07-Jun-2007","28-Jun-2007","918","921.7","900","905.5","907.15","905.5","7269","23149.92","7323050","-47600","        909.10"
"ICICIBANK","07-Jun-2007","26-Jul-2007","890","914","888","891.25","893","891.25","375","1173.57","542850","18550","        909.10"
"ICICIBANK","07-Jun-2007","30-Aug-2007","0","0","0","941.7","0","928.8","0","0","0","0","        909.10"
"ICICIBANK","08-Jun-2007","28-Jun-2007","895.9","909.9","885","898.65","901.5","898.65","7284","22949.52","7382550","59500","        903.45"
"ICICIBANK","08-Jun-2007","26-Jul-2007","875","894.45","872.5","884.55","887.85","884.55","373","1158.01","530950","-11900","        903.45"
"ICICIBANK","08-Jun-2007","30-Aug-2007","875","933.9","875","933.9","933.9","923.15","2","6.33","700","700","        903.45"
"ICICIBANK","11-Jun-2007","28-Jun-2007","910","916.8","893","896.65","894.7","896.65","5086","16090.94","7406350","23800","        901.95"
"ICICIBANK","11-Jun-2007","26-Jul-2007","910","910","880.15","883.5","880.15","883.5","453","1410.87","566650","35700","        901.95"
"ICICIBANK","11-Jun-2007","30-Aug-2007","880","880","880","880","880","880","1","3.08","1050","350","        901.95"
"ICICIBANK","12-Jun-2007","28-Jun-2007","894","919.95","892","915.75","917.7","915.75","7929","25125","7473200","66850","        919.35"
"ICICIBANK","12-Jun-2007","26-Jul-2007","884","906","881","901.8","904","901.8","941","2926.88","695450","128800","        919.35"
"ICICIBANK","12-Jun-2007","30-Aug-2007","880.05","900","880","896.7","900","896.7","7","21.78","1400","350","        919.35"
"ICICIBANK","13-Jun-2007","28-Jun-2007","919","933","904.5","908.35","904.8","908.35","11262","36169.91","8068550","595350","        913.95"
"ICICIBANK","13-Jun-2007","26-Jul-2007","913","918","889.95","892.4","889.95","892.4","1114","3515.81","803600","108150","        913.95"
"ICICIBANK","13-Jun-2007","30-Aug-2007","910","910","891","892","892","932.7","4","12.6","2100","700","        913.95"
"ICICIBANK","14-Jun-2007","28-Jun-2007","914.4","918.25","908","910.6","910","910.6","7196","22989.81","8216600","148050","        905.85"
"ICICIBANK","14-Jun-2007","26-Jul-2007","900.05","901.95","893.5","895.35","896.65","895.35","607","1905.45","871500","67900","        905.85"
"ICICIBANK","14-Jun-2007","30-Aug-2007","898.95","898.95","898.95","898.95","898.95","924.45","2","6.29","2800","700","        905.85"
"ICICIBANK","15-Jun-2007","28-Jun-2007","919","926.8","906.05","911.55","908","911.55","12397","39832.11","8205050","-11550","        908.70"
"ICICIBANK","15-Jun-2007","26-Jul-2007","899","915.95","896.3","901.7","899","901.7","3137","9943.54","1379000","507500","        908.70"
"ICICIBANK","15-Jun-2007","30-Aug-2007","904.9","910","900.25","900.25","900.25","900.25","6","19.03","4200","1400","        908.70"
"ICICIBANK","18-Jun-2007","28-Jun-2007","919","926.5","917.9","920.85","922","920.85","7407","23901.9","7946400","-258650","        918.75"
"ICICIBANK","18-Jun-2007","26-Jul-2007","918.9","919","904","916.05","917","916.05","2420","7750.79","1701700","322700","        918.75"
"ICICIBANK","18-Jun-2007","30-Aug-2007","924.9","924.9","905.7","915","915","915","3","9.61","4550","350","        918.75"
"ICICIBANK","19-Jun-2007","28-Jun-2007","922","953.9","921","949.5","947.25","949.5","15739","51649.41","8274000","327600","        945.15"
"ICICIBANK","19-Jun-2007","26-Jul-2007","919","949","917","945.15","943.1","945.15","3941","12866.55","2232650","530950","        945.15"
"ICICIBANK","19-Jun-2007","30-Aug-2007","919.9","946","916","944.95","946","944.95","29","94.27","9450","4900","        945.15"
"ICICIBANK","20-Jun-2007","28-Jun-2007","954","964","950.2","953.4","952.05","953.4","10145","33978.43","8314250","40250","        948.15"
"ICICIBANK","20-Jun-2007","26-Jul-2007","946","956.65","944","946.65","945.5","946.65","2618","8706.9","2433550","200900","        948.15"
"ICICIBANK","20-Jun-2007","30-Aug-2007","947","955","943.55","946.25","944","946.25","36","119.55","14700","5250","        948.15"
"ICICIBANK","21-Jun-2007","28-Jun-2007","949.5","954.9","941.3","951.8","950.5","951.8","8316","27643.32","7990150","-324100","        949.95"
"ICICIBANK","21-Jun-2007","26-Jul-2007","942","951.5","937","948.95","948.15","948.95","4717","15618.06","3234000","800450","        949.95"
"ICICIBANK","21-Jun-2007","30-Aug-2007","944","949","935.25","948.45","949","948.45","105","346.73","31150","16450","        949.95"
"ICICIBANK","22-Jun-2007","28-Jun-2007","958","968","950.15","955.35","953.95","955.35","16370","54987.77","7593250","-396900","        954.55"
"ICICIBANK","22-Jun-2007","26-Jul-2007","949.5","965.25","946.5","953.65","951","953.65","11448","38355.75","4922050","1688050","        954.55"
"ICICIBANK","22-Jun-2007","30-Aug-2007","948","965.5","946","954.6","952","954.6","283","949.09","75600","44450","        954.55"
"ICICIBANK","25-Jun-2007","28-Jun-2007","953.7","957","940","953.1","954","953.1","10673","35498.8","6775650","-817600","        952.60"
"ICICIBANK","25-Jun-2007","26-Jul-2007","942.1","960.7","940","958.65","959","958.65","12824","42766.28","6218100","1296050","        952.60"
"ICICIBANK","25-Jun-2007","30-Aug-2007","947","959.8","945","957.8","959.1","957.8","96","320.1","94150","18550","        952.60"
"ICICIBANK","26-Jun-2007","28-Jun-2007","949","951.5","943.35","946.8","947","946.8","6784","22486.48","5752600","-1023050","        945.90"
"ICICIBANK","26-Jun-2007","26-Jul-2007","954.7","956.75","947.5","952.6","952.25","952.6","8051","26822.95","7057750","839650","        945.90"
"ICICIBANK","26-Jun-2007","30-Aug-2007","954.75","959.9","949.5","953.5","953.5","953.5","53","176.9","96250","2100","        945.90"
"ICICIBANK","27-Jun-2007","28-Jun-2007","946.95","946.95","937.4","939.75","939.25","939.75","6707","22089.16","4261600","-1491000","        938.05"
"ICICIBANK","27-Jun-2007","26-Jul-2007","951","953.7","944.55","946.75","947","946.75","6852","22723.61","8097950","1040200","        938.05"
"ICICIBANK","27-Jun-2007","30-Aug-2007","945","952","945","947.45","947.8","947.45","79","262.24","97300","1050","        938.05"
"ICICIBANK","28-Jun-2007","28-Jun-2007","944","947.65","935.85","942.35","942.5","942.85","11359","37433.25","1570450","-2691150","        942.85"
"ICICIBANK","28-Jun-2007","26-Jul-2007","944.9","954.95","944.9","951.85","953.5","951.85","13185","43840.4","10523800","2425850","        942.85"
"ICICIBANK","28-Jun-2007","30-Aug-2007","951.9","955.9","948.5","953.45","954","953.45","45","150.02","101850","4550","        942.85"
"ICICIBANK","29-Jun-2007","26-Jul-2007","957.8","968.9","951.55","964.9","964.95","964.9","13545","45660.15","11768750","1244950","        955.45"
"ICICIBANK","29-Jun-2007","30-Aug-2007","978","978","952.5","967.15","964.5","967.15","116","391.57","120750","18900","        955.45"
