"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"INDUSINDBK","02-May-2013","30-May-2013","466.75","477.6","466.75","473.9","474.45","473.9","2972","7032.81","3176000","-89500","        472.80"
"INDUSINDBK","02-May-2013","27-Jun-2013","466.9","475","466.9","472.8","473.25","472.8","22","52.02","89500","0","        472.80"
"INDUSINDBK","02-May-2013","25-Jul-2013","0","0","0","478.1","0","482.35","0","0","0","0","        472.80"
"INDUSINDBK","03-May-2013","30-May-2013","473.7","477","459.8","467.7","467","467.7","4394","10281.49","3225000","49000","        468.05"
"INDUSINDBK","03-May-2013","27-Jun-2013","469.5","472.7","459.2","466.75","466.5","466.75","74","172.57","88500","-1000","        468.05"
"INDUSINDBK","03-May-2013","25-Jul-2013","0","0","0","478.1","0","476.95","0","0","0","0","        468.05"
"INDUSINDBK","06-May-2013","30-May-2013","469","475.7","458","473.95","475","473.95","3415","8004.33","3621000","396000","        474.50"
"INDUSINDBK","06-May-2013","27-Jun-2013","463.2","474","458.5","473.45","473.5","473.45","76","177.37","91000","2500","        474.50"
"INDUSINDBK","06-May-2013","25-Jul-2013","0","0","0","478.1","0","483.3","0","0","0","0","        474.50"
"INDUSINDBK","07-May-2013","30-May-2013","473.9","494.1","473.5","486.4","485.65","486.4","5524","13415.21","3949500","328500","        484.90"
"INDUSINDBK","07-May-2013","27-Jun-2013","473.7","492","473.1","485.4","484.6","485.4","70","169.87","89500","-1500","        484.90"
"INDUSINDBK","07-May-2013","25-Jul-2013","0","0","0","478.1","0","493.85","0","0","0","0","        484.90"
"INDUSINDBK","08-May-2013","30-May-2013","485.1","494.75","484.1","492.6","494.4","492.6","3875","9496.25","4114000","164500","        493.20"
"INDUSINDBK","08-May-2013","27-Jun-2013","485.5","493.1","483.5","492.05","492.15","492.05","50","122.45","94500","5000","        493.20"
"INDUSINDBK","08-May-2013","25-Jul-2013","0","0","0","478.1","0","502.25","0","0","0","0","        493.20"
"INDUSINDBK","09-May-2013","30-May-2013","492.25","492.55","486.15","487.8","488.9","487.8","3659","8944.99","4504500","390500","        488.90"
"INDUSINDBK","09-May-2013","27-Jun-2013","491","491","486.05","487.45","486.05","487.45","52","126.81","98500","4000","        488.90"
