"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"INFY","01-Jan-2016","28-Jan-2016","1103.35","1111","1095.15","1106.05","1106","1106.05","4284","23649.48","10130000","327000","       1105.25"
"INFY","01-Jan-2016","25-Feb-2016","1100","1114.6","1099.5","1110.25","1109.25","1110.25","48","265.64","45500","6500","       1105.25"
"INFY","01-Jan-2016","31-Mar-2016","0","0","0","1126.05","0","1125.75","0","0","0","0","       1105.25"
"INFY","04-Jan-2016","28-Jan-2016","1100.05","1102.55","1079.05","1082.5","1083","1082.5","6445","35147.33","10588000","458000","       1078.90"
"INFY","04-Jan-2016","25-Feb-2016","1104.5","1104.5","1085","1087.5","1088.2","1087.5","74","404.38","61000","15500","       1078.90"
"INFY","04-Jan-2016","31-Mar-2016","1100","1100","1100","1100","1100","1098.2","1","5.5","500","500","       1078.90"
"INFY","05-Jan-2016","28-Jan-2016","1087.3","1088","1066.5","1076.55","1074.25","1076.55","4727","25450.84","10749500","161500","       1074.05"
"INFY","05-Jan-2016","25-Feb-2016","1089.65","1089.65","1070.55","1079.9","1079","1079.9","100","540.22","84000","23000","       1074.05"
"INFY","05-Jan-2016","31-Mar-2016","0","0","0","1100","1100","1093.05","0","0","500","0","       1074.05"
"INFY","06-Jan-2016","28-Jan-2016","1080.3","1080.3","1063.45","1070.3","1069.8","1070.3","5363","28688.22","11170000","420500","       1069.35"
"INFY","06-Jan-2016","25-Feb-2016","1071","1079.05","1069","1075","1075","1075","70","375.91","93000","9000","       1069.35"
"INFY","06-Jan-2016","31-Mar-2016","0","0","0","1100","1100","1088.05","0","0","500","0","       1069.35"
"INFY","07-Jan-2016","28-Jan-2016","1061.2","1070","1052","1055","1057.25","1055","5827","30900.16","11339500","169500","       1050.80"
"INFY","07-Jan-2016","25-Feb-2016","1065","1073.4","1057.2","1058.4","1060.4","1058.4","119","632.12","97500","4500","       1050.80"
"INFY","07-Jan-2016","31-Mar-2016","1065.1","1065.1","1065.1","1065.1","1065.1","1069","1","5.33","1000","500","       1050.80"
"INFY","08-Jan-2016","28-Jan-2016","1061.85","1071","1058.6","1066.25","1066.55","1066.25","4196","22341.85","11521500","182000","       1063.30"
"INFY","08-Jan-2016","25-Feb-2016","1068","1074.15","1063.1","1069.8","1071.45","1069.8","40","213.67","99500","2000","       1063.30"
"INFY","08-Jan-2016","31-Mar-2016","0","0","0","1065.1","1065.1","1081.5","0","0","1000","0","       1063.30"
"INFY","11-Jan-2016","28-Jan-2016","1059.15","1073.35","1055.35","1060.1","1059","1060.1","6244","33161.77","11832500","311000","       1055.70"
"INFY","11-Jan-2016","25-Feb-2016","1066","1076.7","1060.45","1064.35","1063.5","1064.35","112","596.82","124500","25000","       1055.70"
"INFY","11-Jan-2016","31-Mar-2016","1073.65","1081.3","1069.45","1069.45","1069.45","1073.1","4","21.5","1000","0","       1055.70"
"INFY","12-Jan-2016","28-Jan-2016","1062.05","1063.3","1035.05","1054.2","1053","1054.2","5469","28685.98","11970500","138000","       1049.95"
