"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"INFY","01-Mar-2017","30-Mar-2017","1015.8","1031.7","1015","1027.9","1028.05","1027.9","6079","31192.36","22004000","240500","       1025.15"
"INFY","01-Mar-2017","27-Apr-2017","1025.95","1035.4","1025","1032.3","1032.55","1032.3","67","345.25","87000","-500","       1025.15"
"INFY","01-Mar-2017","25-May-2017","1031.3","1031.3","1031.3","1031.3","1031.3","1040.9","1","5.16","1500","0","       1025.15"
"INFY","02-Mar-2017","30-Mar-2017","1027.65","1031.25","1021.2","1025.4","1022","1025.4","5945","30512.03","22114000","110000","       1023.30"
"INFY","02-Mar-2017","27-Apr-2017","1031.55","1035","1025.6","1028.15","1026.5","1028.15","133","685.14","107500","20500","       1023.30"
"INFY","02-Mar-2017","25-May-2017","1030.15","1037.3","1030.1","1037.3","1037.3","1037.3","3","15.49","2500","1000","       1023.30"
"INFY","03-Mar-2017","30-Mar-2017","1014.75","1034.9","1004","1032.35","1032.45","1032.35","10546","53787.29","22213000","99000","       1031.20"
"INFY","03-Mar-2017","27-Apr-2017","1015","1038.5","1009.05","1035.85","1036","1035.85","231","1180.83","152500","45000","       1031.20"
"INFY","03-Mar-2017","25-May-2017","1014","1031","1014","1031","1031","1046.7","4","20.45","3500","1000","       1031.20"
"INFY","06-Mar-2017","30-Mar-2017","1024.6","1036.2","1020","1034.15","1032.5","1034.15","8175","42079.71","22134000","-79000","       1033.90"
"INFY","06-Mar-2017","27-Apr-2017","1025","1038.85","1025","1037.35","1036","1037.35","139","717.32","175000","22500","       1033.90"
"INFY","06-Mar-2017","25-May-2017","1031.8","1035.5","1030","1035.5","1035.5","1048.85","3","15.49","4000","500","       1033.90"
"INFY","07-Mar-2017","30-Mar-2017","1023.7","1025.9","1014.05","1019.65","1018.2","1019.65","9865","50305.17","23508500","1374500","       1019.80"
"INFY","07-Mar-2017","27-Apr-2017","1034","1034","1019","1022.8","1022.3","1022.8","115","588.37","174500","-500","       1019.80"
"INFY","07-Mar-2017","25-May-2017","1025","1025.2","1023","1023","1023","1023","8","40.99","5000","1000","       1019.80"
"INFY","08-Mar-2017","30-Mar-2017","1016","1016","1005.55","1010.35","1008.9","1010.35","10416","52665.12","25343500","1835000","       1007.80"
"INFY","08-Mar-2017","27-Apr-2017","1019","1019.15","1010","1013.9","1012.6","1013.9","152","771.58","176500","2000","       1007.80"
"INFY","08-Mar-2017","25-May-2017","1014","1014","1014","1014","1014","1021.95","1","5.07","5500","500","       1007.80"
"INFY","09-Mar-2017","30-Mar-2017","1004","1014.6","1001.15","1011.95","1011","1011.95","6679","33708.59","26123500","780000","       1011.55"
"INFY","09-Mar-2017","27-Apr-2017","1009.5","1017","1005.25","1016.05","1015.3","1016.05","109","551.35","190500","14000","       1011.55"
"INFY","09-Mar-2017","25-May-2017","1010.1","1010.1","1009.5","1010","1010","1025.55","3","15.15","7000","1500","       1011.55"
"INFY","10-Mar-2017","30-Mar-2017","1016.2","1027.4","1014.3","1021.95","1020.2","1021.95","6906","35272.08","26471000","347500","       1021.85"
"INFY","10-Mar-2017","27-Apr-2017","1022.6","1030.85","1019.15","1025.9","1022.8","1025.9","127","650.99","210500","20000","       1021.85"
"INFY","10-Mar-2017","25-May-2017","1026.25","1026.25","1026.25","1026.25","1026.25","1026.25","1","5.13","7500","500","       1021.85"
"INFY","14-Mar-2017","30-Mar-2017","1029.55","1043.5","1023.65","1034.9","1035","1034.9","8282","42872.83","26492500","21500","       1034.80"
"INFY","14-Mar-2017","27-Apr-2017","1038.3","1046","1034","1038.6","1039","1038.6","118","613","224000","13500","       1034.80"
"INFY","14-Mar-2017","25-May-2017","1031","1046","1031","1037","1037","1048.15","6","31.21","6500","-1000","       1034.80"
"INFY","15-Mar-2017","30-Mar-2017","1031.75","1032.95","1010.9","1014.3","1013.3","1014.3","7833","39863.27","26431000","-61500","       1011.95"
"INFY","15-Mar-2017","27-Apr-2017","1034.1","1036","1015.1","1018.1","1016.35","1018.1","236","1205.67","245000","21000","       1011.95"
"INFY","15-Mar-2017","25-May-2017","1037.2","1037.2","1018.75","1020.1","1019.9","1020.1","15","76.92","10500","4000","       1011.95"
"INFY","16-Mar-2017","30-Mar-2017","1014.35","1032","1014.35","1029.15","1028.15","1029.15","8562","43894.63","27201000","770000","       1028.85"
"INFY","16-Mar-2017","27-Apr-2017","1021.25","1035.9","1021.1","1033.05","1031","1033.05","298","1532.57","308000","63000","       1028.85"
"INFY","16-Mar-2017","25-May-2017","1023.9","1034.8","1023.25","1034.8","1034.8","1034.8","45","231.58","31500","21000","       1028.85"
"INFY","17-Mar-2017","30-Mar-2017","1033.5","1040.9","1018.2","1038.8","1039","1038.8","11322","58363.82","26810500","-390500","       1040.30"
"INFY","17-Mar-2017","27-Apr-2017","1030","1044.8","1023.45","1042.65","1042.05","1042.65","531","2749.14","468500","160500","       1040.30"
"INFY","17-Mar-2017","25-May-2017","1027.6","1043.2","1026.9","1043.15","1043.2","1043.15","10","51.67","32000","500","       1040.30"
"INFY","20-Mar-2017","30-Mar-2017","1023.5","1023.85","1012.55","1019.35","1017.75","1019.35","10717","54553.69","28561000","1750500","       1021.50"
"INFY","20-Mar-2017","27-Apr-2017","1034.6","1034.6","1017","1023.55","1023.05","1023.55","906","4631.38","628500","160000","       1021.50"
"INFY","20-Mar-2017","25-May-2017","1022.05","1028.3","1020","1026.7","1026.1","1026.7","33","168.92","36500","4500","       1021.50"
"INFY","21-Mar-2017","30-Mar-2017","1021.1","1033","1017.4","1031.4","1029.5","1031.4","6962","35757.18","29183500","622500","       1032.85"
"INFY","21-Mar-2017","27-Apr-2017","1026","1036.65","1023.1","1034.65","1032.45","1034.65","896","4620.63","800000","171500","       1032.85"
