"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"INFY","01-Nov-2018","29-Nov-2018","684.1","688.25","662.55","669.95","670.85","669.95","7827","63258.81","36673200","483600","        666.70"
"INFY","01-Nov-2018","27-Dec-2018","690.2","690.2","666.5","673.25","674.35","673.25","145","1175.56","397200","-4800","        666.70"
"INFY","01-Nov-2018","31-Jan-2019","676.8","676.8","676.8","676.8","676.8","679.4","1","8.12","14400","1200","        666.70"
"INFY","02-Nov-2018","29-Nov-2018","666.4","678.4","662.4","664.35","664.2","664.35","8404","67384.56","36272400","-400800","        662.25"
"INFY","02-Nov-2018","27-Dec-2018","671.95","681","666.9","667.7","668","667.7","118","950.41","409200","12000","        662.25"
"INFY","02-Nov-2018","31-Jan-2019","676","676","670","672.5","672.5","674.7","8","64.6","16800","2400","        662.25"
"INFY","05-Nov-2018","29-Nov-2018","663.4","669.45","658.6","667.25","665.75","667.25","5306","42300.23","36522000","249600","        666.00"
"INFY","05-Nov-2018","27-Dec-2018","665","673","664","670.5","669","670.5","144","1154.81","475200","66000","        666.00"
"INFY","05-Nov-2018","31-Jan-2019","667","675.55","667","674.4","672.35","674.4","5","40.36","19200","2400","        666.00"
"INFY","06-Nov-2018","29-Nov-2018","665.4","677.35","663.8","669.35","669.9","669.35","5671","45680.07","37087200","565200","        666.45"
"INFY","06-Nov-2018","27-Dec-2018","671.75","679.8","668.6","671.55","673.05","671.55","90","726.74","523200","48000","        666.45"
"INFY","06-Nov-2018","31-Jan-2019","681","681.8","673.1","674.75","674.75","674.75","5","40.64","19200","0","        666.45"
"INFY","07-Nov-2018","29-Nov-2018","672","678.9","672","677","678.5","677","1197","9710.3","36919200","-168000","        675.50"
"INFY","07-Nov-2018","27-Dec-2018","677.55","682","677.05","680.3","682","680.3","18","146.79","522000","-1200","        675.50"
"INFY","07-Nov-2018","31-Jan-2019","0","0","0","674.75","674.75","687.5","0","0","19200","0","        675.50"
"INFY","09-Nov-2018","29-Nov-2018","679.65","679.65","658.5","662.8","662.4","662.8","6888","54965.97","38188800","1269600","        659.50"
"INFY","09-Nov-2018","27-Dec-2018","678","678","662.1","666","665.4","666","379","3036.75","786000","264000","        659.50"
"INFY","09-Nov-2018","31-Jan-2019","672.45","672.5","668.85","668.85","668.85","671","9","72.49","24000","4800","        659.50"
"INFY","12-Nov-2018","29-Nov-2018","669","677.3","664.65","666.15","668","666.15","7470","60171.88","37905600","-283200","        664.20"
"INFY","12-Nov-2018","27-Dec-2018","669","680.6","668.5","669.4","671.95","669.4","191","1544.4","777600","-8400","        664.20"
"INFY","12-Nov-2018","31-Jan-2019","675","683.35","671.85","671.85","671.85","671.85","9","73.3","21600","-2400","        664.20"
"INFY","13-Nov-2018","29-Nov-2018","664.15","670.8","657.85","668.6","667.5","668.6","4766","38089.57","37708800","-196800","        665.70"
"INFY","13-Nov-2018","27-Dec-2018","665","673.95","664.5","672.15","671.8","672.15","136","1094.28","843600","66000","        665.70"
"INFY","13-Nov-2018","31-Jan-2019","675.6","675.85","675.6","675.85","675.85","676.8","2","16.22","24000","2400","        665.70"
"INFY","14-Nov-2018","29-Nov-2018","664","665","643.45","655.9","655","655.9","8338","65205.39","38217600","508800","        653.20"
"INFY","14-Nov-2018","27-Dec-2018","669.15","669.15","646.9","658.95","658.35","658.95","578","4539.02","1136400","292800","        653.20"
