"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ITC","02-May-2019","30-May-2019","300.1","304.15","299.15","302.35","301.45","302.35","7053","51081.62","44392800","607200","        305.00"
"ITC","02-May-2019","27-Jun-2019","301.4","305","300.15","303.35","302.8","303.35","586","4253.6","33758400","468000","        305.00"
"ITC","02-May-2019","25-Jul-2019","305.6","305.6","305.6","305.6","305.6","310.05","1","7.33","2400","2400","        305.00"
"ITC","03-May-2019","30-May-2019","302.35","305.1","301.4","302.15","302.3","302.15","4913","35729.94","45249600","856800","        304.25"
"ITC","03-May-2019","27-Jun-2019","304.15","305.8","302.6","303.25","304","303.25","1226","8929.86","34867200","1108800","        304.25"
"ITC","03-May-2019","25-Jul-2019","306.45","306.45","306.45","306.45","306.45","309.25","1","7.35","0","-2400","        304.25"
"ITC","06-May-2019","30-May-2019","301.1","305","299.15","304.1","303.75","304.1","6273","45562.23","44332800","-916800","        307.00"
"ITC","06-May-2019","27-Jun-2019","302.2","305.9","299.65","305.2","305","305.2","367","2667.97","35203200","336000","        307.00"
"ITC","06-May-2019","25-Jul-2019","0","0","0","306.45","306.45","311.85","0","0","0","0","        307.00"
"ITC","07-May-2019","30-May-2019","306.75","306.75","299.2","300.1","300.7","300.1","6282","45722.56","45573600","1240800","        301.90"
"ITC","07-May-2019","27-Jun-2019","306.15","307.3","299.95","300.8","301.5","300.8","418","3032.4","35767200","564000","        301.90"
"ITC","07-May-2019","25-Jul-2019","307.5","307.5","304","304","304","306.6","4","29.34","9600","9600","        301.90"
"ITC","08-May-2019","30-May-2019","300.4","301.65","297","298.9","299.2","298.9","5222","37557.4","46749600","1176000","        300.65"
"ITC","08-May-2019","27-Jun-2019","298.2","302.65","297.95","299.9","299.9","299.9","428","3087.71","36372000","604800","        300.65"
"ITC","08-May-2019","25-Jul-2019","302.65","303.95","302.15","303.95","303.95","305.3","4","29.08","14400","4800","        300.65"
"ITC","09-May-2019","30-May-2019","298.2","299","293.85","297.25","297.25","297.25","7092","50514.28","46339200","-410400","        299.85"
"ITC","09-May-2019","27-Jun-2019","299.1","299.8","294.95","298","297.5","298","427","3048.98","36422400","50400","        299.85"
"ITC","09-May-2019","25-Jul-2019","299.95","299.95","299.95","299.95","299.95","304.4","1","7.2","16800","2400","        299.85"
"ITC","10-May-2019","30-May-2019","295.8","297.7","294.3","295.1","294.6","295.1","5142","36525.15","46281600","-57600","        297.75"
"ITC","10-May-2019","27-Jun-2019","297.45","298.6","295.3","296","295.45","296","811","5782.49","36448800","26400","        297.75"
"ITC","10-May-2019","25-Jul-2019","0","0","0","299.95","299.95","302.25","0","0","16800","0","        297.75"
"ITC","13-May-2019","30-May-2019","293.85","300.1","283.55","285.1","284.75","285.1","37820","266212.84","48578400","2296800","        289.30"
