"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ITC","03-Nov-2014","27-Nov-2014","356.8","359.9","355.7","357.3","357.45","357.3","5597","20019.86","25849000","1405000","        355.45"
"ITC","03-Nov-2014","24-Dec-2014","360","361.75","357.9","359.6","359.2","359.6","186","668.66","372000","129000","        355.45"
"ITC","03-Nov-2014","29-Jan-2015","0","0","0","362.75","0","362.95","0","0","0","0","        355.45"
"ITC","05-Nov-2014","27-Nov-2014","357.4","361.6","357.4","360.5","360.85","360.5","5059","18208.2","26749000","900000","        359.15"
"ITC","05-Nov-2014","24-Dec-2014","361.55","363.5","361.2","362.7","363","362.7","78","282.6","415000","43000","        359.15"
"ITC","05-Nov-2014","29-Jan-2015","0","0","0","362.75","0","366.6","0","0","0","0","        359.15"
"ITC","07-Nov-2014","27-Nov-2014","359.5","362.6","355.1","357.85","357.4","357.85","4245","15206.46","27648000","899000","        355.65"
"ITC","07-Nov-2014","24-Dec-2014","364","364","357.5","359.9","360.2","359.9","91","327.59","476000","61000","        355.65"
"ITC","07-Nov-2014","29-Jan-2015","0","0","0","362.75","0","362.85","0","0","0","0","        355.65"
"ITC","10-Nov-2014","27-Nov-2014","359.05","373.1","358.65","372.45","371.75","372.45","11899","43788.87","26875000","-773000","        371.70"
"ITC","10-Nov-2014","24-Dec-2014","364","375.1","364","374.6","374.1","374.6","196","725.24","549000","73000","        371.70"
"ITC","10-Nov-2014","29-Jan-2015","0","0","0","362.75","0","378.9","0","0","0","0","        371.70"
"ITC","11-Nov-2014","27-Nov-2014","371.95","373","363.75","366.05","366.7","366.05","4991","18348.83","26648000","-227000","        364.10"
"ITC","11-Nov-2014","24-Dec-2014","374","374.05","366.2","368.75","369","368.75","108","399.21","558000","9000","        364.10"
"ITC","11-Nov-2014","29-Jan-2015","0","0","0","362.75","0","371.05","0","0","0","0","        364.10"
"ITC","12-Nov-2014","27-Nov-2014","364.8","371.35","364.8","370.75","370.3","370.75","3887","14338.03","26580000","-68000","        369.50"
"ITC","12-Nov-2014","24-Dec-2014","369","373.1","368.5","372.75","372.2","372.75","96","356.56","607000","49000","        369.50"
"ITC","12-Nov-2014","29-Jan-2015","0","0","0","362.75","0","376.5","0","0","0","0","        369.50"
"ITC","13-Nov-2014","27-Nov-2014","371.2","371.55","367","368.7","369","368.7","4503","16620.6","25772000","-808000","        368.35"
"ITC","13-Nov-2014","24-Dec-2014","372.2","373.4","369.4","371","371.25","371","151","560.85","655000","48000","        368.35"
"ITC","13-Nov-2014","29-Jan-2015","0","0","0","362.75","0","375.15","0","0","0","0","        368.35"
"ITC","14-Nov-2014","27-Nov-2014","369","371.25","367.75","369.45","369.2","369.45","4295","15877.36","24697000","-1075000","        369.20"
"ITC","14-Nov-2014","24-Dec-2014","371.7","373.15","370.2","371.2","370.9","371.2","134","498.15","735000","80000","        369.20"
"ITC","14-Nov-2014","29-Jan-2015","0","0","0","362.75","0","375.95","0","0","0","0","        369.20"
"ITC","17-Nov-2014","27-Nov-2014","371.05","372.85","365.5","370.8","370.7","370.8","4360","16092.58","24556000","-141000","        370.20"
"ITC","17-Nov-2014","24-Dec-2014","368.8","374.6","367.75","372.8","372.6","372.8","227","843.13","841000","106000","        370.20"
"ITC","17-Nov-2014","29-Jan-2015","0","0","0","362.75","0","376.65","0","0","0","0","        370.20"
"ITC","18-Nov-2014","27-Nov-2014","370","371.85","368.05","370.5","370.8","370.5","4556","16861.17","23963000","-593000","        370.25"
"ITC","18-Nov-2014","24-Dec-2014","373","373.4","370.2","372.75","372.3","372.75","291","1082.78","991000","150000","        370.25"
"ITC","18-Nov-2014","29-Jan-2015","374","374","374","374","374","376.65","1","3.74","1000","1000","        370.25"
"ITC","19-Nov-2014","27-Nov-2014","370","378.5","365.05","369.55","369.7","369.55","9138","34136.06","24147000","184000","        367.85"
"ITC","19-Nov-2014","24-Dec-2014","372.35","380.3","370.25","371.4","371.9","371.4","824","3092.13","1376000","385000","        367.85"
"ITC","19-Nov-2014","29-Jan-2015","381","381","374","374","374","374","3","11.32","3000","2000","        367.85"
"ITC","20-Nov-2014","27-Nov-2014","369.95","372.5","369.1","370.45","370.3","370.45","4477","16584.01","23553000","-594000","        370.05"
"ITC","20-Nov-2014","24-Dec-2014","371.9","374","371.5","372.55","372.55","372.55","1068","3976.85","2236000","860000","        370.05"
"ITC","20-Nov-2014","29-Jan-2015","375.6","376","374","375.3","375.3","376.2","18","67.51","19000","16000","        370.05"
"ITC","21-Nov-2014","27-Nov-2014","370.35","376.9","370.05","376.2","375.55","376.2","6734","25212.43","22293000","-1260000","        376.15"
"ITC","21-Nov-2014","24-Dec-2014","373.5","379","372.15","378.4","377.7","378.4","2229","8392.81","3774000","1538000","        376.15"
"ITC","21-Nov-2014","29-Jan-2015","373.3","381.45","373.3","381.15","381.45","381.15","19","72.11","30000","11000","        376.15"
"ITC","24-Nov-2014","27-Nov-2014","374.95","376.8","372.95","374.9","375","374.9","7220","27057.55","18421000","-3872000","        374.95"
"ITC","24-Nov-2014","24-Dec-2014","378.45","378.75","375.1","377","377.05","377","4096","15437.56","7142000","3368000","        374.95"
"ITC","24-Nov-2014","29-Jan-2015","0","0","0","381.15","381.45","380.9","0","0","30000","0","        374.95"
"ITC","25-Nov-2014","27-Nov-2014","374.95","379.45","349.6","356.1","356","356.1","31009","112869.34","12402000","-6019000","        355.40"
"ITC","25-Nov-2014","24-Dec-2014","377.1","381.65","351.75","358.1","359","358.1","16658","61369.4","15965000","8823000","        355.40"
"ITC","25-Nov-2014","29-Jan-2015","378.5","384.7","354.2","361.15","361","361.15","38","139.84","45000","15000","        355.40"
"ITC","26-Nov-2014","27-Nov-2014","360.4","366.15","357.05","364.2","364.5","364.2","15979","57892.38","7004000","-5398000","        363.40"
"ITC","26-Nov-2014","24-Dec-2014","360.5","368","360.05","366.25","366.35","366.25","12393","45143.63","22670000","6705000","        363.40"
"ITC","26-Nov-2014","29-Jan-2015","364.75","369.9","364","367.65","367.65","369","24","88.02","50000","5000","        363.40"
"ITC","27-Nov-2014","27-Nov-2014","362.4","362.9","355.45","360.3","360.55","360.6","10575","37953.78","5826000","-1178000","        360.60"
"ITC","27-Nov-2014","24-Dec-2014","366.3","366.3","357.6","363.3","363.2","363.3","10894","39371.48","27006000","4336000","        360.60"
"ITC","27-Nov-2014","29-Jan-2015","363","366.5","360.1","365.8","366","365.8","26","94.39","59000","9000","        360.60"
"ITC","28-Nov-2014","24-Dec-2014","364.7","368.8","362.1","365.8","365.3","365.8","4745","17345.45","27379000","373000","        363.15"
"ITC","28-Nov-2014","29-Jan-2015","367.45","369","364.85","367.85","368.15","367.85","82","301.29","114000","55000","        363.15"
"ITC","28-Nov-2014","26-Feb-2015","0","0","0","368.45","0","371","0","0","0","0","        363.15"
"ITC","01-Dec-2014","24-Dec-2014","364","369.3","364","366.35","365.9","366.35","3379","12395.87","27257000","-122000","        364.60"
"ITC","01-Dec-2014","29-Jan-2015","368","370.6","367.85","368.65","369.5","368.65","95","350.63","168000","54000","        364.60"
"ITC","01-Dec-2014","26-Feb-2015","0","0","0","368.45","0","372.25","0","0","0","0","        364.60"
"ITC","02-Dec-2014","24-Dec-2014","364.75","368.35","364.75","367.5","367.8","367.5","2579","9462.41","26929000","-328000","        365.80"
"ITC","02-Dec-2014","29-Jan-2015","370.35","370.35","368","370","370","370","80","295.3","232000","64000","        365.80"
"ITC","02-Dec-2014","26-Feb-2015","0","0","0","368.45","0","373.35","0","0","0","0","        365.80"
"ITC","03-Dec-2014","24-Dec-2014","366.85","366.95","359.15","364.6","364.5","364.6","5503","19955.92","25718000","-1211000","        363.25"
"ITC","03-Dec-2014","29-Jan-2015","367","367","362.85","366.4","366.9","366.4","53","193.6","262000","30000","        363.25"
"ITC","03-Dec-2014","26-Feb-2015","0","0","0","368.45","0","370.7","0","0","0","0","        363.25"
"ITC","04-Dec-2014","24-Dec-2014","372.35","384.9","372.35","384.4","384.5","384.4","15956","60882.9","24928000","-790000","        383.15"
"ITC","04-Dec-2014","29-Jan-2015","381","388.05","381","386.65","386.1","386.65","164","629.35","280000","18000","        383.15"
"ITC","04-Dec-2014","26-Feb-2015","0","0","0","368.45","0","390.85","0","0","0","0","        383.15"
"ITC","05-Dec-2014","24-Dec-2014","384.6","393.5","384.6","392.7","392","392.7","9969","38841.5","24668000","-260000","        391.35"
"ITC","05-Dec-2014","29-Jan-2015","388.5","395.55","387.7","394.95","394.4","394.95","116","454.87","324000","44000","        391.35"
"ITC","05-Dec-2014","26-Feb-2015","0","0","0","368.45","0","399.1","0","0","0","0","        391.35"
"ITC","08-Dec-2014","24-Dec-2014","393.7","401.45","392.7","400.4","399.75","400.4","10037","39977.71","25402000","734000","        397.80"
"ITC","08-Dec-2014","29-Jan-2015","396.4","403.6","396.4","402.7","402.8","402.7","385","1542.84","521000","197000","        397.80"
"ITC","08-Dec-2014","26-Feb-2015","402","405","402","404.6","405","404.6","4","16.16","4000","4000","        397.80"
"ITC","09-Dec-2014","24-Dec-2014","399.9","401.4","393.4","397.1","397.75","397.1","9208","36536.96","26976000","1574000","        394.35"
"ITC","09-Dec-2014","29-Jan-2015","402.7","403","396.2","399.3","400.25","399.3","294","1173.62","681000","160000","        394.35"
"ITC","09-Dec-2014","26-Feb-2015","404","404","401","401","401","401.75","2","8.05","5000","1000","        394.35"
"ITC","10-Dec-2014","24-Dec-2014","397","398.45","388.6","397.35","397.05","397.35","5932","23360.14","27210000","234000","        395.00"
"ITC","10-Dec-2014","29-Jan-2015","398.25","401","392.2","400.1","400","400.1","198","785.5","691000","10000","        395.00"
"ITC","10-Dec-2014","26-Feb-2015","396.55","403","396","403","403","403","11","44.17","13000","8000","        395.00"
"ITC","11-Dec-2014","24-Dec-2014","395.4","400.65","392.7","398.5","397.75","398.5","5718","22683.08","27150000","-60000","        396.60"
"ITC","11-Dec-2014","29-Jan-2015","398","403","395.9","401.35","400.55","401.35","228","911.06","706000","15000","        396.60"
"ITC","11-Dec-2014","26-Feb-2015","402","405","402","405","405","403.85","8","32.37","21000","8000","        396.60"
"ITC","12-Dec-2014","24-Dec-2014","398.55","402.75","394.7","398.5","398.5","398.5","6010","23979.05","27656000","506000","        395.70"
"ITC","12-Dec-2014","29-Jan-2015","397.9","405.45","397.9","401.35","401.7","401.35","181","727.64","751000","45000","        395.70"
"ITC","12-Dec-2014","26-Feb-2015","400","407","400","407","407","402.8","8","32.46","27000","6000","        395.70"
"ITC","15-Dec-2014","24-Dec-2014","396.9","402.2","394.05","395.2","395.4","395.2","5937","23552.55","28404000","748000","        392.55"
"ITC","15-Dec-2014","29-Jan-2015","399.15","404.5","396.95","398.5","398.25","398.5","321","1281.74","822000","71000","        392.55"
"ITC","15-Dec-2014","26-Feb-2015","399.55","399.55","399.55","399.55","399.55","399.35","1","4","27000","0","        392.55"
"ITC","16-Dec-2014","24-Dec-2014","391.6","392.4","380.5","383.15","382.55","383.15","9430","36313.63","30862000","2458000","        380.60"
"ITC","16-Dec-2014","29-Jan-2015","395.2","395.2","383.6","386.25","385.6","386.25","806","3127.06","1200000","378000","        380.60"
"ITC","16-Dec-2014","26-Feb-2015","394.15","394.2","385.05","392","392","387.1","6","23.49","27000","0","        380.60"
"ITC","17-Dec-2014","24-Dec-2014","382.4","386.95","368.9","373.8","372","373.8","8780","33109.61","32161000","1299000","        371.80"
"ITC","17-Dec-2014","29-Jan-2015","383.05","389.6","371.95","376.65","374.85","376.65","1318","4974.26","1809000","609000","        371.80"
"ITC","17-Dec-2014","26-Feb-2015","0","0","0","392","392","378.15","0","0","27000","0","        371.80"
"ITC","18-Dec-2014","24-Dec-2014","377.1","378.35","365.6","375.75","375","375.75","6888","25813.98","29819000","-2342000","        374.85"
"ITC","18-Dec-2014","29-Jan-2015","379","381.15","370","378.9","378.3","378.9","2175","8233.33","3550000","1741000","        374.85"
"ITC","18-Dec-2014","26-Feb-2015","380.25","383.6","378.45","382.3","382.1","382.3","8","30.48","28000","1000","        374.85"
"ITC","19-Dec-2014","24-Dec-2014","376.25","376.55","369.05","370.15","369.4","370.15","9206","34329.98","26320000","-3499000","        368.80"
"ITC","19-Dec-2014","29-Jan-2015","379.35","379.55","372.3","373.5","372.3","373.5","5493","20647.21","8203000","4653000","        368.80"
"ITC","19-Dec-2014","26-Feb-2015","383.1","383.1","383.1","383.1","383.1","374.85","1","3.83","29000","1000","        368.80"
"ITC","22-Dec-2014","24-Dec-2014","370.7","378.65","369.95","375.15","373.55","375.15","12473","46738.85","19876000","-6444000","        374.10"
"ITC","22-Dec-2014","29-Jan-2015","374.95","381.9","374.95","378.05","377","378.05","9238","34902.38","15432000","7229000","        374.10"
"ITC","22-Dec-2014","26-Feb-2015","378","382.6","378","381.45","378","381.45","9","34.23","32000","3000","        374.10"
"ITC","23-Dec-2014","24-Dec-2014","374.45","377.9","373.05","375.2","375.5","375.2","11870","44545.41","11818000","-8058000","        374.65"
"ITC","23-Dec-2014","29-Jan-2015","377.35","381.05","376.25","378.4","378.8","378.4","10837","41021.34","23427000","7995000","        374.65"
"ITC","23-Dec-2014","26-Feb-2015","379.5","382.3","379.5","382","382","380.5","8","30.5","36000","4000","        374.65"
"ITC","24-Dec-2014","24-Dec-2014","374.45","378.5","371.1","371.85","371.45","371.4","8983","33770.41","5969000","-5849000","        371.40"
"ITC","24-Dec-2014","29-Jan-2015","377.55","382","370.35","376","375.15","376","12569","47538.28","30751000","7324000","        371.40"
"ITC","24-Dec-2014","26-Feb-2015","382","383.55","378","379.2","378.95","379.2","14","53.35","41000","5000","        371.40"
"ITC","26-Dec-2014","29-Jan-2015","374.5","375.95","369.15","371.35","370.75","371.35","3403","12642.21","30393000","-358000","        367.95"
"ITC","26-Dec-2014","26-Feb-2015","377.6","377.6","371.8","373.75","373.5","373.75","27","100.78","48000","7000","        367.95"
"ITC","26-Dec-2014","26-Mar-2015","0","0","0","379.5","0","375.85","0","0","0","0","        367.95"
"ITC","29-Dec-2014","29-Jan-2015","369.75","375","369.75","373.15","373.25","373.15","2597","9695.27","30794000","401000","        369.85"
"ITC","29-Dec-2014","26-Feb-2015","376.15","376.55","374.95","375.9","375.9","375.9","8","30.07","47000","-1000","        369.85"
"ITC","29-Dec-2014","26-Mar-2015","380","380","380","380","380","377.55","1","3.8","1000","1000","        369.85"
"ITC","30-Dec-2014","29-Jan-2015","371.4","374.85","370.1","371.35","371.55","371.35","2389","8890.14","30742000","-52000","        368.30"
"ITC","30-Dec-2014","26-Feb-2015","376","376.55","373","373.9","373.9","373.9","13","48.68","50000","3000","        368.30"
"ITC","30-Dec-2014","26-Mar-2015","375.3","375.3","369.25","372.95","372.95","375.9","3","11.18","3000","2000","        368.30"
"ITC","31-Dec-2014","29-Jan-2015","372.1","373.35","370.4","371.05","370.45","371.05","2453","9118.73","30432000","-310000","        368.70"
"ITC","31-Dec-2014","26-Feb-2015","375.5","375.75","373.65","373.85","373.65","373.85","27","101.1","57000","7000","        368.70"
"ITC","31-Dec-2014","26-Mar-2015","376.85","376.85","376.6","376.7","376.7","376.2","14","52.75","17000","14000","        368.70"
