"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ITC","01-Sep-2006","28-Sep-2006","191","193.5","188.6","190.65","190.5","190.65","9070","19548.73","8561250","1570500","        189.55"
"ITC","01-Sep-2006","26-Oct-2006","188","194","188","191.6","191.4","191.6","29","62.56","45000","14625","        189.55"
"ITC","01-Sep-2006","30-Nov-2006","0","0","0","195","0","192.95","0","0","0","0","        189.55"
"ITC","04-Sep-2006","28-Sep-2006","191.6","193.2","190.75","191.65","191.2","191.65","4315","9316.98","8771625","210375","        190.15"
"ITC","04-Sep-2006","26-Oct-2006","192.5","193.4","191.55","191.9","191.55","191.9","11","23.81","49500","4500","        190.15"
"ITC","04-Sep-2006","30-Nov-2006","0","0","0","195","0","193.45","0","0","0","0","        190.15"
"ITC","05-Sep-2006","28-Sep-2006","191.8","191.8","188.2","189.1","189.3","189.1","4090","8733.37","10000125","1228500","        187.70"
"ITC","05-Sep-2006","26-Oct-2006","191.5","191.6","189","190.05","190.4","190.05","29","62.15","69750","20250","        187.70"
"ITC","05-Sep-2006","30-Nov-2006","0","0","0","195","0","190.95","0","0","0","0","        187.70"
"ITC","06-Sep-2006","28-Sep-2006","189.3","192.25","188.5","190.05","189.9","190.05","5913","12675.33","10851750","851625","        189.10"
"ITC","06-Sep-2006","26-Oct-2006","189.5","192.55","189.5","190.75","190.4","190.75","49","105.41","86625","16875","        189.10"
"ITC","06-Sep-2006","30-Nov-2006","0","0","0","195","0","192.3","0","0","0","0","        189.10"
"ITC","07-Sep-2006","28-Sep-2006","188.9","189.65","186.3","187.1","187.2","187.1","4358","9209.86","11742750","891000","        185.95"
"ITC","07-Sep-2006","26-Oct-2006","189.8","190.1","187.1","188.05","188","188.05","39","82.69","104625","18000","        185.95"
"ITC","07-Sep-2006","30-Nov-2006","0","0","0","195","0","189.1","0","0","0","0","        185.95"
"ITC","08-Sep-2006","28-Sep-2006","187.9","189.7","185.55","189.1","189.4","189.1","7682","16239.65","12512250","769500","        187.95"
"ITC","08-Sep-2006","26-Oct-2006","189","190","187","189.8","189.85","189.8","54","114.88","136125","31500","        187.95"
"ITC","08-Sep-2006","30-Nov-2006","0","0","0","195","0","191.1","0","0","0","0","        187.95"
"ITC","11-Sep-2006","28-Sep-2006","190","190.35","180.65","182.2","181.25","182.2","7303","15269.03","11530125","-982125","        182.10"
"ITC","11-Sep-2006","26-Oct-2006","190","190.15","181.95","183.1","181.95","183.1","61","127.94","164250","28125","        182.10"
"ITC","11-Sep-2006","30-Nov-2006","183.85","183.85","183.8","183.85","183.8","183.85","2","4.14","2250","2250","        182.10"
"ITC","12-Sep-2006","28-Sep-2006","182","183.3","176.1","182.35","181.9","182.35","6150","12481.91","11457000","-73125","        181.65"
"ITC","12-Sep-2006","26-Oct-2006","183.35","184","177","183.25","182.95","183.25","50","101.95","186750","22500","        181.65"
"ITC","12-Sep-2006","30-Nov-2006","0","0","0","183.85","183.8","184.55","0","0","2250","0","        181.65"
"ITC","13-Sep-2006","28-Sep-2006","184","186.25","183.1","183.9","184","183.9","5632","11714.42","11641500","184500","        182.85"
"ITC","13-Sep-2006","26-Oct-2006","186.55","187","184.1","184.85","184.35","184.85","115","240.54","238500","51750","        182.85"
"ITC","13-Sep-2006","30-Nov-2006","0","0","0","183.85","183.8","185.7","0","0","2250","0","        182.85"
"ITC","14-Sep-2006","28-Sep-2006","184.75","185.9","182.65","184.05","183.5","184.05","4437","9204.78","12208500","567000","        183.10"
"ITC","14-Sep-2006","26-Oct-2006","186.85","186.9","184","185.1","184.5","185.1","74","154.1","281250","42750","        183.10"
"ITC","14-Sep-2006","30-Nov-2006","0","0","0","183.85","183.8","185.95","0","0","2250","0","        183.10"
"ITC","15-Sep-2006","28-Sep-2006","184.45","184.45","181.8","183.4","183.2","183.4","4001","8251.41","12469500","261000","        182.45"
"ITC","15-Sep-2006","26-Oct-2006","184.5","185.3","183","184.35","184.2","184.35","63","130.56","318375","37125","        182.45"
"ITC","15-Sep-2006","30-Nov-2006","0","0","0","183.85","183.8","185.25","0","0","2250","0","        182.45"
"ITC","18-Sep-2006","28-Sep-2006","184.4","188.3","184","187.45","187.75","187.45","7707","16186.46","11720250","-749250","        187.25"
"ITC","18-Sep-2006","26-Oct-2006","186","189","185.9","188.3","188.65","188.3","278","585.65","379125","60750","        187.25"
"ITC","18-Sep-2006","30-Nov-2006","189","189","188","188.5","188","188.5","2","4.24","2250","0","        187.25"
"ITC","19-Sep-2006","28-Sep-2006","187.8","189.15","183","184.15","183.15","184.15","5795","12209.4","11336625","-383625","        184.10"
"ITC","19-Sep-2006","26-Oct-2006","189.8","190","183.35","184.65","184.1","184.65","504","1065.13","646875","267750","        184.10"
"ITC","19-Sep-2006","30-Nov-2006","0","0","0","188.5","188","186.85","0","0","2250","0","        184.10"
"ITC","20-Sep-2006","28-Sep-2006","183.25","188","181.2","187.35","187.95","187.35","5105","10641.32","9902250","-1434375","        187.30"
"ITC","20-Sep-2006","26-Oct-2006","180","188.7","180","187.95","188.55","187.95","900","1881.38","1090125","443250","        187.30"
"ITC","20-Sep-2006","30-Nov-2006","0","0","0","188.5","188","190","0","0","2250","0","        187.30"
"ITC","21-Sep-2006","28-Sep-2006","188.85","191.55","188.15","191.05","191.55","191.05","6947","14838.96","8638875","-1263375","        190.65"
"ITC","21-Sep-2006","26-Oct-2006","189.75","192.6","188.9","191.85","192.25","191.85","1518","3256.29","1815750","725625","        190.65"
"ITC","21-Sep-2006","30-Nov-2006","189","189","189","189","189","193.4","1","2.13","2250","0","        190.65"
"ITC","22-Sep-2006","28-Sep-2006","191","191.95","187.55","188.65","188.3","188.65","5936","12668.99","8476875","-162000","        188.00"
"ITC","22-Sep-2006","26-Oct-2006","191","192.6","188.45","189.65","189.05","189.65","1669","3577.09","2602125","786375","        188.00"
"ITC","22-Sep-2006","30-Nov-2006","0","0","0","189","189","190.65","0","0","2250","0","        188.00"
"ITC","25-Sep-2006","28-Sep-2006","188.15","188.8","184","184.95","185.1","184.95","4486","9391.57","7860375","-616500","        184.45"
"ITC","25-Sep-2006","26-Oct-2006","189.9","189.95","185.35","186.1","185.9","186.1","2834","5964.93","4482000","1879875","        184.45"
"ITC","25-Sep-2006","30-Nov-2006","187","187","187","187","187","186.9","1","2.1","3375","1125","        184.45"
"ITC","26-Sep-2006","28-Sep-2006","185.5","185.65","181.6","184.55","184.55","184.55","6786","14009.17","8105625","245250","        183.75"
"ITC","26-Sep-2006","26-Oct-2006","186.85","186.85","182.55","185.5","185.6","185.5","4687","9720.4","7022250","2540250","        183.75"
"ITC","26-Sep-2006","30-Nov-2006","185","186.5","184.1","186.35","186.5","186.35","11","22.93","11250","7875","        183.75"
"ITC","27-Sep-2006","28-Sep-2006","184.95","188.25","184.95","185.9","185.8","185.9","5370","11294.43","6899625","-1206000","        185.65"
"ITC","27-Sep-2006","26-Oct-2006","186.9","188.25","186.1","186.55","186.3","186.55","4551","9597.54","8863875","1841625","        185.65"
"ITC","27-Sep-2006","30-Nov-2006","187.5","207.7","187.5","187.5","187.5","188.1","10","21.54","18000","6750","        185.65"
"ITC","28-Sep-2006","28-Sep-2006","186","186","183","183.9","184.2","184.3","6886","14275.23","2736000","-4163625","        184.30"
"ITC","28-Sep-2006","26-Oct-2006","186.75","186.75","184.5","185.5","186","185.5","6109","12742.32","11235375","2371500","        184.30"
"ITC","28-Sep-2006","30-Nov-2006","186.1","187.45","185.5","185.5","185.5","185.5","3","6.29","19125","1125","        184.30"
"ITC","29-Sep-2006","26-Oct-2006","187","188.5","185.55","187.8","187.85","187.8","4903","10334.59","10796625","-438750","        187.70"
"ITC","29-Sep-2006","30-Nov-2006","186.25","188.6","186.25","188.2","188.2","188.2","17","35.9","23625","4500","        187.70"
"ITC","29-Sep-2006","28-Dec-2006","0","0","0","187.7","0","191.1","0","0","0","0","        187.70"
"ITC","03-Oct-2006","26-Oct-2006","187.9","190.2","187.1","188.2","188.45","188.2","5329","11321.68","10716750","-79875","        187.85"
"ITC","03-Oct-2006","30-Nov-2006","190.5","191","188.5","189","189","189","29","61.92","29250","5625","        187.85"
"ITC","03-Oct-2006","28-Dec-2006","0","0","0","187.7","0","191.15","0","0","0","0","        187.85"
"ITC","04-Oct-2006","26-Oct-2006","188.5","188.9","184.5","186","186.1","186","3788","7940.71","11169000","452250","        185.05"
"ITC","04-Oct-2006","30-Nov-2006","189","189","185.5","186.55","186.55","186.55","42","88.47","60750","31500","        185.05"
"ITC","04-Oct-2006","28-Dec-2006","0","0","0","187.7","0","188.25","0","0","0","0","        185.05"
"ITC","05-Oct-2006","26-Oct-2006","188","188.5","186.75","187.9","188.2","187.9","2426","5119.71","10654875","-514125","        187.20"
"ITC","05-Oct-2006","30-Nov-2006","188","189","187.75","188.55","189","188.55","32","67.79","67500","6750","        187.20"
"ITC","05-Oct-2006","28-Dec-2006","0","0","0","187.7","0","190.4","0","0","0","0","        187.20"
"ITC","06-Oct-2006","26-Oct-2006","188.4","188.5","185.4","185.9","186.15","185.9","3684","7728.88","12201750","1546875","        184.55"
"ITC","06-Oct-2006","30-Nov-2006","188.5","188.5","186.5","186.85","186.9","186.85","28","59.02","86625","19125","        184.55"
"ITC","06-Oct-2006","28-Dec-2006","0","0","0","187.7","0","187.7","0","0","0","0","        184.55"
"ITC","09-Oct-2006","26-Oct-2006","185.1","187.25","183.6","185.6","185.5","185.6","3658","7644.85","12251250","49500","        184.75"
"ITC","09-Oct-2006","30-Nov-2006","185","187.8","185","186.55","186","186.55","38","79.7","104625","18000","        184.75"
"ITC","09-Oct-2006","28-Dec-2006","0","0","0","187.7","0","187.75","0","0","0","0","        184.75"
"ITC","10-Oct-2006","26-Oct-2006","186","186.8","184.7","185.55","185.8","185.55","3108","6498.54","12178125","-73125","        185.10"
"ITC","10-Oct-2006","30-Nov-2006","187.45","187.45","186","186.65","186.8","186.65","33","69.34","115875","11250","        185.10"
"ITC","10-Oct-2006","28-Dec-2006","0","0","0","187.7","0","188.15","0","0","0","0","        185.10"
"ITC","11-Oct-2006","26-Oct-2006","186.7","187.85","183.95","185.3","185.2","185.3","5469","11449.86","11227500","-950625","        185.50"
"ITC","11-Oct-2006","30-Nov-2006","187.05","188.7","185","186.2","186.5","186.2","52","109.48","138375","22500","        185.50"
"ITC","11-Oct-2006","28-Dec-2006","0","0","0","187.7","0","188.45","0","0","0","0","        185.50"
"ITC","12-Oct-2006","26-Oct-2006","185.8","187.45","183.75","187.1","187.1","187.1","4741","9909.8","10806750","-420750","        186.05"
"ITC","12-Oct-2006","30-Nov-2006","186.1","188.35","184.6","188.1","188","188.1","117","245.79","218250","79875","        186.05"
"ITC","12-Oct-2006","28-Dec-2006","0","0","0","187.7","0","189","0","0","0","0","        186.05"
"ITC","13-Oct-2006","26-Oct-2006","188","191.2","187","189.8","190.9","189.8","8940","19049.32","10626750","-180000","        188.75"
"ITC","13-Oct-2006","30-Nov-2006","179","192","179","190.2","191.65","190.2","161","344.3","211500","-6750","        188.75"
"ITC","13-Oct-2006","28-Dec-2006","0","0","0","187.7","0","191.7","0","0","0","0","        188.75"
"ITC","16-Oct-2006","26-Oct-2006","191.9","195.5","190.5","195","194.95","195","11819","25766.27","10344375","-282375","        194.65"
"ITC","16-Oct-2006","30-Nov-2006","192.4","196.25","191.7","195.75","195.5","195.75","456","999.01","363375","151875","        194.65"
"ITC","16-Oct-2006","28-Dec-2006","0","0","0","187.7","0","197.6","0","0","0","0","        194.65"
"ITC","17-Oct-2006","26-Oct-2006","195.45","195.6","192","193.45","193.6","193.45","5751","12522.63","9597375","-747000","        193.75"
"ITC","17-Oct-2006","30-Nov-2006","195.15","195.15","193","194.2","194.3","194.2","547","1194.69","573750","210375","        193.75"
"ITC","17-Oct-2006","28-Dec-2006","0","0","0","187.7","0","196.65","0","0","0","0","        193.75"
"ITC","18-Oct-2006","26-Oct-2006","192.5","195.9","192.5","194.95","194.95","194.95","5465","11982.65","9042750","-554625","        194.60"
"ITC","18-Oct-2006","30-Nov-2006","193.9","196.7","193.9","195.6","196","195.6","813","1790.6","958500","384750","        194.60"
"ITC","18-Oct-2006","28-Dec-2006","0","0","0","187.7","0","197.45","0","0","0","0","        194.60"
"ITC","19-Oct-2006","26-Oct-2006","195.45","195.9","190.1","191.85","191.2","191.85","5089","11038.49","8329500","-713250","        190.65"
"ITC","19-Oct-2006","30-Nov-2006","196","196.5","190.6","192.55","192.4","192.55","1203","2615.55","1680750","722250","        190.65"
"ITC","19-Oct-2006","28-Dec-2006","0","0","0","187.7","0","193.4","0","0","0","0","        190.65"
"ITC","20-Oct-2006","26-Oct-2006","192.55","193.75","185.5","187.6","187.6","187.6","5391","11552.81","7646625","-682875","        186.35"
"ITC","20-Oct-2006","30-Nov-2006","193.2","194.9","187","188.5","188.55","188.5","2271","4893.94","3318750","1638000","        186.35"
"ITC","20-Oct-2006","28-Dec-2006","192","192","192","192","192","189.05","1","2.16","1125","1125","        186.35"
"ITC","21-Oct-2006","26-Oct-2006","188.5","189.35","188.25","188.75","188.6","188.75","1142","2426.43","7158375","-488250","        188.65"
"ITC","21-Oct-2006","30-Nov-2006","189.25","190.3","188.9","189.75","189.6","189.75","556","1187.07","3621375","302625","        188.65"
"ITC","21-Oct-2006","28-Dec-2006","0","0","0","192","192","191.35","0","0","1125","0","        188.65"
"ITC","23-Oct-2006","26-Oct-2006","188.5","188.55","185.15","185.55","185.4","185.55","3937","8235.17","5377500","-1780875","        184.95"
"ITC","23-Oct-2006","30-Nov-2006","189.65","189.8","186","186.3","186.35","186.3","3487","7323.18","6232500","2611125","        184.95"
"ITC","23-Oct-2006","28-Dec-2006","187.5","187.5","187.5","187.5","187.5","187.5","1","2.11","2250","1125","        184.95"
"ITC","26-Oct-2006","26-Oct-2006","186.25","186.65","182.3","183.9","184.15","184.1","5899","12227.32","2865375","-2512125","        184.10"
"ITC","26-Oct-2006","30-Nov-2006","186.9","187.65","183.7","185.9","186.4","185.9","6243","13032.84","10266750","4034250","        184.10"
"ITC","26-Oct-2006","28-Dec-2006","186","186.5","185","186.15","186.15","186.15","12","25.08","12375","10125","        184.10"
"ITC","27-Oct-2006","30-Nov-2006","187","188.9","185.9","188.45","188.8","188.45","4339","9157.36","10315125","48375","        187.70"
"ITC","27-Oct-2006","28-Dec-2006","187.75","189","187.2","188.9","188.9","190.15","10","21.13","18000","5625","        187.70"
"ITC","27-Oct-2006","25-Jan-2007","0","0","0","187.65","0","191.25","0","0","0","0","        187.70"
"ITC","30-Oct-2006","30-Nov-2006","187.75","190.7","187.25","188.65","188.2","188.65","6602","14031.47","10148625","-166500","        187.45"
"ITC","30-Oct-2006","28-Dec-2006","190","190.7","188.5","189.7","189.7","189.7","11","23.47","25875","7875","        187.45"
"ITC","30-Oct-2006","25-Jan-2007","0","0","0","187.65","0","190.9","0","0","0","0","        187.45"
