"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"JSWSTEEL","02-May-2011","26-May-2011","956.45","963.95","934","936.7","934.4","936.7","3994","9418.81","7534500","132000","        931.50"
"JSWSTEEL","02-May-2011","30-Jun-2011","948.85","948.85","933.95","935.45","934.5","935.45","16","37.64","13000","2000","        931.50"
"JSWSTEEL","02-May-2011","28-Jul-2011","0","0","0","977.55","0","951.95","0","0","0","0","        931.50"
"JSWSTEEL","03-May-2011","26-May-2011","930","937.5","903.6","908.4","906","908.4","6363","14657.98","7453250","-81250","        905.90"
"JSWSTEEL","03-May-2011","30-Jun-2011","931.4","936.85","907","908.9","907","908.9","36","82.91","18500","5500","        905.90"
"JSWSTEEL","03-May-2011","28-Jul-2011","0","0","0","977.55","0","925.9","0","0","0","0","        905.90"
"JSWSTEEL","04-May-2011","26-May-2011","909.95","911","886","897.2","895.9","897.2","5009","11257.98","7508750","55500","        895.10"
"JSWSTEEL","04-May-2011","30-Jun-2011","907","910","891.35","898.55","899","898.55","54","121.55","22750","4250","        895.10"
"JSWSTEEL","04-May-2011","28-Jul-2011","0","0","0","977.55","0","914.65","0","0","0","0","        895.10"
"JSWSTEEL","05-May-2011","26-May-2011","895.8","908.6","860.4","863.85","861.2","863.85","6197","13628.48","7515750","7000","        859.55"
"JSWSTEEL","05-May-2011","30-Jun-2011","908.75","908.75","863","864.05","863.95","864.05","95","207.92","30750","8000","        859.55"
"JSWSTEEL","05-May-2011","28-Jul-2011","0","0","0","977.55","0","878.35","0","0","0","0","        859.55"
"JSWSTEEL","06-May-2011","26-May-2011","865.35","898.7","865.35","895.1","892.75","895.1","6596","14570.95","7438000","-77750","        891.60"
"JSWSTEEL","06-May-2011","30-Jun-2011","882","899.6","864.8","897.5","898","897.5","37","81.95","33000","2250","        891.60"
"JSWSTEEL","06-May-2011","28-Jul-2011","0","0","0","977.55","0","911.05","0","0","0","0","        891.60"
"JSWSTEEL","09-May-2011","26-May-2011","898","911.75","879","900.9","902.5","900.9","6306","14145.92","7548750","110750","        896.90"
"JSWSTEEL","09-May-2011","30-Jun-2011","887","911","882","901.7","901.25","901.7","49","109.88","36250","3250","        896.90"
"JSWSTEEL","09-May-2011","28-Jul-2011","0","0","0","977.55","0","915.55","0","0","0","0","        896.90"
"JSWSTEEL","10-May-2011","26-May-2011","901.25","906.8","882.25","892.4","892.75","892.4","4438","9939.58","7503000","-45750","        889.15"
"JSWSTEEL","10-May-2011","30-Jun-2011","901.45","906.5","882.6","893.9","892.5","893.9","86","192.76","47750","11500","        889.15"
"JSWSTEEL","10-May-2011","28-Jul-2011","900.9","901","899","899","899","907.5","4","9","1000","1000","        889.15"
"JSWSTEEL","11-May-2011","26-May-2011","897.95","924.9","895","922.65","924.9","922.65","7706","17596.56","7738250","235250","        917.90"
"JSWSTEEL","11-May-2011","30-Jun-2011","899.85","925","897.65","925","925","925","73","166.65","51750","4000","        917.90"
"JSWSTEEL","11-May-2011","28-Jul-2011","0","0","0","899","899","936.55","0","0","1000","0","        917.90"
"JSWSTEEL","12-May-2011","26-May-2011","917.95","932.4","906.65","911.05","910","911.05","6604","15178.15","7565500","-172750","        910.90"
"JSWSTEEL","12-May-2011","30-Jun-2011","917.6","932.05","910","912.2","912.35","912.2","48","110.32","56500","4750","        910.90"
"JSWSTEEL","12-May-2011","28-Jul-2011","0","0","0","899","899","929.3","0","0","1000","0","        910.90"
"JSWSTEEL","13-May-2011","26-May-2011","912.25","954.4","909.5","940.05","943","940.05","9072","21229.33","7797000","231500","        935.80"
"JSWSTEEL","13-May-2011","30-Jun-2011","913.9","953.3","909.6","941.45","945","941.45","127","298.16","63250","6750","        935.80"
"JSWSTEEL","13-May-2011","28-Jul-2011","950","950","936","936","936","936","2","4.72","1000","0","        935.80"
"JSWSTEEL","16-May-2011","26-May-2011","940.05","955.55","908.55","922.75","923.7","922.75","20569","47730.67","7374000","-423000","        922.50"
"JSWSTEEL","16-May-2011","30-Jun-2011","937","955.25","913","931.25","929","931.25","3391","7897.39","492750","429500","        922.50"
"JSWSTEEL","16-May-2011","28-Jul-2011","924.5","928","922","927","927","927","33","76.16","5250","4250","        922.50"
"JSWSTEEL","17-May-2011","26-May-2011","923.7","932.5","900","927.95","930.15","927.95","16292","37222.77","6665750","-708250","        923.50"
"JSWSTEEL","17-May-2011","30-Jun-2011","930.1","937.5","907.55","933.9","935","933.9","600","1380.23","526750","34000","        923.50"
"JSWSTEEL","17-May-2011","28-Jul-2011","914.7","914.7","908.3","908.3","908.3","940.95","4","9.11","5500","250","        923.50"
"JSWSTEEL","18-May-2011","26-May-2011","931.85","949.8","915.55","944.65","944.5","944.65","10374","24307.3","6293250","-372500","        940.55"
"JSWSTEEL","18-May-2011","30-Jun-2011","935.8","954.9","922.25","950.7","950","950.7","582","1375.15","560000","33250","        940.55"
"JSWSTEEL","18-May-2011","28-Jul-2011","944.75","945","940.65","945","945","945","4","9.44","5500","0","        940.55"
"JSWSTEEL","19-May-2011","26-May-2011","940.15","950.75","916","924.75","924","924.75","8230","19078.59","6075750","-217500","        925.05"
"JSWSTEEL","19-May-2011","30-Jun-2011","952.6","955.15","922.9","930.55","929.25","930.55","731","1703.6","597250","37250","        925.05"
"JSWSTEEL","19-May-2011","28-Jul-2011","934","934","919.2","932.95","932.95","942.05","5","11.63","6750","1250","        925.05"
"JSWSTEEL","20-May-2011","26-May-2011","927.45","937.9","916.2","919.85","918.25","919.85","9402","21747.4","5337750","-738000","        918.95"
"JSWSTEEL","20-May-2011","30-Jun-2011","932.25","943.9","923","926.7","925","926.7","3279","7636.58","1196000","598750","        918.95"
"JSWSTEEL","20-May-2011","28-Jul-2011","923.8","934.85","920","921.8","921.8","921.8","8","18.51","7500","750","        918.95"
"JSWSTEEL","23-May-2011","26-May-2011","912.1","912.8","893.3","899.35","899","899.35","8653","19512.6","4831750","-506000","        899.10"
"JSWSTEEL","23-May-2011","30-Jun-2011","915.8","918.1","899.9","905.1","906","905.1","5493","12465.83","2171750","975750","        899.10"
"JSWSTEEL","23-May-2011","28-Jul-2011","897.6","904","897.6","904","904","914.65","4","9.01","8000","500","        899.10"
"JSWSTEEL","24-May-2011","26-May-2011","895.7","942.45","895.7","908.2","907.45","908.2","9179","20814.98","3544250","-1287500","        908.10"
"JSWSTEEL","24-May-2011","30-Jun-2011","905.4","943.3","903.5","914.1","914","914.1","6036","13772.82","3229250","1057500","        908.10"
"JSWSTEEL","24-May-2011","28-Jul-2011","971.35","971.35","900","907.1","905","907.1","14","31.88","10000","2000","        908.10"
"JSWSTEEL","25-May-2011","26-May-2011","904.6","906","884.6","901.55","905","901.55","12926","28872.18","2051750","-1492500","        901.00"
"JSWSTEEL","25-May-2011","30-Jun-2011","909.85","910.95","890","905.9","910","905.9","9878","22180.24","4593500","1364250","        901.00"
"JSWSTEEL","25-May-2011","28-Jul-2011","901.05","905.05","886.6","900","900","900","33","73.77","15500","5500","        901.00"
"JSWSTEEL","26-May-2011","26-May-2011","909.9","921.6","906.55","911.1","911.1","911.5","9913","22683.23","524000","-1527750","        911.50"
"JSWSTEEL","26-May-2011","30-Jun-2011","914.75","927","911.25","916.7","916.5","916.7","9320","21445.5","5942500","1349000","        911.50"
"JSWSTEEL","26-May-2011","28-Jul-2011","913","919.45","908.25","911.55","912.05","911.55","80","182.69","28500","13000","        911.50"
"JSWSTEEL","27-May-2011","30-Jun-2011","919.05","944.9","919.05","943.35","944.15","943.35","5519","12895.22","6027000","84500","        937.65"
"JSWSTEEL","27-May-2011","28-Jul-2011","923.1","938.7","916","937.75","938","937.75","45","104.64","30500","2000","        937.65"
"JSWSTEEL","27-May-2011","25-Aug-2011","0","0","0","933.55","0","960.2","0","0","0","0","        937.65"
"JSWSTEEL","30-May-2011","30-Jun-2011","946","967.5","940","962.6","962.6","962.6","7167","17108.36","6049500","22500","        959.55"
"JSWSTEEL","30-May-2011","28-Jul-2011","939","960.7","935.05","957.05","957.1","957.05","63","149.61","31250","750","        959.55"
"JSWSTEEL","30-May-2011","25-Aug-2011","0","0","0","933.55","0","981.85","0","0","0","0","        959.55"
"JSWSTEEL","31-May-2011","30-Jun-2011","962.1","984.7","962.1","981.9","983.5","981.9","7699","18795.38","5673500","-376000","        976.25"
"JSWSTEEL","31-May-2011","28-Jul-2011","964.35","977.5","964.3","975.1","975","975.1","56","135.95","32250","1000","        976.25"
"JSWSTEEL","31-May-2011","25-Aug-2011","0","0","0","933.55","0","998.85","0","0","0","0","        976.25"
"JSWSTEEL","01-Jun-2011","30-Jun-2011","983.95","986","961.05","969.7","969","969.7","5454","13258.79","5648000","-25500","        964.70"
"JSWSTEEL","01-Jun-2011","28-Jul-2011","978.5","979.65","956","964.25","962.05","964.25","48","116.02","38500","6250","        964.70"
"JSWSTEEL","01-Jun-2011","25-Aug-2011","0","0","0","933.55","0","986.85","0","0","0","0","        964.70"
"JSWSTEEL","02-Jun-2011","30-Jun-2011","956.95","963.5","950.55","957.65","956","957.65","3416","8177","5726500","78500","        951.20"
"JSWSTEEL","02-Jun-2011","28-Jul-2011","948.25","955","945.65","951.5","951.15","951.5","44","104.65","42750","4250","        951.20"
"JSWSTEEL","02-Jun-2011","25-Aug-2011","0","0","0","933.55","0","972.6","0","0","0","0","        951.20"
"JSWSTEEL","03-Jun-2011","30-Jun-2011","961.05","975","938.1","943.8","944.7","943.8","5653","13492.55","5755000","28500","        938.25"
"JSWSTEEL","03-Jun-2011","28-Jul-2011","957","967.35","935","937.75","938.5","937.75","62","147.35","45500","2750","        938.25"
"JSWSTEEL","03-Jun-2011","25-Aug-2011","0","0","0","933.55","0","959.25","0","0","0","0","        938.25"
"JSWSTEEL","06-Jun-2011","30-Jun-2011","937.15","948","931.5","941.9","942.4","941.9","3913","9183.09","5711250","-43750","        935.75"
"JSWSTEEL","06-Jun-2011","28-Jul-2011","934.2","940","927","936.05","934.95","936.05","135","314.75","67000","21500","        935.75"
"JSWSTEEL","06-Jun-2011","25-Aug-2011","0","0","0","933.55","0","955.8","0","0","0","0","        935.75"
"JSWSTEEL","07-Jun-2011","30-Jun-2011","938","955.9","938","946.85","948.35","946.85","4315","10244.66","5682500","-28750","        940.85"
"JSWSTEEL","07-Jun-2011","28-Jul-2011","940","950.2","937.55","939.7","941.55","939.7","53","125.09","68750","1750","        940.85"
"JSWSTEEL","07-Jun-2011","25-Aug-2011","0","0","0","933.55","0","960.85","0","0","0","0","        940.85"
"JSWSTEEL","08-Jun-2011","30-Jun-2011","941.85","951.85","924","927.3","925.05","927.3","4878","11410.62","5709000","26500","        922.30"
"JSWSTEEL","08-Jun-2011","28-Jul-2011","937.3","945","919","921","919.6","921","81","188.25","76250","7500","        922.30"
"JSWSTEEL","08-Jun-2011","25-Aug-2011","0","0","0","933.55","0","941.65","0","0","0","0","        922.30"
"JSWSTEEL","09-Jun-2011","30-Jun-2011","927","928","907","919.1","919.25","919.1","7061","16198.91","5894500","185500","        913.50"
"JSWSTEEL","09-Jun-2011","28-Jul-2011","920","920.55","902.5","912.3","912.5","912.3","130","296.65","91500","15250","        913.50"
"JSWSTEEL","09-Jun-2011","25-Aug-2011","0","0","0","933.55","0","932.5","0","0","0","0","        913.50"
"JSWSTEEL","10-Jun-2011","30-Jun-2011","919","922","897.8","903.35","900","903.35","5206","11804.6","5934000","39500","        898.50"
"JSWSTEEL","10-Jun-2011","28-Jul-2011","919.35","919.35","892","896.8","894","896.8","307","691.43","137750","46250","        898.50"
"JSWSTEEL","10-Jun-2011","25-Aug-2011","0","0","0","933.55","0","916.85","0","0","0","0","        898.50"
"JSWSTEEL","13-Jun-2011","30-Jun-2011","898.05","898.85","884.05","891.45","892.4","891.45","3812","8490.81","5993000","59000","        886.10"
"JSWSTEEL","13-Jun-2011","28-Jul-2011","886.8","890.5","878.6","884.05","884.5","884.05","271","599.7","172750","35000","        886.10"
"JSWSTEEL","13-Jun-2011","25-Aug-2011","887.35","887.35","887.35","887.35","887.35","887.35","2","4.44","500","500","        886.10"
"JSWSTEEL","14-Jun-2011","30-Jun-2011","892.3","905.9","883.5","894.9","895.75","894.9","4461","9987.77","5963750","-29250","        890.05"
"JSWSTEEL","14-Jun-2011","28-Jul-2011","889.8","898","877.75","886.95","887","886.95","360","799.43","190250","17500","        890.05"
"JSWSTEEL","14-Jun-2011","25-Aug-2011","898","898","898","898","898","907.4","1","2.25","750","250","        890.05"
"JSWSTEEL","15-Jun-2011","30-Jun-2011","894.3","903","886","893.55","889.7","893.55","4804","10724.76","5974500","10750","        888.65"
"JSWSTEEL","15-Jun-2011","28-Jul-2011","889","894.9","880","886.6","883.2","886.6","349","772.57","253000","62750","        888.65"
"JSWSTEEL","15-Jun-2011","25-Aug-2011","0","0","0","898","898","905.7","0","0","750","0","        888.65"
"JSWSTEEL","16-Jun-2011","30-Jun-2011","887","888","872.1","876.5","876","876.5","5281","11610.91","6141750","167250","        872.05"
"JSWSTEEL","16-Jun-2011","28-Jul-2011","877","878.05","865.2","869.55","869","869.55","491","1070.24","305250","52250","        872.05"
"JSWSTEEL","16-Jun-2011","25-Aug-2011","0","0","0","898","898","888.5","0","0","750","0","        872.05"
"JSWSTEEL","17-Jun-2011","30-Jun-2011","878.35","886.95","866","869.85","867.2","869.85","5402","11829.41","6047750","-94000","        866.25"
"JSWSTEEL","17-Jun-2011","28-Jul-2011","877.95","878.1","859","863.15","859","863.15","331","718.72","345500","40250","        866.25"
"JSWSTEEL","17-Jun-2011","25-Aug-2011","881","881","881","881","881","882.3","1","2.2","1000","250","        866.25"
"JSWSTEEL","20-Jun-2011","30-Jun-2011","871.8","871.8","825.55","845.55","845.2","845.55","6501","13797.91","5996750","-51000","        843.40"
"JSWSTEEL","20-Jun-2011","28-Jul-2011","860","860","820.1","838.9","838","838.9","380","800.14","382000","36500","        843.40"
"JSWSTEEL","20-Jun-2011","25-Aug-2011","0","0","0","881","881","858.35","0","0","1000","0","        843.40"
"JSWSTEEL","21-Jun-2011","30-Jun-2011","849.7","865","844.9","851.3","850","851.3","5420","11596.41","5683500","-313250","        849.85"
"JSWSTEEL","21-Jun-2011","28-Jul-2011","843.85","857.45","837","844.7","844","844.7","1085","2305.78","577750","195750","        849.85"
"JSWSTEEL","21-Jun-2011","25-Aug-2011","0","0","0","881","881","864.65","0","0","1000","0","        849.85"
"JSWSTEEL","22-Jun-2011","30-Jun-2011","860","860","835.05","839.45","837.55","839.45","5019","10600.37","5661500","-22000","        838.10"
"JSWSTEEL","22-Jun-2011","28-Jul-2011","848.25","850.1","830","833.15","830.5","833.15","841","1758.36","755750","178000","        838.10"
"JSWSTEEL","22-Jun-2011","25-Aug-2011","0","0","0","881","881","852.35","0","0","1000","0","        838.10"
"JSWSTEEL","23-Jun-2011","30-Jun-2011","837.3","843.5","824","833.5","836","833.5","4901","10204.87","5596500","-65000","        833.00"
"JSWSTEEL","23-Jun-2011","28-Jul-2011","832.6","835.75","816.65","826.6","829.7","826.6","852","1759.97","860250","104500","        833.00"
"JSWSTEEL","23-Jun-2011","25-Aug-2011","828","828","828","828","828","846.9","1","2.07","750","-250","        833.00"
"JSWSTEEL","24-Jun-2011","30-Jun-2011","840.05","881","840.05","875.6","870.8","875.6","9630","20791.85","5421250","-175250","        871.30"
"JSWSTEEL","24-Jun-2011","28-Jul-2011","832.05","872.8","832.05","866.1","861.95","866.1","2083","4462.77","1041250","181000","        871.30"
"JSWSTEEL","24-Jun-2011","25-Aug-2011","860.75","860.75","860.75","860.75","860.75","885.7","1","2.15","1000","250","        871.30"
"JSWSTEEL","27-Jun-2011","30-Jun-2011","860","893.7","860","885.1","882.75","885.1","9538","21119.91","4061500","-1359750","        883.35"
"JSWSTEEL","27-Jun-2011","28-Jul-2011","861","886.8","855.95","878.4","876.25","878.4","6507","14308.22","2403750","1362500","        883.35"
"JSWSTEEL","27-Jun-2011","25-Aug-2011","0","0","0","860.75","860.75","897.1","0","0","1000","0","        883.35"
"JSWSTEEL","28-Jun-2011","30-Jun-2011","889.2","890.5","869","880.4","877.6","880.4","10977","24073.15","2230250","-1831250","        879.40"
"JSWSTEEL","28-Jun-2011","28-Jul-2011","882","883.15","861.1","873.8","871","873.8","8929","19419.59","4350750","1947000","        879.40"
"JSWSTEEL","28-Jun-2011","25-Aug-2011","0","0","0","860.75","860.75","892.8","0","0","1000","0","        879.40"
"JSWSTEEL","29-Jun-2011","30-Jun-2011","884.75","890.45","872.85","876.25","874.85","876.25","8053","17717.36","1180500","-1049750","        873.60"
"JSWSTEEL","29-Jun-2011","28-Jul-2011","880","882.7","864.9","868.8","866.1","868.8","6605","14416.6","5537750","1187000","        873.60"
"JSWSTEEL","29-Jun-2011","25-Aug-2011","882.5","882.5","867.15","867.15","867.15","886.65","3","6.58","1750","750","        873.60"
"JSWSTEEL","30-Jun-2011","30-Jun-2011","878.4","885.75","868","880.65","883.1","883.35","7023","15433.92","307250","-873250","        883.35"
"JSWSTEEL","30-Jun-2011","28-Jul-2011","868.45","883.35","863.15","877.3","881","877.3","7537","16456.58","6319000","781250","        883.35"
"JSWSTEEL","30-Jun-2011","25-Aug-2011","881.05","887","869.7","881.15","885.05","881.15","30","65.78","3750","2000","        883.35"
