"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"KOTAKBANK","01-Jan-2009","29-Jan-2009","359.6","374.7","358.2","371.55","373.5","371.55","2914","2957.4","1561450","-59400","        370.70"
"KOTAKBANK","01-Jan-2009","26-Feb-2009","374.45","374.45","363.15","363.15","363.15","375.9","3","3.04","4125","0","        370.70"
"KOTAKBANK","01-Jan-2009","26-Mar-2009","0","0","0","362","0","378.5","0","0","0","0","        370.70"
"KOTAKBANK","02-Jan-2009","29-Jan-2009","374","397.7","368.8","392.85","393.05","392.85","4978","5275.24","1638450","77000","        391.60"
"KOTAKBANK","02-Jan-2009","26-Feb-2009","385.5","401.5","385.5","393.05","393","393.05","15","16.16","6600","2475","        391.60"
"KOTAKBANK","02-Jan-2009","26-Mar-2009","0","0","0","362","0","399.7","0","0","0","0","        391.60"
"KOTAKBANK","05-Jan-2009","29-Jan-2009","394.9","402.85","388","397.95","395.9","397.95","4490","4895","1611500","-26950","        398.55"
"KOTAKBANK","05-Jan-2009","26-Feb-2009","400.8","400.8","390","399.8","399.8","399.8","5","5.43","6600","0","        398.55"
"KOTAKBANK","05-Jan-2009","26-Mar-2009","0","0","0","362","0","405.8","0","0","0","0","        398.55"
"KOTAKBANK","06-Jan-2009","29-Jan-2009","394.15","411.7","377.2","388.05","389","388.05","6913","7537.51","1804550","193050","        386.85"
"KOTAKBANK","06-Jan-2009","26-Feb-2009","405","408","380","380","380","391.15","13","14.11","8525","1925","        386.85"
"KOTAKBANK","06-Jan-2009","26-Mar-2009","0","0","0","362","0","393.5","0","0","0","0","        386.85"
"KOTAKBANK","07-Jan-2009","29-Jan-2009","391","403.4","324","363.45","364","363.45","7709","8122.27","1867250","62700","        363.05"
"KOTAKBANK","07-Jan-2009","26-Feb-2009","375","375","351.1","355.55","351.1","355.55","5","5.02","8800","275","        363.05"
"KOTAKBANK","07-Jan-2009","26-Mar-2009","0","0","0","362","0","369.1","0","0","0","0","        363.05"
"KOTAKBANK","09-Jan-2009","29-Jan-2009","357.5","379.9","328","343.95","342","343.95","6442","6248.25","1843325","-23925","        344.50"
"KOTAKBANK","09-Jan-2009","26-Feb-2009","352","352","331.05","343.05","343","343.05","8","7.56","9075","275","        344.50"
"KOTAKBANK","09-Jan-2009","26-Mar-2009","0","0","0","362","0","350.2","0","0","0","0","        344.50"
"KOTAKBANK","12-Jan-2009","29-Jan-2009","343.2","345.8","321","329.25","332.5","329.25","3770","3436.74","1956350","113025","        328.70"
