"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"KOTAKBANK","02-Sep-2011","29-Sep-2011","449","455.5","437","442.1","442.5","442.1","1665","3675.44","3814000","105500","        443.05"
"KOTAKBANK","02-Sep-2011","25-Oct-2011","440","440","440","440","440","449.2","1","2.2","14500","500","        443.05"
"KOTAKBANK","02-Sep-2011","24-Nov-2011","0","0","0","433","0","452.7","0","0","0","0","        443.05"
"KOTAKBANK","05-Sep-2011","29-Sep-2011","441","447.4","437.45","445.4","446","445.4","1907","4207.18","3739500","-74500","        446.20"
"KOTAKBANK","05-Sep-2011","25-Oct-2011","439.65","448.1","439.2","448.1","448.05","448.1","6","13.28","14500","0","        446.20"
"KOTAKBANK","05-Sep-2011","24-Nov-2011","0","0","0","433","0","455.5","0","0","0","0","        446.20"
"KOTAKBANK","06-Sep-2011","29-Sep-2011","442.05","461.5","434.4","459.55","460","459.55","4002","8978.77","3795500","56000","        458.85"
"KOTAKBANK","06-Sep-2011","25-Oct-2011","439.5","461.95","438","460.45","461","460.45","33","74.15","18500","4000","        458.85"
"KOTAKBANK","06-Sep-2011","24-Nov-2011","0","0","0","433","0","468.3","0","0","0","0","        458.85"
"KOTAKBANK","07-Sep-2011","29-Sep-2011","464","468.75","458.5","466.85","467","466.85","2240","5199.71","3730500","-65000","        468.60"
"KOTAKBANK","07-Sep-2011","25-Oct-2011","461.15","469.2","461.15","468.15","468.55","468.15","35","81.51","27500","9000","        468.60"
"KOTAKBANK","07-Sep-2011","24-Nov-2011","452.05","452.05","452.05","452.05","452.05","452.05","1","2.26","500","500","        468.60"
"KOTAKBANK","08-Sep-2011","29-Sep-2011","460.1","472.3","459.3","469.25","471","469.25","2109","4914.46","3749000","18500","        469.65"
"KOTAKBANK","08-Sep-2011","25-Oct-2011","466.05","473","461","471.15","470.7","471.15","22","51.48","33000","5500","        469.65"
"KOTAKBANK","08-Sep-2011","24-Nov-2011","0","0","0","452.05","452.05","479.1","0","0","500","0","        469.65"
"KOTAKBANK","09-Sep-2011","29-Sep-2011","470","470","455.8","458.1","457","458.1","2209","5115.01","3668500","-80500","        459.70"
"KOTAKBANK","09-Sep-2011","25-Oct-2011","466.05","469.5","457.4","458.75","458.1","458.75","38","88.14","38500","5500","        459.70"
"KOTAKBANK","09-Sep-2011","24-Nov-2011","0","0","0","452.05","452.05","468.8","0","0","500","0","        459.70"
"KOTAKBANK","12-Sep-2011","29-Sep-2011","449.65","458","447.1","452.25","451.5","452.25","2387","5397.62","3900000","231500","        453.85"
"KOTAKBANK","12-Sep-2011","25-Oct-2011","451.25","458.2","450.2","453.3","453.65","453.3","98","222.18","68000","29500","        453.85"
"KOTAKBANK","12-Sep-2011","24-Nov-2011","0","0","0","452.05","452.05","462.45","0","0","500","0","        453.85"
"KOTAKBANK","13-Sep-2011","29-Sep-2011","455.95","466.9","454.1","460.65","462","460.65","3161","7296.4","4202500","302500","        463.40"
"KOTAKBANK","13-Sep-2011","25-Oct-2011","458.5","468.05","458.5","461.5","462","461.5","186","430","136500","68500","        463.40"
"KOTAKBANK","13-Sep-2011","24-Nov-2011","0","0","0","452.05","452.05","472.1","0","0","500","0","        463.40"
"KOTAKBANK","14-Sep-2011","29-Sep-2011","462.05","468.8","455.6","466.4","466.05","466.4","2524","5831.87","4241000","38500","        466.50"
"KOTAKBANK","14-Sep-2011","25-Oct-2011","459.1","467.25","457","466.1","467.25","466.1","157","362.4","189500","53000","        466.50"
"KOTAKBANK","14-Sep-2011","24-Nov-2011","0","0","0","452.05","452.05","475.1","0","0","500","0","        466.50"
"KOTAKBANK","15-Sep-2011","29-Sep-2011","468.5","483","464.35","480.75","482.5","480.75","3324","7900.85","4534500","293500","        480.00"
"KOTAKBANK","15-Sep-2011","25-Oct-2011","468.45","482.9","468.45","481","482.5","481","142","337.35","226000","36500","        480.00"
"KOTAKBANK","15-Sep-2011","24-Nov-2011","0","0","0","452.05","452.05","488.8","0","0","500","0","        480.00"
"KOTAKBANK","16-Sep-2011","29-Sep-2011","481.05","485","470.2","472.7","473","472.7","3560","8471.58","4356500","-178000","        470.65"
"KOTAKBANK","16-Sep-2011","25-Oct-2011","482.1","482.1","471.1","472.9","473.25","472.9","89","211.57","219500","-6500","        470.65"
"KOTAKBANK","16-Sep-2011","24-Nov-2011","499.5","499.5","499.5","499.5","499.5","479.2","1","2.5","0","-500","        470.65"
"KOTAKBANK","19-Sep-2011","29-Sep-2011","474.05","476.9","466","474.2","474.9","474.2","2022","4775.98","4418500","62000","        473.65"
"KOTAKBANK","19-Sep-2011","25-Oct-2011","467.25","475.5","467.25","474.85","475.5","474.85","60","141.73","235000","15500","        473.65"
"KOTAKBANK","19-Sep-2011","24-Nov-2011","0","0","0","499.5","499.5","481.85","0","0","0","0","        473.65"
"KOTAKBANK","20-Sep-2011","29-Sep-2011","474","482","471.4","480.9","482","480.9","2161","5162.64","4132000","-286500","        479.40"
"KOTAKBANK","20-Sep-2011","25-Oct-2011","479","482","472.6","481.65","482","481.65","306","730.9","344500","109500","        479.40"
"KOTAKBANK","20-Sep-2011","24-Nov-2011","0","0","0","499.5","499.5","487.6","0","0","0","0","        479.40"
"KOTAKBANK","21-Sep-2011","29-Sep-2011","478.15","485.65","476.9","481.25","479.15","481.25","1368","3292.73","4043000","-89000","        480.55"
"KOTAKBANK","21-Sep-2011","25-Oct-2011","481.35","485.5","479.85","482.45","482.8","482.45","108","260.52","351000","6500","        480.55"
"KOTAKBANK","21-Sep-2011","24-Nov-2011","0","0","0","499.5","499.5","488.7","0","0","0","0","        480.55"
"KOTAKBANK","22-Sep-2011","29-Sep-2011","466.3","474.95","455.75","458.1","457.7","458.1","3055","7094.86","3886000","-157000","        456.90"
"KOTAKBANK","22-Sep-2011","25-Oct-2011","476.1","476.15","456.8","459.2","459.15","459.2","394","919.12","432000","81000","        456.90"
