"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"LT","01-Jul-2016","28-Jul-2016","1510.5","1553.95","1510.5","1549.75","1550.1","1549.75","11826","91052.34","5591000","-117000","       1542.65"
"LT","01-Jul-2016","25-Aug-2016","1507","1545","1504","1542.1","1543.3","1542.1","165","1262.77","154000","-3500","       1542.65"
"LT","01-Jul-2016","29-Sep-2016","0","0","0","1523.45","0","1570.05","0","0","0","0","       1542.65"
"LT","04-Jul-2016","28-Jul-2016","1560","1583.6","1557.35","1572.4","1572","1572.4","9131","71775.48","5573000","-18000","       1568.10"
"LT","04-Jul-2016","25-Aug-2016","1552.05","1573.4","1552.05","1564.5","1564.45","1564.5","103","805.22","149500","-4500","       1568.10"
"LT","04-Jul-2016","29-Sep-2016","1574.55","1574.55","1574.55","1574.55","1574.55","1594.8","1","7.87","500","500","       1568.10"
"LT","05-Jul-2016","28-Jul-2016","1569.95","1587.5","1560.05","1580.4","1578","1580.4","9302","73233.45","5598000","25000","       1576.10"
"LT","05-Jul-2016","25-Aug-2016","1555.85","1578.2","1552.05","1571.6","1571.65","1571.6","107","837.34","157500","8000","       1576.10"
"LT","05-Jul-2016","29-Sep-2016","1565","1565","1565","1565","1565","1602.5","1","7.83","1000","500","       1576.10"
"LT","07-Jul-2016","28-Jul-2016","1583","1586","1556.35","1563.85","1564.55","1563.85","7548","59223.24","5711000","113000","       1554.50"
"LT","07-Jul-2016","25-Aug-2016","1576.35","1578.15","1549.5","1557.35","1558.65","1557.35","146","1141.88","188000","30500","       1554.50"
"LT","07-Jul-2016","29-Sep-2016","1574.45","1574.45","1568.2","1568.2","1568.2","1579.9","2","15.71","1500","500","       1554.50"
"LT","08-Jul-2016","28-Jul-2016","1563.5","1563.5","1527.05","1537.95","1540.95","1537.95","8354","64275.97","5728000","17000","       1532.65"
"LT","08-Jul-2016","25-Aug-2016","1544.45","1545.5","1520.4","1531.15","1534.4","1531.15","125","957.07","213000","25000","       1532.65"
"LT","08-Jul-2016","29-Sep-2016","1536.1","1537.35","1532.45","1537.35","1537.35","1557.4","4","30.71","2500","1000","       1532.65"
"LT","11-Jul-2016","28-Jul-2016","1559.45","1578","1555.05","1567.7","1566.25","1567.7","6841","53666.68","5817500","89500","       1559.80"
"LT","11-Jul-2016","25-Aug-2016","1565.05","1568.35","1553.05","1559.8","1559.6","1559.8","131","1022.97","213000","0","       1559.80"
"LT","11-Jul-2016","29-Sep-2016","1542","1572.05","1542","1559.9","1559.9","1559.9","6","46.88","2500","0","       1559.80"
"LT","12-Jul-2016","28-Jul-2016","1572.45","1575.75","1550.15","1570.05","1566.2","1570.05","6800","53200.19","5918500","101000","       1568.00"
"LT","12-Jul-2016","25-Aug-2016","1562.25","1567","1542.8","1562.95","1559.95","1562.95","256","1989.73","227000","14000","       1568.00"
"LT","12-Jul-2016","29-Sep-2016","1545.2","1560.65","1545.2","1558","1558","1591.9","4","31.08","4000","1500","       1568.00"
"LT","13-Jul-2016","28-Jul-2016","1573.9","1573.9","1546.45","1553.4","1554","1553.4","5844","45519.35","5810500","-108000","       1551.40"
"LT","13-Jul-2016","25-Aug-2016","1561.7","1564","1539.4","1544.75","1546.65","1544.75","223","1725.96","267000","40000","       1551.40"
"LT","13-Jul-2016","29-Sep-2016","1551","1555","1551","1555","1555","1574.75","2","15.53","4000","0","       1551.40"
"LT","14-Jul-2016","28-Jul-2016","1559.7","1577.9","1547.95","1571.85","1572","1571.85","6942","54341.94","5758000","-52500","       1564.45"
"LT","14-Jul-2016","25-Aug-2016","1549.95","1569.4","1540","1563.05","1562.75","1563.05","189","1469.99","281500","14500","       1564.45"
"LT","14-Jul-2016","29-Sep-2016","1555","1555","1555","1555","1555","1587.6","1","7.78","4000","0","       1564.45"
"LT","15-Jul-2016","28-Jul-2016","1577.4","1601.3","1562","1589.95","1591","1589.95","10183","80595.47","5729000","-29000","       1585.85"
"LT","15-Jul-2016","25-Aug-2016","1568","1592.45","1556","1582.8","1582.65","1582.8","545","4291.89","306500","25000","       1585.85"
"LT","15-Jul-2016","29-Sep-2016","1568","1568","1568","1568","1568","1609","1","7.84","4500","500","       1585.85"
"LT","18-Jul-2016","28-Jul-2016","1592","1606.7","1567","1574.85","1576.5","1574.85","7645","60816.33","5721000","-8000","       1574.40"
"LT","18-Jul-2016","25-Aug-2016","1589.95","1600","1560","1565","1570","1565","435","3440.62","376500","70000","       1574.40"
"LT","18-Jul-2016","29-Sep-2016","1603.05","1603.05","1570","1572.75","1578","1572.75","7","55.41","5500","1000","       1574.40"
"LT","19-Jul-2016","28-Jul-2016","1575","1584.95","1562.3","1574.4","1573.75","1574.4","5549","43689.62","5868000","147000","       1572.80"
"LT","19-Jul-2016","25-Aug-2016","1571","1576","1554","1567.45","1568","1567.45","343","2687.89","414000","37500","       1572.80"
"LT","19-Jul-2016","29-Sep-2016","1581.1","1581.1","1570","1570.3","1574.7","1570.3","6","47.18","6500","1000","       1572.80"
"LT","20-Jul-2016","28-Jul-2016","1576.75","1590","1573.2","1576.55","1575.9","1576.55","4740","37434.99","5987000","119000","       1570.85"
"LT","20-Jul-2016","25-Aug-2016","1572","1578","1565","1567.2","1566.7","1567.2","503","3949.56","567000","153000","       1570.85"
"LT","20-Jul-2016","29-Sep-2016","1579","1579.4","1578","1578","1578","1578","3","23.68","7000","500","       1570.85"
"LT","21-Jul-2016","28-Jul-2016","1575.05","1578.85","1553.1","1557.6","1562.5","1557.6","7529","58908.04","5804000","-183000","       1557.55"
"LT","21-Jul-2016","25-Aug-2016","1569.85","1569.85","1546","1549.15","1552.85","1549.15","645","5015.09","651500","84500","       1557.55"
"LT","21-Jul-2016","29-Sep-2016","1562","1564.95","1555","1558.1","1560.95","1558.1","11","85.84","10000","3000","       1557.55"
"LT","22-Jul-2016","28-Jul-2016","1565","1582.4","1556.1","1578.9","1577.5","1578.9","5972","47023.18","5631000","-173000","       1574.00"
"LT","22-Jul-2016","25-Aug-2016","1551.5","1572.4","1551.15","1569.4","1567.15","1569.4","945","7395.9","826500","175000","       1574.00"
"LT","22-Jul-2016","29-Sep-2016","1567","1578","1562","1577.05","1576.15","1577.05","9","70.77","12000","2000","       1574.00"
"LT","25-Jul-2016","28-Jul-2016","1578.85","1592","1565","1588.25","1588","1588.25","7085","55957.78","5117500","-513500","       1585.90"
"LT","25-Jul-2016","25-Aug-2016","1567.65","1583","1557.45","1579.75","1580.9","1579.75","2430","19083.34","1408000","581500","       1585.90"
"LT","25-Jul-2016","29-Sep-2016","1578.95","1589.4","1568","1588.05","1589.4","1588.05","44","347.46","24500","12500","       1585.90"
"LT","26-Jul-2016","28-Jul-2016","1591.4","1599.65","1584","1593.1","1594","1593.1","9484","75487.44","4211500","-906000","       1592.70"
"LT","26-Jul-2016","25-Aug-2016","1578","1591.75","1576.45","1584.2","1589.05","1584.2","5267","41706.69","2893000","1485000","       1592.70"
"LT","26-Jul-2016","29-Sep-2016","1588","1599.1","1587.7","1595.05","1599.1","1595.05","22","175.04","34000","9500","       1592.70"
"LT","27-Jul-2016","28-Jul-2016","1598.45","1615.4","1586.5","1600.15","1598","1600.15","9928","79542.94","3669500","-542000","       1602.15"
"LT","27-Jul-2016","25-Aug-2016","1593.35","1608.4","1580","1591.95","1587.75","1591.95","6102","48616.83","3896000","1003000","       1602.15"
"LT","27-Jul-2016","29-Sep-2016","1605.15","1615.6","1591.1","1599.3","1600.5","1599.3","62","496.35","53500","19500","       1602.15"
"LT","28-Jul-2016","28-Jul-2016","1603.2","1606.4","1561.9","1576.1","1577.6","1577.25","8752","69178.89","2219500","-1450000","       1577.25"
"LT","28-Jul-2016","25-Aug-2016","1596.7","1599.45","1551.35","1568.05","1568","1568.05","9240","72596.63","5319000","1423000","       1577.25"
"LT","28-Jul-2016","29-Sep-2016","1597.1","1597.1","1560.75","1574.3","1580.5","1574.3","158","1246.73","92500","39000","       1577.25"
"LT","29-Jul-2016","25-Aug-2016","1576.9","1579.9","1535.8","1551.25","1547","1551.25","15420","119647.33","6279000","960000","       1558.85"
"LT","29-Jul-2016","29-Sep-2016","1580.75","1585","1546","1559.7","1558.15","1559.7","227","1770.97","123000","30500","       1558.85"
"LT","29-Jul-2016","27-Oct-2016","1557.95","1557.95","1557.95","1557.95","1557.95","1585.8","1","7.79","500","500","       1558.85"
"LT","01-Aug-2016","25-Aug-2016","1553","1577.4","1483.05","1486","1487.05","1486","28871","219882.09","7839000","1560000","       1493.70"
"LT","01-Aug-2016","29-Sep-2016","1564.5","1583.6","1492","1495.05","1497.6","1495.05","420","3209.61","153500","30500","       1493.70"
"LT","01-Aug-2016","27-Oct-2016","1570.55","1570.55","1495.5","1498.4","1499.8","1498.4","13","98.8","5000","4500","       1493.70"
"LT","02-Aug-2016","25-Aug-2016","1481","1504.6","1480.15","1493.7","1494.5","1493.7","8362","62511.12","7807500","-31500","       1503.35"
"LT","02-Aug-2016","29-Sep-2016","1502.85","1513","1491.1","1503.45","1504.6","1503.45","129","969.79","168000","14500","       1503.35"
"LT","02-Aug-2016","27-Oct-2016","1515","1515","1507.45","1512","1512","1528.1","8","60.45","5500","500","       1503.35"
"LT","03-Aug-2016","25-Aug-2016","1500","1507.1","1460.2","1466.85","1469","1466.85","9793","72394.51","8260000","452500","       1478.60"
"LT","03-Aug-2016","29-Sep-2016","1503.8","1513","1471","1476.25","1478.2","1476.25","131","973.07","174500","6500","       1478.60"
"LT","03-Aug-2016","27-Oct-2016","1500.1","1500.1","1480","1490","1490","1502.6","6","44.67","5500","0","       1478.60"
"LT","04-Aug-2016","25-Aug-2016","1485.5","1485.5","1451.2","1460.65","1463","1460.65","7720","56544.08","8526500","266500","       1469.15"
"LT","04-Aug-2016","29-Sep-2016","1486.7","1490","1461.65","1470.1","1472","1470.1","193","1422.28","172000","-2500","       1469.15"
"LT","04-Aug-2016","27-Oct-2016","1485","1486.2","1471","1480","1480","1480","9","66.56","8500","3000","       1469.15"
"LT","05-Aug-2016","25-Aug-2016","1469.95","1503.15","1467.4","1498.3","1493","1498.3","9627","71609.71","8180500","-346000","       1512.20"
"LT","05-Aug-2016","29-Sep-2016","1484.85","1512","1479.45","1508.45","1503","1508.45","154","1153.09","166000","-6000","       1512.20"
"LT","05-Aug-2016","27-Oct-2016","1490.85","1522.8","1490.85","1515.75","1515.75","1536.2","18","136.16","13000","4500","       1512.20"
"LT","08-Aug-2016","25-Aug-2016","1522","1525","1485","1496.45","1495","1496.45","5767","43101.74","8284000","103500","       1507.15"
"LT","08-Aug-2016","29-Sep-2016","1518","1519","1495","1504.75","1503.15","1504.75","141","1060.67","182500","16500","       1507.15"
"LT","08-Aug-2016","27-Oct-2016","1515","1515","1510","1510","1510","1530.25","3","22.68","14000","1000","       1507.15"
"LT","09-Aug-2016","25-Aug-2016","1498.5","1498.5","1475","1487.1","1485.7","1487.1","5451","40521.77","8253000","-31000","       1500.95"
"LT","09-Aug-2016","29-Sep-2016","1502.7","1504","1486.8","1496.3","1496.85","1496.3","121","905.16","185000","2500","       1500.95"
"LT","09-Aug-2016","27-Oct-2016","1504.2","1505.2","1495","1505.2","1505.2","1505.2","6","45.06","14000","0","       1500.95"
"LT","10-Aug-2016","25-Aug-2016","1489.9","1489.9","1463.3","1469.4","1468.9","1469.4","5034","37077.13","8418500","165500","       1483.20"
"LT","10-Aug-2016","29-Sep-2016","1493.15","1496.5","1475","1479.35","1478.95","1479.35","181","1341.64","205500","20500","       1483.20"
"LT","10-Aug-2016","27-Oct-2016","1491.65","1491.65","1491.65","1491.65","1491.65","1505.3","1","7.46","14000","0","       1483.20"
"LT","11-Aug-2016","25-Aug-2016","1464","1466","1450.4","1462.7","1464.5","1462.7","5383","39258.48","8535500","117000","       1474.70"
"LT","11-Aug-2016","29-Sep-2016","1469.45","1475.85","1460.5","1472.65","1474","1472.65","247","1812.15","231500","26000","       1474.70"
"LT","11-Aug-2016","27-Oct-2016","1471.65","1485","1456.9","1485","1485","1485","14","102.89","12000","-2000","       1474.70"
"LT","12-Aug-2016","25-Aug-2016","1469.6","1490","1468.05","1474.7","1472.5","1474.7","5276","39039.34","8425000","-110500","       1491.90"
"LT","12-Aug-2016","29-Sep-2016","1482.35","1499.9","1481.8","1484.55","1482.6","1484.55","188","1400.93","238500","7000","       1491.90"
"LT","12-Aug-2016","27-Oct-2016","1497.6","1500","1497.6","1500","1500","1513.5","3","22.48","13000","1000","       1491.90"
"LT","16-Aug-2016","25-Aug-2016","1476.75","1498.5","1460","1492.95","1491.55","1492.95","6709","49788.33","8161500","-263500","       1506.35"
"LT","16-Aug-2016","29-Sep-2016","1495","1507","1472.45","1502.25","1501.4","1502.25","338","2520.77","244000","5500","       1506.35"
"LT","16-Aug-2016","27-Oct-2016","1502","1502","1502","1502","1502","1527","1","7.51","13500","500","       1506.35"
"LT","17-Aug-2016","25-Aug-2016","1490","1497.45","1475.05","1484.4","1484.5","1484.4","4519","33522.63","7996500","-165000","       1502.50"
"LT","17-Aug-2016","29-Sep-2016","1501","1505.5","1485.15","1493.8","1493.45","1493.8","257","1917.54","287000","43000","       1502.50"
"LT","17-Aug-2016","27-Oct-2016","1498","1498","1494.4","1494.4","1494.4","1522.8","3","22.45","15000","1500","       1502.50"
"LT","18-Aug-2016","25-Aug-2016","1491.4","1498.5","1483.2","1486.05","1485","1486.05","4789","35700.11","7928000","-68500","       1482.10"
"LT","18-Aug-2016","29-Sep-2016","1499","1509","1493.5","1495.5","1493.8","1495.5","697","5229.7","455500","168500","       1482.10"
"LT","18-Aug-2016","27-Oct-2016","1509","1509.1","1505.5","1506","1506","1501.9","7","52.75","18500","3500","       1482.10"
"LT","19-Aug-2016","25-Aug-2016","1490","1499.5","1480.2","1493.9","1495","1493.9","5107","38100.77","7588500","-339500","       1494.35"
"LT","19-Aug-2016","29-Sep-2016","1497.15","1509.2","1491.65","1503.6","1503.1","1503.6","711","5338.83","617500","162000","       1494.35"
"LT","19-Aug-2016","27-Oct-2016","1510.2","1512","1503.2","1512","1512","1512","8","60.37","20000","1500","       1494.35"
"LT","22-Aug-2016","25-Aug-2016","1494.05","1504","1478","1491.95","1490","1491.95","7990","59625.57","6634500","-954000","       1492.65"
"LT","22-Aug-2016","29-Sep-2016","1503.5","1514","1489.5","1502.05","1500.5","1502.05","3162","23732.93","1641000","1023500","       1492.65"
"LT","22-Aug-2016","27-Oct-2016","1513.3","1519.25","1503","1501.4","1518.45","1501.4","16","120.75","25500","5500","       1492.65"
"LT","23-Aug-2016","25-Aug-2016","1491.1","1491.1","1461","1477.55","1477","1477.55","8625","63639.7","5243000","-1391500","       1477.15"
"LT","23-Aug-2016","29-Sep-2016","1501.05","1501.05","1475","1487.6","1487.95","1487.6","5594","41559.39","3623000","1982000","       1477.15"
"LT","23-Aug-2016","27-Oct-2016","1498.9","1499","1485.3","1495.55","1495.8","1495.55","21","156.86","31000","5500","       1477.15"
"LT","24-Aug-2016","25-Aug-2016","1473.95","1480.95","1467.25","1474.15","1473.25","1474.15","6551","48266.22","4129000","-1114000","       1473.50"
"LT","24-Aug-2016","29-Sep-2016","1486.1","1490.8","1477.1","1483.7","1482.9","1483.7","4651","34484.65","4859000","1236000","       1473.50"
"LT","24-Aug-2016","27-Oct-2016","1495","1496.5","1487","1492.75","1493","1492.75","53","395.54","45500","14500","       1473.50"
"LT","25-Aug-2016","25-Aug-2016","1477.1","1483","1450.55","1453.85","1454.75","1454.65","13472","99034.91","1728000","-2401000","       1454.65"
"LT","25-Aug-2016","29-Sep-2016","1490","1492.5","1462.05","1466.8","1463","1466.8","13265","98091.47","8460000","3601000","       1454.65"
"LT","25-Aug-2016","27-Oct-2016","1493","1500.3","1472.35","1475.6","1473","1475.6","90","669.3","65000","19500","       1454.65"
"LT","26-Aug-2016","29-Sep-2016","1465.65","1468.4","1431.7","1438.8","1439.6","1438.8","9358","67594.34","9160000","700000","       1427.20"
"LT","26-Aug-2016","27-Oct-2016","1472.15","1478.15","1440.95","1447.1","1448","1447.1","288","2095.59","120500","55500","       1427.20"
"LT","26-Aug-2016","24-Nov-2016","1476.05","1476.05","1451.65","1445.6","1451.65","1445.6","12","87.3","4000","4000","       1427.20"
"LT","29-Aug-2016","29-Sep-2016","1435","1471.8","1427.9","1465.05","1465.5","1465.05","8839","64261.34","9106000","-54000","       1459.50"
"LT","29-Aug-2016","27-Oct-2016","1438.75","1479.95","1436.45","1473.8","1470.35","1473.8","149","1087.39","126000","5500","       1459.50"
"LT","29-Aug-2016","24-Nov-2016","1447","1488","1447","1485.1","1485.1","1483.85","9","65.91","6000","2000","       1459.50"
"LT","30-Aug-2016","29-Sep-2016","1472.85","1486","1464.35","1482.9","1484.1","1482.9","7977","58887.2","8942000","-164000","       1475.65"
"LT","30-Aug-2016","27-Oct-2016","1481.75","1493.05","1475","1491.5","1493","1491.5","99","734.9","126000","0","       1475.65"
"LT","30-Aug-2016","24-Nov-2016","0","0","0","1485.1","1485.1","1500","0","0","6000","0","       1475.65"
"LT","31-Aug-2016","29-Sep-2016","1483.9","1524","1479.05","1519.3","1519","1519.3","12497","94210.17","8750500","-191500","       1512.95"
"LT","31-Aug-2016","27-Oct-2016","1491.95","1531.85","1491.75","1528.35","1525","1528.35","180","1365.72","132000","6000","       1512.95"
"LT","31-Aug-2016","24-Nov-2016","0","0","0","1485.1","1485.1","1537.5","0","0","6000","0","       1512.95"
