"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"LT","01-Nov-2013","28-Nov-2013","977.05","993.9","972.7","989.65","988.8","989.65","9858","36354.22","7580250","286125","        982.20"
"LT","01-Nov-2013","26-Dec-2013","984.4","998.55","982","993.8","993.75","993.8","84","311.42","120750","-750","        982.20"
"LT","01-Nov-2013","30-Jan-2014","0","0","0","996.1","0","1004.5","0","0","0","0","        982.20"
"LT","03-Nov-2013","28-Nov-2013","990","993","979.1","981.65","981.25","981.65","1352","4995.29","7520250","-60000","        979.45"
"LT","03-Nov-2013","26-Dec-2013","994","994","986.4","986.4","986.4","986.4","8","29.7","121125","375","        979.45"
"LT","03-Nov-2013","30-Jan-2014","0","0","0","996.1","0","1001.2","0","0","0","0","        979.45"
"LT","05-Nov-2013","28-Nov-2013","974.1","988.7","970","975.25","974","975.25","8399","30808.44","7354500","-165750","        967.40"
"LT","05-Nov-2013","26-Dec-2013","982.9","992.8","975.05","980.4","980.1","980.4","73","269.11","123750","2625","        967.40"
"LT","05-Nov-2013","30-Jan-2014","1000","1000","990","990","990","990","7","34.86","2000","2000","        967.40"
"LT","06-Nov-2013","28-Nov-2013","971.35","984.65","966.25","968.55","968.05","968.55","6419","23435.47","7307625","-46875","        963.80"
"LT","06-Nov-2013","26-Dec-2013","982.4","988","972.8","973.9","973","973.9","72","264.07","127125","3375","        963.80"
"LT","06-Nov-2013","30-Jan-2014","985","985","980","980","980","984.25","4","19.64","4000","2000","        963.80"
"LT","07-Nov-2013","28-Nov-2013","963","992.8","958.35","961.2","962.25","961.2","11742","42893.49","7207875","-99750","        957.45"
"LT","07-Nov-2013","26-Dec-2013","970","996.55","965","966.5","967","966.5","192","704.77","129750","2625","        957.45"
"LT","07-Nov-2013","30-Jan-2014","975","995","972","972","972","972","17","83.46","8500","4500","        957.45"
"LT","08-Nov-2013","28-Nov-2013","955","982.75","948.1","979.1","976.5","979.1","12675","45809.17","7687875","480000","        974.90"
"LT","08-Nov-2013","26-Dec-2013","963.05","987.6","954.75","984.4","980.65","984.4","258","938.66","162375","32625","        974.90"
"LT","08-Nov-2013","30-Jan-2014","970","990","962","989.65","990","989.65","16","78.06","8500","0","        974.90"
"LT","11-Nov-2013","28-Nov-2013","971.1","974.6","944","949.5","950","949.5","10586","37898.35","7614375","-73500","        943.65"
"LT","11-Nov-2013","26-Dec-2013","975","977.9","950","956.25","956","956.25","307","1105.11","211125","48750","        943.65"
"LT","11-Nov-2013","30-Jan-2014","980","980","957.6","962","962","962.85","13","62.74","9500","1000","        943.65"
"LT","12-Nov-2013","28-Nov-2013","953.6","964.2","928","932.95","935.55","932.95","9657","34333.05","8124750","510375","        928.85"
"LT","12-Nov-2013","26-Dec-2013","958.35","969.1","934.65","939","941.4","939","511","1826.29","335625","124500","        928.85"
"LT","12-Nov-2013","30-Jan-2014","950","950","943","948.45","943","948.45","9","42.68","12000","2500","        928.85"
"LT","13-Nov-2013","28-Nov-2013","929.9","936.6","915","923.15","923","923.15","10741","37196.04","8368125","243375","        919.80"
"LT","13-Nov-2013","26-Dec-2013","934.7","941.5","921.05","929.35","928.25","929.35","511","1780.05","371625","36000","        919.80"
"LT","13-Nov-2013","30-Jan-2014","940","945","930","932","932","938.1","18","84.3","17000","5000","        919.80"
"LT","14-Nov-2013","28-Nov-2013","926.6","963.45","926.6","944.6","944","944.6","10318","36827.47","8181750","-186375","        939.55"
"LT","14-Nov-2013","26-Dec-2013","940.9","969","940.9","950.4","950.2","950.4","310","1112.42","372750","1125","        939.55"
"LT","14-Nov-2013","30-Jan-2014","940","972.55","940","952","952","958.05","35","168.43","11500","-5500","        939.55"
"LT","18-Nov-2013","28-Nov-2013","956.55","983","956.55","979.75","982.7","979.75","9497","34588.83","8221875","40125","        978.05"
"LT","18-Nov-2013","26-Dec-2013","965.25","988.8","965.25","986.2","988.35","986.2","379","1388.87","410250","37500","        978.05"
"LT","18-Nov-2013","30-Jan-2014","975","992","974","990","992","990","31","152.29","15000","3500","        978.05"
"LT","19-Nov-2013","28-Nov-2013","980","999.7","980","997.8","998.2","997.8","10107","37641.19","8359875","138000","        995.85"
"LT","19-Nov-2013","26-Dec-2013","990.3","1005.4","988.75","1003.3","1004","1003.3","968","3629.72","629625","219375","        995.85"
"LT","19-Nov-2013","30-Jan-2014","992","1007","992","1005.5","1005.5","1014.05","12","60.13","17500","2500","        995.85"
"LT","20-Nov-2013","28-Nov-2013","994","996.9","976.35","979.35","977.15","979.35","7598","28086.26","8140125","-219750","        976.50"
"LT","20-Nov-2013","26-Dec-2013","1005.2","1005.2","982.7","985.85","983.85","985.85","847","3149.15","778125","148500","        976.50"
"LT","20-Nov-2013","30-Jan-2014","1000","1002.6","989","991.95","989","991.95","17","84.66","15000","-2500","        976.50"
"LT","21-Nov-2013","28-Nov-2013","970.1","978.85","947.65","950.25","951.1","950.25","11550","41568.82","7975875","-164250","        948.10"
"LT","21-Nov-2013","26-Dec-2013","977.8","984","954.1","956.9","958","956.9","1905","6904.28","1208625","430500","        948.10"
"LT","21-Nov-2013","30-Jan-2014","985","985","960.8","962.55","963.75","962.55","24","116.69","14500","-500","        948.10"
"LT","22-Nov-2013","28-Nov-2013","953.85","974.9","949.4","967.4","973","967.4","10424","37560.09","7447125","-528750","        964.15"
"LT","22-Nov-2013","26-Dec-2013","961.5","980.7","956.1","973.05","979.85","973.05","2501","9060.95","1759125","550500","        964.15"
"LT","22-Nov-2013","30-Jan-2014","970","985","963.9","976.55","985","976.55","23","111.7","18000","3500","        964.15"
"LT","25-Nov-2013","28-Nov-2013","973.05","1008.95","973.05","1006.8","1007.65","1006.8","19841","74210.8","6526500","-920625","       1002.65"
"LT","25-Nov-2013","26-Dec-2013","979.55","1014.3","979.55","1011.95","1013","1011.95","8688","32682.62","3176250","1417125","       1002.65"
"LT","25-Nov-2013","30-Jan-2014","990","1018","990","1017.15","1016.1","1017.15","33","166.13","27000","9000","       1002.65"
"LT","26-Nov-2013","28-Nov-2013","1002","1018.55","1000","1006.15","1007.45","1006.15","15452","58473.77","5182875","-1343625","       1004.50"
"LT","26-Nov-2013","26-Dec-2013","1007.35","1023.9","1007.35","1011.55","1012.85","1011.55","7740","29433.02","4249875","1073625","       1004.50"
"LT","26-Nov-2013","30-Jan-2014","1015.55","1027.95","1014.5","1016.05","1016.3","1016.05","34","173.3","28000","1000","       1004.50"
"LT","27-Nov-2013","28-Nov-2013","1006.65","1012","990.1","1007.3","1008.7","1007.3","15201","57071.36","2734125","-2448750","       1006.55"
"LT","27-Nov-2013","26-Dec-2013","1014.25","1017.05","996.15","1012.6","1013.8","1012.6","11348","42820.54","6011625","1761750","       1006.55"
"LT","27-Nov-2013","30-Jan-2014","1020","1021","1003.05","1019.45","1020","1019.45","75","378.85","44500","16500","       1006.55"
