"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"MARUTI","01-Jan-2014","30-Jan-2014","1780","1793.9","1773.75","1781.05","1780.5","1781.05","2695","12017.49","3303000","-16500","       1764.00"
"MARUTI","01-Jan-2014","26-Feb-2014","1789.7","1803.7","1789.7","1793","1793","1788.65","22","98.6","48750","1750","       1764.00"
"MARUTI","01-Jan-2014","27-Mar-2014","1800","1810","1800","1810","1810","1801.55","2","9.03","1500","250","       1764.00"
"MARUTI","02-Jan-2014","30-Jan-2014","1777.35","1832","1776","1781.7","1784.5","1781.7","11397","51467.03","3455250","152250","       1768.40"
"MARUTI","02-Jan-2014","26-Feb-2014","1800","1840.85","1789.5","1794.8","1795.3","1794.8","367","1669.08","78000","29250","       1768.40"
"MARUTI","02-Jan-2014","27-Mar-2014","1820","1850.65","1810","1810","1810","1810","11","50.27","2750","1250","       1768.40"
"MARUTI","03-Jan-2014","30-Jan-2014","1774.25","1823","1765.25","1814.65","1822.65","1814.65","7840","35269.91","3719000","263750","       1798.60"
"MARUTI","03-Jan-2014","26-Feb-2014","1788.6","1834","1787.55","1825.8","1831","1825.8","81","366.68","80750","2750","       1798.60"
"MARUTI","03-Jan-2014","27-Mar-2014","1800","1830","1800","1830","1830","1830","12","54.49","3000","250","       1798.60"
"MARUTI","06-Jan-2014","30-Jan-2014","1823","1833.7","1806","1822.15","1824.25","1822.15","6913","31436.86","3866750","147750","       1807.70"
"MARUTI","06-Jan-2014","26-Feb-2014","1836","1839","1818.8","1835.75","1836","1835.75","62","283.84","87250","6500","       1807.70"
"MARUTI","06-Jan-2014","27-Mar-2014","1830.25","1842.95","1830.25","1842.95","1842.95","1844","2","9.18","3000","0","       1807.70"
"MARUTI","07-Jan-2014","30-Jan-2014","1843.55","1867.7","1832.95","1860.7","1863.95","1860.7","15699","72732.99","4145500","278750","       1845.75"
"MARUTI","07-Jan-2014","26-Feb-2014","1854","1876.65","1846.1","1871.5","1873","1871.5","334","1554.9","133500","46250","       1845.75"
"MARUTI","07-Jan-2014","27-Mar-2014","1850","1887","1850","1880.95","1880.95","1880.95","13","60.91","4750","1750","       1845.75"
"MARUTI","08-Jan-2014","30-Jan-2014","1866.25","1871.7","1837","1847.75","1858.5","1847.75","13995","64874.96","4060750","-84750","       1837.50"
"MARUTI","08-Jan-2014","26-Feb-2014","1864.55","1876.05","1845.05","1852.6","1862","1852.6","573","2666.01","131750","-1750","       1837.50"
"MARUTI","08-Jan-2014","27-Mar-2014","1870","1887.95","1864","1864","1864","1873.7","61","286.27","15500","10750","       1837.50"
"MARUTI","09-Jan-2014","30-Jan-2014","1857","1869.9","1810.55","1821.9","1824","1821.9","8500","38976.25","3914000","-146750","       1811.80"
"MARUTI","09-Jan-2014","26-Feb-2014","1874","1874","1818","1827.75","1824.5","1827.75","248","1141.73","123500","-8250","       1811.80"
"MARUTI","09-Jan-2014","27-Mar-2014","1870","1870","1830","1835","1835","1835","32","148.5","19250","3750","       1811.80"
"MARUTI","10-Jan-2014","30-Jan-2014","1814","1825.65","1793.55","1800.6","1801","1800.6","6494","29345.89","3880500","-33500","       1794.10"
"MARUTI","10-Jan-2014","26-Feb-2014","1815","1829","1801.1","1805.65","1803.5","1805.65","139","629.82","122500","-1000","       1794.10"
"MARUTI","10-Jan-2014","27-Mar-2014","1826.7","1829","1818","1818","1818","1818","5","22.81","19000","-250","       1794.10"
"MARUTI","13-Jan-2014","30-Jan-2014","1802.4","1820.9","1773.35","1791.2","1797.7","1791.2","7461","33469.67","3922750","42250","       1782.75"
"MARUTI","13-Jan-2014","26-Feb-2014","1807.15","1826","1780","1799.75","1804","1799.75","98","441.13","121750","-750","       1782.75"
"MARUTI","13-Jan-2014","27-Mar-2014","1825.45","1825.45","1825.45","1825.45","1825.45","1816.2","1","4.56","18750","-250","       1782.75"
"MARUTI","14-Jan-2014","30-Jan-2014","1790.2","1798.45","1764.3","1781.9","1781","1781.9","7008","31173.2","3805000","-117750","       1773.35"
"MARUTI","14-Jan-2014","26-Feb-2014","1801.65","1801.65","1774","1788.85","1788.75","1788.85","110","490.98","120000","-1750","       1773.35"
"MARUTI","14-Jan-2014","27-Mar-2014","1791","1791","1791","1791","1791","1806.15","1","4.48","18750","0","       1773.35"
"MARUTI","15-Jan-2014","30-Jan-2014","1788.85","1813.8","1775","1808.6","1810.5","1808.6","7334","32920.52","3936750","131750","       1800.10"
"MARUTI","15-Jan-2014","26-Feb-2014","1798.1","1818.5","1780","1813.85","1815.5","1813.85","138","621.49","128250","8250","       1800.10"
"MARUTI","15-Jan-2014","27-Mar-2014","0","0","0","1791","1791","1832.85","0","0","18750","0","       1800.10"
"MARUTI","16-Jan-2014","30-Jan-2014","1805.2","1818.7","1791","1795.45","1794","1795.45","4371","19698.06","3934250","-2500","-"
"MARUTI","16-Jan-2014","26-Feb-2014","1817","1822.9","1798.25","1801.75","1798.85","1801.75","92","415.8","129500","1250","-"
"MARUTI","16-Jan-2014","27-Mar-2014","0","0","0","1791","1791","1822.1","0","0","18750","0","-"
"MARUTI","17-Jan-2014","30-Jan-2014","1798.95","1814.95","1771","1779.7","1781.55","1779.7","5198","23295.96","3859250","-75000","       1775.20"
"MARUTI","17-Jan-2014","26-Feb-2014","1807","1820","1778","1785.45","1789","1785.45","245","1101.07","149000","19500","       1775.20"
"MARUTI","17-Jan-2014","27-Mar-2014","0","0","0","1791","1791","1806.55","0","0","18750","0","       1775.20"
"MARUTI","20-Jan-2014","30-Jan-2014","1778.1","1801","1770.2","1783.9","1785.35","1783.9","4149","18521.67","3897750","38500","       1778.20"
"MARUTI","20-Jan-2014","26-Feb-2014","1780.45","1806.05","1780.45","1791","1791.6","1791","149","668.34","151000","2000","       1778.20"
"MARUTI","20-Jan-2014","27-Mar-2014","1793.9","1793.9","1793.9","1793.9","1793.9","1808.3","1","4.48","19000","250","       1778.20"
"MARUTI","21-Jan-2014","30-Jan-2014","1792.8","1815","1787.5","1806.5","1806.7","1806.5","5193","23458.07","3944750","47000","       1801.90"
"MARUTI","21-Jan-2014","26-Feb-2014","1789","1821","1789","1812.65","1812","1812.65","266","1206.93","166750","15750","       1801.90"
"MARUTI","21-Jan-2014","27-Mar-2014","0","0","0","1793.9","1793.9","1831.6","0","0","19000","0","       1801.90"
"MARUTI","22-Jan-2014","30-Jan-2014","1806.95","1822","1798.95","1810.2","1808.2","1810.2","3507","15893.03","3936750","-8000","       1807.85"
"MARUTI","22-Jan-2014","26-Feb-2014","1811","1827.9","1807","1818.2","1813.05","1818.2","253","1150.86","182250","15500","       1807.85"
"MARUTI","22-Jan-2014","27-Mar-2014","0","0","0","1793.9","1793.9","1837","0","0","19000","0","       1807.85"
"MARUTI","23-Jan-2014","30-Jan-2014","1806.4","1823","1795","1799.75","1799.4","1799.75","4665","21106.17","3961000","24250","       1793.80"
"MARUTI","23-Jan-2014","26-Feb-2014","1813","1830","1805.1","1809.25","1807","1809.25","542","2463.17","242500","60250","       1793.80"
"MARUTI","23-Jan-2014","27-Mar-2014","0","0","0","1793.9","1793.9","1822.65","0","0","19000","0","       1793.80"
"MARUTI","24-Jan-2014","30-Jan-2014","1788.5","1807.3","1772.3","1778.55","1777.4","1778.55","4935","22062.72","3801000","-160000","       1774.25"
"MARUTI","24-Jan-2014","26-Feb-2014","1800","1816","1785","1790.45","1790","1790.45","875","3933.41","302250","59750","       1774.25"
"MARUTI","24-Jan-2014","27-Mar-2014","1806.85","1808.5","1791","1791","1791","1802.35","10","45.1","20500","1500","       1774.25"
"MARUTI","27-Jan-2014","30-Jan-2014","1752","1754","1691.1","1703.05","1701.5","1703.05","10977","47077.65","3049000","-752000","       1702.30"
"MARUTI","27-Jan-2014","26-Feb-2014","1764","1764","1702.55","1713.8","1714","1713.8","4463","19252.17","1001000","698750","       1702.30"
"MARUTI","27-Jan-2014","27-Mar-2014","1757","1758.3","1711.05","1719.15","1719.15","1719.15","29","125.86","23000","2500","       1702.30"
"MARUTI","28-Jan-2014","30-Jan-2014","1722.95","1753.4","1545.1","1566.55","1547","1566.55","65332","267978.75","2167000","-882000","       1566.00"
"MARUTI","28-Jan-2014","26-Feb-2014","1713.8","1763.75","1557","1577.3","1559","1577.3","22138","91264.75","2593000","1592000","       1566.00"
"MARUTI","28-Jan-2014","27-Mar-2014","1728.8","1770","1568.25","1581.2","1570.8","1581.2","94","387.76","27250","4250","       1566.00"
"MARUTI","29-Jan-2014","30-Jan-2014","1620","1696","1616.6","1672","1673.15","1672","33278","138764.26","1332500","-834500","       1673.85"
"MARUTI","29-Jan-2014","26-Feb-2014","1630","1704","1620","1679.65","1682","1679.65","15337","64344.12","2285250","-307750","       1673.85"
"MARUTI","29-Jan-2014","27-Mar-2014","1650","1721.25","1650","1691.2","1700.1","1691.2","87","367.75","31000","3750","       1673.85"
"MARUTI","30-Jan-2014","30-Jan-2014","1659.7","1672.7","1628.35","1635.8","1635.75","1635.9","9775","40237.35","807250","-525250","       1635.90"
"MARUTI","30-Jan-2014","26-Feb-2014","1665","1681.7","1638.1","1647.2","1650","1647.2","8797","36425.6","2862500","577250","       1635.90"
"MARUTI","30-Jan-2014","27-Mar-2014","1678","1680.1","1650","1659.5","1655.4","1659.5","93","386.51","37500","6500","       1635.90"
"MARUTI","31-Jan-2014","26-Feb-2014","1657.15","1661.7","1632.7","1647.05","1650","1647.05","3731","15365.47","2917500","55000","       1636.25"
"MARUTI","31-Jan-2014","27-Mar-2014","1655.1","1670","1648","1658.85","1658.75","1658.85","40","165.98","36000","-1500","       1636.25"
"MARUTI","31-Jan-2014","24-Apr-2014","0","0","0","1670.95","0","1671.6","0","0","0","0","       1636.25"
"MARUTI","03-Feb-2014","26-Feb-2014","1635.1","1672.45","1625.6","1631.05","1627.75","1631.05","5358","22045.86","3091750","174250","       1618.50"
"MARUTI","03-Feb-2014","27-Mar-2014","1668","1680.65","1637","1639.7","1637","1639.7","32","132.45","35500","-500","       1618.50"
"MARUTI","03-Feb-2014","24-Apr-2014","0","0","0","1670.95","0","1653","0","0","0","0","       1618.50"
"MARUTI","04-Feb-2014","26-Feb-2014","1612.1","1643.8","1602.4","1632.35","1631.35","1632.35","3926","15960.55","3162000","70250","       1619.65"
"MARUTI","04-Feb-2014","27-Mar-2014","1614.2","1650.8","1610.25","1642.75","1642.85","1642.75","58","237.24","36500","1000","       1619.65"
"MARUTI","04-Feb-2014","24-Apr-2014","0","0","0","1670.95","0","1653.55","0","0","0","0","       1619.65"
"MARUTI","05-Feb-2014","26-Feb-2014","1634","1634","1614.1","1618.75","1618.1","1618.75","3347","13565.66","3164250","2250","       1606.70"
"MARUTI","05-Feb-2014","27-Mar-2014","1633","1638.2","1625.75","1627.9","1629.5","1627.9","33","134.47","37000","500","       1606.70"
"MARUTI","05-Feb-2014","24-Apr-2014","0","0","0","1670.95","0","1639.8","0","0","0","0","       1606.70"
"MARUTI","06-Feb-2014","26-Feb-2014","1625.65","1650","1600.4","1645.3","1649.9","1645.3","5478","22342.16","3037250","-127000","       1639.70"
"MARUTI","06-Feb-2014","27-Mar-2014","1632.85","1658.7","1620","1656.05","1658.7","1656.05","51","209.63","38250","1250","       1639.70"
"MARUTI","06-Feb-2014","24-Apr-2014","0","0","0","1670.95","0","1673.2","0","0","0","0","       1639.70"
"MARUTI","07-Feb-2014","26-Feb-2014","1658.7","1675.7","1654","1667.7","1669.1","1667.7","4183","17422.74","2928750","-108500","       1664.95"
"MARUTI","07-Feb-2014","27-Mar-2014","1671","1682.6","1666.85","1677.95","1680","1677.95","41","171.85","40250","2000","       1664.95"
"MARUTI","07-Feb-2014","24-Apr-2014","0","0","0","1670.95","0","1698.45","0","0","0","0","       1664.95"
"MARUTI","10-Feb-2014","26-Feb-2014","1674.55","1698","1668.25","1686.55","1681.25","1686.55","4732","19940.57","2861750","-67000","       1688.85"
"MARUTI","10-Feb-2014","27-Mar-2014","1688.8","1706.85","1679.75","1695.25","1690.4","1695.25","98","415.89","49250","9000","       1688.85"
"MARUTI","10-Feb-2014","24-Apr-2014","0","0","0","1670.95","0","1721.45","0","0","0","0","       1688.85"
"MARUTI","11-Feb-2014","26-Feb-2014","1688.05","1697.95","1668.6","1676.8","1677.05","1676.8","1948","8165.79","2844500","-17250","       1678.15"
"MARUTI","11-Feb-2014","27-Mar-2014","1691","1691","1680","1685.75","1687","1685.75","35","147.48","49500","250","       1678.15"
"MARUTI","11-Feb-2014","24-Apr-2014","0","0","0","1670.95","0","1710","0","0","0","0","       1678.15"
"MARUTI","12-Feb-2014","26-Feb-2014","1680","1697.95","1650","1654.85","1653.5","1654.85","3676","15285.69","2877500","33000","       1647.70"
"MARUTI","12-Feb-2014","27-Mar-2014","1691.85","1695.7","1658.4","1663.3","1662.95","1663.3","57","238.38","50750","1250","       1647.70"
"MARUTI","12-Feb-2014","24-Apr-2014","0","0","0","1670.95","0","1678.7","0","0","0","0","       1647.70"
"MARUTI","13-Feb-2014","26-Feb-2014","1654","1662.35","1634.2","1639.15","1637.55","1639.15","3710","15257.29","2781250","-96250","       1641.25"
"MARUTI","13-Feb-2014","27-Mar-2014","1667.5","1667.5","1644.4","1647.55","1647.15","1647.55","111","458.7","52750","2000","       1641.25"
"MARUTI","13-Feb-2014","24-Apr-2014","1660","1660","1660","1660","1660","1671.85","2","8.3","500","500","       1641.25"
"MARUTI","14-Feb-2014","26-Feb-2014","1657.95","1658","1620.3","1648.2","1647","1648.2","3547","14517.78","2786000","4750","       1643.40"
"MARUTI","14-Feb-2014","27-Mar-2014","1656","1660","1630.95","1657.15","1658.6","1657.15","79","325.71","55250","2500","       1643.40"
"MARUTI","14-Feb-2014","24-Apr-2014","1648.55","1649","1648.55","1649","1649","1673.95","2","8.24","750","250","       1643.40"
"MARUTI","17-Feb-2014","26-Feb-2014","1644.75","1678","1641.65","1671.6","1676.15","1671.6","6788","28219.83","2746000","-40000","       1665.70"
"MARUTI","17-Feb-2014","27-Mar-2014","1654","1686.05","1653.1","1680.3","1686","1680.3","181","757.15","59750","4500","       1665.70"
"MARUTI","17-Feb-2014","24-Apr-2014","0","0","0","1649","1649","1695.45","0","0","750","0","       1665.70"
"MARUTI","18-Feb-2014","26-Feb-2014","1680","1736","1668.2","1713","1711.5","1713","8796","37476.98","2785500","39500","       1708.45"
"MARUTI","18-Feb-2014","27-Mar-2014","1687","1743.6","1680","1723.65","1722.45","1723.65","279","1194.77","75750","16000","       1708.45"
"MARUTI","18-Feb-2014","24-Apr-2014","1717.4","1750","1717.4","1745","1745","1737.75","6","26.12","2250","1500","       1708.45"
"MARUTI","19-Feb-2014","26-Feb-2014","1715.6","1723.1","1694.15","1701.15","1700","1701.15","3557","15162.82","2821500","36000","       1698.10"
"MARUTI","19-Feb-2014","27-Mar-2014","1726","1732","1705","1711.65","1710.5","1711.65","276","1182.65","98500","22750","       1698.10"
"MARUTI","19-Feb-2014","24-Apr-2014","0","0","0","1745","1745","1726.75","0","0","2250","0","       1698.10"
"MARUTI","20-Feb-2014","26-Feb-2014","1700","1707.85","1678.5","1688.95","1688","1688.95","3163","13380.82","2816500","-5000","       1683.30"
"MARUTI","20-Feb-2014","27-Mar-2014","1705.05","1717","1690.6","1699.4","1698.9","1699.4","293","1247.13","110750","12250","       1683.30"
"MARUTI","20-Feb-2014","24-Apr-2014","1720","1720","1720","1720","1720","1711.85","2","8.6","2750","500","       1683.30"
"MARUTI","21-Feb-2014","26-Feb-2014","1692.9","1705.95","1676.05","1680.3","1677.15","1680.3","7436","31463.91","2161250","-655250","       1675.60"
"MARUTI","21-Feb-2014","27-Mar-2014","1704.45","1717","1688","1692.1","1689.2","1692.1","3959","16877.54","938000","827250","       1675.60"
"MARUTI","21-Feb-2014","24-Apr-2014","1724.5","1724.5","1700","1700","1700","1703.6","9","38.51","3500","750","       1675.60"
"MARUTI","24-Feb-2014","26-Feb-2014","1658.3","1697","1648.1","1686.8","1688","1686.8","6903","29009.16","1449000","-712250","       1684.40"
"MARUTI","24-Feb-2014","27-Mar-2014","1672.45","1707.95","1658.25","1697.45","1698.9","1697.45","4177","17681.3","1595250","657250","       1684.40"
"MARUTI","24-Feb-2014","24-Apr-2014","1687.3","1709.35","1687.3","1703.5","1703.5","1703.5","4","16.97","3750","250","       1684.40"
"MARUTI","25-Feb-2014","26-Feb-2014","1686.8","1695.35","1675.25","1680.3","1679","1680.3","4449","18701.31","932000","-517000","       1678.00"
"MARUTI","25-Feb-2014","27-Mar-2014","1704.9","1705.1","1685.4","1690.25","1689.55","1690.25","3215","13601.96","2071500","476250","       1678.00"
"MARUTI","25-Feb-2014","24-Apr-2014","1699.1","1702","1698.25","1698.25","1698.25","1698.25","4","17","4500","750","       1678.00"
"MARUTI","26-Feb-2014","26-Feb-2014","1668.1","1685","1651.4","1660.85","1664","1664.05","5810","24191.16","528500","-403500","       1664.05"
"MARUTI","26-Feb-2014","27-Mar-2014","1683.75","1696.3","1662.75","1675.65","1681.5","1675.65","4710","19756.08","2581500","510000","       1664.05"
"MARUTI","26-Feb-2014","24-Apr-2014","1680","1695","1671.1","1687.1","1690","1687.1","43","181.15","11250","6750","       1664.05"
"MARUTI","28-Feb-2014","27-Mar-2014","1668.75","1668.75","1580.5","1597.35","1600.05","1597.35","12487","50028.24","2735500","154000","       1589.00"
"MARUTI","28-Feb-2014","24-Apr-2014","1674.3","1674.3","1592","1605.55","1608","1605.55","121","486.44","19500","8250","       1589.00"
"MARUTI","28-Feb-2014","29-May-2014","1618.45","1618.45","1618.45","1618.45","1618.45","1627.4","1","4.05","250","250","       1589.00"
