"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"MARUTI","02-May-2017","25-May-2017","6702.25","6744","6632","6716.15","6709.05","6716.15","13773","138212.4","2056950","31200","       6705.50"
"MARUTI","02-May-2017","29-Jun-2017","6681","6761.2","6651.4","6740.55","6734.55","6740.55","102","1028.52","18750","5100","       6705.50"
"MARUTI","02-May-2017","27-Jul-2017","6720","6750","6720","6750","6750","6750","4","40.4","600","450","       6705.50"
"MARUTI","03-May-2017","25-May-2017","6725.05","6725.05","6650","6665","6670","6665","6695","67066.97","2023650","-33300","       6644.00"
"MARUTI","03-May-2017","29-Jun-2017","6740.95","6740.95","6680","6684.55","6695","6684.55","35","352.06","18300","-450","       6644.00"
"MARUTI","03-May-2017","27-Jul-2017","6746.05","6746.05","6700","6700","6700","6700","13","131.13","1500","900","       6644.00"
"MARUTI","04-May-2017","25-May-2017","6677.05","6702","6641.05","6671.5","6667","6671.5","4847","48493.42","1992300","-31350","       6639.80"
"MARUTI","04-May-2017","29-Jun-2017","6710.7","6710.7","6671","6691.05","6691.05","6691.05","23","230.89","18600","300","       6639.80"
"MARUTI","04-May-2017","27-Jul-2017","6701","6734.9","6701","6734.9","6734.9","6741","4","40.28","2100","600","       6639.80"
"MARUTI","05-May-2017","25-May-2017","6663.35","6694.85","6629.6","6660","6661.1","6660","4668","46656.19","1919100","-73200","       6654.15"
"MARUTI","05-May-2017","29-Jun-2017","6661.05","6702.3","6661.05","6688","6689.95","6688","67","671.78","20550","1950","       6654.15"
"MARUTI","05-May-2017","27-Jul-2017","6609.7","6717.95","6609.7","6717.95","6717.95","6717.95","3","30.07","2250","150","       6654.15"
"MARUTI","08-May-2017","25-May-2017","6677.8","6718.35","6642.2","6663.2","6663","6663.2","4737","47489.35","1920150","1050","       6630.55"
"MARUTI","08-May-2017","29-Jun-2017","6684.55","6747.05","6670.85","6691.1","6691.45","6691.1","92","926.18","20100","-450","       6630.55"
"MARUTI","08-May-2017","27-Jul-2017","0","0","0","6717.95","6717.95","6726.6","0","0","2250","0","       6630.55"
"MARUTI","09-May-2017","25-May-2017","6668.05","6683.95","6626","6659.35","6665","6659.35","5445","54384.38","1926750","6600","       6629.30"
"MARUTI","09-May-2017","29-Jun-2017","6695","6700","6670","6689.7","6690","6689.7","71","712.28","21900","1800","       6629.30"
"MARUTI","09-May-2017","27-Jul-2017","6722.1","6722.1","6695.25","6695.25","6695.25","6724.1","2","20.13","2250","0","       6629.30"
"MARUTI","10-May-2017","25-May-2017","6679.85","6759.9","6669.05","6750.45","6759.9","6750.45","6868","69273.99","1987050","60300","       6737.75"
