"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"MARUTI","01-Nov-2011","24-Nov-2011","1115","1135","1108.6","1131.4","1134.5","1131.4","6404","17953.99","3084500","29750","       1133.50"
"MARUTI","01-Nov-2011","29-Dec-2011","1115.75","1135.2","1110.45","1133.25","1130.7","1133.25","234","656.86","135250","-2000","       1133.50"
"MARUTI","01-Nov-2011","25-Jan-2012","1123.95","1137.35","1115","1136.25","1137.35","1136.25","94","264.78","24000","23250","       1133.50"
"MARUTI","02-Nov-2011","24-Nov-2011","1122","1136.15","1116.15","1121.15","1121","1121.15","2525","7109.89","3100000","15500","       1124.00"
"MARUTI","02-Nov-2011","29-Dec-2011","1127.95","1135.95","1118.05","1121.9","1121.15","1121.9","112","315.69","136250","1000","       1124.00"
"MARUTI","02-Nov-2011","25-Jan-2012","1133","1133","1126","1126","1126","1149.1","21","59.38","29250","5250","       1124.00"
"MARUTI","03-Nov-2011","24-Nov-2011","1118.35","1138","1115.95","1133.2","1138","1133.2","2313","6525.01","3091000","-9000","       1129.50"
"MARUTI","03-Nov-2011","29-Dec-2011","1125.25","1139.25","1123.2","1134.9","1139.25","1134.9","107","301.94","136750","500","       1129.50"
"MARUTI","03-Nov-2011","25-Jan-2012","0","0","0","1126","1126","1154.3","0","0","29250","0","       1129.50"
"MARUTI","04-Nov-2011","24-Nov-2011","1136.15","1156.1","1123.55","1128.25","1127.7","1128.25","3820","10877.3","3096000","5000","       1122.25"
"MARUTI","04-Nov-2011","29-Dec-2011","1135.75","1157","1127.4","1130.25","1129.75","1130.25","151","431.36","140000","3250","       1122.25"
"MARUTI","04-Nov-2011","25-Jan-2012","1145","1148.35","1133","1133","1133","1133","6","17.1","30500","1250","       1122.25"
"MARUTI","08-Nov-2011","24-Nov-2011","1132.95","1138.25","1123.5","1128.5","1125.05","1128.5","1518","4290.29","3117250","21250","       1124.15"
"MARUTI","08-Nov-2011","29-Dec-2011","1130","1135.5","1126","1130.55","1126","1130.55","75","212.22","143000","3000","       1124.15"
"MARUTI","08-Nov-2011","25-Jan-2012","1135.8","1135.8","1128.4","1128.4","1128.4","1128.4","6","16.98","30250","-250","       1124.15"
"MARUTI","09-Nov-2011","24-Nov-2011","1127","1128.85","1077.7","1082.1","1083.75","1082.1","3899","10755.18","3030500","-86750","       1076.50"
"MARUTI","09-Nov-2011","29-Dec-2011","1126.7","1126.8","1080","1085.05","1085.6","1085.05","168","465.57","143250","250","       1076.50"
"MARUTI","09-Nov-2011","25-Jan-2012","1125.15","1125.2","1085","1085","1085","1085","27","75.06","31250","1000","       1076.50"
"MARUTI","11-Nov-2011","24-Nov-2011","1084.8","1095","1043","1066.4","1067.05","1066.4","3897","10400.53","2995750","-34750","       1059.75"
"MARUTI","11-Nov-2011","29-Dec-2011","1081.3","1096.4","1045.1","1068.8","1068.9","1068.8","222","592.08","152000","8750","       1059.75"
"MARUTI","11-Nov-2011","25-Jan-2012","1096.6","1097.25","1067.85","1067.85","1067.85","1080.75","22","59.91","36250","5000","       1059.75"
"MARUTI","14-Nov-2011","24-Nov-2011","1075.7","1075.7","1024","1029.7","1028.4","1029.7","2541","6656.66","2981000","-14750","       1027.00"
"MARUTI","14-Nov-2011","29-Dec-2011","1072","1074.95","1028","1031.85","1031","1031.85","222","583.38","168500","16500","       1027.00"
