"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"MARUTI","01-Sep-2015","24-Sep-2015","4180","4215","4055.1","4070.7","4058.5","4070.7","14113","72841.26","2875250","-74625","       4061.45"
"MARUTI","01-Sep-2015","29-Oct-2015","4211.5","4237","4084","4092.85","4084","4092.85","321","1665.15","32875","9750","       4061.45"
"MARUTI","01-Sep-2015","26-Nov-2015","4196","4196","4120","4120","4120","4120","12","62.41","2250","1375","       4061.45"
"MARUTI","02-Sep-2015","24-Sep-2015","4090.05","4096.85","4022.1","4050.05","4051.5","4050.05","8583","43522.97","2868500","-6750","       4030.00"
"MARUTI","02-Sep-2015","29-Oct-2015","4108","4121.7","4049.5","4075.65","4074","4075.65","178","908.62","34250","1375","       4030.00"
"MARUTI","02-Sep-2015","26-Nov-2015","4100","4115","4086","4115","4115","4103.8","3","15.38","2375","125","       4030.00"
"MARUTI","03-Sep-2015","24-Sep-2015","4070","4177","4054.8","4160","4168","4160","11108","57314.24","2919750","51250","       4143.25"
"MARUTI","03-Sep-2015","29-Oct-2015","4099.5","4200","4088.5","4187.7","4189","4187.7","141","730.4","33500","-750","       4143.25"
"MARUTI","03-Sep-2015","26-Nov-2015","4125","4219.95","4125","4201.95","4200","4201.95","12","62.79","2500","125","       4143.25"
"MARUTI","04-Sep-2015","24-Sep-2015","4140","4156.4","4060.5","4076.6","4069.8","4076.6","8998","45975.15","2870125","-49625","       4063.30"
"MARUTI","04-Sep-2015","29-Oct-2015","4163","4178.4","4089.4","4102.75","4090","4102.75","157","807.61","38125","4625","       4063.30"
"MARUTI","04-Sep-2015","26-Nov-2015","4150","4150","4121.3","4133.3","4133.6","4133.3","8","41.34","3125","625","       4063.30"
"MARUTI","07-Sep-2015","24-Sep-2015","4082","4140","4052.65","4083.95","4066","4083.95","8188","42000.75","2921750","51625","       4069.60"
"MARUTI","07-Sep-2015","29-Oct-2015","4133.65","4159","4082.35","4109.65","4090","4109.65","193","995.57","42500","4375","       4069.60"
"MARUTI","07-Sep-2015","26-Nov-2015","4110","4185.95","4110","4131.3","4131","4131.3","33","171.89","4375","1250","       4069.60"
"MARUTI","08-Sep-2015","24-Sep-2015","4110","4170","4087.15","4156.55","4170","4156.55","9029","46621.09","2952500","30750","       4139.30"
"MARUTI","08-Sep-2015","29-Oct-2015","4150","4195","4097.65","4181.1","4195","4181.1","177","918.53","45375","2875","       4139.30"
"MARUTI","08-Sep-2015","26-Nov-2015","4140","4200","4140","4196.35","4196.6","4196.35","8","41.67","4750","375","       4139.30"
"MARUTI","09-Sep-2015","24-Sep-2015","4205.05","4323.8","4201.6","4311.25","4303","4311.25","16479","87930.15","3014625","62125","       4305.15"
"MARUTI","09-Sep-2015","29-Oct-2015","4242.65","4348","4229","4336.7","4328.15","4336.7","296","1585.95","56500","11125","       4305.15"
"MARUTI","09-Sep-2015","26-Nov-2015","4260.5","4369.05","4260.5","4361.2","4350.75","4361.2","27","145.4","5750","1000","       4305.15"
"MARUTI","10-Sep-2015","24-Sep-2015","4281.5","4334.9","4236.1","4318.05","4329","4318.05","11528","61730.71","2996625","-18000","       4301.45"
"MARUTI","10-Sep-2015","29-Oct-2015","4282.85","4358","4263","4350.85","4353","4350.85","225","1214.28","59625","3125","       4301.45"
"MARUTI","10-Sep-2015","26-Nov-2015","4299.9","4380","4299.9","4371.55","4380","4371.55","11","59.62","6250","500","       4301.45"
"MARUTI","11-Sep-2015","24-Sep-2015","4335.25","4369","4316","4324.6","4318","4324.6","8119","43984.63","3037000","40375","       4317.75"
"MARUTI","11-Sep-2015","29-Oct-2015","4365.35","4390.95","4340","4345.25","4340","4345.25","234","1274.72","66375","6750","       4317.75"
"MARUTI","11-Sep-2015","26-Nov-2015","4381.9","4399.9","4365","4365","4365","4365","7","38.37","7125","875","       4317.75"
"MARUTI","14-Sep-2015","24-Sep-2015","4332.15","4349.95","4288.25","4331.2","4323","4331.2","5949","32172.5","3033625","-3375","       4319.50"
"MARUTI","14-Sep-2015","29-Oct-2015","4353.35","4373","4314.15","4353.1","4348.15","4353.1","148","805","72000","5625","       4319.50"
"MARUTI","14-Sep-2015","26-Nov-2015","4377.45","4377.45","4377.45","4377.45","4377.45","4377.45","1","5.47","7250","125","       4319.50"
"MARUTI","15-Sep-2015","24-Sep-2015","4394","4420","4325.1","4339.65","4326","4339.65","11359","62112.42","3013125","-20500","       4337.20"
"MARUTI","15-Sep-2015","29-Oct-2015","4393","4444.25","4350.2","4360.45","4353","4360.45","340","1867.29","77000","5000","       4337.20"
"MARUTI","15-Sep-2015","26-Nov-2015","4399.35","4459","4399.35","4402.5","4400","4402.5","16","88.61","7750","500","       4337.20"
"MARUTI","16-Sep-2015","24-Sep-2015","4372","4374.45","4332.3","4355.35","4360","4355.35","6704","36520.88","2937000","-76125","       4355.60"
"MARUTI","16-Sep-2015","29-Oct-2015","4380","4397.3","4350.75","4379.35","4384","4379.35","590","3234.52","117000","40000","       4355.60"
"MARUTI","16-Sep-2015","26-Nov-2015","4400","4405.7","4393.45","4399.6","4405.7","4399.6","4","22","8000","250","       4355.60"
"MARUTI","18-Sep-2015","24-Sep-2015","4382.95","4473.9","4356.25","4404.4","4410","4404.4","10098","55876.9","2880750","-56250","       4400.85"
"MARUTI","18-Sep-2015","29-Oct-2015","4402","4498","4385","4430.55","4435","4430.55","1189","6620.67","163375","46375","       4400.85"
"MARUTI","18-Sep-2015","26-Nov-2015","4443.95","4516.35","4443.95","4445.9","4446.2","4445.9","42","234.64","11250","3250","       4400.85"
"MARUTI","21-Sep-2015","24-Sep-2015","4385.4","4499","4385.05","4486.05","4496.7","4486.05","11960","66544.74","2642750","-238000","       4490.25"
"MARUTI","21-Sep-2015","29-Oct-2015","4415.95","4523.75","4410","4511.45","4522","4511.45","4898","27401.53","580000","416625","       4490.25"
"MARUTI","21-Sep-2015","26-Nov-2015","4441.35","4538","4441.35","4533.45","4538","4533.45","40","224.57","14875","3625","       4490.25"
"MARUTI","22-Sep-2015","24-Sep-2015","4502","4518","4428.3","4454.75","4433.3","4454.75","14541","81457.5","2316125","-326625","       4473.05"
"MARUTI","22-Sep-2015","29-Oct-2015","4533.4","4546","4456","4476.45","4461","4476.45","6793","38289.46","973750","393750","       4473.05"
"MARUTI","22-Sep-2015","26-Nov-2015","4550","4560","4479.9","4490.4","4482","4490.4","51","289.1","16625","1750","       4473.05"
"MARUTI","23-Sep-2015","24-Sep-2015","4440","4525.4","4412.7","4506","4509","4506","17167","95999.84","1297125","-1019000","       4497.65"
"MARUTI","23-Sep-2015","29-Oct-2015","4495","4549.8","4434.75","4530.5","4535.25","4530.5","13818","77677.32","1918000","944250","       4497.65"
"MARUTI","23-Sep-2015","26-Nov-2015","4512","4567.8","4500","4554.3","4557","4554.3","61","344.51","19500","2875","       4497.65"
"MARUTI","24-Sep-2015","24-Sep-2015","4494.9","4603.5","4481.8","4569.15","4566.55","4566.65","15080","85981.39","787375","-509750","       4566.65"
"MARUTI","24-Sep-2015","29-Oct-2015","4520","4627.15","4511","4591.7","4595","4591.7","13748","78837.79","2570625","652625","       4566.65"
"MARUTI","24-Sep-2015","26-Nov-2015","4542.1","4648","4542.1","4614.85","4615","4614.85","93","536.68","22500","3000","       4566.65"
"MARUTI","28-Sep-2015","29-Oct-2015","4579.2","4626","4539","4552.4","4557.95","4552.4","6670","38171.74","2566500","-4125","       4536.25"
"MARUTI","28-Sep-2015","26-Nov-2015","4595","4640.05","4565.4","4577.85","4577","4577.85","81","465.53","22250","-250","       4536.25"
"MARUTI","28-Sep-2015","31-Dec-2015","4654","4654","4603.05","4603.05","4603.05","4603.05","8","46.2","875","875","       4536.25"
"MARUTI","29-Sep-2015","29-Oct-2015","4511.15","4749","4484.3","4692.8","4688.1","4692.8","20207","116667.44","2528500","-38000","       4682.30"
"MARUTI","29-Sep-2015","26-Nov-2015","4528.6","4761.45","4500","4715.95","4714","4715.95","288","1672.08","29250","7000","       4682.30"
"MARUTI","29-Sep-2015","31-Dec-2015","4600","4797.25","4585.15","4740","4740","4740","16","93.88","2250","1375","       4682.30"
"MARUTI","30-Sep-2015","29-Oct-2015","4715","4762.4","4661.1","4694.95","4690","4694.95","11905","70117.42","2553250","24750","       4685.60"
"MARUTI","30-Sep-2015","26-Nov-2015","4747.2","4780","4687","4718.45","4708.15","4718.45","176","1041.58","31125","1875","       4685.60"
"MARUTI","30-Sep-2015","31-Dec-2015","4800","4800","4720","4730","4730","4773.35","7","41.59","2250","0","       4685.60"
"MARUTI","01-Oct-2015","29-Oct-2015","4701","4727.4","4576","4588.8","4590","4588.8","17134","98963.18","2426250","-127000","       4580.35"
"MARUTI","01-Oct-2015","26-Nov-2015","4730","4730","4602","4613.3","4615","4613.3","245","1423.21","28625","-2500","       4580.35"
"MARUTI","01-Oct-2015","31-Dec-2015","4718","4720","4630","4634.5","4631.55","4634.5","17","99.18","3125","875","       4580.35"
"MARUTI","05-Oct-2015","29-Oct-2015","4571.1","4574.95","4410","4438.9","4447.65","4438.9","24030","134157.79","2428500","2250","       4414.05"
"MARUTI","05-Oct-2015","26-Nov-2015","4606.9","4606.9","4435","4463.15","4470.95","4463.15","392","2201.21","33125","4500","       4414.05"
"MARUTI","05-Oct-2015","31-Dec-2015","4560","4572","4470","4483.7","4490","4483.7","27","152.75","3000","-125","       4414.05"
"MARUTI","06-Oct-2015","29-Oct-2015","4459.95","4459.95","4364","4377.65","4386","4377.65","14899","81851.93","2533750","105250","       4354.00"
"MARUTI","06-Oct-2015","26-Nov-2015","4471","4471","4388","4405.05","4410","4405.05","653","3596.81","92750","59625","       4354.00"
"MARUTI","06-Oct-2015","31-Dec-2015","4462.7","4462.7","4417.95","4417.95","4417.95","4417.95","9","49.94","3500","500","       4354.00"
"MARUTI","07-Oct-2015","29-Oct-2015","4368.05","4459","4368","4388.8","4393.55","4388.8","14474","80004.59","2660375","126625","       4364.50"
"MARUTI","07-Oct-2015","26-Nov-2015","4397.8","4480","4397.8","4410.8","4414.1","4410.8","431","2387.83","121000","28250","       4364.50"
"MARUTI","07-Oct-2015","31-Dec-2015","4488.7","4499.95","4449.9","4449.9","4449.9","4438.75","5","28.01","3375","-125","       4364.50"
"MARUTI","08-Oct-2015","29-Oct-2015","4393.15","4426.5","4356","4377.8","4384.45","4377.8","9350","51340.98","2707625","47250","       4353.75"
"MARUTI","08-Oct-2015","26-Nov-2015","4426.5","4443","4378","4399.2","4407.5","4399.2","246","1354.93","128375","7375","       4353.75"
"MARUTI","08-Oct-2015","31-Dec-2015","4431","4431","4410","4410","4410","4426.8","7","38.73","4125","750","       4353.75"
"MARUTI","09-Oct-2015","29-Oct-2015","4403.6","4416.1","4284","4295","4288","4295","12149","65895.23","2811000","103375","       4276.35"
