"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"M&amp;M","01-Jan-2004","29-Jan-2004","393.35","402.4","393.35","399.85","398.8","399.85","3275","32642.01","4540000","-30000","        393.60"
"M&amp;M","01-Jan-2004","26-Feb-2004","402","403.85","402","403.85","403.85","396.6","2","20.15","7500","0","        393.60"
"M&amp;M","01-Jan-2004","25-Mar-2004","0","0","0","365.9","0","398.1","0","0","0","0","        393.60"
"M&amp;M","02-Jan-2004","29-Jan-2004","401","402","396.6","398.6","398.05","398.6","1724","17215.34","4490000","-50000","        394.40"
"M&amp;M","02-Jan-2004","26-Feb-2004","400.75","408","398.5","401.65","404.75","401.65","12","120.75","12500","5000","        394.40"
"M&amp;M","02-Jan-2004","25-Mar-2004","404","404","404","404","404","398.9","1","10.1","2500","2500","        394.40"
"M&amp;M","05-Jan-2004","29-Jan-2004","401.8","404.9","393.3","397.6","396","397.6","2526","25224.37","4400000","-90000","        392.80"
"M&amp;M","05-Jan-2004","26-Feb-2004","403.95","410","395.25","397.5","397.5","395.65","14","140.38","12500","0","        392.80"
"M&amp;M","05-Jan-2004","25-Mar-2004","0","0","0","404","404","397.15","0","0","2500","0","        392.80"
"M&amp;M","06-Jan-2004","29-Jan-2004","398.85","401","386.5","390.95","389","390.95","1980","19638.47","4230000","-170000","        390.55"
"M&amp;M","06-Jan-2004","26-Feb-2004","403.95","404","397.1","397.1","397.1","393.3","3","30.13","12500","0","        390.55"
"M&amp;M","06-Jan-2004","25-Mar-2004","0","0","0","404","404","394.8","0","0","2500","0","        390.55"
"M&amp;M","07-Jan-2004","29-Jan-2004","389","395.5","383","394.25","394.1","394.25","1664","16172.55","4125000","-105000","        389.85"
"M&amp;M","07-Jan-2004","26-Feb-2004","390","393.8","390","393.8","393.8","392.55","4","39.21","7500","-5000","        389.85"
"M&amp;M","07-Jan-2004","25-Mar-2004","0","0","0","404","404","394.05","0","0","2500","0","        389.85"
"M&amp;M","08-Jan-2004","29-Jan-2004","396.05","409.4","396.05","408","407.3","408","2675","27101.96","4142500","17500","        403.05"
"M&amp;M","08-Jan-2004","26-Feb-2004","408.4","410","408.4","409.2","410","409.2","2","20.46","10000","2500","        403.05"
"M&amp;M","08-Jan-2004","25-Mar-2004","0","0","0","404","404","407.35","0","0","2500","0","        403.05"
"M&amp;M","09-Jan-2004","29-Jan-2004","408.5","425.85","406","421.5","420.1","421.5","4594","47997.88","3652500","-490000","        421.75"
"M&amp;M","09-Jan-2004","26-Feb-2004","415","425.5","415","425","425","425","9","94.78","15000","5000","        421.75"
"M&amp;M","09-Jan-2004","25-Mar-2004","0","0","0","404","404","426.2","0","0","2500","0","        421.75"
"M&amp;M","12-Jan-2004","29-Jan-2004","421.5","426.9","409","413.6","410","413.6","2505","26312.48","3535000","-117500","        410.25"
"M&amp;M","12-Jan-2004","26-Feb-2004","427","428.65","420","420.9","420.9","412.8","6","63.75","17500","2500","        410.25"
"M&amp;M","12-Jan-2004","25-Mar-2004","0","0","0","404","404","414.35","0","0","2500","0","        410.25"
"M&amp;M","13-Jan-2004","29-Jan-2004","415","437","410.1","432.75","436.1","432.75","3979","41994.66","3680000","145000","        427.80"
"M&amp;M","13-Jan-2004","26-Feb-2004","424","441","414.3","438.75","441","438.75","13","138.9","17500","0","        427.80"
"M&amp;M","13-Jan-2004","25-Mar-2004","0","0","0","404","404","432.1","0","0","2500","0","        427.80"
"M&amp;M","14-Jan-2004","29-Jan-2004","437.75","444.75","434.3","442.1","441.65","442.1","3279","36054.61","3695000","15000","        438.60"
"M&amp;M","14-Jan-2004","26-Feb-2004","443","448","442.65","445.25","445.25","445.25","4","44.47","15000","-2500","        438.60"
"M&amp;M","14-Jan-2004","25-Mar-2004","0","0","0","404","404","442.9","0","0","2500","0","        438.60"
"M&amp;M","15-Jan-2004","29-Jan-2004","443.95","449","419.55","422.7","420","422.7","4371","47862.68","3865000","170000","        419.95"
"M&amp;M","15-Jan-2004","26-Feb-2004","449","449","424.05","424.05","424.05","424.05","8","87.78","20000","5000","        419.95"
"M&amp;M","15-Jan-2004","25-Mar-2004","0","0","0","404","404","424","0","0","2500","0","        419.95"
"M&amp;M","16-Jan-2004","29-Jan-2004","422","431","405.3","408.5","408","408.5","3180","33586.68","3820000","-45000","        405.05"
"M&amp;M","16-Jan-2004","26-Feb-2004","427","427","410","412.2","411.8","412.2","8","83.47","30000","10000","        405.05"
"M&amp;M","16-Jan-2004","25-Mar-2004","0","0","0","404","404","408.95","0","0","2500","0","        405.05"
"M&amp;M","19-Jan-2004","29-Jan-2004","410","419","392","416.8","417.55","416.8","4549","46178.06","4415000","595000","        412.60"
"M&amp;M","19-Jan-2004","26-Feb-2004","410","418.9","401.5","418.9","418.9","414.75","8","81.45","42500","12500","        412.60"
"M&amp;M","19-Jan-2004","25-Mar-2004","0","0","0","404","404","416.35","0","0","2500","0","        412.60"
"M&amp;M","20-Jan-2004","29-Jan-2004","419.4","427.4","394.2","398.3","394.2","398.3","4861","50059.08","4177500","-237500","        397.90"
"M&amp;M","20-Jan-2004","26-Feb-2004","427.35","431.65","399","401.85","399","401.85","25","258.82","62500","20000","        397.90"
"M&amp;M","20-Jan-2004","25-Mar-2004","0","0","0","404","404","401.45","0","0","2500","0","        397.90"
"M&amp;M","21-Jan-2004","29-Jan-2004","396","399","362","367.1","367","367.1","3485","33749.39","3745000","-432500","        367.10"
"M&amp;M","21-Jan-2004","26-Feb-2004","355.75","400","355.75","369.75","371","369.75","64","622.31","120000","57500","        367.10"
"M&amp;M","21-Jan-2004","25-Mar-2004","0","0","0","404","404","370.35","0","0","2500","0","        367.10"
