"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"M&amp;M","01-Mar-2005","31-Mar-2005","539","545","532.55","541.95","542","541.95","2490","8412.36","1622500","-134375","        541.20"
"M&amp;M","01-Mar-2005","28-Apr-2005","528","543","528","540.5","540.5","546.4","4","13.45","625","0","        541.20"
"M&amp;M","01-Mar-2005","26-May-2005","0","0","0","543.65","0","548.9","0","0","0","0","        541.20"
"M&amp;M","02-Mar-2005","31-Mar-2005","544","548","537.1","539.3","538.9","539.3","1605","5443.19","1705000","82500","        538.15"
"M&amp;M","02-Mar-2005","28-Apr-2005","552.6","552.6","552.6","552.6","552.6","543.2","1","3.45","625","0","        538.15"
"M&amp;M","02-Mar-2005","26-May-2005","0","0","0","543.65","0","545.7","0","0","0","0","        538.15"
"M&amp;M","03-Mar-2005","31-Mar-2005","540","557.6","537","556.3","557.1","556.3","3877","13305.95","1744375","39375","        553.85"
"M&amp;M","03-Mar-2005","28-Apr-2005","545","558","545","558","558","558","10","34.28","0","-625","        553.85"
"M&amp;M","03-Mar-2005","26-May-2005","0","0","0","543.65","0","561.55","0","0","0","0","        553.85"
"M&amp;M","04-Mar-2005","31-Mar-2005","558.8","559.4","551.5","556.05","556","556.05","2799","9734.8","1530000","-214375","        557.90"
"M&amp;M","04-Mar-2005","28-Apr-2005","562.35","562.35","562.35","562.35","562.35","562.35","1","3.51","625","625","        557.90"
"M&amp;M","04-Mar-2005","26-May-2005","0","0","0","543.65","0","565.6","0","0","0","0","        557.90"
"M&amp;M","07-Mar-2005","31-Mar-2005","557.8","558.95","545.1","555.85","553.5","555.85","2365","8175.55","1290000","-240000","        557.30"
"M&amp;M","07-Mar-2005","28-Apr-2005","557.25","561.25","553.55","558.65","561.25","558.65","7","24.33","3125","2500","        557.30"
"M&amp;M","07-Mar-2005","26-May-2005","578","578","544","545","545","564.65","40","140.31","0","0","        557.30"
"M&amp;M","08-Mar-2005","31-Mar-2005","555","557.5","548","551.85","552","551.85","1815","6268.33","1355000","65000","        550.10"
