"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"M&amp;M","02-May-2002","30-May-2002","0","107.9","106.55","106.95","107","106.95","115","308.02","1440000","65000","        105.90"
"M&amp;M","02-May-2002","27-Jun-2002","107.05","107.25","106.85","107.25","107.25","107.8","4","10.7","25000","7500","        105.90"
"M&amp;M","02-May-2002","25-Jul-2002","0","0","0","108.8","0","108.75","0","0","0","0","        105.90"
"M&amp;M","03-May-2002","30-May-2002","107.25","107.85","105.85","107","107.15","107","78","208.21","1465000","25000","        105.95"
"M&amp;M","03-May-2002","27-Jun-2002","106","106.75","106","106.75","106.75","107.85","2","5.32","25000","0","        105.95"
"M&amp;M","03-May-2002","25-Jul-2002","0","0","0","108.8","0","108.8","0","0","0","0","        105.95"
"M&amp;M","06-May-2002","30-May-2002","107.5","111.25","107.3","110.8","110.9","110.8","305","835.66","1425000","-40000","        109.75"
"M&amp;M","06-May-2002","27-Jun-2002","108.9","111","108.9","110.5","111","110.5","7","19.27","32500","7500","        109.75"
"M&amp;M","06-May-2002","25-Jul-2002","0","0","0","108.8","0","112.6","0","0","0","0","        109.75"
"M&amp;M","07-May-2002","30-May-2002","111.1","112.5","109.25","111.25","110.8","111.25","294","817.08","1457500","32500","        110.35"
"M&amp;M","07-May-2002","27-Jun-2002","110.85","112","110.25","111.7","111.7","112.2","5","13.9","37500","5000","        110.35"
"M&amp;M","07-May-2002","25-Jul-2002","0","0","0","108.8","0","113.2","0","0","0","0","        110.35"
"M&amp;M","08-May-2002","30-May-2002","111.2","112.4","110.15","110.4","110.25","110.4","155","431.51","1485000","27500","        109.45"
"M&amp;M","08-May-2002","27-Jun-2002","111.5","111.5","109.65","110.2","110.2","110.2","10","27.65","50000","12500","        109.45"
"M&amp;M","08-May-2002","25-Jul-2002","0","0","0","108.8","0","112.2","0","0","0","0","        109.45"
"M&amp;M","09-May-2002","30-May-2002","111.95","112.4","108.6","108.75","108.75","108.75","151","413.08","1530000","45000","        107.90"
"M&amp;M","09-May-2002","27-Jun-2002","109.05","109.4","109.05","109.1","109.1","109.6","4","10.92","52500","2500","        107.90"
"M&amp;M","09-May-2002","25-Jul-2002","0","0","0","108.8","0","110.6","0","0","0","0","        107.90"
"M&amp;M","10-May-2002","30-May-2002","107.6","109.5","107.5","108.2","108.05","108.2","108","292.88","1552500","22500","        107.35"
"M&amp;M","10-May-2002","27-Jun-2002","0","0","0","109.1","109.1","109","0","0","52500","0","        107.35"
"M&amp;M","10-May-2002","25-Jul-2002","0","0","0","108.8","0","110","0","0","0","0","        107.35"
"M&amp;M","13-May-2002","30-May-2002","108.85","111.6","107","109.4","109.4","109.4","464","1272.27","1747500","195000","        108.45"
"M&amp;M","13-May-2002","27-Jun-2002","107","109.25","105.85","107.2","107","107.2","72","193.53","147500","95000","        108.45"
"M&amp;M","13-May-2002","25-Jul-2002","0","0","0","108.8","0","111.05","0","0","0","0","        108.45"
"M&amp;M","14-May-2002","30-May-2002","110.05","110.5","108.1","108.3","108.1","108.3","168","459.28","1745000","-2500","        107.45"
"M&amp;M","14-May-2002","27-Jun-2002","107.5","108.7","106.7","106.85","106.7","106.85","63","169.48","185000","37500","        107.45"
"M&amp;M","14-May-2002","25-Jul-2002","0","0","0","108.8","0","110","0","0","0","0","        107.45"
"M&amp;M","15-May-2002","30-May-2002","109.1","109.1","105.5","105.65","105.95","105.65","165","441.51","1745000","0","        105.15"
"M&amp;M","15-May-2002","27-Jun-2002","107.45","107.95","104.3","104.3","104.3","104.3","51","135.4","242500","57500","        105.15"
"M&amp;M","15-May-2002","25-Jul-2002","0","0","0","108.8","0","107.6","0","0","0","0","        105.15"
"M&amp;M","16-May-2002","30-May-2002","106.3","106.3","102.9","103.8","103.45","103.8","181","472.65","1660000","-85000","        103.30"
"M&amp;M","16-May-2002","27-Jun-2002","103.3","104.2","101.15","102.15","102","102.15","86","221.1","352500","110000","        103.30"
"M&amp;M","16-May-2002","25-Jul-2002","0","0","0","108.8","0","105.7","0","0","0","0","        103.30"
"M&amp;M","17-May-2002","30-May-2002","103.5","103.6","99.55","100.9","101.3","100.9","200","506.58","1570000","-90000","        100.45"
"M&amp;M","17-May-2002","27-Jun-2002","101","102","97.75","99.15","99.35","99.15","70","174.81","425000","72500","        100.45"
"M&amp;M","17-May-2002","25-Jul-2002","0","0","0","108.8","0","102.75","0","0","0","0","        100.45"
"M&amp;M","20-May-2002","30-May-2002","103.45","103.45","90.2","91.25","90.3","91.25","289","682.5","1527500","-42500","         91.00"
"M&amp;M","20-May-2002","27-Jun-2002","90.85","96.9","88.25","89.7","88.85","89.7","123","285.77","585000","160000","         91.00"
"M&amp;M","20-May-2002","25-Jul-2002","0","0","0","108.8","0","93","0","0","0","0","         91.00"
"M&amp;M","21-May-2002","30-May-2002","89","93.75","88.5","91.75","91.35","91.75","378","864.24","1310000","-217500","         91.50"
"M&amp;M","21-May-2002","27-Jun-2002","87.9","92.25","87.05","90.25","90.45","90.25","91","204.91","645000","60000","         91.50"
"M&amp;M","21-May-2002","25-Jul-2002","0","0","0","108.8","0","93.5","0","0","0","0","         91.50"
"M&amp;M","22-May-2002","30-May-2002","91","91","85.4","86.1","86.15","86.1","292","641.67","1247500","-62500","         85.95"
"M&amp;M","22-May-2002","27-Jun-2002","88.15","88.45","84","84.55","84.2","84.55","169","364.66","900000","255000","         85.95"
"M&amp;M","22-May-2002","25-Jul-2002","0","0","0","108.8","0","87.8","0","0","0","0","         85.95"
"M&amp;M","23-May-2002","30-May-2002","86.25","88.9","83.35","83.75","83.55","83.75","139","297.56","1192500","-55000","         83.70"
"M&amp;M","23-May-2002","27-Jun-2002","84.9","86.9","81.8","82.15","81.85","82.15","92","192.71","975000","75000","         83.70"
"M&amp;M","23-May-2002","25-Jul-2002","82.5","82.5","82.5","82.5","82.5","85.45","1","2.06","2500","2500","         83.70"
"M&amp;M","24-May-2002","30-May-2002","88","91","86.4","90.4","90.6","90.4","213","474.27","1090000","-102500","         90.20"
"M&amp;M","24-May-2002","27-Jun-2002","83.9","89.7","83.9","88.6","89.2","88.6","232","506.95","1070000","95000","         90.20"
"M&amp;M","24-May-2002","25-Jul-2002","0","0","0","82.5","82.5","92.05","0","0","2500","0","         90.20"
"M&amp;M","27-May-2002","30-May-2002","90.25","93.4","87.4","90.7","91.1","90.7","208","470.12","905000","-185000","         90.65"
"M&amp;M","27-May-2002","27-Jun-2002","87.2","91.6","85.75","88.85","89.2","88.85","205","455.15","1255000","185000","         90.65"
"M&amp;M","27-May-2002","25-Jul-2002","0","0","0","82.5","82.5","92.4","0","0","2500","0","         90.65"
"M&amp;M","28-May-2002","30-May-2002","89.1","89.1","87.05","88","87.55","88","121","266.05","802500","-102500","         87.90"
