"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"M&amp;M","01-Nov-2007","29-Nov-2007","767","769","751.6","763.15","762.8","763.15","2683","6380.03","1205880","-193752","        765.20"
"M&amp;M","01-Nov-2007","27-Dec-2007","771","771","762","762","762","774.5","4","9.58","4056","624","        765.20"
"M&amp;M","01-Nov-2007","31-Jan-2008","0","0","0","793.15","0","780.35","0","0","0","0","        765.20"
"M&amp;M","02-Nov-2007","29-Nov-2007","752","765","737","761.05","762.8","761.05","1518","3580.83","1209312","3432","        754.60"
"M&amp;M","02-Nov-2007","27-Dec-2007","754","754","753","753","753","763.65","2","4.7","4368","312","        754.60"
"M&amp;M","02-Nov-2007","31-Jan-2008","0","0","0","793.15","0","769.45","0","0","0","0","        754.60"
"M&amp;M","05-Nov-2007","29-Nov-2007","760","760","741","744","744.05","744","1313","3055.63","1220544","11232","        744.35"
"M&amp;M","05-Nov-2007","27-Dec-2007","760","760","748","748","748","753","4","9.38","4680","312","        744.35"
"M&amp;M","05-Nov-2007","31-Jan-2008","0","0","0","793.15","0","758.85","0","0","0","0","        744.35"
"M&amp;M","06-Nov-2007","29-Nov-2007","747","758.8","736.1","746.8","746","746.8","1584","3710.06","1189968","-30576","        742.40"
"M&amp;M","06-Nov-2007","27-Dec-2007","753","756","753","756","756","751","2","4.71","5304","624","        742.40"
"M&amp;M","06-Nov-2007","31-Jan-2008","0","0","0","793.15","0","756.95","0","0","0","0","        742.40"
"M&amp;M","07-Nov-2007","29-Nov-2007","752","780","745","764.1","763.75","764.1","1880","4463.9","1126944","-63024","        765.95"
"M&amp;M","07-Nov-2007","27-Dec-2007","754","775","752","775","775","774.75","7","16.72","4992","-312","        765.95"
"M&amp;M","07-Nov-2007","31-Jan-2008","0","0","0","793.15","0","780.9","0","0","0","0","        765.95"
"M&amp;M","08-Nov-2007","29-Nov-2007","756","765","742","749.15","750.25","749.15","1310","3075.96","1114776","-12168","        754.25"
