"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NESTLEIND","02-May-2017","25-May-2017","6716","6764.6","6701","6733.35","6725.1","6733.35","46","309.55","25800","1400","       6715.05"
"NESTLEIND","02-May-2017","29-Jun-2017","0","0","0","6778.35","0","6785.2","0","0","0","0","       6715.05"
"NESTLEIND","02-May-2017","27-Jul-2017","0","0","0","6812.5","0","6819.35","0","0","0","0","       6715.05"
"NESTLEIND","03-May-2017","25-May-2017","6743.05","6743.05","6699.3","6713.1","6710","6713.1","37","248.51","25700","-100","       6715.55"
"NESTLEIND","03-May-2017","29-Jun-2017","0","0","0","6778.35","0","6784.6","0","0","0","0","       6715.55"
"NESTLEIND","03-May-2017","27-Jul-2017","0","0","0","6812.5","0","6818.8","0","0","0","0","       6715.55"
"NESTLEIND","04-May-2017","25-May-2017","6718.4","6759.95","6711.7","6742.85","6754","6742.85","78","525.53","27000","1300","       6735.50"
"NESTLEIND","04-May-2017","29-Jun-2017","0","0","0","6778.35","0","6803.75","0","0","0","0","       6735.50"
"NESTLEIND","04-May-2017","27-Jul-2017","0","0","0","6812.5","0","6838.15","0","0","0","0","       6735.50"
"NESTLEIND","05-May-2017","25-May-2017","6735","6760","6692.7","6737.25","6735.1","6737.25","95","638.71","28400","1400","       6726.45"
"NESTLEIND","05-May-2017","29-Jun-2017","0","0","0","6778.35","0","6793.5","0","0","0","0","       6726.45"
"NESTLEIND","05-May-2017","27-Jul-2017","0","0","0","6812.5","0","6827.85","0","0","0","0","       6726.45"
"NESTLEIND","08-May-2017","25-May-2017","6819.55","6819.55","6601","6722","6743.85","6722","76","510.29","29500","1100","       6709.15"
"NESTLEIND","08-May-2017","29-Jun-2017","0","0","0","6778.35","0","6772.15","0","0","0","0","       6709.15"
"NESTLEIND","08-May-2017","27-Jul-2017","0","0","0","6812.5","0","6806.35","0","0","0","0","       6709.15"
"NESTLEIND","09-May-2017","25-May-2017","6735","6735","6689.95","6717.35","6715.05","6717.35","49","328.94","29700","200","       6704.80"
"NESTLEIND","09-May-2017","29-Jun-2017","0","0","0","6778.35","0","6766.55","0","0","0","0","       6704.80"
"NESTLEIND","09-May-2017","27-Jul-2017","0","0","0","6812.5","0","6800.7","0","0","0","0","       6704.80"
"NESTLEIND","10-May-2017","25-May-2017","6750","7018.75","6750","6937.55","6945","6937.55","878","6095.12","61000","31300","       6920.35"
"NESTLEIND","10-May-2017","29-Jun-2017","0","0","0","6778.35","0","6982.85","0","0","0","0","       6920.35"
