"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NTPC","02-Jan-2006","25-Jan-2006","112.85","112.85","111.2","111.5","111.75","111.5","514","1869.15","5333250","19500","        111.00"
"NTPC","02-Jan-2006","23-Feb-2006","112.55","112.55","112.45","112.5","112.5","112.1","6","21.94","55250","3250","        111.00"
"NTPC","02-Jan-2006","30-Mar-2006","0","0","0","112.05","0","112.85","0","0","0","0","        111.00"
"NTPC","03-Jan-2006","25-Jan-2006","111.95","112.5","111.3","112.25","112.2","112.25","418","1521.32","5291000","-42250","        112.10"
"NTPC","03-Jan-2006","23-Feb-2006","112.6","112.65","112.15","112.65","112.65","113.2","7","25.57","68250","13000","        112.10"
"NTPC","03-Jan-2006","30-Mar-2006","0","0","0","112.05","0","113.95","0","0","0","0","        112.10"
"NTPC","04-Jan-2006","25-Jan-2006","112.3","115.25","112.3","114.75","114.7","114.75","1903","7074.36","5320250","29250","        115.10"
"NTPC","04-Jan-2006","23-Feb-2006","113.5","115.25","113.5","114.85","114.75","114.85","8","29.81","87750","19500","        115.10"
"NTPC","04-Jan-2006","30-Mar-2006","0","0","0","112.05","0","116.9","0","0","0","0","        115.10"
"NTPC","05-Jan-2006","25-Jan-2006","110.15","117.5","110.15","114.65","114.8","114.65","2090","7854.61","6314750","994500","        114.05"
"NTPC","05-Jan-2006","23-Feb-2006","116.85","117.95","115","115.35","115.35","115.35","17","64.21","100750","13000","        114.05"
"NTPC","05-Jan-2006","30-Mar-2006","0","0","0","112.05","0","115.85","0","0","0","0","        114.05"
"NTPC","06-Jan-2006","25-Jan-2006","114.3","115.7","113.7","114.85","114.8","114.85","646","2409.5","6204250","-110500","        114.25"
"NTPC","06-Jan-2006","23-Feb-2006","115.4","115.75","114.95","115.75","115.75","115.75","8","29.96","104000","3250","        114.25"
"NTPC","06-Jan-2006","30-Mar-2006","0","0","0","112.05","0","116.05","0","0","0","0","        114.25"
"NTPC","09-Jan-2006","25-Jan-2006","115.5","116","114.55","114.9","114.7","114.9","785","2939.39","6526000","321750","        114.25"
"NTPC","09-Jan-2006","23-Feb-2006","115.45","115.45","115.45","115.45","115.45","115.2","1","3.75","107250","3250","        114.25"
"NTPC","09-Jan-2006","30-Mar-2006","0","0","0","112.05","0","115.95","0","0","0","0","        114.25"
"NTPC","10-Jan-2006","25-Jan-2006","114.9","117.8","114.45","116.6","116.4","116.6","2237","8452.15","7091500","565500","        115.90"
