"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NTPC","01-Jul-2014","31-Jul-2014","157.55","158.5","155.75","156.05","156","156.05","5070","15906.23","66150000","678000","        154.60"
"NTPC","01-Jul-2014","28-Aug-2014","157.9","158.55","155.7","155.95","156.3","155.95","88","275.8","912000","36000","        154.60"
"NTPC","01-Jul-2014","25-Sep-2014","156.5","158.8","156.5","157.2","157.2","157.85","4","12.62","12000","2000","        154.60"
"NTPC","02-Jul-2014","31-Jul-2014","156.75","161.25","156.75","160.7","160.55","160.7","11946","38035.53","65628000","-522000","        159.75"
"NTPC","02-Jul-2014","28-Aug-2014","157.3","161.35","157","160.7","160.4","160.7","154","489.84","990000","78000","        159.75"
"NTPC","02-Jul-2014","25-Sep-2014","158.5","159.6","158.5","159.6","159.6","163.05","3","9.54","16000","4000","        159.75"
"NTPC","03-Jul-2014","31-Jul-2014","161.4","161.75","157.4","158.65","159","158.65","7743","24646.06","65962000","334000","        157.35"
"NTPC","03-Jul-2014","28-Aug-2014","161.35","161.4","157.6","158.45","158.8","158.45","198","629.63","1100000","110000","        157.35"
"NTPC","03-Jul-2014","25-Sep-2014","159.85","160.6","159.5","160.2","160.2","160.55","5","16","20000","4000","        157.35"
"NTPC","04-Jul-2014","31-Jul-2014","159.2","160.8","155.65","159.7","160.3","159.7","8240","26159.16","66238000","276000","        158.55"
"NTPC","04-Jul-2014","28-Aug-2014","159","160.25","155.95","159.7","160.05","159.7","125","395.75","1150000","50000","        158.55"
"NTPC","04-Jul-2014","25-Sep-2014","160.2","161","157.5","160.75","161","160.75","12","38.16","24000","4000","        158.55"
"NTPC","07-Jul-2014","31-Jul-2014","160.5","162.8","158.8","162.2","162","162.2","10216","32910.57","65524000","-714000","        161.35"
"NTPC","07-Jul-2014","28-Aug-2014","160.35","162.8","158.8","162.4","162","162.4","237","762.61","1252000","102000","        161.35"
"NTPC","07-Jul-2014","25-Sep-2014","0","0","0","160.75","161","164.45","0","0","24000","0","        161.35"
"NTPC","08-Jul-2014","31-Jul-2014","161.95","162.25","152.5","153.25","152.85","153.25","9189","28905.31","63356000","-2168000","        153.00"
"NTPC","08-Jul-2014","28-Aug-2014","161.45","161.6","152.7","153.25","153","153.25","267","840.6","1464000","212000","        153.00"
"NTPC","08-Jul-2014","25-Sep-2014","161","161","154","154.25","154","154.25","15","47.54","42000","18000","        153.00"
"NTPC","09-Jul-2014","31-Jul-2014","153.3","154.65","149.5","150.95","151","150.95","7806","23693.88","64580000","1224000","        150.65"
"NTPC","09-Jul-2014","28-Aug-2014","153.1","154.6","150","151.15","150.8","151.15","573","1744.91","2066000","602000","        150.65"
"NTPC","09-Jul-2014","25-Sep-2014","153.75","153.75","152.15","152.15","152.15","152.15","4","12.22","48000","6000","        150.65"
"NTPC","10-Jul-2014","31-Jul-2014","151.65","155.6","145.8","151.65","151.1","151.65","13416","40675.51","61224000","-3356000","        151.15"
"NTPC","10-Jul-2014","28-Aug-2014","153","155.35","145.55","151.45","151.5","151.45","1019","3097.74","1940000","-126000","        151.15"
"NTPC","10-Jul-2014","25-Sep-2014","152.8","155","147.55","154","154","154","22","67.08","68000","20000","        151.15"
"NTPC","11-Jul-2014","31-Jul-2014","151.95","153","146.75","149.85","150","149.85","8547","25584.03","56808000","-4416000","        149.70"
"NTPC","11-Jul-2014","28-Aug-2014","151.6","152.5","146.8","149.8","149.8","149.8","367","1100.15","2078000","138000","        149.70"
"NTPC","11-Jul-2014","25-Sep-2014","148.05","148.05","148","148","148","152.5","3","8.88","74000","6000","        149.70"
"NTPC","14-Jul-2014","31-Jul-2014","149","150.5","145.95","148","148.8","148","7826","23199.04","56484000","-324000","        147.80"
"NTPC","14-Jul-2014","28-Aug-2014","149","150.2","146","147.85","148.7","147.85","405","1200.92","2384000","306000","        147.80"
"NTPC","14-Jul-2014","25-Sep-2014","148.65","150.75","147","147.85","147.85","150.45","25","74.57","82000","8000","        147.80"
"NTPC","15-Jul-2014","31-Jul-2014","149.15","150.35","143.1","146.35","146.35","146.35","7042","20590.88","57724000","1240000","        145.60"
"NTPC","15-Jul-2014","28-Aug-2014","149.8","150","143.15","146.35","146.5","146.35","499","1461.7","2868000","484000","        145.60"
"NTPC","15-Jul-2014","25-Sep-2014","149","149","145.1","147.05","147.1","147.05","35","102.77","144000","62000","        145.60"
"NTPC","16-Jul-2014","31-Jul-2014","146.8","147.75","144.2","147.35","147.7","147.35","5979","17485.93","58430000","706000","        146.65"
"NTPC","16-Jul-2014","28-Aug-2014","146.95","147.7","144.25","147.2","147.45","147.2","575","1679.98","3356000","488000","        146.65"
"NTPC","16-Jul-2014","25-Sep-2014","146.35","148","145.35","148","148","148","23","67.47","182000","38000","        146.65"
"NTPC","17-Jul-2014","31-Jul-2014","146.4","151.75","146.4","151.2","151.2","151.2","9526","28511.11","59370000","940000","        150.40"
"NTPC","17-Jul-2014","28-Aug-2014","147.1","151.65","146.65","151.1","151.3","151.1","540","1614.26","3524000","168000","        150.40"
"NTPC","17-Jul-2014","25-Sep-2014","149","152.05","148","152.05","152.05","152.95","24","71.99","212000","30000","        150.40"
"NTPC","18-Jul-2014","31-Jul-2014","149.8","150.3","147.5","149.75","150.05","149.75","5545","16501.51","58938000","-432000","        149.70"
"NTPC","18-Jul-2014","28-Aug-2014","150.15","150.8","147.55","149.7","150.2","149.7","547","1627.49","4050000","526000","        149.70"
"NTPC","18-Jul-2014","25-Sep-2014","151.05","151.05","148.5","150.45","150.5","150.45","46","137.57","272000","60000","        149.70"
"NTPC","21-Jul-2014","31-Jul-2014","150.25","151","147.9","148.1","148.05","148.1","3992","11921.43","59476000","538000","        148.00"
"NTPC","21-Jul-2014","28-Aug-2014","149.9","151.35","147.95","148.15","148","148.15","799","2384.29","4980000","930000","        148.00"
"NTPC","21-Jul-2014","25-Sep-2014","150.65","150.95","148.55","148.65","148.65","148.65","210","626.91","614000","342000","        148.00"
"NTPC","22-Jul-2014","31-Jul-2014","147.4","150.7","147.4","150","150","150","5348","15968.86","56406000","-3070000","        149.85"
"NTPC","22-Jul-2014","28-Aug-2014","148.5","150.5","148.4","149.95","149.95","149.95","1702","5076.22","6474000","1494000","        149.85"
"NTPC","22-Jul-2014","25-Sep-2014","149.15","150.2","149.1","150.05","149.45","150.05","606","1813.69","1702000","1088000","        149.85"
"NTPC","23-Jul-2014","31-Jul-2014","150.6","150.6","147.5","149.65","149.7","149.65","5073","15123.67","55018000","-1388000","        149.60"
"NTPC","23-Jul-2014","28-Aug-2014","150.5","150.5","147.6","149.55","149.5","149.55","1519","4525.24","7878000","1404000","        149.60"
"NTPC","23-Jul-2014","25-Sep-2014","150.45","150.6","148.1","149.95","150","149.95","404","1204.3","2292000","590000","        149.60"
"NTPC","24-Jul-2014","31-Jul-2014","150","150.8","148.7","149.9","150.1","149.9","4093","12262.78","53570000","-1448000","        149.70"
"NTPC","24-Jul-2014","28-Aug-2014","149.8","150.65","148.55","149.8","149.6","149.8","1465","4385.44","9104000","1226000","        149.70"
"NTPC","24-Jul-2014","25-Sep-2014","149.9","150.6","149.2","150.5","150.55","150.5","77","231.22","2426000","134000","        149.70"
"NTPC","25-Jul-2014","31-Jul-2014","149.9","150.45","146.85","148.85","148.4","148.85","6108","18133.23","50364000","-3206000","        148.95"
"NTPC","25-Jul-2014","28-Aug-2014","149.7","150.25","147","148.85","148.7","148.85","2860","8484.37","11280000","2176000","        148.95"
"NTPC","25-Jul-2014","25-Sep-2014","150.05","150.15","147.2","149.1","149","149.1","326","967.36","2956000","530000","        148.95"
"NTPC","28-Jul-2014","31-Jul-2014","148.8","149.55","147.3","149","148.95","149","10648","31542.25","39578000","-10786000","        149.05"
"NTPC","28-Jul-2014","28-Aug-2014","149.3","149.8","147.8","149.45","149.45","149.45","9161","27236.49","25358000","14078000","        149.05"
"NTPC","28-Jul-2014","25-Sep-2014","149.25","149.6","147.6","149.2","149.6","149.2","498","1476.09","3602000","646000","        149.05"
"NTPC","30-Jul-2014","31-Jul-2014","149.15","150.35","147.65","149.85","149.85","149.85","18733","55711.23","17342000","-22236000","        149.80"
"NTPC","30-Jul-2014","28-Aug-2014","149.8","150.75","147.35","149.05","149.1","149.05","17608","52329.59","42980000","17622000","        149.80"
"NTPC","30-Jul-2014","25-Sep-2014","149.3","150.65","148","149.8","149.7","149.8","764","2279.14","4508000","906000","        149.80"
"NTPC","31-Jul-2014","31-Jul-2014","149.45","149.85","144.6","145.1","145","145.05","12005","35577.5","6566000","-10776000","        145.05"
"NTPC","31-Jul-2014","28-Aug-2014","148.9","149.05","143.7","144.3","143.95","144.3","12967","38131.5","55136000","12156000","        145.05"
"NTPC","31-Jul-2014","25-Sep-2014","148.85","149.5","144.45","145","144.5","145","294","869","4650000","142000","        145.05"
"NTPC","01-Aug-2014","28-Aug-2014","142.8","142.9","139.2","139.9","140.2","139.9","8140","22935.05","57642000","2506000","        140.75"
"NTPC","01-Aug-2014","25-Sep-2014","142.75","143","140","140.8","140.85","140.8","327","926.65","4758000","108000","        140.75"
"NTPC","01-Aug-2014","30-Oct-2014","0","0","0","148.3","0","143.9","0","0","0","0","        140.75"
"NTPC","04-Aug-2014","28-Aug-2014","140.75","141.5","139","140.75","141.1","140.75","3818","10723.47","58582000","940000","        141.30"
"NTPC","04-Aug-2014","25-Sep-2014","140.55","142","140.1","141.55","141.85","141.55","85","240.02","4750000","-8000","        141.30"
"NTPC","04-Aug-2014","30-Oct-2014","142.4","142.4","142.4","142.4","142.4","144.35","1","2.85","2000","2000","        141.30"
"NTPC","05-Aug-2014","28-Aug-2014","140.9","141","138.3","139.9","139.9","139.9","3873","10807.34","60266000","1684000","        140.70"
"NTPC","05-Aug-2014","25-Sep-2014","141.3","141.6","139.1","140.65","140.6","140.65","115","322.43","4764000","14000","        140.70"
"NTPC","05-Aug-2014","30-Oct-2014","140.05","140.05","140.05","140.05","140.05","143.7","2","5.6","6000","4000","        140.70"
"NTPC","06-Aug-2014","28-Aug-2014","139.85","141","139","139.45","139.65","139.45","3097","8677.65","60350000","84000","        140.45"
"NTPC","06-Aug-2014","25-Sep-2014","141","141.65","140","140.1","140.2","140.1","106","298.1","4740000","-24000","        140.45"
"NTPC","06-Aug-2014","30-Oct-2014","141.95","141.95","141.95","141.95","141.95","143.4","1","2.84","8000","2000","        140.45"
"NTPC","07-Aug-2014","28-Aug-2014","140.15","140.5","138.6","139.55","139.4","139.55","2932","8188.19","60282000","-68000","        140.85"
"NTPC","07-Aug-2014","25-Sep-2014","140.05","141.1","139.4","140.15","140.15","140.15","124","347.64","4624000","-116000","        140.85"
"NTPC","07-Aug-2014","30-Oct-2014","0","0","0","141.95","141.95","143.8","0","0","8000","0","        140.85"
"NTPC","08-Aug-2014","28-Aug-2014","138","139.15","135.85","136.7","136.65","136.7","2371","6495.94","60262000","-20000","        137.95"
"NTPC","08-Aug-2014","25-Sep-2014","138.65","138.75","136.65","137.4","137.3","137.4","94","258.99","4624000","0","        137.95"
"NTPC","08-Aug-2014","30-Oct-2014","0","0","0","141.95","141.95","140.8","0","0","8000","0","        137.95"
"NTPC","11-Aug-2014","28-Aug-2014","139.9","140.9","134.15","134.95","135.2","134.95","3119","8459","61840000","1578000","        135.85"
"NTPC","11-Aug-2014","25-Sep-2014","138.45","138.45","134.95","135.6","135.8","135.6","153","416.89","4636000","12000","        135.85"
"NTPC","11-Aug-2014","30-Oct-2014","137.95","137.95","136.05","136.05","136.05","138.55","7","19.15","22000","14000","        135.85"
"NTPC","12-Aug-2014","28-Aug-2014","136","138.7","135.6","138.2","138","138.2","3554","9765.82","60328000","-1512000","        139.50"
"NTPC","12-Aug-2014","25-Sep-2014","136.2","139.4","136.2","138.9","138.75","138.9","187","516.04","4608000","-28000","        139.50"
"NTPC","12-Aug-2014","30-Oct-2014","139.55","139.55","138","138","138","142.25","6","16.66","34000","12000","        139.50"
"NTPC","13-Aug-2014","28-Aug-2014","138.45","140.3","137.35","140.05","140.25","140.05","5587","15526.45","56876000","-3452000","        139.95"
"NTPC","13-Aug-2014","25-Sep-2014","138.2","140.9","137.9","140.65","140.75","140.65","252","703.16","4568000","-40000","        139.95"
"NTPC","13-Aug-2014","30-Oct-2014","140.1","140.4","140.1","140.4","140.4","142.65","2","5.61","32000","-2000","        139.95"
"NTPC","14-Aug-2014","28-Aug-2014","140.1","142.45","139.2","142.1","141.9","142.1","3779","10670.39","55120000","-1756000","        142.05"
"NTPC","14-Aug-2014","25-Sep-2014","140.65","143","140","142.7","142.75","142.7","153","434.15","4620000","52000","        142.05"
"NTPC","14-Aug-2014","30-Oct-2014","143","143.25","143","143.25","143.25","143.25","2","5.73","32000","0","        142.05"
"NTPC","18-Aug-2014","28-Aug-2014","141.15","144.2","141.05","142.7","142.6","142.7","2864","8189.88","54654000","-466000","        142.60"
"NTPC","18-Aug-2014","25-Sep-2014","142.25","144.85","142","143.4","143.15","143.4","292","840.02","4672000","52000","        142.60"
"NTPC","18-Aug-2014","30-Oct-2014","145.45","145.45","144.1","144.3","144.1","144.3","3","8.68","36000","4000","        142.60"
"NTPC","19-Aug-2014","28-Aug-2014","142.95","144.4","142.75","144.15","143.95","144.15","3139","9020.92","53960000","-694000","        143.90"
"NTPC","19-Aug-2014","25-Sep-2014","143.9","145.05","143.5","144.75","144.65","144.75","351","1013.47","4814000","142000","        143.90"
"NTPC","19-Aug-2014","30-Oct-2014","145","145","145","145","145","146.5","1","2.9","38000","2000","        143.90"
"NTPC","20-Aug-2014","28-Aug-2014","144.8","145.65","143.3","145.4","145","145.4","3965","11486.31","52030000","-1930000","        145.30"
"NTPC","20-Aug-2014","25-Sep-2014","145.5","146.3","144","146.05","145.7","146.05","658","1915.5","5280000","466000","        145.30"
"NTPC","20-Aug-2014","30-Oct-2014","145","146.95","145","146.95","146.95","146.95","2","5.84","34000","-4000","        145.30"
"NTPC","21-Aug-2014","28-Aug-2014","145.15","145.9","142.6","142.85","142.8","142.85","2939","8462.79","51182000","-848000","        142.50"
"NTPC","21-Aug-2014","25-Sep-2014","145.9","146.5","143.3","143.5","143.4","143.5","955","2759.36","6004000","724000","        142.50"
"NTPC","21-Aug-2014","30-Oct-2014","147.45","147.45","146.6","146.6","146.6","145","4","11.78","42000","8000","        142.50"
"NTPC","22-Aug-2014","28-Aug-2014","142.9","143.5","141.55","142.8","142.95","142.8","3457","9851.4","49708000","-1474000","        142.50"
"NTPC","22-Aug-2014","25-Sep-2014","143.65","144.15","142.35","143.55","143.6","143.55","1827","5232.74","8452000","2448000","        142.50"
"NTPC","22-Aug-2014","30-Oct-2014","0","0","0","146.6","146.6","144.95","0","0","42000","0","        142.50"
"NTPC","25-Aug-2014","28-Aug-2014","143.1","143.1","140.2","141.8","141.95","141.8","11668","33159.24","32590000","-17118000","        141.80"
"NTPC","25-Aug-2014","25-Sep-2014","143.2","143.75","141","142.5","142.7","142.5","9449","27018.83","23040000","14588000","        141.80"
"NTPC","25-Aug-2014","30-Oct-2014","143.7","143.7","142.1","143.55","143.55","143.55","6","17.19","50000","8000","        141.80"
"NTPC","26-Aug-2014","28-Aug-2014","141.35","141.95","139.55","141.05","141.1","141.05","5224","14672.56","27786000","-4804000","        141.00"
"NTPC","26-Aug-2014","25-Sep-2014","142.1","142.65","140.25","141.8","141.8","141.8","3670","10359.93","27646000","4606000","        141.00"
"NTPC","26-Aug-2014","30-Oct-2014","143","143","141.2","142.15","142.15","143.3","11","31.33","72000","22000","        141.00"
"NTPC","27-Aug-2014","28-Aug-2014","141.15","141.7","137.4","139.4","139.4","139.4","7211","20003.86","20430000","-7356000","        139.50"
"NTPC","27-Aug-2014","25-Sep-2014","141.8","142.4","138.2","140.05","140.1","140.05","6407","17859.03","35912000","8266000","        139.50"
"NTPC","27-Aug-2014","30-Oct-2014","141.6","141.6","139.1","141.05","140.8","141.05","26","73.01","114000","42000","        139.50"
"NTPC","28-Aug-2014","28-Aug-2014","138.85","139.95","136.9","137.35","137.4","137.4","10903","30145.92","5924000","-14506000","        137.40"
"NTPC","28-Aug-2014","25-Sep-2014","139.55","140.65","138","138.35","138.45","138.35","11355","31573.92","52016000","16104000","        137.40"
"NTPC","28-Aug-2014","30-Oct-2014","141.25","141.3","139","139.35","139.15","139.35","49","136.97","170000","56000","        137.40"
