"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NTPC","02-Mar-2009","26-Mar-2009","178","178.9","174.2","175.25","174.2","175.25","7115","20401.8","25348375","1665625","        178.85"
"NTPC","02-Mar-2009","30-Apr-2009","174.3","175.75","172.5","173.55","172.5","173.55","256","728.15","576875","269750","        178.85"
"NTPC","02-Mar-2009","28-May-2009","0","0","0","188.35","0","182.15","0","0","0","0","        178.85"
"NTPC","03-Mar-2009","26-Mar-2009","175.6","178.45","172","173.5","172.5","173.5","7697","21967.07","26260000","911625","        178.80"
"NTPC","03-Mar-2009","30-Apr-2009","173.7","176.6","169.9","171.9","170.4","171.9","574","1626.1","1145625","568750","        178.80"
"NTPC","03-Mar-2009","28-May-2009","172.3","172.3","172.3","172.3","172.3","182","1","2.8","1625","1625","        178.80"
"NTPC","04-Mar-2009","26-Mar-2009","173.75","177","171.15","176.5","176.8","176.5","8189","23207.42","26047125","-212875","        179.85"
"NTPC","04-Mar-2009","30-Apr-2009","171.05","174.6","169.15","174.3","174.6","174.3","399","1114.58","1408875","263250","        179.85"
"NTPC","04-Mar-2009","28-May-2009","171.9","171.9","171.9","171.9","171.9","183.1","1","2.79","3250","1625","        179.85"
"NTPC","05-Mar-2009","26-Mar-2009","176.25","176.9","167.8","170.5","170.8","170.5","11936","33243.01","27200875","1153750","        172.80"
"NTPC","05-Mar-2009","30-Apr-2009","173.1","173.65","165.7","167.75","168.65","167.75","284","780.04","1566500","157625","        172.80"
"NTPC","05-Mar-2009","28-May-2009","166.4","167.2","166.4","167.2","167.2","167.2","2","5.42","3250","0","        172.80"
"NTPC","06-Mar-2009","26-Mar-2009","169","175.8","167.2","174.65","174.1","174.65","10691","29761.55","26450125","-750750","        177.65"
"NTPC","06-Mar-2009","30-Apr-2009","167","173.25","164.95","172.35","171.9","172.35","234","644.98","1616875","50375","        177.65"
"NTPC","06-Mar-2009","28-May-2009","0","0","0","167.2","167.2","180.6","0","0","3250","0","        177.65"
"NTPC","09-Mar-2009","26-Mar-2009","172.6","173.9","170.8","172.25","172.5","172.25","6279","17563.77","27183000","732875","        176.65"
"NTPC","09-Mar-2009","30-Apr-2009","171.2","171.55","168.8","169.9","170.35","169.9","139","383.92","1665625","48750","        176.65"
"NTPC","09-Mar-2009","28-May-2009","0","0","0","167.2","167.2","179.55","0","0","3250","0","        176.65"
"NTPC","12-Mar-2009","26-Mar-2009","174.8","177.5","170.1","172.4","170.4","172.4","8767","24719.27","27794000","611000","        174.05"
"NTPC","12-Mar-2009","30-Apr-2009","174","174","167.95","170.65","168","170.65","363","1009.9","1696500","30875","        174.05"
"NTPC","12-Mar-2009","28-May-2009","0","0","0","167.2","167.2","176.75","0","0","3250","0","        174.05"
"NTPC","13-Mar-2009","26-Mar-2009","174.85","175.9","168.65","170.25","170.5","170.25","15248","42275.99","27430000","-364000","        170.25"
"NTPC","13-Mar-2009","30-Apr-2009","172","172.6","166.55","168.55","168.85","168.55","752","2058.62","2292875","596375","        170.25"
"NTPC","13-Mar-2009","28-May-2009","167.75","167.75","167.75","167.75","167.75","172.85","1","2.73","4875","1625","        170.25"
"NTPC","16-Mar-2009","26-Mar-2009","171.2","172","167","171.2","170.5","171.2","11386","31373.09","23473125","-3956875","        171.15"
"NTPC","16-Mar-2009","30-Apr-2009","169","170.25","165.3","169.55","168.5","169.55","2291","6244.69","5131750","2838875","        171.15"
"NTPC","16-Mar-2009","28-May-2009","168","168.15","166.85","168.15","168.15","168.15","4","10.89","11375","6500","        171.15"
"NTPC","17-Mar-2009","26-Mar-2009","170.7","174.95","170.7","173.2","172.9","173.2","8138","22899.45","22490000","-983125","        173.85"
"NTPC","17-Mar-2009","30-Apr-2009","169.5","173.1","169.4","171.45","171.4","171.45","1183","3302.36","6181500","1049750","        173.85"
"NTPC","17-Mar-2009","28-May-2009","170.4","172","169.9","171.2","171.2","171.2","8","22.17","21125","9750","        173.85"
"NTPC","18-Mar-2009","26-Mar-2009","174.1","176.55","173.3","173.85","173.7","173.85","6306","17935.07","21279375","-1210625","        175.10"
"NTPC","18-Mar-2009","30-Apr-2009","173.45","174.9","171.55","172","172","172","1412","3984.56","7276750","1095250","        175.10"
