"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NTPC","02-May-2012","31-May-2012","164.25","164.9","160.85","161.3","161","161.3","1155","3753.6","13964000","820000","        159.85"
"NTPC","02-May-2012","28-Jun-2012","165.75","166.45","162.4","162.85","162.4","162.85","53","173.48","148000","64000","        159.85"
"NTPC","02-May-2012","26-Jul-2012","0","0","0","165.05","0","163.5","0","0","0","0","        159.85"
"NTPC","03-May-2012","31-May-2012","161","161","157.25","158.6","158.95","158.6","1646","5227.87","14650000","686000","        157.00"
"NTPC","03-May-2012","28-Jun-2012","161.6","162.4","158.9","159.95","160.25","159.95","321","1025.39","642000","494000","        157.00"
"NTPC","03-May-2012","26-Jul-2012","0","0","0","165.05","0","160.55","0","0","0","0","        157.00"
"NTPC","04-May-2012","31-May-2012","157.8","159.35","155.55","156.05","156","156.05","719","2257.97","14548000","-102000","        154.95"
"NTPC","04-May-2012","28-Jun-2012","159.1","160.5","157.4","157.4","157.5","157.4","43","136.61","664000","22000","        154.95"
"NTPC","04-May-2012","26-Jul-2012","0","0","0","165.05","0","158.4","0","0","0","0","        154.95"
"NTPC","07-May-2012","31-May-2012","153.8","158.35","153.65","157.5","157.85","157.5","891","2780.97","14364000","-184000","        156.15"
"NTPC","07-May-2012","28-Jun-2012","157","159.8","155.2","158.9","159.05","158.9","99","310.97","784000","120000","        156.15"
"NTPC","07-May-2012","26-Jul-2012","159.05","159.05","159.05","159.05","159.05","159.55","2","6.36","4000","4000","        156.15"
"NTPC","08-May-2012","31-May-2012","158.5","158.6","156","156.7","157.1","156.7","1284","4034.05","13774000","-590000","        155.90"
"NTPC","08-May-2012","28-Jun-2012","158.9","159.6","157.5","157.95","157.8","157.95","229","726.08","952000","168000","        155.90"
"NTPC","08-May-2012","26-Jul-2012","0","0","0","159.05","159.05","159.25","0","0","4000","0","        155.90"
"NTPC","09-May-2012","31-May-2012","156.25","156.6","151","152.5","152.9","152.5","1449","4456.38","13906000","132000","        151.45"
"NTPC","09-May-2012","28-Jun-2012","157","157.65","152.7","154.4","154.4","154.4","219","681.56","1158000","206000","        151.45"
"NTPC","09-May-2012","26-Jul-2012","155.15","155.15","155.05","155.05","155.05","154.65","2","6.2","8000","4000","        151.45"
"NTPC","10-May-2012","31-May-2012","153.25","154.75","149.35","150.45","150.5","150.45","2223","6768.7","13858000","-48000","        149.40"
"NTPC","10-May-2012","28-Jun-2012","155","155.75","150.85","151.8","152.05","151.8","276","848.71","1418000","260000","        149.40"
"NTPC","10-May-2012","26-Jul-2012","155.55","155.55","155.55","155.55","155.55","152.55","1","3.11","10000","2000","        149.40"
"NTPC","11-May-2012","31-May-2012","151.4","151.7","147.2","149.15","149.4","149.15","1625","4844.56","13914000","56000","        148.15"
"NTPC","11-May-2012","28-Jun-2012","151.85","153.15","148.6","150.6","151","150.6","396","1188.86","1884000","466000","        148.15"
"NTPC","11-May-2012","26-Jul-2012","158","158","150","150","150","151.25","5","15.26","20000","10000","        148.15"
"NTPC","14-May-2012","31-May-2012","148.9","150.65","147.4","147.95","147.75","147.95","1179","3514.68","13294000","-620000","        146.90"
"NTPC","14-May-2012","28-Jun-2012","150","151.75","149","149.75","149.25","149.75","158","476.2","2058000","174000","        146.90"
"NTPC","14-May-2012","26-Jul-2012","152.05","152.05","152.05","152.05","152.05","150.4","1","3.04","22000","2000","        146.90"
"NTPC","15-May-2012","31-May-2012","147","147.9","142.9","143.95","143.8","143.95","2441","7075.75","12566000","-728000","        143.40"
"NTPC","15-May-2012","28-Jun-2012","148.25","149.35","144.35","145.3","145.05","145.3","201","590.07","2264000","206000","        143.40"
"NTPC","15-May-2012","26-Jul-2012","150.05","150.05","146.5","146.5","146.5","146.5","4","11.87","30000","8000","        143.40"
"NTPC","16-May-2012","31-May-2012","142.5","143.1","139.3","141.7","141.75","141.7","2370","6686.76","11880000","-686000","        141.05"
"NTPC","16-May-2012","28-Jun-2012","143.35","144.4","140.75","143.15","143","143.15","172","489.73","2358000","94000","        141.05"
"NTPC","16-May-2012","26-Jul-2012","144.05","144.1","143","143.25","143.25","143.8","8","22.97","42000","12000","        141.05"
"NTPC","17-May-2012","31-May-2012","142.2","143.05","141.3","142.2","142","142.2","1518","4318.83","11112000","-768000","        142.10"
"NTPC","17-May-2012","28-Jun-2012","144","144.45","143","143.6","143.65","143.6","57","163.76","2382000","24000","        142.10"
"NTPC","17-May-2012","26-Jul-2012","144.95","144.95","144.3","144.3","144.3","144.8","2","5.79","42000","0","        142.10"
"NTPC","18-May-2012","31-May-2012","140.45","147.5","140","145.4","144.75","145.4","1981","5725.77","10012000","-1100000","        144.95"
"NTPC","18-May-2012","28-Jun-2012","141.65","148.9","141.65","146.65","145.65","146.65","110","320.57","2364000","-18000","        144.95"
"NTPC","18-May-2012","26-Jul-2012","144","144","144","144","144","147.65","2","5.76","42000","0","        144.95"
"NTPC","21-May-2012","31-May-2012","145.2","146.4","142.05","143.6","142.75","143.6","1951","5622.65","9792000","-220000","        143.60"
"NTPC","21-May-2012","28-Jun-2012","147.8","147.8","143.65","144.8","144.1","144.8","173","504.03","2490000","126000","        143.60"
