"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NTPC","01-Sep-2005","29-Sep-2005","101.6","102.8","101.1","102.3","102.1","102.3","3173","10515.59","15707250","-900250","        103.90"
"NTPC","01-Sep-2005","27-Oct-2005","102.2","103.5","101.85","102.8","102.5","102.8","35","116.95","113750","65000","        103.90"
"NTPC","01-Sep-2005","24-Nov-2005","0","0","0","98.45","0","105.35","0","0","0","0","        103.90"
"NTPC","02-Sep-2005","29-Sep-2005","102.4","102.8","101","102.05","101.8","102.05","2180","7230.37","14664000","-1043250","        103.65"
"NTPC","02-Sep-2005","27-Oct-2005","102.95","103.5","102","102.7","102.5","102.7","16","53.45","123500","9750","        103.65"
"NTPC","02-Sep-2005","24-Nov-2005","0","0","0","98.45","0","105.1","0","0","0","0","        103.65"
"NTPC","05-Sep-2005","29-Sep-2005","102.2","103.15","101.85","102.1","102.15","102.1","1666","5551.95","13955500","-708500","        103.50"
"NTPC","05-Sep-2005","27-Oct-2005","102.6","103.6","102.6","102.8","102.9","102.8","10","33.51","143000","19500","        103.50"
"NTPC","05-Sep-2005","24-Nov-2005","0","0","0","98.45","0","104.9","0","0","0","0","        103.50"
"NTPC","06-Sep-2005","29-Sep-2005","102.2","102.35","100.15","101.55","101.4","101.55","714","2357.31","13689000","-266500","        103.15"
"NTPC","06-Sep-2005","27-Oct-2005","102.6","102.7","102","102.4","102.25","102.4","19","63.21","185250","42250","        103.15"
"NTPC","06-Sep-2005","24-Nov-2005","0","0","0","98.45","0","104.5","0","0","0","0","        103.15"
"NTPC","08-Sep-2005","29-Sep-2005","101.8","103.1","101.75","102.9","102.75","102.9","1545","5154.12","12639250","-1049750","        103.40"
"NTPC","08-Sep-2005","27-Oct-2005","102.7","103.2","102.65","102.85","102.85","104.25","9","30.13","185250","0","        103.40"
"NTPC","08-Sep-2005","24-Nov-2005","0","0","0","98.45","0","104.75","0","0","0","0","        103.40"
"NTPC","09-Sep-2005","29-Sep-2005","102.8","102.9","101.75","102.3","102.2","102.3","753","2504.9","12171250","-468000","        102.65"
"NTPC","09-Sep-2005","27-Oct-2005","103.45","103.5","102.75","103","103","103.5","8","26.83","211250","26000","        102.65"
"NTPC","09-Sep-2005","24-Nov-2005","0","0","0","98.45","0","103.95","0","0","0","0","        102.65"
"NTPC","12-Sep-2005","29-Sep-2005","102.5","103.4","102.4","103.25","103.25","103.25","1032","3455.21","11397750","-773500","        103.45"
"NTPC","12-Sep-2005","27-Oct-2005","103.5","104.25","103.4","104.05","104.25","104.05","31","104.61","250250","39000","        103.45"
"NTPC","12-Sep-2005","24-Nov-2005","0","0","0","98.45","0","104.7","0","0","0","0","        103.45"
"NTPC","13-Sep-2005","29-Sep-2005","103.45","103.5","102.4","102.85","102.85","102.85","633","2114.81","11222250","-175500","        103.00"
"NTPC","13-Sep-2005","27-Oct-2005","105","105","103.1","103.65","103.65","103.65","67","225.36","409500","159250","        103.00"
"NTPC","13-Sep-2005","24-Nov-2005","0","0","0","98.45","0","104.25","0","0","0","0","        103.00"
"NTPC","14-Sep-2005","29-Sep-2005","102.8","104.9","101.8","102.55","102.45","102.55","2711","9119.29","11215750","-6500","        102.45"
"NTPC","14-Sep-2005","27-Oct-2005","104","105.3","102.6","103.55","103.6","103.55","85","287.71","500500","91000","        102.45"
"NTPC","14-Sep-2005","24-Nov-2005","0","0","0","98.45","0","103.65","0","0","0","0","        102.45"
"NTPC","15-Sep-2005","29-Sep-2005","102.8","103.35","102.3","102.8","102.65","102.8","1084","3622.72","11553750","338000","        102.30"
"NTPC","15-Sep-2005","27-Oct-2005","103.45","104","103.25","103.7","103.7","103.7","34","114.43","568750","68250","        102.30"
"NTPC","15-Sep-2005","24-Nov-2005","0","0","0","98.45","0","103.5","0","0","0","0","        102.30"
"NTPC","16-Sep-2005","29-Sep-2005","102.9","104.65","102.65","104","103.7","104","2370","7994.38","10422750","-1131000","        104.10"
"NTPC","16-Sep-2005","27-Oct-2005","103.6","105.25","103.5","104.8","104.45","104.8","72","244.35","685750","117000","        104.10"
"NTPC","16-Sep-2005","24-Nov-2005","0","0","0","98.45","0","105.3","0","0","0","0","        104.10"
"NTPC","19-Sep-2005","29-Sep-2005","104.2","104.85","102.95","103.1","103.1","103.1","1533","5163.18","11427000","1004250","        102.55"
"NTPC","19-Sep-2005","27-Oct-2005","105.05","105.35","103.5","103.65","103.6","103.65","234","790.37","1270750","585000","        102.55"
"NTPC","19-Sep-2005","24-Nov-2005","0","0","0","98.45","0","103.7","0","0","0","0","        102.55"
