"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ONGC","03-Jan-2011","27-Jan-2011","1302.75","1308","1298","1300","1301.75","1300","880","2864.7","1871250","4250","-"
"ONGC","03-Jan-2011","24-Feb-2011","1310.6","1311.35","1304.1","1305.75","1307.5","1305.75","15","49.02","64000","1750","-"
"ONGC","03-Jan-2011","31-Mar-2011","1300","1310.3","1300","1310.3","1310.3","1310.3","3","9.78","1000","750","-"
"ONGC","04-Jan-2011","27-Jan-2011","1303.65","1303.7","1290.1","1291.55","1292","1291.55","1457","4723.84","1863750","-7500","       1287.05"
"ONGC","04-Jan-2011","24-Feb-2011","1308.75","1308.75","1297","1298.2","1297","1298.2","44","143.31","66250","2250","       1287.05"
"ONGC","04-Jan-2011","31-Mar-2011","1298","1298","1298","1298","1298","1314.75","1","3.25","1250","250","       1287.05"
"ONGC","05-Jan-2011","27-Jan-2011","1293.5","1294","1262.6","1271.95","1265.45","1271.95","3005","9589.98","2008500","144750","       1266.15"
"ONGC","05-Jan-2011","24-Feb-2011","1298.7","1298.7","1271","1277.95","1275","1277.95","126","404.49","81000","14750","       1266.15"
"ONGC","05-Jan-2011","31-Mar-2011","1276.05","1276.9","1268","1268","1268","1293.15","4","12.74","2250","1000","       1266.15"
"ONGC","06-Jan-2011","27-Jan-2011","1272","1272.75","1225","1234.5","1231.5","1234.5","5006","15575.84","2048750","40250","       1227.30"
"ONGC","06-Jan-2011","24-Feb-2011","1272.75","1272.75","1233.3","1239.75","1237.5","1239.75","151","471.05","93750","12750","       1227.30"
"ONGC","06-Jan-2011","31-Mar-2011","1248.25","1248.25","1234.2","1238.85","1238.85","1253.05","4","12.42","3000","750","       1227.30"
"ONGC","07-Jan-2011","27-Jan-2011","1239.8","1241","1201","1208.85","1201","1208.85","2937","8978.48","2098000","49250","       1205.85"
"ONGC","07-Jan-2011","24-Feb-2011","1238","1247","1211.95","1215.7","1211.95","1215.7","119","364.13","104750","11000","       1205.85"
"ONGC","07-Jan-2011","31-Mar-2011","1239","1239","1218.1","1218.2","1218.1","1218.2","11","33.58","5250","2250","       1205.85"
"ONGC","10-Jan-2011","27-Jan-2011","1206.6","1213.95","1165","1174.65","1168.05","1174.65","3609","10713.53","2104250","6250","       1174.35"
"ONGC","10-Jan-2011","24-Feb-2011","1215","1215","1175","1180.95","1175","1180.95","220","655.34","116250","11500","       1174.35"
"ONGC","10-Jan-2011","31-Mar-2011","1200","1200","1187","1187","1187","1197.8","15","44.68","8000","2750","       1174.35"
"ONGC","11-Jan-2011","27-Jan-2011","1182","1211.95","1172.15","1190.65","1197.6","1190.65","3939","11743.39","1981500","-122750","       1184.80"
"ONGC","11-Jan-2011","24-Feb-2011","1192.2","1219","1181.1","1200.55","1204.15","1200.55","295","887.05","133250","17000","       1184.80"
"ONGC","11-Jan-2011","31-Mar-2011","1199","1206.6","1184","1184","1184","1208.05","10","29.98","10500","2500","       1184.80"
"ONGC","12-Jan-2011","27-Jan-2011","1207.7","1216.25","1153.25","1192.8","1191.1","1192.8","5050","14960.71","2133000","151500","       1186.65"
"ONGC","12-Jan-2011","24-Feb-2011","1204.75","1220","1160","1199.3","1199","1199.3","175","520.44","142000","8750","       1186.65"
"ONGC","12-Jan-2011","31-Mar-2011","1170.2","1181.6","1164.1","1181.6","1181.6","1209.8","3","8.79","10500","0","       1186.65"
"ONGC","13-Jan-2011","27-Jan-2011","1188","1208.5","1175.55","1202.2","1202.9","1202.2","4635","13891.37","2166500","33500","       1201.50"
"ONGC","13-Jan-2011","24-Feb-2011","1189","1214","1189","1204.1","1206","1204.1","672","2023.98","125750","-16250","       1201.50"
"ONGC","13-Jan-2011","31-Mar-2011","1203","1204.65","1202","1198","1202.75","1198","9","27.02","11500","1000","       1201.50"
