"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ONGC","01-Jul-2005","28-Jul-2005","1007","1008","983","987.25","989.85","987.25","6318","18851.36","3064500","166200","        983.20"
"ONGC","01-Jul-2005","25-Aug-2005","1099.95","1099.95","986","989.05","987","989.05","57","170.51","9000","6000","        983.20"
"ONGC","01-Jul-2005","29-Sep-2005","0","0","0","1042.8","0","997.75","0","0","0","0","        983.20"
"ONGC","04-Jul-2005","28-Jul-2005","992","1003.4","981.3","989.15","990","989.15","5246","15606.8","2996400","-68100","        988.20"
"ONGC","04-Jul-2005","25-Aug-2005","992.5","999","983.25","990.75","993","990.75","43","127.95","13500","4500","        988.20"
"ONGC","04-Jul-2005","29-Sep-2005","0","0","0","1042.8","0","1002.65","0","0","0","0","        988.20"
"ONGC","05-Jul-2005","28-Jul-2005","991","995.95","968.8","975.85","977","975.85","5893","17370.87","3010800","14400","        979.70"
"ONGC","05-Jul-2005","25-Aug-2005","991","993","970","970.5","970","970.5","32","94.08","14100","600","        979.70"
"ONGC","05-Jul-2005","29-Sep-2005","0","0","0","1042.8","0","993.9","0","0","0","0","        979.70"
"ONGC","06-Jul-2005","28-Jul-2005","980","986","970.1","978.5","980","978.5","4747","13924.59","3054300","43500","        975.00"
"ONGC","06-Jul-2005","25-Aug-2005","980","980","973","977.55","977.55","983.1","8","23.45","14700","600","        975.00"
"ONGC","06-Jul-2005","29-Sep-2005","0","0","0","1042.8","0","988.85","0","0","0","0","        975.00"
"ONGC","07-Jul-2005","28-Jul-2005","980.9","980.9","926.5","933.15","931","933.15","10626","30320.73","3444000","389700","        931.45"
"ONGC","07-Jul-2005","25-Aug-2005","973","973","934.1","936.95","937","936.95","76","217.19","27600","12900","        931.45"
"ONGC","07-Jul-2005","29-Sep-2005","0","0","0","1042.8","0","944.55","0","0","0","0","        931.45"
"ONGC","08-Jul-2005","28-Jul-2005","936.2","948.5","917.1","925.1","923.8","925.1","9259","25779.32","3537600","93600","        920.20"
"ONGC","08-Jul-2005","25-Aug-2005","940","942.5","919.05","932.45","926","932.45","55","153.53","33300","5700","        920.20"
"ONGC","08-Jul-2005","29-Sep-2005","920","920","919.9","919.9","919.9","919.9","4","11.04","1200","1200","        920.20"
"ONGC","11-Jul-2005","28-Jul-2005","927.1","935","924","928.35","927.2","928.35","4260","11887.99","3470700","-66900","        926.15"
"ONGC","11-Jul-2005","25-Aug-2005","936.7","939.4","929.25","931.4","929.25","931.4","21","58.85","34800","1500","        926.15"
"ONGC","11-Jul-2005","29-Sep-2005","0","0","0","919.9","919.9","938.5","0","0","1200","0","        926.15"
"ONGC","12-Jul-2005","28-Jul-2005","928","947.9","923","943.75","944","943.75","8222","23138.7","3373500","-97200","        943.10"
"ONGC","12-Jul-2005","25-Aug-2005","938","950","930","947.05","943.05","947.05","43","121.27","35400","600","        943.10"
"ONGC","12-Jul-2005","29-Sep-2005","932","932","929.85","929.95","929.95","929.95","4","11.17","1200","0","        943.10"
"ONGC","13-Jul-2005","28-Jul-2005","946.35","950.8","921.1","923.45","923.2","923.45","6442","18000.54","3591900","218400","        923.85"
"ONGC","13-Jul-2005","25-Aug-2005","945.5","947.95","926.35","927.35","926.35","927.35","33","92.43","42600","7200","        923.85"
"ONGC","13-Jul-2005","29-Sep-2005","931","931","931","931","931","935.9","1","2.79","1500","300","        923.85"
"ONGC","14-Jul-2005","28-Jul-2005","905.1","925","903","913.95","910","913.95","7342","20082.45","3613800","21900","        921.95"
"ONGC","14-Jul-2005","25-Aug-2005","925.5","925.5","908","918.5","915","918.5","89","244.37","50100","7500","        921.95"
"ONGC","14-Jul-2005","29-Sep-2005","900","914.95","900","909","909","909","8","21.78","3600","2100","        921.95"
"ONGC","15-Jul-2005","28-Jul-2005","900.2","927.7","895","924.35","925","924.35","9880","27063.59","3621000","7200","        928.10"
"ONGC","15-Jul-2005","25-Aug-2005","920","929","902","928.25","928.5","928.25","182","500.04","63900","13800","        928.10"
"ONGC","15-Jul-2005","29-Sep-2005","914.95","914.95","914","914.95","914.95","914.95","3","8.23","4500","900","        928.10"
"ONGC","18-Jul-2005","28-Jul-2005","828","926","828","922.9","922","922.9","6449","17774.61","3674100","53100","        917.25"
"ONGC","18-Jul-2005","25-Aug-2005","925","929.9","911.5","925.8","925.5","925.8","147","407.19","84600","20700","        917.25"
"ONGC","18-Jul-2005","29-Sep-2005","910.95","918","909.5","910","910","910","17","46.52","8400","3900","        917.25"
"ONGC","19-Jul-2005","28-Jul-2005","927.9","928","916.25","921.15","920","921.15","3239","8953.56","3719400","45300","        917.95"
"ONGC","19-Jul-2005","25-Aug-2005","923.5","931","922","924.3","923.6","924.3","183","507.48","103500","18900","        917.95"
"ONGC","19-Jul-2005","29-Sep-2005","910","913.8","910","910","910","910","3","8.2","9000","600","        917.95"
"ONGC","20-Jul-2005","28-Jul-2005","919","924.5","916.15","919.25","918.5","919.25","2168","5987.56","3688200","-31200","        920.00"
"ONGC","20-Jul-2005","25-Aug-2005","927","928.7","920","920.85","920","920.85","237","656.16","139200","35700","        920.00"
"ONGC","20-Jul-2005","29-Sep-2005","912.5","914.95","909","909","909","930.8","9","24.62","11700","2700","        920.00"
"ONGC","21-Jul-2005","28-Jul-2005","920","927.8","911.5","915.5","916.95","915.5","3990","11009.69","3596700","-91500","        918.20"
"ONGC","21-Jul-2005","25-Aug-2005","922.95","930.45","913","916.4","918","916.4","416","1148.94","199800","60600","        918.20"
"ONGC","21-Jul-2005","29-Sep-2005","911","911","902","902","902","928.9","5","13.59","13200","1500","        918.20"
"ONGC","22-Jul-2005","28-Jul-2005","918.5","938","918","935.75","936","935.75","7215","20127.1","3269700","-327000","        938.45"
