"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ONGC","02-May-2013","30-May-2013","326","333.7","325.9","330.7","331.15","330.7","3384","11189.25","8062000","900000","        328.90"
"ONGC","02-May-2013","27-Jun-2013","333.1","334.95","330.15","332.2","332.35","332.2","132","438.95","169000","85000","        328.90"
"ONGC","02-May-2013","25-Jul-2013","0","0","0","328.05","328.05","335.55","0","0","1000","0","        328.90"
"ONGC","03-May-2013","30-May-2013","329.2","332.05","324.15","325.25","325.5","325.25","2653","8691.13","8114000","52000","        323.75"
"ONGC","03-May-2013","27-Jun-2013","332.95","332.95","326","326","326","327.85","18","59.12","165000","-4000","        323.75"
"ONGC","03-May-2013","25-Jul-2013","0","0","0","328.05","328.05","329.9","0","0","1000","0","        323.75"
"ONGC","06-May-2013","30-May-2013","324.9","328.15","319.2","320.4","320.95","320.4","2902","9382.68","8268000","154000","        318.80"
"ONGC","06-May-2013","27-Jun-2013","328.25","328.5","321.2","321.5","322","321.5","30","96.91","163000","-2000","        318.80"
"ONGC","06-May-2013","25-Jul-2013","0","0","0","328.05","328.05","324.75","0","0","1000","0","        318.80"
"ONGC","07-May-2013","30-May-2013","322.55","323.4","319.75","321.45","321.95","321.45","2566","8252.57","8208000","-60000","        319.95"
"ONGC","07-May-2013","27-Jun-2013","324.3","324.7","322.1","323.15","323.15","323.15","20","64.68","168000","5000","        319.95"
"ONGC","07-May-2013","25-Jul-2013","0","0","0","328.05","328.05","325.85","0","0","1000","0","        319.95"
"ONGC","08-May-2013","30-May-2013","322.8","326.15","319.45","321.7","322.7","321.7","2753","8887.9","8355000","147000","        320.15"
"ONGC","08-May-2013","27-Jun-2013","324.7","327.9","321.95","322.1","322.1","323.9","46","149.5","175000","7000","        320.15"
"ONGC","08-May-2013","25-Jul-2013","323","324.7","323","324.7","324.7","324.7","2","6.48","3000","2000","        320.15"
"ONGC","09-May-2013","30-May-2013","322.2","324.4","320.5","322.6","323.2","322.6","2015","6500.27","8297000","-58000","        321.55"
"ONGC","09-May-2013","27-Jun-2013","323.15","325.1","322.25","324","324","324","17","55.03","187000","12000","        321.55"
"ONGC","09-May-2013","25-Jul-2013","0","0","0","324.7","324.7","327.35","0","0","3000","0","        321.55"
"ONGC","10-May-2013","30-May-2013","323.65","330.4","323.6","327.9","327.5","327.9","3436","11258.39","8731000","434000","        326.45"
"ONGC","10-May-2013","27-Jun-2013","326.4","331.1","326.25","329.15","329.65","329.15","65","213.67","200000","13000","        326.45"
"ONGC","10-May-2013","25-Jul-2013","329.35","329.35","329.35","329.35","329.35","332.2","1","3.29","4000","1000","        326.45"
"ONGC","11-May-2013","30-May-2013","329","330.9","328.3","330.15","330.8","330.15","476","1568.67","8728000","-3000","        328.65"
"ONGC","11-May-2013","27-Jun-2013","331.3","331.95","331.3","331.65","331.95","331.65","2","6.63","200000","0","        328.65"
"ONGC","11-May-2013","25-Jul-2013","0","0","0","329.35","329.35","334.35","0","0","4000","0","        328.65"
"ONGC","13-May-2013","30-May-2013","331.3","331.35","321.25","322.4","322","322.4","2115","6899.97","8668000","-60000","        320.85"
"ONGC","13-May-2013","27-Jun-2013","330.3","331.8","322.85","323.85","322.85","323.85","75","245.28","181000","-19000","        320.85"
"ONGC","13-May-2013","25-Jul-2013","0","0","0","329.35","329.35","326.3","0","0","4000","0","        320.85"
"ONGC","14-May-2013","30-May-2013","324.5","330.3","323.35","328.25","328.6","328.25","2631","8630.81","8709000","41000","        326.75"
"ONGC","14-May-2013","27-Jun-2013","326","331.65","325.65","329.8","330","329.8","54","177.89","202000","21000","        326.75"
"ONGC","14-May-2013","25-Jul-2013","0","0","0","329.35","329.35","332.2","0","0","4000","0","        326.75"
"ONGC","15-May-2013","30-May-2013","329.25","338.25","328.25","337","337.95","337","5103","17070.37","9884000","1175000","        335.05"
"ONGC","15-May-2013","27-Jun-2013","331.3","339.8","331.15","338.05","339.8","338.05","117","394.38","251000","49000","        335.05"
"ONGC","15-May-2013","25-Jul-2013","0","0","0","329.35","329.35","340.55","0","0","4000","0","        335.05"
"ONGC","16-May-2013","30-May-2013","337.2","346.95","334.4","339.6","339.8","339.6","6800","23150.62","10387000","503000","        337.90"
"ONGC","16-May-2013","27-Jun-2013","338.35","347.7","336.2","341.35","341.55","341.35","191","654.33","290000","39000","        337.90"
"ONGC","16-May-2013","25-Jul-2013","0","0","0","329.35","329.35","343.35","0","0","4000","0","        337.90"
"ONGC","17-May-2013","30-May-2013","339.8","343.65","338.75","341.85","342.6","341.85","3487","11902.67","9912000","-475000","        340.75"
"ONGC","17-May-2013","27-Jun-2013","342.9","345.55","341.15","343.8","343.95","343.8","85","291.83","304000","14000","        340.75"
"ONGC","17-May-2013","25-Jul-2013","344","344","344","344","344","346.2","1","3.44","3000","-1000","        340.75"
"ONGC","20-May-2013","30-May-2013","343","344.5","332.3","334","335","334","3114","10519.88","9758000","-154000","        332.70"
"ONGC","20-May-2013","27-Jun-2013","344.85","345.25","334.3","336.2","336.85","336.2","185","628.26","314000","10000","        332.70"
"ONGC","20-May-2013","25-Jul-2013","0","0","0","344","344","337.8","0","0","3000","0","        332.70"
"ONGC","21-May-2013","30-May-2013","336","339","327.55","328.2","327.65","328.2","3545","11825.78","10100000","342000","        326.75"
"ONGC","21-May-2013","27-Jun-2013","336.65","340.25","329.5","330.15","329.95","330.15","328","1098.68","473000","159000","        326.75"
"ONGC","21-May-2013","25-Jul-2013","0","0","0","344","344","331.7","0","0","3000","0","        326.75"
"ONGC","22-May-2013","30-May-2013","329.2","332.6","318","329.7","329.5","329.7","7860","25637.78","10162000","62000","        329.15"
"ONGC","22-May-2013","27-Jun-2013","332","334.35","320.1","331.65","331.75","331.65","469","1537.33","560000","87000","        329.15"
"ONGC","22-May-2013","25-Jul-2013","328.45","328.45","328.45","328.45","328.45","334.05","2","6.57","2000","-1000","        329.15"
"ONGC","23-May-2013","30-May-2013","328.6","333.95","327.2","328.5","329.4","328.5","5325","17630.09","9480000","-682000","        328.15"
