"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ONGC","01-Sep-2010","30-Sep-2010","1330.95","1334","1314.05","1321.95","1321.3","1321.95","3330","11016.15","2234750","-16750","       1338.95"
"ONGC","01-Sep-2010","28-Oct-2010","1333","1333","1320","1325.15","1325","1325.15","145","481.11","78250","21750","       1338.95"
"ONGC","01-Sep-2010","25-Nov-2010","0","0","0","1312.3","0","1360.8","0","0","0","0","       1338.95"
"ONGC","02-Sep-2010","30-Sep-2010","1330.1","1343.9","1310.25","1312.85","1312.95","1312.85","4998","16570.4","2343500","108750","       1321.40"
"ONGC","02-Sep-2010","28-Oct-2010","1325.05","1345.6","1316","1316.75","1317.25","1316.75","239","794.71","121250","43000","       1321.40"
"ONGC","02-Sep-2010","25-Nov-2010","1327.5","1327.5","1327.5","1327.5","1327.5","1342.65","1","3.32","250","250","       1321.40"
"ONGC","03-Sep-2010","30-Sep-2010","1313.2","1328.8","1313","1322.95","1325.4","1322.95","2406","7958.23","2318250","-25250","       1339.00"
"ONGC","03-Sep-2010","28-Oct-2010","1323","1331","1322.25","1327.1","1329.4","1327.1","183","606.73","139250","18000","       1339.00"
"ONGC","03-Sep-2010","25-Nov-2010","0","0","0","1327.5","1327.5","1360.3","0","0","250","0","       1339.00"
"ONGC","06-Sep-2010","30-Sep-2010","1327.95","1358","1317.55","1340.65","1339","1340.65","7463","25027.13","2452250","134000","       1350.70"
"ONGC","06-Sep-2010","28-Oct-2010","1326.9","1360","1320.35","1343.9","1342.5","1343.9","163","545.06","165750","26500","       1350.70"
"ONGC","06-Sep-2010","25-Nov-2010","0","0","0","1327.5","1327.5","1371.35","0","0","250","0","       1350.70"
"ONGC","07-Sep-2010","30-Sep-2010","1343.95","1350.8","1325.55","1338.3","1335.8","1338.3","4055","13549.89","2647750","195500","       1353.65"
"ONGC","07-Sep-2010","28-Oct-2010","1350.05","1353","1331","1340.95","1340.25","1340.95","161","539.46","185750","20000","       1353.65"
"ONGC","07-Sep-2010","25-Nov-2010","0","0","0","1327.5","1327.5","1374.2","0","0","250","0","       1353.65"
"ONGC","08-Sep-2010","30-Sep-2010","1334.6","1349.5","1321.15","1336.95","1336.6","1336.95","5321","17777.94","2819250","171500","       1355.50"
"ONGC","08-Sep-2010","28-Oct-2010","1346.2","1352.05","1326","1339.35","1338.7","1339.35","93","311.53","190500","4750","       1355.50"
"ONGC","08-Sep-2010","25-Nov-2010","0","0","0","1327.5","1327.5","1375.95","0","0","250","0","       1355.50"
"ONGC","09-Sep-2010","30-Sep-2010","1339.5","1355","1332","1351.6","1349.95","1351.6","3950","13302.8","2923000","103750","       1355.95"
"ONGC","09-Sep-2010","28-Oct-2010","1347.3","1357.5","1340.55","1356.35","1352.15","1356.35","147","497.02","194750","4250","       1355.95"
"ONGC","09-Sep-2010","25-Nov-2010","0","0","0","1327.5","1327.5","1376","0","0","250","0","       1355.95"
"ONGC","13-Sep-2010","30-Sep-2010","1362","1383.35","1362","1376.3","1376","1376.3","5247","18016.88","3062500","139500","       1382.35"
"ONGC","13-Sep-2010","28-Oct-2010","1376.35","1382","1367.2","1380.8","1380","1380.8","92","316.6","200000","5250","       1382.35"
"ONGC","13-Sep-2010","25-Nov-2010","1378.35","1378.35","1378.35","1378.35","1378.35","1401.9","1","3.45","500","250","       1382.35"
"ONGC","14-Sep-2010","30-Sep-2010","1370.85","1418","1365","1403.1","1404.95","1403.1","7954","27749.34","2992000","-70500","       1396.30"
"ONGC","14-Sep-2010","28-Oct-2010","1376.2","1421","1368.55","1406.65","1406.1","1406.65","135","471.61","197750","-2250","       1396.30"
"ONGC","14-Sep-2010","25-Nov-2010","0","0","0","1378.35","1378.35","1415.9","0","0","500","0","       1396.30"
"ONGC","15-Sep-2010","30-Sep-2010","1410","1456","1402.7","1414.4","1418","1414.4","11107","39730.12","3218750","226750","       1406.95"
"ONGC","15-Sep-2010","28-Oct-2010","1424","1458","1407","1417.9","1420.5","1417.9","389","1392.61","189500","-8250","       1406.95"
"ONGC","15-Sep-2010","25-Nov-2010","1448.05","1451.3","1448.05","1451.3","1451.3","1426.5","2","7.25","750","250","       1406.95"
"ONGC","16-Sep-2010","30-Sep-2010","1416.05","1436.7","1401","1405.85","1407","1405.85","5669","20084.34","3049750","-169000","       1399.75"
"ONGC","16-Sep-2010","28-Oct-2010","1425","1437.7","1407","1409.75","1408.8","1409.75","302","1074.66","174250","-15250","       1399.75"
"ONGC","16-Sep-2010","25-Nov-2010","0","0","0","1451.3","1451.3","1419.15","0","0","750","0","       1399.75"
"ONGC","17-Sep-2010","30-Sep-2010","1410.5","1426.95","1393.35","1406.45","1410.3","1406.45","7881","27776.52","2894500","-155250","       1397.25"
"ONGC","17-Sep-2010","28-Oct-2010","1428.3","1428.85","1398.6","1412.6","1419.85","1412.6","241","851.44","163750","-10500","       1397.25"
"ONGC","17-Sep-2010","25-Nov-2010","0","0","0","1451.3","1451.3","1416.6","0","0","750","0","       1397.25"
"ONGC","20-Sep-2010","30-Sep-2010","1412.9","1427.9","1404","1409.4","1410","1409.4","6154","21744.29","2773000","-121500","       1404.20"
"ONGC","20-Sep-2010","28-Oct-2010","1416","1432.05","1410","1414.4","1414.7","1414.4","397","1407.81","186500","22750","       1404.20"
"ONGC","20-Sep-2010","25-Nov-2010","0","0","0","1451.3","1451.3","1422.85","0","0","750","0","       1404.20"
"ONGC","21-Sep-2010","30-Sep-2010","1414.25","1419.05","1403","1405.6","1406.2","1405.6","3810","13428.74","2504000","-269000","       1403.85"
"ONGC","21-Sep-2010","28-Oct-2010","1417.05","1423.7","1409.25","1410.65","1411.9","1410.65","160","565.46","195250","8750","       1403.85"
"ONGC","21-Sep-2010","25-Nov-2010","0","0","0","1451.3","1451.3","1422.25","0","0","750","0","       1403.85"
"ONGC","22-Sep-2010","30-Sep-2010","1404.2","1424.4","1400","1406.5","1404","1406.5","3688","13009.15","2360750","-143250","       1402.65"
"ONGC","22-Sep-2010","28-Oct-2010","1420","1428","1405.3","1412","1410","1412","331","1171.2","211250","16000","       1402.65"
"ONGC","22-Sep-2010","25-Nov-2010","0","0","0","1451.3","1451.3","1420.95","0","0","750","0","       1402.65"
"ONGC","23-Sep-2010","30-Sep-2010","1413.2","1438","1410.3","1427.85","1426.9","1427.85","9894","35299.94","2287000","-73750","       1424.70"
"ONGC","23-Sep-2010","28-Oct-2010","1419.9","1442.2","1416.15","1432.55","1430.9","1432.55","1809","6480.8","373000","161750","       1424.70"
"ONGC","23-Sep-2010","25-Nov-2010","0","0","0","1451.3","1451.3","1443.25","0","0","750","0","       1424.70"
"ONGC","24-Sep-2010","30-Sep-2010","1428","1452","1418","1442.65","1443.75","1442.65","6440","23196.92","2184500","-102500","       1437.10"
"ONGC","24-Sep-2010","28-Oct-2010","1432.55","1457","1424","1447.25","1448.95","1447.25","1694","6123.85","591500","218500","       1437.10"
"ONGC","24-Sep-2010","25-Nov-2010","0","0","0","1451.3","1451.3","1455.35","0","0","750","0","       1437.10"
"ONGC","27-Sep-2010","30-Sep-2010","1452","1472.3","1444.8","1464.4","1465","1464.4","6752","24689.24","1907250","-277250","       1457.90"
"ONGC","27-Sep-2010","28-Oct-2010","1459.8","1477.5","1450","1470","1470.95","1470","1677","6156.93","704500","113000","       1457.90"
"ONGC","27-Sep-2010","25-Nov-2010","0","0","0","1451.3","1451.3","1475.6","0","0","750","0","       1457.90"
"ONGC","28-Sep-2010","30-Sep-2010","1460.25","1476.8","1447","1460.45","1460","1460.45","4429","16149.4","1590000","-317250","       1458.05"
"ONGC","28-Sep-2010","28-Oct-2010","1470.1","1481.65","1453","1467.65","1466","1467.65","1382","5062.62","789750","85250","       1458.05"
"ONGC","28-Sep-2010","25-Nov-2010","1470","1470","1463.5","1463.5","1463.5","1475.4","2","7.33","750","0","       1458.05"
