"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"POWERGRID","02-Mar-2010","25-Mar-2010","107.6","108.25","106.6","107.45","107.65","107.45","645","1330.84","7798175","250250","        107.55"
"POWERGRID","02-Mar-2010","29-Apr-2010","107.15","107.5","106.5","107.3","107.5","107.3","83","170.98","277200","128975","        107.55"
"POWERGRID","02-Mar-2010","27-May-2010","107","107","107","107","107","108.85","1","2.06","5775","1925","        107.55"
"POWERGRID","03-Mar-2010","25-Mar-2010","107.35","109.1","106.85","108.8","108.9","108.8","1386","2886.77","8133125","334950","        108.70"
"POWERGRID","03-Mar-2010","29-Apr-2010","106.8","108.9","106.8","108.7","108.7","108.7","101","210.25","435050","157850","        108.70"
"POWERGRID","03-Mar-2010","27-May-2010","0","0","0","107","107","110.05","0","0","5775","0","        108.70"
"POWERGRID","04-Mar-2010","25-Mar-2010","108.6","109.4","108.3","108.6","108.6","108.6","682","1428.36","8135050","1925","        108.80"
"POWERGRID","04-Mar-2010","29-Apr-2010","108.85","108.85","108.25","108.65","108.65","109.7","40","83.55","504350","69300","        108.80"
"POWERGRID","04-Mar-2010","27-May-2010","108.25","108.25","108.25","108.25","108.25","110.1","1","2.08","7700","1925","        108.80"
"POWERGRID","05-Mar-2010","25-Mar-2010","108.8","109.25","107.9","108.15","108","108.15","513","1073.16","8162000","26950","        108.25"
"POWERGRID","05-Mar-2010","29-Apr-2010","108.85","109.05","108.1","108.15","108.1","108.15","34","70.98","546700","42350","        108.25"
"POWERGRID","05-Mar-2010","27-May-2010","108.6","108.8","108.4","108.05","108.4","108.05","4","8.35","13475","5775","        108.25"
"POWERGRID","08-Mar-2010","25-Mar-2010","108.8","110.8","108.4","109.65","109.6","109.65","1505","3180.61","8527750","365750","        110.05"
"POWERGRID","08-Mar-2010","29-Apr-2010","108.9","111.6","108.4","109.55","109.45","109.55","138","291.3","739200","192500","        110.05"
"POWERGRID","08-Mar-2010","27-May-2010","109.65","109.65","109.5","109.5","109.5","111.4","2","4.22","17325","3850","        110.05"
"POWERGRID","09-Mar-2010","25-Mar-2010","109.95","110","108.1","108.4","108.45","108.4","515","1082.15","8456525","-71225","        108.80"
"POWERGRID","09-Mar-2010","29-Apr-2010","109.75","110","108.15","108.35","108.4","108.35","65","136.48","835450","96250","        108.80"
"POWERGRID","09-Mar-2010","27-May-2010","109.6","109.6","108.3","108.3","108.3","108.3","6","12.56","28875","11550","        108.80"
"POWERGRID","10-Mar-2010","25-Mar-2010","108.45","109.25","107.6","108.3","108.8","108.3","634","1322.02","8475775","19250","        109.10"
"POWERGRID","10-Mar-2010","29-Apr-2010","108.6","109.05","107.55","108.1","108.5","108.1","133","276.42","1049125","213675","        109.10"
"POWERGRID","10-Mar-2010","27-May-2010","0","0","0","108.3","108.3","110.45","0","0","28875","0","        109.10"
"POWERGRID","11-Mar-2010","25-Mar-2010","108.9","109.5","106.25","106.9","107.2","106.9","1113","2306.36","8756825","281050","        106.80"
"POWERGRID","11-Mar-2010","29-Apr-2010","108.4","109.25","106.2","106.6","107","106.6","95","196.8","1158850","109725","        106.80"
"POWERGRID","11-Mar-2010","27-May-2010","0","0","0","108.3","108.3","108.1","0","0","28875","0","        106.80"
"POWERGRID","12-Mar-2010","25-Mar-2010","107.7","107.7","105.7","106.25","106.4","106.25","648","1325.99","8864625","107800","        106.30"
"POWERGRID","12-Mar-2010","29-Apr-2010","106.7","106.7","105.6","106.1","106.1","106.1","91","185.87","1305150","146300","        106.30"
"POWERGRID","12-Mar-2010","27-May-2010","0","0","0","108.3","108.3","107.6","0","0","28875","0","        106.30"
"POWERGRID","15-Mar-2010","25-Mar-2010","106","106.4","104.2","104.8","104.7","104.8","3785","7667.7","7482475","-1382150","        104.65"
"POWERGRID","15-Mar-2010","29-Apr-2010","106.1","106.1","103.9","104.65","104.55","104.65","2955","5974.37","5180175","3875025","        104.65"
"POWERGRID","15-Mar-2010","27-May-2010","105.45","105.45","104.35","104.35","104.35","105.85","5","10.1","38500","9625","        104.65"
"POWERGRID","16-Mar-2010","25-Mar-2010","104.5","105.5","104.4","105.3","105.2","105.3","923","1863","7386225","-96250","        104.95"
"POWERGRID","16-Mar-2010","29-Apr-2010","104.3","105.35","104","105.1","105.3","105.1","410","824.99","5189800","9625","        104.95"
"POWERGRID","16-Mar-2010","27-May-2010","104.25","104.25","104.25","104.25","104.25","106.15","1","2.01","40425","1925","        104.95"
"POWERGRID","17-Mar-2010","25-Mar-2010","105.65","106.95","105.5","106.6","106.8","106.6","1234","2525.55","6864550","-521675","        106.35"
"POWERGRID","17-Mar-2010","29-Apr-2010","105.5","106.6","105.35","106.3","106.6","106.3","631","1288.95","5197500","7700","        106.35"
"POWERGRID","17-Mar-2010","27-May-2010","0","0","0","104.25","104.25","107.55","0","0","40425","0","        106.35"
"POWERGRID","18-Mar-2010","25-Mar-2010","107","107","105.8","106.3","106.35","106.3","991","2024.67","6874175","9625","        106.10"
"POWERGRID","18-Mar-2010","29-Apr-2010","106.8","106.85","105.65","106.05","106","106.05","691","1408.05","5655650","458150","        106.10"
"POWERGRID","18-Mar-2010","27-May-2010","0","0","0","104.25","104.25","107.3","0","0","40425","0","        106.10"
"POWERGRID","19-Mar-2010","25-Mar-2010","106.05","109.5","105.85","108.35","108.3","108.35","2121","4376.81","6129200","-744975","        108.20"
"POWERGRID","19-Mar-2010","29-Apr-2010","106","109.2","105.7","108.1","108.15","108.1","1335","2737.71","5977125","321475","        108.20"
"POWERGRID","19-Mar-2010","27-May-2010","106.6","106.65","106.6","106.65","106.65","109.4","4","8.21","48125","7700","        108.20"
"POWERGRID","22-Mar-2010","25-Mar-2010","107.8","109.05","106.9","107.7","107.25","107.7","1842","3820.99","4972275","-1156925","        107.55"
"POWERGRID","22-Mar-2010","29-Apr-2010","107","108.8","106.85","107.6","107.15","107.6","1197","2476.4","6317850","340725","        107.55"
"POWERGRID","22-Mar-2010","27-May-2010","107.05","108.2","107.05","108.2","108.2","108.65","2","4.14","51975","3850","        107.55"
"POWERGRID","23-Mar-2010","25-Mar-2010","107.75","108.2","106.6","107.9","107.65","107.9","1656","3422.42","3128125","-1844150","        107.95"
"POWERGRID","23-Mar-2010","29-Apr-2010","107.2","108","106.8","107.8","107.65","107.8","1420","2932.07","7309225","991375","        107.95"
"POWERGRID","23-Mar-2010","27-May-2010","107.65","107.65","107","107","107","109.05","29","59.8","77000","25025","        107.95"
"POWERGRID","25-Mar-2010","25-Mar-2010","107.55","108.2","106.1","106.4","106.4","106.45","1352","2788.57","1657425","-1470700","        106.45"
"POWERGRID","25-Mar-2010","29-Apr-2010","108","108.25","106.5","106.95","107","106.95","1649","3405.08","7742350","433125","        106.45"
"POWERGRID","25-Mar-2010","27-May-2010","107.7","108.25","107.05","106.85","107.6","106.85","18","37.21","96250","19250","        106.45"
"POWERGRID","26-Mar-2010","29-Apr-2010","107","107.8","106.55","107.4","107.4","107.4","759","1566.07","7857850","115500","        106.75"
"POWERGRID","26-Mar-2010","27-May-2010","107.75","107.75","106.4","106.55","106.55","107.8","21","43.3","127050","30800","        106.75"
"POWERGRID","26-Mar-2010","24-Jun-2010","0","0","0","108","0","108.25","0","0","0","0","        106.75"
"POWERGRID","29-Mar-2010","29-Apr-2010","107.4","108","107.15","107.55","107.6","107.55","565","1170.4","8021475","163625","        106.75"
"POWERGRID","29-Mar-2010","27-May-2010","107.5","107.65","107.1","107.25","107.25","107.25","66","136.44","215600","88550","        106.75"
"POWERGRID","29-Mar-2010","24-Jun-2010","107.35","107.6","107.25","107.25","107.25","107.25","4","8.27","7700","7700","        106.75"
"POWERGRID","30-Mar-2010","29-Apr-2010","107.3","107.85","106.8","107.05","106.9","107.05","524","1082.38","8071525","50050","        106.70"
"POWERGRID","30-Mar-2010","27-May-2010","107.5","107.5","106.8","106.9","106.8","106.9","74","152.72","342650","127050","        106.70"
"POWERGRID","30-Mar-2010","24-Jun-2010","107.25","107.25","107","107","107","108.15","2","4.12","11550","3850","        106.70"
"POWERGRID","31-Mar-2010","29-Apr-2010","106.9","107.9","106.65","107.45","107.4","107.45","739","1526.65","8023400","-48125","        107.15"
"POWERGRID","31-Mar-2010","27-May-2010","106.8","107.5","106.65","107.25","107.2","107.25","54","111.36","431200","88550","        107.15"
"POWERGRID","31-Mar-2010","24-Jun-2010","106.85","107.4","106.75","107.4","107.4","108.6","3","6.18","17325","5775","        107.15"
"POWERGRID","01-Apr-2010","29-Apr-2010","107.8","107.95","107.15","107.35","107.25","107.35","449","929.14","7982975","-40425","        106.65"
"POWERGRID","01-Apr-2010","27-May-2010","107.5","108.45","107.1","107.2","107.1","107.2","33","68.19","475475","44275","        106.65"
"POWERGRID","01-Apr-2010","24-Jun-2010","0","0","0","107.4","107.4","108.1","0","0","17325","0","        106.65"
"POWERGRID","05-Apr-2010","29-Apr-2010","107.3","108.6","107","107.8","107.6","107.8","860","1783.15","8196650","213675","        107.55"
"POWERGRID","05-Apr-2010","27-May-2010","107.65","108.3","107","107.6","107.6","107.6","78","161.71","590975","115500","        107.55"
"POWERGRID","05-Apr-2010","24-Jun-2010","0","0","0","107.4","107.4","108.9","0","0","17325","0","        107.55"
"POWERGRID","06-Apr-2010","29-Apr-2010","108.4","108.4","107.2","107.75","107.9","107.75","632","1310.25","8393000","196350","        107.20"
"POWERGRID","06-Apr-2010","27-May-2010","107.7","108.5","107.2","107.7","107.7","108.05","30","62.16","642950","51975","        107.20"
"POWERGRID","06-Apr-2010","24-Jun-2010","0","0","0","107.4","107.4","108.5","0","0","17325","0","        107.20"
"POWERGRID","07-Apr-2010","29-Apr-2010","108","110.95","108","110.55","110.85","110.55","2615","5519.4","8325625","-67375","        110.55"
"POWERGRID","07-Apr-2010","27-May-2010","108.2","110.75","108.2","110.1","110.75","110.1","232","489.16","729575","86625","        110.55"
