"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"POWERGRID","01-Nov-2011","24-Nov-2011","105.95","106","103.85","104.6","104.1","104.6","391","1637.12","8948000","108000","        103.65"
"POWERGRID","01-Nov-2011","29-Dec-2011","105.55","105.55","104.9","104.9","104.9","104.9","5","20.99","68000","16000","        103.65"
"POWERGRID","01-Nov-2011","25-Jan-2012","105.9","105.9","105.9","105.9","105.9","106","1","4.24","4000","4000","        103.65"
"POWERGRID","02-Nov-2011","24-Nov-2011","104.85","104.85","103.45","103.75","103.8","103.75","385","1602.15","9128000","180000","        103.10"
"POWERGRID","02-Nov-2011","29-Dec-2011","104.55","104.55","104.3","104.3","104.3","104.3","3","12.54","76000","8000","        103.10"
"POWERGRID","02-Nov-2011","25-Jan-2012","0","0","0","105.9","105.9","105.4","0","0","4000","0","        103.10"
"POWERGRID","03-Nov-2011","24-Nov-2011","104","105.25","103.65","104.95","104.95","104.95","402","1682.33","9316000","188000","        104.10"
"POWERGRID","03-Nov-2011","29-Dec-2011","105.4","105.4","105.4","105.4","105.4","105.4","2","8.4","84000","8000","        104.10"
"POWERGRID","03-Nov-2011","25-Jan-2012","0","0","0","105.9","105.9","106.4","0","0","4000","0","        104.10"
"POWERGRID","04-Nov-2011","24-Nov-2011","105.1","105.7","104.25","104.5","104.35","104.5","316","1325.32","9392000","76000","        103.85"
"POWERGRID","04-Nov-2011","29-Dec-2011","0","0","0","105.4","105.4","105.4","1","4.21","88000","4000","        103.85"
"POWERGRID","04-Nov-2011","25-Jan-2012","0","0","0","105.9","105.9","106.1","0","0","4000","0","        103.85"
"POWERGRID","08-Nov-2011","24-Nov-2011","104.15","104.7","103.95","104.55","104.7","104.55","164","684.28","9496000","104000","        103.85"
"POWERGRID","08-Nov-2011","29-Dec-2011","104.7","104.7","104.7","104.7","104.7","105.25","4","16.77","100000","12000","        103.85"
"POWERGRID","08-Nov-2011","25-Jan-2012","0","0","0","105.9","105.9","106","0","0","4000","0","        103.85"
