"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"RELIANCE","02-Dec-2019","26-Dec-2019","1588.9","1616.6","1584.65","1594.85","1595.5","1594.85","37806","302118.73","48297000","-950500","       1586.50"
"RELIANCE","02-Dec-2019","30-Jan-2020","1601.75","1622.6","1581.3","1601.95","1603","1601.95","927","7442.24","491000","88000","       1586.50"
"RELIANCE","02-Dec-2019","27-Feb-2020","1599.65","1629.35","1599.65","1608.3","1608.9","1608.3","81","652.42","26500","15500","       1586.50"
"RELIANCE","03-Dec-2019","26-Dec-2019","1597","1599.9","1577.8","1585.7","1588.05","1585.7","15111","119796.4","47948500","-348500","       1578.90"
"RELIANCE","03-Dec-2019","30-Jan-2020","1599","1603","1585.05","1593.1","1595","1593.1","466","3710.43","562500","71500","       1578.90"
"RELIANCE","03-Dec-2019","27-Feb-2020","1608.9","1608.9","1592.1","1599.15","1600.6","1599.15","62","495.21","32500","6000","       1578.90"
"RELIANCE","04-Dec-2019","26-Dec-2019","1577.65","1582.7","1543","1561.85","1563.1","1561.85","30565","238497.81","48838000","889500","       1552.70"
"RELIANCE","04-Dec-2019","30-Jan-2020","1584.35","1588.2","1550.5","1569.25","1570.35","1569.25","992","7782.19","685000","122500","       1552.70"
"RELIANCE","04-Dec-2019","27-Feb-2020","1589.05","1592.65","1558.25","1573.85","1576","1573.85","126","991.02","52000","19500","       1552.70"
"RELIANCE","05-Dec-2019","26-Dec-2019","1582.8","1585.3","1551.75","1559.1","1559","1559.1","25604","200865.64","49291500","453500","       1550.85"
"RELIANCE","05-Dec-2019","30-Jan-2020","1588.7","1592.15","1560.1","1565.8","1566","1565.8","638","5025.94","744000","59000","       1550.85"
"RELIANCE","05-Dec-2019","27-Feb-2020","1594.2","1596.2","1566","1573.1","1571.85","1573.1","67","530.1","67000","15000","       1550.85"
"RELIANCE","06-Dec-2019","26-Dec-2019","1559.85","1573.6","1547.55","1561.45","1561.7","1561.45","19728","154065.82","49140500","-151000","       1554.90"
"RELIANCE","06-Dec-2019","30-Jan-2020","1568","1580.65","1555.7","1568.55","1570","1568.55","589","4622.77","818500","74500","       1554.90"
"RELIANCE","06-Dec-2019","27-Feb-2020","1579.6","1586.95","1562.25","1575.3","1576.5","1575.3","29","228.63","70500","3500","       1554.90"
"RELIANCE","09-Dec-2019","26-Dec-2019","1562.85","1582","1552.95","1576.45","1576.9","1576.45","20885","164030.93","48039000","-1101500","       1572.60"
"RELIANCE","09-Dec-2019","30-Jan-2020","1569.05","1588.85","1561.3","1583.85","1583.35","1583.85","523","4124.46","866500","48000","       1572.60"
"RELIANCE","09-Dec-2019","27-Feb-2020","1569.8","1594","1567.75","1590.6","1591.2","1590.6","44","348.26","71500","1000","       1572.60"
"RELIANCE","10-Dec-2019","26-Dec-2019","1576.3","1578.45","1561.65","1569.15","1571","1569.15","14253","111759.07","47835000","-204000","       1561.95"
"RELIANCE","10-Dec-2019","30-Jan-2020","1584.3","1585.1","1569.35","1576.25","1578.7","1576.25","808","6360.02","1045000","178500","       1561.95"
"RELIANCE","10-Dec-2019","27-Feb-2020","1586.8","1586.8","1577.55","1584","1584","1584","32","252.96","80500","9000","       1561.95"
"RELIANCE","11-Dec-2019","26-Dec-2019","1562","1580.65","1556.3","1566.85","1565.8","1566.85","22021","172362.42","45513000","-2322000","       1562.40"
"RELIANCE","11-Dec-2019","30-Jan-2020","1573.7","1587.75","1564.45","1574.9","1572","1574.9","5761","45212.96","3652500","2607500","       1562.40"
"RELIANCE","11-Dec-2019","27-Feb-2020","1578","1590.75","1573","1579.4","1578.5","1579.4","42","331.69","94500","14000","       1562.40"
"RELIANCE","12-Dec-2019","26-Dec-2019","1571.65","1577.05","1563.5","1573.4","1576.8","1573.4","20594","161666.29","41955000","-3558000","       1568.20"
"RELIANCE","12-Dec-2019","30-Jan-2020","1581.35","1584.55","1571.15","1580.85","1584","1580.85","7308","57579.31","6999500","3347000","       1568.20"
"RELIANCE","12-Dec-2019","27-Feb-2020","1586.1","1591","1582","1587.7","1591","1587.7","34","269.72","101500","7000","       1568.20"
"RELIANCE","13-Dec-2019","26-Dec-2019","1582.6","1594.9","1579.05","1589","1588.2","1589","20586","163344.94","42004000","49000","       1582.90"
"RELIANCE","13-Dec-2019","30-Jan-2020","1582","1602.95","1582","1596.4","1596.3","1596.4","1543","12304.08","7147000","147500","       1582.90"
"RELIANCE","13-Dec-2019","27-Feb-2020","1609.55","1609.55","1594","1605","1605.95","1605","58","464.58","115500","14000","       1582.90"
"RELIANCE","16-Dec-2019","26-Dec-2019","1594.95","1598.65","1571","1573.35","1578","1573.35","19676","155716.79","41863000","-141000","       1566.60"
"RELIANCE","16-Dec-2019","30-Jan-2020","1607.2","1607.2","1578.5","1580.7","1584.5","1580.7","1996","15847","7669000","522000","       1566.60"
"RELIANCE","16-Dec-2019","27-Feb-2020","1605.35","1608.5","1586.2","1587.8","1590.1","1587.8","64","511.17","125500","10000","       1566.60"
"RELIANCE","17-Dec-2019","26-Dec-2019","1578.35","1583.35","1562.45","1569.7","1572.9","1569.7","30529","239703.32","37939000","-3924000","       1562.70"
"RELIANCE","17-Dec-2019","30-Jan-2020","1585","1590.95","1571","1577.95","1582","1577.95","12713","100218.37","13221500","5552500","       1562.70"
"RELIANCE","17-Dec-2019","27-Feb-2020","1590.1","1595.2","1579.1","1585.45","1588.1","1585.45","48","380.54","131500","6000","       1562.70"
"RELIANCE","18-Dec-2019","26-Dec-2019","1567.95","1582.8","1566","1579.9","1581.2","1579.9","19696","155011.89","36131500","-1807500","       1575.85"
"RELIANCE","18-Dec-2019","30-Jan-2020","1580","1591.05","1574.55","1588","1589.5","1588","3716","29388.98","14394000","1172500","       1575.85"
