"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"RELIANCE","01-Feb-2020","27-Feb-2020","1410","1430","1368.65","1379.85","1369","1379.85","35461","248681.36","40336500","13000","       1383.35"
"RELIANCE","01-Feb-2020","26-Mar-2020","1413.75","1435.05","1372.35","1385.7","1373.1","1385.7","1841","12921.32","935500","372000","       1383.35"
"RELIANCE","01-Feb-2020","30-Apr-2020","1419.1","1441.5","1379.9","1388.65","1379.9","1388.65","109","770.61","38500","22000","       1383.35"
"RELIANCE","03-Feb-2020","27-Feb-2020","1367.35","1398.8","1366.4","1388.45","1387.9","1388.45","37645","260049.69","41086500","750000","       1385.50"
"RELIANCE","03-Feb-2020","26-Mar-2020","1378.25","1401.4","1370.25","1392","1390.5","1392","2283","15792.27","1453000","517500","       1385.50"
"RELIANCE","03-Feb-2020","30-Apr-2020","1379.65","1405.1","1379.05","1393","1391.15","1393","66","457.85","46000","7500","       1385.50"
"RELIANCE","04-Feb-2020","27-Feb-2020","1399","1429.7","1397.25","1425","1423.5","1425","33216","235349.9","39953000","-1133500","       1426.40"
"RELIANCE","04-Feb-2020","26-Mar-2020","1408.35","1432.4","1401.5","1427.5","1426.65","1427.5","1102","7826.81","1538500","85500","       1426.40"
"RELIANCE","04-Feb-2020","30-Apr-2020","1411.75","1437.5","1408","1433.85","1433","1433.85","77","548.35","51500","5500","       1426.40"
"RELIANCE","05-Feb-2020","27-Feb-2020","1430.35","1451.6","1427.9","1446.25","1446.15","1446.25","26920","193907.19","39601500","-351500","       1448.50"
"RELIANCE","05-Feb-2020","26-Mar-2020","1435","1453.7","1431.65","1449.2","1448.5","1449.2","710","5126.32","1618000","79500","       1448.50"
"RELIANCE","05-Feb-2020","30-Apr-2020","1440","1460","1440","1453.75","1453.5","1453.75","68","492.94","56000","4500","       1448.50"
"RELIANCE","06-Feb-2020","27-Feb-2020","1451.7","1464.9","1443.5","1456.1","1453.95","1456.1","24466","177748.14","39697500","96000","       1457.80"
"RELIANCE","06-Feb-2020","26-Mar-2020","1457.3","1466.45","1446.25","1458.8","1456.8","1458.8","1316","9588.68","1881000","263000","       1457.80"
"RELIANCE","06-Feb-2020","30-Apr-2020","1460.5","1471.4","1454","1464.55","1463.8","1464.55","66","481.89","58500","2500","       1457.80"
"RELIANCE","07-Feb-2020","27-Feb-2020","1450","1453","1431.55","1438.1","1436","1438.1","19269","138732.81","40408000","710500","       1433.65"
"RELIANCE","07-Feb-2020","26-Mar-2020","1452.8","1453","1434","1439.65","1437","1439.65","726","5233.76","1932000","51000","       1433.65"
"RELIANCE","07-Feb-2020","30-Apr-2020","1455","1459.2","1442","1446.5","1445","1446.5","81","586.93","77000","18500","       1433.65"
"RELIANCE","10-Feb-2020","27-Feb-2020","1432.7","1444.4","1415.45","1438.7","1443.5","1438.7","20370","145541.59","40394000","-14000","       1435.60"
"RELIANCE","10-Feb-2020","26-Mar-2020","1430.5","1448","1418.1","1444.2","1447","1444.2","2279","16343.86","2530000","598000","       1435.60"
"RELIANCE","10-Feb-2020","30-Apr-2020","1438.7","1454.2","1425","1451.65","1454.05","1451.65","69","498.29","72000","-5000","       1435.60"
"RELIANCE","11-Feb-2020","27-Feb-2020","1448.25","1467","1448.25","1452.5","1453.95","1452.5","19982","145667.3","39329000","-1065000","       1452.75"
"RELIANCE","11-Feb-2020","26-Mar-2020","1459.4","1470","1453.15","1456","1457","1456","1278","9343.04","2664500","134500","       1452.75"
"RELIANCE","11-Feb-2020","30-Apr-2020","1465","1475","1461.05","1461.85","1462.05","1461.85","72","528.59","69500","-2500","       1452.75"
"RELIANCE","12-Feb-2020","27-Feb-2020","1455.95","1474.5","1455.5","1471.3","1473.75","1471.3","19865","145695.25","39053000","-276000","       1470.30"
"RELIANCE","12-Feb-2020","26-Mar-2020","1464","1477.95","1462.7","1475.25","1477.95","1475.25","2060","15150.43","2991000","326500","       1470.30"
"RELIANCE","12-Feb-2020","30-Apr-2020","1469.15","1483.5","1469.15","1480.8","1483","1480.8","46","339.29","66500","-3000","       1470.30"
"RELIANCE","13-Feb-2020","27-Feb-2020","1474.25","1476.95","1463","1473.95","1470.85","1473.95","20666","151862.89","38212500","-840500","       1474.15"
"RELIANCE","13-Feb-2020","26-Mar-2020","1475.75","1480","1466.5","1477.5","1474","1477.5","4343","31961.99","4537500","1546500","       1474.15"
"RELIANCE","13-Feb-2020","30-Apr-2020","1480","1485","1473","1483.3","1481","1483.3","51","376.55","61000","-5500","       1474.15"
"RELIANCE","14-Feb-2020","27-Feb-2020","1476.9","1504.6","1456.75","1491.7","1491.9","1491.7","45552","338470.99","37954500","-258000","       1487.60"
"RELIANCE","14-Feb-2020","26-Mar-2020","1484","1507.65","1460.8","1493.75","1493.85","1493.75","5336","39700.07","5733500","1196000","       1487.60"
"RELIANCE","14-Feb-2020","30-Apr-2020","1490","1512.3","1468.75","1500.75","1498","1500.75","84","626.97","70000","9000","       1487.60"
"RELIANCE","17-Feb-2020","27-Feb-2020","1493.35","1506","1474.55","1481.3","1482.35","1481.3","21539","160325.04","38267000","312500","       1478.25"
"RELIANCE","17-Feb-2020","26-Mar-2020","1494.85","1508.9","1477.75","1483.9","1486","1483.9","1388","10334.13","5793000","59500","       1478.25"
"RELIANCE","17-Feb-2020","30-Apr-2020","1508.45","1512.5","1485","1490.7","1491.3","1490.7","58","433.57","79000","9000","       1478.25"
